energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,3.14579025,0.19654814,0.11426933,0.58312309,0.42064502,1.04559011,0.69085795,1.18786240,0.00000000
-5.99399700,3.16715691,0.20124570,0.11617332,0.58647031,0.41789917,1.06405292,0.69809554,1.19302100,0.00000000
-5.98799400,3.17879648,0.20466951,0.11759382,0.58739942,0.41448606,1.07687365,0.70317602,1.19469361,0.00000000
-5.98199100,3.17961352,0.20675297,0.11848636,0.58567960,0.41025920,1.08368349,0.70584588,1.19247020,0.00000000
-5.97598799,3.16883556,0.20745944,0.11881932,0.58114934,0.40510467,1.08426082,0.70592476,1.18606257,0.00000000
-5.96998499,3.14604175,0.20678329,0.11857519,0.57372246,0.39894583,1.07853755,0.70331182,1.17531456,0.00000000
-5.96398199,3.11117508,0.20474970,0.11775126,0.56339107,0.39174619,1.06659960,0.69798837,1.16020624,0.00000000
-5.95797899,3.06453794,0.20141359,0.11635963,0.55022520,0.38351005,1.04868162,0.69001663,1.14085170,0.00000000
-5.95197599,3.00677130,0.19685724,0.11442667,0.53436922,0.37428119,1.02515610,0.67953479,1.11749095,0.00000000
-5.94597299,2.93881905,0.19118719,0.11199175,0.51603535,0.36413967,0.99651751,0.66674868,1.09047622,0.00000000
-5.93996998,2.86187988,0.18453016,0.10910565,0.49549469,0.35319685,0.96336236,0.65192062,1.06025377,0.00000000
-5.93396698,2.77734944,0.17702855,0.10582841,0.47306616,0.34158928,0.92636608,0.63535613,1.02734202,0.00000000
-5.92796398,2.68675637,0.16883541,0.10222699,0.44910415,0.32947153,0.88625804,0.61738927,0.99230762,0.00000000
-5.92196098,2.59169585,0.16010933,0.09837273,0.42398537,0.31700866,0.84379581,0.59836746,0.95574058,0.00000000
-5.91595798,2.49376430,0.15100947,0.09433882,0.39809559,0.30436871,0.79973998,0.57863665,0.91822993,0.00000000
-5.90995498,2.39449881,0.14169074,0.09019789,0.37181696,0.29171563,0.75483058,0.55852765,0.88034122,0.00000000
-5.90395198,2.29532426,0.13229962,0.08601984,0.34551635,0.27920306,0.70976625,0.53834423,0.84259690,0.00000000
-5.89794897,2.19751066,0.12297054,0.08187001,0.31953531,0.26696926,0.66518678,0.51835367,0.80546062,0.00000000
-5.89194597,2.10214243,0.11382304,0.07780777,0.29418177,0.25513353,0.62165970,0.49878003,0.76932598,0.00000000
-5.88594297,2.01010052,0.10495978,0.07388555,0.26972397,0.24379404,0.57967128,0.47980041,0.73451002,0.00000000
-5.87993997,1.92205749,0.09646535,0.07014837,0.24638653,0.23302734,0.53962185,0.46154424,0.70125171,0.00000000
-5.87393697,1.83848493,0.08840598,0.06663375,0.22434864,0.22288933,0.50182542,0.44409526,0.66971489,0.00000000
-5.86793397,1.75967170,0.08082994,0.06337214,0.20374429,0.21341757,0.46651309,0.42749613,0.63999537,0.00000000
-5.86193097,1.68575124,0.07376867,0.06038760,0.18466433,0.20463474,0.43383977,0.41175485,0.61213136,0.00000000
-5.85592796,1.61673534,0.06723844,0.05769875,0.16715995,0.19655292,0.40389346,0.39685277,0.58611639,0.00000000
-5.84992496,1.55255183,0.06124242,0.05531990,0.15124730,0.18917834,0.37670629,0.38275334,0.56191370,0.00000000
-5.84392196,1.49308358,0.05577306,0.05326226,0.13691293,0.18251639,0.35226659,0.36941100,0.53947116,0.00000000
-5.83791896,1.43820600,0.05081457,0.05153502,0.12411961,0.17657640,0.33053115,0.35677970,0.51873572,0.00000000
-5.83191596,1.38782084,0.04634543,0.05014642,0.11281220,0.17137598,0.31143698,0.34482038,0.49966652,0.00000000
-5.82591296,1.34188431,0.04234080,0.04910458,0.10292330,0.16694461,0.29491200,0.33350711,0.48224591,0.00000000
-5.81990995,1.30042799,0.03877470,0.04841801,0.09437845,0.16332638,0.28088414,0.32283144,0.46648789,0.00000000
-5.81390695,1.26357163,0.03562193,0.04809595,0.08710058,0.16058152,0.26928852,0.31280483,0.45244348,0.00000000
-5.80790395,1.23152754,0.03285970,0.04814837,0.08101376,0.15878683,0.26007258,0.30345916,0.44020298,0.00000000
-5.80190095,1.20459663,0.03046882,0.04858572,0.07604598,0.15803496,0.25319917,0.29484531,0.42989501,0.00000000
-5.79589795,1.18315688,0.02843461,0.04941837,0.07213112,0.15843247,0.24864753,0.28703015,0.42168269,0.00000000
-5.78989495,1.16764540,0.02674739,0.05065603,0.06921010,0.16009688,0.24641268,0.28009204,0.41575716,0.00000000
-5.78389195,1.15853540,0.02540271,0.05230690,0.06723122,0.16315291,0.24650322,0.27411553,0.41232905,0.00000000
-5.77788894,1.15630991,0.02440122,0.05437693,0.06614988,0.16772792,0.24893816,0.26918534,0.41161844,0.00000000
-5.77188594,1.16143392,0.02374832,0.05686900,0.06592783,0.17394689,0.25374307,0.26538041,0.41384384,0.00000000
-5.76588294,1.17432680,0.02345354,0.05978239,0.06653202,0.18192723,0.26094597,0.26276817,0.41921099,0.00000000
-5.75987994,1.19533665,0.02352987,0.06311231,0.06793317,0.19177347,0.27057335,0.26139958,0.42790189,0.00000000
-5.75387694,1.22471806,0.02399281,0.06684978,0.07010432,0.20357222,0.28264664,0.26130523,0.44006480,0.00000000
-5.74787394,1.26261443,0.02485947,0.07098176,0.07301936,0.21738756,0.29717944,0.26249272,0.45580558,0.00000000
-5.74187094,1.30904583,0.02614751,0.07549163,0.07665163,0.23325702,0.31417554,0.26494547,0.47518075,0.00000000
-5.73586793,1.36390281,0.02787415,0.08035993,0.08097276,0.25118838,0.33362798,0.26862306,0.49819260,0.00000000
-5.72986493,1.42694624,0.03005510,0.08556537,0.08595168,0.27115742,0.35551907,0.27346296,0.52478650,0.00000000
-5.72386193,1.49781309,0.03270359,0.09108612,0.09155395,0.29310655,0.37982118,0.27938351,0.55485033,0.00000000
-5.71785893,1.57602746,0.03582939,0.09690112,0.09774132,0.31694463,0.40649837,0.28628807,0.58821619,0.00000000
-5.71185593,1.66101601,0.03943793,0.10299157,0.10447150,0.34254779,0.43550834,0.29406976,0.62466399,0.00000000
-5.70585293,1.75212676,0.04352947,0.10934224,0.11169827,0.36976119,0.46680460,0.30261677,0.66392680,0.00000000
-5.69984992,1.84865002,0.04809838,0.11594271,0.11937163,0.39840181,0.50033857,0.31181762,0.70569755,0.00000000
-5.69384692,1.94983999,0.05313253,0.12278833,0.12743824,0.42826193,0.53606117,0.32156625,0.74963674,0.00000000
