energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.64376409,0.71404025,0.54156540,0.00221013,0.09673238,0.02030988,1.58999877,0.63259155,0.14693942
-5.99399700,2.66014434,0.72144225,0.54682677,0.00219172,0.09774008,0.02148229,1.60039068,0.62843537,0.14750194
-5.98799400,2.67217875,0.72816134,0.55122998,0.00216868,0.09879782,0.02264870,1.60797953,0.62311470,0.14778728
-5.98199100,2.68026365,0.73429037,0.55489177,0.00214237,0.09989451,0.02379427,1.61302395,0.61679644,0.14780772
-5.97598799,2.68482667,0.73991870,0.55793116,0.00211424,0.10101827,0.02490396,1.61580361,0.60964874,0.14758053
-5.96998499,2.68629568,0.74512299,0.56046290,0.00208573,0.10215549,0.02596279,1.61660025,0.60183168,0.14712626
-5.96398199,2.68506980,0.74995923,0.56259155,0.00205828,0.10329005,0.02695624,1.61567990,0.59348903,0.14646709
-5.95797899,2.68149410,0.75445619,0.56440641,0.00203327,0.10440277,0.02787052,1.61327721,0.58474170,0.14562523
-5.95197599,2.67583928,0.75861083,0.56597739,0.00201197,0.10547100,0.02869295,1.60958268,0.57568299,0.14462136
-5.94597299,2.66828727,0.76238603,0.56735219,0.00199554,0.10646860,0.02941223,1.60473344,0.56637593,0.14347348
-5.93996998,2.65892330,0.76571045,0.56855471,0.00198496,0.10736611,0.03001873,1.59880782,0.55685282,0.14219587
-5.93396698,2.64773457,0.76848084,0.56958468,0.00198105,0.10813128,0.03050473,1.59182397,0.54711677,0.14079851
-5.92796398,2.63461547,0.77056644,0.57041853,0.00198442,0.10872983,0.03086454,1.58374241,0.53714519,0.13928681
-5.92196098,2.61937851,0.77181536,0.57101135,0.00199547,0.10912648,0.03109466,1.57447208,0.52689469,0.13766171
-5.91595798,2.60177042,0.77206242,0.57129972,0.00201437,0.10928615,0.03119380,1.56387968,0.51630723,0.13592013
-5.90995498,2.58149219,0.77113819,0.57120535,0.00204105,0.10917527,0.03116285,1.55180140,0.50531701,0.13405573
-5.90395198,2.55822181,0.76887867,0.57063919,0.00207521,0.10876316,0.03100474,1.53805651,0.49385753,0.13205991
-5.89794897,2.53163858,0.76513505,0.56950595,0.00211632,0.10802340,0.03072433,1.52246206,0.48186857,0.12992303
-5.89194597,2.50144764,0.75978323,0.56770866,0.00216361,0.10693510,0.03032816,1.50484778,0.46930263,0.12763571
-5.88594297,2.46740347,0.75273250,0.56515337,0.00221611,0.10548400,0.02982419,1.48507057,0.45613035,0.12519024
-5.87993997,2.42933132,0.74393297,0.56175348,0.00227262,0.10366341,0.02922151,1.46302789,0.44234496,0.12258182
-5.87393697,2.38714567,0.73338151,0.55743390,0.00233180,0.10147483,0.02853001,1.43866938,0.42796527,0.11980986
-5.86793397,2.34086495,0.72112586,0.55213476,0.00239213,0.09892835,0.02776014,1.41200634,0.41303734,0.11687892
-5.86193097,2.29062191,0.70726678,0.54581453,0.00245198,0.09604267,0.02692254,1.38311861,0.39763471,0.11379955
-5.85592796,2.23666955,0.69195807,0.53845271,0.00250968,0.09284492,0.02602782,1.35215864,0.38185738,0.11058877
-5.84992496,2.17938210,0.67540464,0.53005180,0.00256348,0.08937008,0.02508635,1.31935266,0.36582954,0.10727026
-5.84392196,2.11925151,0.65785848,0.52063859,0.00261168,0.08566023,0.02410802,1.28499894,0.34969637,0.10387424
-5.83791896,2.05687936,0.63961290,0.51026485,0.00265264,0.08176348,0.02310218,1.24946310,0.33361996,0.10043702
-5.83191596,1.99296468,0.62099511,0.49900722,0.00268486,0.07773282,0.02207749,1.21317083,0.31777480,0.09700028
-5.82591296,1.92828810,0.60235750,0.48696635,0.00270698,0.07362480,0.02104191,1.17659826,0.30234279,0.09361004
-5.81990995,1.86369298,0.58406784,0.47426540,0.00271789,0.06949811,0.02000272,1.14026010,0.28750824,0.09031546
-5.81390695,1.80006395,0.56649882,0.46104770,0.00271672,0.06541217,0.01896650,1.10469626,0.27345280,0.08716747
-5.80790395,1.73830380,0.55001720,0.44747381,0.00270289,0.06142581,0.01793924,1.07045712,0.26035068,0.08421726
-5.80190095,1.67930924,0.53497297,0.43371785,0.00267612,0.05759591,0.01692639,1.03808798,0.24836413,0.08151481
