energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.48843377,-0.91893137,0.45465466,-0.26880483,0.71410255,-0.04252176,0.51361013,-0.25312544,0.27495385,-0.12786931,0.00174105,-0.00259381,0.27390991,-0.06978414,0.00937742,-0.02158037,1.01896282,-0.47531068
-5.99399700,2.50831972,-0.88200163,0.45302185,-0.26992130,0.73573519,-0.04043277,0.50850723,-0.24112761,0.27866410,-0.12195255,0.00167618,-0.00240770,0.28353105,-0.06950663,0.00896673,-0.01993016,1.01506433,-0.45357968
-5.98799400,2.53184004,-0.84513514,0.45183503,-0.27025681,0.75889415,-0.03841713,0.50425709,-0.22935071,0.28266974,-0.11602636,0.00161176,-0.00221900,0.29383401,-0.06905598,0.00856570,-0.01831295,1.01223819,-0.43210993
-5.98199100,2.55950327,-0.80894050,0.45124325,-0.26983476,0.78368205,-0.03651606,0.50101157,-0.21801174,0.28696887,-0.11017985,0.00154872,-0.00203052,0.30487978,-0.06844330,0.00817678,-0.01674677,1.01070289,-0.41126456
-5.97598799,2.59165014,-0.77403226,0.45138406,-0.26870317,0.81014688,-0.03477013,0.49887385,-0.20732322,0.29154017,-0.10450319,0.00148802,-0.00184486,0.31671603,-0.06768432,0.00780282,-0.01524834,1.01060266,-0.39140552
-5.96998499,2.62843309,-0.74102735,0.45238036,-0.26693687,0.83827508,-0.03321904,0.49789517,-0.19749224,0.29634154,-0.09908636,0.00143066,-0.00166431,0.32937411,-0.06679978,0.00744688,-0.01383282,1.01199999,-0.37289107
-5.96398199,2.66980402,-0.71054200,0.45433842,-0.26463874,0.86798686,-0.03190152,0.49807378,-0.18871972,0.30130994,-0.09401815,0.00137761,-0.00149087,0.34286681,-0.06581569,0.00711198,-0.01251350,1.01487191,-0.35607366
-5.95797899,2.71551168,-0.68318878,0.45734711,-0.26193992,0.89913442,-0.03085516,0.49935605,-0.18119991,0.30636245,-0.08938524,0.00132981,-0.00132619,0.35718701,-0.06476337,0.00680100,-0.01130167,1.01911027,-0.34129823
-5.95197599,2.76510905,-0.65957329,0.46147867,-0.25899877,0.93150333,-0.03011628,0.50163979,-0.17511981,0.31139851,-0.08527137,0.00128815,-0.00117156,0.37230737,-0.06367918,0.00651646,-0.01020652,1.02452623,-0.32890034
-5.94597299,2.81797115,-0.64028987,0.46679079,-0.25599851,0.96481729,-0.02971975,0.50477961,-0.17065841,0.31630342,-0.08175664,0.00125348,-0.00102793,0.38818140,-0.06260403,0.00626041,-0.00923511,1.03085867,-0.31920425
-5.93996998,2.87332265,-0.62591614,0.47333019,-0.25314356,0.99874644,-0.02969869,0.50859398,-0.16798553,0.32095282,-0.07891678,0.00122656,-0.00089592,0.40474586,-0.06158254,0.00603437,-0.00839243,1.03778620,-0.31252026
-5.93396698,2.93027441,-0.61700575,0.48113736,-0.25065453,1.03291900,-0.03008408,0.51287376,-0.16726011,0.32521807,-0.07682239,0.00120808,-0.00077584,0.42192446,-0.06066194,0.00583922,-0.00768146,1.04494226,-0.30914144
-5.92796398,2.98786736,-0.61407937,0.49025215,-0.24876214,1.06693596,-0.03090423,0.51739167,-0.16862785,0.32897211,-0.07553812,0.00119868,-0.00066772,0.43963297,-0.05989069,0.00567526,-0.00710332,1.05193235,-0.30933937
-5.92196098,3.04512167,-0.61761372,0.50071996,-0.24770009,1.10038826,-0.03218414,0.52191239,-0.17221829,0.33209564,-0.07512180,0.00119893,-0.00057135,0.45778531,-0.05931696,0.00554218,-0.00665738,1.05835278,-0.31335900
-5.91595798,3.10108886,-0.62802890,0.51259800,-0.24769727,1.13287583,-0.03394474,0.52620268,-0.17814109,0.33448315,-0.07562344,0.00120933,-0.00048634,0.47630047,-0.05898684,0.00543913,-0.00634143,1.06380976,-0.32141246
-5.90995498,3.15490407,-0.64567432,0.52596105,-0.24896950,1.16402742,-0.03620199,0.53004114,-0.18648194,0.33604853,-0.07708416,0.00123035,-0.00041213,0.49510992,-0.05894255,0.00536484,-0.00615177,1.06793798,-0.33367221
-5.90395198,3.20583574,-0.67081373,0.54090646,-0.25171119,1.19352041,-0.03896594,0.53322716,-0.19729800,0.33672991,-0.07953509,0.00126242,-0.00034802,0.51416488,-0.05922058,0.00531766,-0.00608341,1.07041760,-0.35026349
