energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.98701441,-4.98704742,0.66027565,-0.66028084,3.75342260,-3.75344190,0.39800942,-0.39801537,0.29956655,-0.29956970,0.00515768,-0.00515764,0.07879835,-0.07879657,0.00682905,-0.00682889,0.75476430,-0.75477591
-5.99399700,4.98404346,-4.98407544,0.65665428,-0.65665947,3.76143041,-3.76145163,0.39252196,-0.39252759,0.29948139,-0.29948317,0.00524429,-0.00524424,0.07753769,-0.07753536,0.00673899,-0.00673884,0.74999012,-0.75000051
-5.98799400,4.97273891,-4.97277008,0.65265100,-0.65265614,3.76042763,-3.76045093,0.38705595,-0.38706119,0.29976318,-0.29976368,0.00533036,-0.00533030,0.07650703,-0.07650419,0.00663513,-0.00663499,0.74513999,-0.74514916
-5.98199100,4.95240743,-4.95243809,0.64828303,-0.64828806,3.74975857,-3.74978410,0.38165409,-0.38165890,0.30033397,-0.30033333,0.00541274,-0.00541268,0.07568888,-0.07568556,0.00651884,-0.00651871,0.74020610,-0.74021409
-5.97598799,4.92243030,-4.92246082,0.64354360,-0.64354854,3.72889390,-3.72892180,0.37633539,-0.37633977,0.30110952,-0.30110787,0.00548834,-0.00548828,0.07506424,-0.07506048,0.00639146,-0.00639134,0.73515114,-0.73515802
-5.96998499,4.88229021,-4.88232102,0.63840472,-0.63840959,3.69745442,-3.69748483,0.37109540,-0.37109935,0.30200067,-0.30199816,0.00555423,-0.00555417,0.07461273,-0.07460856,0.00625428,-0.00625415,0.72991024,-0.72991615
-5.96398199,4.83159931,-4.83163088,0.63282138,-0.63282624,3.65523257,-3.65526562,0.36590778,-0.36591136,0.30291532,-0.30291211,0.00560769,-0.00560764,0.07431286,-0.07430834,0.00610855,-0.00610843,0.72439498,-0.72440007
-5.95797899,4.77012674,-4.77015956,0.62673695,-0.62674188,3.60221047,-3.60224624,0.36072729,-0.36073057,0.30376088,-0.30375714,0.00564627,-0.00564623,0.07414249,-0.07413766,0.00595557,-0.00595546,0.71849904,-0.71850352
-5.95197599,4.69782414,-4.69785870,0.62008952,-0.62009462,3.53857329,-3.53861185,0.35549386,-0.35549692,0.30444715,-0.30444305,0.00566786,-0.00566783,0.07407941,-0.07407432,0.00579668,-0.00579657,0.71210539,-0.71210948
-5.94597299,4.61484740,-4.61488416,0.61281872,-0.61282411,3.46471715,-3.46475849,0.35013756,-0.35014050,0.30488943,-0.30488511,0.00567073,-0.00567071,0.07410200,-0.07409668,0.00563332,-0.00563320,0.70509445,-0.70509839
