energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.18245930,-2.18245930,0.68053350,-0.68053350,0.30625876,-0.30625876,0.01222757,-0.01222757,0.06887537,-0.06887537,0.50963258,-0.50963258,0.38234915,-0.38234915,0.02619170,-0.02619170,1.11026909,-1.11026909
-5.99399700,2.31393662,-2.31393662,0.72207749,-0.72207749,0.32714453,-0.32714453,0.01278833,-0.01278833,0.07242379,-0.07242379,0.54082221,-0.54082221,0.40267171,-0.40267171,0.02813144,-0.02813144,1.17768537,-1.17768537
-5.98799400,2.44003727,-2.44003727,0.76149854,-0.76149854,0.34764803,-0.34764803,0.01346056,-0.01346056,0.07587110,-0.07587110,0.57000600,-0.57000600,0.42187290,-0.42187290,0.03004503,-0.03004503,1.24215604,-1.24215604
-5.98199100,2.55851231,-2.55851231,0.79809774,-0.79809774,0.36744422,-0.36744422,0.01423116,-0.01423116,0.07914295,-0.07914295,0.59665517,-0.59665517,0.43956686,-0.43956686,0.03190761,-0.03190761,1.30254382,-1.30254382
-5.97598799,2.66719358,-2.66719358,0.83120965,-0.83120965,0.38620944,-0.38620944,0.01508513,-0.01508513,0.08216711,-0.08216711,0.62027218,-0.62027218,0.45538865,-0.45538865,0.03369410,-0.03369410,1.35775562,-1.35775562
-5.96998499,2.76405725,-2.76405725,0.86022275,-0.86022275,0.40363007,-0.40363007,0.01600590,-0.01600590,0.08487559,-0.08487559,0.64040639,-0.64040639,0.46900565,-0.46900565,0.03537976,-0.03537976,1.40677485,-1.40677485
-5.96398199,2.84728400,-2.84728400,0.88459878,-0.88459878,0.41941106,-0.41941106,0.01697552,-0.01697552,0.08720659,-0.08720659,0.65666881,-0.65666881,0.48012798,-0.48012798,0.03694071,-0.03694071,1.44869196,-1.44869196
-5.95797899,2.91531358,-2.91531358,0.90388997,-0.90388997,0.43328408,-0.43328408,0.01797496,-0.01797496,0.08910627,-0.08910627,0.66874515,-0.66874515,0.48851766,-0.48851766,0.03835452,-0.03835452,1.48273198,-1.48273198
-5.95197599,2.96689127,-2.96689127,0.91775354,-0.91775354,0.44501494,-0.44501494,0.01898444,-0.01898444,0.09053025,-0.09053025,0.67640652,-0.67640652,0.49399604,-0.49399604,0.03960065,-0.03960065,1.50827799,-1.50827799
-5.94597299,3.00110447,-3.00110447,0.92596272,-0.92596272,0.45440997,-0.45440997,0.01998374,-0.01998374,0.09144477,-0.09144477,0.67951745,-0.67951745,0.49644925,-0.49644925,0.04066096,-0.04066096,1.52488941,-1.52488941
-5.93996998,3.01740793,-3.01740793,0.92841384,-0.92841384,0.46132125,-0.46132125,0.02095260,-0.02095260,0.09182754,-0.09182754,0.67804067,-0.67804067,0.49583131,-0.49583131,0.04152011,-0.04152011,1.53231445,-1.53231445
-5.93396698,3.01563666,-3.01563666,0.92512926,-0.92512926,0.46565027,-0.46565027,0.02187105,-0.02187105,0.09166815,-0.09166815,0.67203857,-0.67203857,0.49216502,-0.49216502,0.04216585,-0.04216585,1.53049623,-1.53049623
