energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.86878798,-4.86878917,0.62431539,-0.62431528,3.63478319,-3.63478475,0.00474643,-0.00474642,0.08131419,-0.08131435,0.32459233,-0.32459237,0.55168307,-0.55168279,0.00578799,-0.00578799,0.71333954,-0.71333917
-5.99399700,4.80749055,-4.80749187,0.62212798,-0.62212789,3.57851912,-3.57852088,0.00471908,-0.00471908,0.07922827,-0.07922842,0.32224854,-0.32224857,0.54914885,-0.54914855,0.00566041,-0.00566041,0.71301421,-0.71301382
-5.98799400,4.73800560,-4.73800710,0.61926996,-0.61926990,3.51416211,-3.51416407,0.00467935,-0.00467935,0.07728329,-0.07728343,0.31977671,-0.31977673,0.54655453,-0.54655422,0.00552173,-0.00552173,0.71228780,-0.71228740
-5.98199100,4.66027948,-4.66028121,0.61562886,-0.61562884,3.44204745,-3.44204962,0.00462731,-0.00462731,0.07547313,-0.07547326,0.31707123,-0.31707126,0.54375096,-0.54375067,0.00537285,-0.00537285,0.71092499,-0.71092461
-5.97598799,4.57444756,-4.57444956,0.61111475,-0.61111478,3.36266274,-3.36266513,0.00456329,-0.00456328,0.07378861,-0.07378874,0.31404024,-0.31404028,0.54059872,-0.54059845,0.00521480,-0.00521480,0.70872391,-0.70872357
-5.96998499,4.48084082,-4.48084311,0.60566505,-0.60566514,3.27664062,-3.27664321,0.00448784,-0.00448784,0.07221829,-0.07221841,0.31060916,-0.31060923,0.53697373,-0.53697349,0.00504879,-0.00504880,0.70552338,-0.70552309
-5.96398199,4.37998544,-4.37998805,0.59924809,-0.59924824,3.18474667,-3.18474946,0.00440175,-0.00440175,0.07074934,-0.07074947,0.30672350,-0.30672360,0.53277239,-0.53277221,0.00487628,-0.00487628,0.70120825,-0.70120804
-5.95797899,4.27259529,-4.27259820,0.59186524,-0.59186546,3.08786304,-3.08786600,0.00430600,-0.00430600,0.06936850,-0.06936862,0.30235067,-0.30235081,0.52791595,-0.52791583,0.00469891,-0.00469891,0.69571282,-0.69571270
-5.95197599,4.15955738,-4.15956061,0.58355159,-0.58355187,2.98696817,-2.98697129,0.00420170,-0.00420170,0.06806298,-0.06806310,0.29748084,-0.29748102,0.52235381,-0.52235376,0.00451861,-0.00451862,0.68902206,-0.68902203
-5.94597299,4.04191103,-4.04191454,0.57437503,-0.57437537,2.88311336,-2.88311660,0.00409007,-0.00409008,0.06682142,-0.06682154,0.29212680,-0.29212702,0.51606583,-0.51606586,0.00433757,-0.00433758,0.68117074,-0.68117082
