energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.70271182,0.49668601,1.36896334,0.00170301,0.02433402,0.00600138,0.13682655,0.20576552,0.08800327
-5.99399700,1.66330469,0.47088717,1.33609228,0.00167323,0.02442670,0.00578731,0.13265056,0.19926464,0.08880346
-5.98799400,1.63003953,0.44672521,1.30813717,0.00165081,0.02455424,0.00560556,0.12922837,0.19337139,0.08971903
-5.98199100,1.60330072,0.42439408,1.28541880,0.00163574,0.02471672,0.00546085,0.12661995,0.18809824,0.09074191
-5.97598799,1.58337377,0.40406005,1.26817318,0.00162776,0.02491382,0.00535770,0.12488050,0.18344400,0.09185990
-5.96998499,1.57044711,0.38585941,1.25655332,0.00162640,0.02514489,0.00530037,0.12405981,0.17939435,0.09305719
-5.96398199,1.56461739,0.36989717,1.25063371,0.00163101,0.02540906,0.00529289,0.12420180,0.17592283,0.09431526
-5.95797899,1.56589786,0.35624664,1.25041739,0.00164079,0.02570544,0.00533900,0.12534413,0.17299257,0.09561389
-5.95197599,1.57422903,0.34494992,1.25584481,0.00165482,0.02603329,0.00544211,0.12751805,0.17055849,0.09693250
-5.94597299,1.58949105,0.33601932,1.26680396,0.00167208,0.02639234,0.00560532,0.13074821,0.16856982,0.09825162
-5.93996998,1.61151679,0.32943932,1.28314102,0.00169155,0.02678296,0.00583132,0.13505265,0.16697303,0.09955441
-5.93396698,1.64010464,0.32516931,1.30467061,0.00171220,0.02720655,0.00612240,0.14044266,0.16571484,0.10082821
-5.92796398,1.67503020,0.32314660,1.33118501,0.00173306,0.02766571,0.00648037,0.14692271,0.16474517,0.10206607
-5.92196098,1.71605586,0.32328972,1.36246161,0.00175326,0.02816458,0.00690648,0.15449030,0.16401991,0.10326800
-5.91595798,1.76293775,0.32550187,1.39826809,0.00177208,0.02870900,0.00740143,0.16313567,0.16350340,0.10444207
-5.90995498,1.81542947,0.32967435,1.43836499,0.00178895,0.02930668,0.00796520,0.17284149,0.16317042,0.10560515
-5.90395198,1.87328255,0.33568980,1.48250554,0.00180349,0.02996725,0.00859708,0.18358245,0.16300752,0.10678330
-5.89794897,1.93624351,0.34342530,1.53043288,0.00181552,0.03070229,0.00929555,0.19532477,0.16301388,0.10801167
-5.89194597,2.00404815,0.35275524,1.58187514,0.00182508,0.03152514,0.01005823,0.20802581,0.16320135,0.10933402
-5.88594297,2.07641337,0.36355392,1.63653872,0.00183241,0.03245073,0.01088184,0.22163359,0.16359388,0.11080176
-5.87993997,2.15302762,0.37569782,1.69410078,0.00183793,0.03349520,0.01176221,0.23608653,0.16422633,0.11247251
-5.87393697,2.23354074,0.38906781,1.75420154,0.00184224,0.03467544,0.01269419,0.25131333,0.16514265,0.11440840
-5.86793397,2.31755433,0.40355092,1.81643750,0.00184605,0.03600855,0.01367177,0.26723308,0.16639367,0.11667383
-5.86193097,2.40461357,0.41904215,1.88035623,0.00185020,0.03751113,0.01468807,0.28375565,0.16803447,0.11933316
-5.85592796,2.49420153,0.43544592,1.94545369,0.00185557,0.03919862,0.01573544,0.30078240,0.17012155,0.12244811
-5.84992496,2.58573669,0.45267748,2.01117468,0.00186308,0.04108447,0.01680556,0.31820724,0.17270989,0.12607515
-5.84392196,2.67857420,0.47066409,2.07691670,0.00187361,0.04317931,0.01788962,0.33591797,0.17585005,0.13026285
-5.83791896,2.77201134,0.48934610,2.14203757,0.00188799,0.04549019,0.01897846,0.35379804,0.17958543,0.13504946
-5.83191596,2.86529702,0.50867772,2.20586661,0.00190693,0.04801979,0.02006276,0.37172848,0.18394978,0.14046069
-5.82591296,2.95764526,0.52862769,2.26771920,0.00193104,0.05076570,0.02113329,0.38959009,0.18896515,0.14650783
-5.81990995,3.04825207,0.54917960,2.32691394,0.00196073,0.05371987,0.02218109,0.40726585,0.19464021,0.15318631
-5.81390695,3.13631504,0.57033203,2.38279183,0.00199626,0.05686812,0.02319771,0.42464331,0.20096913,0.16047485
-5.80790395,3.22105481,0.59209837,2.43473647,0.00203768,0.06018991,0.02417546,0.44161707,0.20793105,0.16833506
-5.80190095,3.30173734,0.61450634,2.48219428,0.00208483,0.06365825,0.02510756,0.45809118,0.21549007,0.17671175
-5.79589795,3.37769604,0.63759732,2.52469365,0.00213736,0.06723988,0.02598835,0.47398134,0.22359585,0.18553389
-5.78989495,3.44835256,0.66142535,2.56186219,0.00219470,0.07089565,0.02681344,0.48921699,0.23218476,0.19471609
-5.78389195,3.51323553,0.68605593,2.59344092,0.00225612,0.07458122,0.02757984,0.50374304,0.24118160,0.20416081
-5.77788894,3.57199607,0.71156459,2.61929490,0.00232071,0.07824794,0.02828600,0.51752130,0.25050169,0.21376102
-5.77188594,3.62441970,0.73803525,2.63941946,0.00238740,0.08184398,0.02893187,0.53053156,0.26005341,0.22340329
-5.76588294,3.67043375,0.76555829,2.65394195,0.00245504,0.08531565,0.02951890,0.54277226,0.26974103,0.23297129
-5.75987994,3.71011031,0.79422851,2.66311870,0.00252237,0.08860894,0.03004994,0.55426063,0.27946770,0.24234946
-5.75387694,3.74366426,0.82414262,2.66732726,0.00258808,0.09167107,0.03052916,0.56503249,0.28913852,0.25142669
-5.74787394,3.77144657,0.85539651,2.66705443,0.00265085,0.09445219,0.03096195,0.57514141,0.29866351,0.26009995
