energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.23663466,0.59804460,1.17727234,0.00081202,0.93782252,0.02749307,0.22675135,0.94194303,0.50579713
-5.99399700,3.30843915,0.59477292,1.21519916,0.00086508,0.95993845,0.02857966,0.22449325,0.96851781,0.51517782
-5.98799400,3.38360709,0.59256936,1.25498668,0.00091657,0.98265444,0.02967633,0.22293199,0.99596196,0.52491091
-5.98199100,3.46128474,0.59143256,1.29627319,0.00096583,1.00572235,0.03077198,0.22201076,1.02397718,0.53488198
-5.97598799,3.54040308,0.59131062,1.33863875,0.00101223,1.02882438,0.03185407,0.22165038,1.05219017,0.54493799
-5.96998499,3.61971914,0.59210743,1.38162162,0.00105517,1.05158395,0.03290898,0.22175301,1.08016488,0.55489280
-5.96398199,3.69786592,0.59369081,1.42473679,0.00109409,1.07357962,0.03392251,0.22220644,1.10741809,0.56453431
-5.95797899,3.77340850,0.59590192,1.46749540,0.00112850,1.09436134,0.03488037,0.22288891,1.13343752,0.57363295
-5.95197599,3.84490354,0.59856548,1.50942429,0.00115799,1.11346843,0.03576873,0.22367412,1.15770160,0.58195107
-5.94597299,3.91095927,0.60150019,1.55008468,0.00118221,1.13044826,0.03657476,0.22443624,1.17970008,0.58925278
-5.93996998,3.97029301,0.60452879,1.58908884,0.00120093,1.14487486,0.03728706,0.22505474,1.19895437,0.59531384
-5.93396698,4.02178358,0.60748728,1.62611413,0.00121400,1.15636661,0.03789619,0.22541884,1.21503681,0.59993103
-5.92796398,4.06451606,0.61023286,1.66091362,0.00122139,1.16460202,0.03839498,0.22543142,1.22758782,0.60293067
-5.92196098,4.09781695,0.61265024,1.69332282,0.00122316,1.16933313,0.03877880,0.22501219,1.23633024,0.60417588
-5.91595798,4.12127819,0.61465602,1.72326221,0.00121946,1.17039577,0.03904575,0.22410017,1.24108025,0.60357220
-5.90995498,4.13476929,0.61620110,1.75073564,0.00121055,1.16771624,0.03919669,0.22265526,1.24175427,0.60107148
-5.90395198,4.13843721,0.61727108,1.77582475,0.00119675,1.16131428,0.03923517,0.22065899,1.23837184,0.59667378
-5.89794897,4.13269448,0.61788468,1.79867993,0.00117846,1.15130220,0.03916727,0.21811442,1.23105408,0.59042724
-5.89194597,4.11819673,0.61809049,1.81950847,0.00115614,1.13788033,0.03900125,0.21504524,1.22001837,0.58242616
-5.88594297,4.09581094,0.61796232,1.83856082,0.00113028,1.12132901,0.03874728,0.21149410,1.20556911,0.57280715
