energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.46288960,1.08186817,0.55356875,0.56021427,0.70543806,0.00287528,0.62782555,0.00442601,1.76214568
-5.99399700,3.38466328,1.05531457,0.54138482,0.54617637,0.68878923,0.00267241,0.61146437,0.00468654,1.72513942
-5.98799400,3.30892881,1.02922877,0.53033170,0.53466531,0.67161772,0.00248082,0.59534012,0.00499942,1.68914311
-5.98199100,3.23697471,1.00403188,0.52062742,0.52597273,0.65413142,0.00230274,0.57966036,0.00536492,1.65485581
-5.97598799,3.17014445,0.98014808,0.51248402,0.52040464,0.63656762,0.00214011,0.56466033,0.00578247,1.62298901
-5.96998499,3.10981170,0.95799601,0.50610367,0.51827806,0.61918887,0.00199456,0.55059998,0.00625063,1.59425145
-5.96398199,3.05734806,0.93797867,0.50167394,0.51991541,0.60227680,0.00186738,0.53775892,0.00676704,1.56933113
-5.95797899,3.01408473,0.92047221,0.49936242,0.52563653,0.58612435,0.00175955,0.52642956,0.00732850,1.54887498
-5.95197599,2.98126947,0.90581408,0.49931087,0.53574865,0.57102677,0.00167171,0.51690859,0.00793092,1.53346717
-5.94597299,2.96002108,0.89429098,0.50162940,0.55053485,0.55727163,0.00160416,0.50948732,0.00856945,1.52360692
-5.93996998,2.95128356,0.88612735,0.50639068,0.57024139,0.54512865,0.00155690,0.50444133,0.00923848,1.51968712
-5.93396698,2.95578243,0.88147498,0.51362488,0.59506463,0.53483953,0.00152962,0.50201983,0.00993176,1.52197477
-5.92796398,2.97398563,0.88040429,0.52331543,0.62513815,0.52660851,0.00152168,0.50243533,0.01064251,1.53059451
-5.92196098,3.00607121,0.88289796,0.53539601,0.66052091,0.52059406,0.00153218,0.50585418,0.01136348,1.54551612
-5.91595798,3.05190395,0.88884732,0.54974909,0.70118709,0.51690217,0.00155991,0.51238838,0.01208715,1.56654706
-5.90995498,3.11102250,0.89805180,0.56620611,0.74701833,0.51558146,0.00160342,0.52208913,0.01280578,1.59333056
-5.90395198,3.18263820,0.91022182,0.58454951,0.79779900,0.51662055,0.00166101,0.53494256,0.01351160,1.62534980
-5.89794897,3.26564621,0.92498504,0.60451658,0.85321498,0.51994771,0.00173075,0.55086779,0.01419691,1.66193814
-5.89194597,3.35864918,0.94189592,0.62580515,0.91285636,0.52543286,0.00181053,0.56971757,0.01485423,1.70229543
-5.88594297,3.45999264,0.96044832,0.64808088,0.97622407,0.53289186,0.00189807,0.59128158,0.01547642,1.74550973
-5.87993997,3.56781140,0.98009069,0.67098597,1.04274070,0.54209300,0.00199099,0.61529228,0.01605676,1.79058385
-5.87393697,3.68008497,1.00024339,0.69414900,1.11176498,0.55276523,0.00208683,0.64143316,0.01658913,1.83646558
-5.86793397,3.79470020,1.02031728,0.71719548,1.18260972,0.56460809,0.00218309,0.66934913,0.01706807,1.88208056
-5.86193097,3.90951862,1.03973307,0.73975867,1.25456237,0.57730257,0.00227732,0.69865859,0.01748887,1.92636638
-5.85592796,4.02244572,1.05794040,0.76149039,1.32690760,0.59052281,0.00236716,0.72896685,0.01784770,1.96830655
-5.84992496,4.13149945,1.07443609,0.78207114,1.39895076,0.60394788,0.00245037,0.75988013,0.01814162,2.00696288
-5.84392196,4.23487504,1.08878057,0.80121932,1.47004127,0.61727331,0.00252491,0.79101982,0.01836873,2.04150504
-5.83791896,4.33100336,1.10061200,0.81869904,1.53959484,0.63022182,0.00258899,0.82203608,0.01852816,2.07123599
-5.83191596,4.41860061,1.10965734,0.83432625,1.60711344,0.64255291,0.00264111,0.85262052,0.01862020,2.09561226
-5.82591296,4.49670682,1.11574007,0.84797283,1.67220204,0.65407072,0.00268010,0.88251703,0.01864626,2.11425830
-5.81990995,4.56471203,1.11878415,0.85956866,1.73458121,0.66463013,0.00270512,0.91153053,0.01860897,2.12697438
-5.81390695,4.62236854,1.11881410,0.86910135,1.79409494,0.67414054,0.00271573,0.93953306,0.01851214,2.13373774
-5.80790395,4.66978922,1.11595132,0.87661387,1.85071326,0.68256753,0.00271183,0.96646699,0.01836081,2.13469715
-5.80190095,4.70743161,1.11040688,0.88220000,1.90452926,0.68993197,0.00269371,0.99234508,0.01816117,2.13016107
-5.79589795,4.73606883,1.10247100,0.88599796,1.95575087,0.69630701,0.00266200,1.01724745,0.01792055,2.12058023
-5.78989495,4.75674839,1.09249989,0.88818248,2.00468732,0.70181281,0.00261763,1.04131544,0.01764732,2.10652530
-5.78389195,4.77074095,1.08090048,0.88895558,2.05173123,0.70660939,0.00256182,1.06474275,0.01735078,2.08866080
-5.77788894,4.77948106,1.06811374,0.88853658,2.09733671,0.71088794,0.00249601,1.08776405,0.01704102,2.06771645
-5.77188594,4.78450251,1.05459731,0.88715176,2.14199471,0.71486085,0.00242181,1.11064168,0.01672876,2.04445705
-5.76588294,4.78737109,1.04080812,0.88502409,2.18620648,0.71875105,0.00234096,1.13365100,0.01642512,2.01965234
-5.75987994,4.78961736,1.02718576,0.88236351,2.23045636,0.72278097,0.00225525,1.15706487,0.01614139,1.99404796
-5.75387694,4.79267227,1.01413714,0.87935812,2.27518494,0.72716170,0.00216646,1.18113818,0.01588877,1.96833859
-5.74787394,4.79780812,1.00202307,0.87616670,2.32076377,0.73208274,0.00207633,1.20609274,0.01567808,1.94314425
-5.74187094,4.80608697,0.99114700,0.87291278,2.36747268,0.73770278,0.00198651,1.23210362,0.01551949,1.91899063
-5.73586793,4.81831836,0.98174652,0.86968046,2.41548040,0.74414180,0.00189849,1.25928702,0.01542215,1.89629382
-5.72986493,4.83502783,0.97398742,0.86651220,2.46482950,0.75147494,0.00181359,1.28769060,0.01539397,1.87534996
-5.72386193,4.85643686,0.96796070,0.86340838,2.51542594,0.75972819,0.00173294,1.31728634,0.01544126,1.85632988
-5.71785893,4.88245491,0.96368231,0.86032881,2.56703397,0.76887615,0.00165745,1.34796651,0.01556854,1.83927862
-5.71185593,4.91268329,0.96109544,0.85719588,2.61927616,0.77884184,0.00158777,1.37954262,0.01577824,1.82411962
-5.70585293,4.94643045,0.96007521,0.85389919,2.67163896,0.78949852,0.00152437,1.41174761,0.01607056,1.81066313
-5.69984992,4.98273771,0.96043539,0.85030142,2.72348347,0.80067351,0.00146745,1.44424111,0.01644336,1.79861838
-5.69384692,5.02041415,0.96193687,0.84624506,2.77406101,0.81215365,0.00141704,1.47661758,0.01689207,1.78760874
-5.68784392,5.05807932,0.96429742,0.84155980,2.82253322,0.82369221,0.00137294,1.50841699,0.01740970,1.77718934
-5.68184092,5.09421177,0.96720241,0.83607015,2.86799585,0.83501707,0.00133480,1.53913766,0.01798695,1.76686630
-5.67583792,5.12720186,0.97031612,0.82960305,2.90950570,0.84583962,0.00130212,1.56825085,0.01861239,1.75611703
-5.66983492,5.15540680,0.97329325,0.82199514,2.94610969,0.85586417,0.00127427,1.59521645,0.01927267,1.74441074
-5.66383192,5.17720614,0.97579036,0.81309953,2.97687528,0.86479753,0.00125054,1.61949928,0.01995286,1.73122866
-5.65782891,5.19105584,0.97747681,0.80279175,3.00092115,0.87235826,0.00123015,1.64058541,0.02063685,1.71608332
-5.65182591,5.19553934,0.97804510,0.79097485,3.01744720,0.87828550,0.00121231,1.65799795,0.02130776,1.69853639
-5.64582291,5.18941416,0.97722023,0.77758348,3.02576295,0.88234689,0.00119622,1.67131175,0.02194847,1.67821468
-5.63981991,5.17165261,0.97476806,0.76258687,3.02531316,0.88434548,0.00118111,1.68016653,0.02254206,1.65482392
-5.63381691,5.14147584,0.97050234,0.74599081,3.01570014,0.88412539,0.00116628,1.68427809,0.02307240,1.62815996
-5.62781391,5.09838016,0.96429048,0.72783850,2.99670163,0.88157613,0.00115110,1.68344722,0.02352457,1.59811737
-5.62181091,5.04215542,0.95605786,0.70821047,2.96828403,0.87663552,0.00113506,1.67756613,0.02388542,1.56469513
-5.61580790,4.97289503,0.94579073,0.68722350,2.93061016,0.86929115,0.00111778,1.66662229,0.02414387,1.52799951
-5.60980490,4.89099788,0.93353764,0.66502884,2.88404166,0.85958056,0.00109899,1.65069961,0.02429138,1.48824409
-5.60380190,4.79716227,0.91940952,0.64180959,2.82913571,0.84759005,0.00107862,1.62997711,0.02432212,1.44574699
-5.59779890,4.69237256,0.90357834,0.61777757,2.76663647,0.83345243,0.00105671,1.60472529,0.02423318,1.40092565
-5.59179590,4.57787914,0.88627451,0.59316969,2.69746135,0.81734376,0.00103349,1.57530028,0.02402464,1.35428906
-5.58579290,4.45517266,0.86778305,0.56824389,2.62268291,0.79947929,0.00100932,1.54213627,0.02369956,1.30642801
-5.57978989,4.32595339,0.84843869,0.54327485,2.54350667,0.78010874,0.00098473,1.50573648,0.02326380,1.25800341
-5.57378689,4.19209669,0.82861987,0.51854949,2.46124595,0.75951115,0.00096036,1.46666287,0.02272586,1.20973309
-5.56778389,4.05561558,0.80874187,0.49436232,2.37729420,0.73798936,0.00093696,1.42552524,0.02209653,1.16237733
-5.56178089,3.91862128,0.78924903,0.47101073,2.29309584,0.71586438,0.00091537,1.38296967,0.02138858,1.11672340
-5.55577789,3.78328252,0.77060627,0.44879027,2.21011620,0.69346956,0.00089647,1.33966683,0.02061630,1.07356953
-5.54977489,3.65178437,0.75328979,0.42798993,2.12981153,0.67114482,0.00088120,1.29630027,0.01979506,1.03370828
-5.54377189,3.52628706,0.73777730,0.40888743,2.05359936,0.64923092,0.00087046,1.25355485,0.01894088,0.99790990
-5.53776888,3.40888552,0.72453764,0.39174458,1.98283016,0.62806373,0.00086512,1.21210549,0.01806991,0.96690565
-5.53176588,3.30156978,0.71401995,0.37680271,1.91876049,0.60796868,0.00086599,1.17260626,0.01719807,0.94137139
-5.52576288,3.20618680,0.70664264,0.36427812,1.86252819,0.58925531,0.00087376,1.13567995,0.01634057,0.92191168
-5.51975988,3.12440410,0.70278217,0.35435779,1.81512993,0.57221185,0.00088897,1.10190809,0.01551160,0.90904455
-5.51375688,3.05767548,0.70276189,0.34719505,1.77740138,0.55710020,0.00091202,1.07182158,0.01472399,0.90318722
-5.50775388,3.00720940,0.70684129,0.34290566,1.75000048,0.54415095,0.00094311,1.04589196,0.01398896,0.90464302
-5.50175088,2.97394065,0.71520579,0.34156407,1.73339382,0.53355885,0.00098223,1.02452336,0.01331596,0.91358987
-5.49574787,2.95850582,0.72795751,0.34320009,1.72784670,0.52547873,0.00102914,1.00804549,0.01271250,0.93007050
-5.48974487,2.96122350,0.74510736,0.34779617,1.73341711,0.52002191,0.00108341,0.99670766,0.01218413,0.95398495
-5.48374187,2.98207995,0.76656886,0.35528520,1.74995386,0.51725346,0.00114434,0.99067411,0.01173437,0.98508564
-5.47773887,3.02072119,0.79215400,0.36554920,1.77709921,0.51719020,0.00121104,0.99002092,0.01136479,1.02297536
-5.47173587,3.07645221,0.82157158,0.37841891,1.81429636,0.51979987,0.00128242,0.99473473,0.01107508,1.06710860
-5.46573287,3.14824412,0.85442824,0.39367445,1.86080166,0.52500129,0.00135721,1.00471334,0.01086318,1.11679641
-5.45972986,3.23474972,0.89023251,0.41104720,1.91570182,0.53266591,0.00143398,1.01976860,0.01072540,1.17121514
-5.45372686,3.33432777,0.92840199,0.43022288,1.97793586,0.54262056,0.00151120,1.03963137,0.01065666,1.22941902
-5.44772386,3.44507596,0.96827355,0.45084608,2.04632139,0.55465153,0.00158727,1.06395883,0.01065064,1.29035670
-5.44172086,3.56487204,1.00911668,0.47252600,2.11958472,0.56850984,0.00166055,1.09234373,0.01070003,1.35289139
-5.43571786,3.69142242,1.05014942,0.49484350,2.19639402,0.58391766,0.00172942,1.12432569,0.01079675,1.41582440
-5.42971486,3.82231691,1.09055684,0.51735938,2.27539441,0.60057556,0.00179233,1.15940386,0.01093221,1.47792150
-5.42371186,3.95508809,1.12951113,0.53962356,2.35524385,0.61817052,0.00184783,1.19705073,0.01109751,1.53794139
