energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,3.33876833,2.10862284,0.63057417,0.00413204,0.52185941,0.82584300,0.52023991,0.00524561,1.51943374
-5.99399700,3.33976006,2.12298635,0.63103489,0.00416980,0.52952162,0.82473640,0.51797724,0.00520797,1.51413981
-5.98799400,3.33222383,2.12889174,0.63007703,0.00421039,0.53602089,0.82129626,0.51516959,0.00517044,1.50462373
-5.98199100,3.31684720,2.12652035,0.62787764,0.00425215,0.54145189,0.81570163,0.51196201,0.00513472,1.49118365
-5.97598799,3.29462696,2.11627260,0.62466764,0.00429399,0.54595389,0.80821121,0.50854722,0.00510279,1.47426425
-5.96998499,3.26684630,2.09875665,0.62072641,0.00433535,0.54970764,0.79915816,0.50516144,0.00507696,1.45444666
-5.96398199,3.23504077,2.07476972,0.61637442,0.00437619,0.55293074,0.78894184,0.50207819,0.00505982,1.43243304
-5.95797899,3.20095455,2.04527302,0.61196421,0.00441688,0.55587184,0.77801703,0.49960056,0.00505420,1.40902630
-5.95197599,3.16648859,2.01136119,0.60787018,0.00445820,0.55880371,0.76688076,0.49805203,0.00506315,1.38510589
-5.94597299,3.13364283,1.97422766,0.60447751,0.00450117,0.56201559,0.75605749,0.49776635,0.00508986,1.36160053
-5.93996998,3.10445476,1.93512724,0.60217061,0.00454702,0.56580501,0.74608311,0.49907674,0.00513762,1.33945905
-5.93396698,3.08093655,1.89533758,0.60132161,0.00459705,0.57046936,0.73748842,0.50230498,0.00520974,1.31962059
-5.92796398,3.06501319,1.85612088,0.60227912,0.00465259,0.57629743,0.73078265,0.50775061,0.00530952,1.30298508
-5.92196098,3.05846370,1.81868724,0.60535780,0.00471485,0.58356118,0.72643773,0.51568081,0.00544014,1.29038538
-5.91595798,3.06286726,1.78416111,0.61082878,0.00478490,0.59250790,0.72487380,0.52632113,0.00560465,1.28256184
-5.90995498,3.07955601,1.75355158,0.61891146,0.00486356,0.60335290,0.72644640,0.53984756,0.00580592,1.28014025
-5.90395198,3.10957551,1.72772770,0.62976655,0.00495139,0.61627284,0.73143577,0.55637992,0.00604657,1.28361371
-5.89794897,3.15365390,1.70739905,0.64349073,0.00504860,0.63139996,0.74003855,0.57597697,0.00632896,1.29332898
-5.89194597,3.21218019,1.69310217,0.66011277,0.00515511,0.64881700,0.75236195,0.59863316,0.00665515,1.30947740
-5.88594297,3.28519172,1.68519266,0.67959135,0.00527045,0.66855319,0.76842059,0.62427711,0.00702686,1.33209059
-5.87993997,3.37237089,1.68384297,0.70181436,0.00539384,0.69058121,0.78813581,0.65277174,0.00744545,1.36104058
-5.87393697,3.47305053,1.68904531,0.72659986,0.00552419,0.71481528,0.81133745,0.68391602,0.00791190,1.39604427
-5.86793397,3.58622747,1.70061935,0.75369852,0.00566010,0.74111042,0.83776790,0.71744809,0.00842675,1.43667171
-5.86193097,3.71058370,1.71822394,0.78279753,0.00579996,0.76926301,0.86708808,0.75304973,0.00899007,1.48235767
-5.85592796,3.84451420,1.74137222,0.81352604,0.00594191,0.79901279,0.89888523,0.79035183,0.00960142,1.53241608
-5.84992496,3.98616071,1.76944935,0.84546186,0.00608397,0.83004627,0.93268211,0.82894086,0.01025980,1.58605665
-5.84392196,4.13345069,1.80173223,0.87813955,0.00622401,0.86200172,0.96794738,0.86836606,0.01096356,1.64240325
-5.83791896,4.28414054,1.83741050,0.91105970,0.00635984,0.89447562,1.00410688,0.90814715,0.01171037,1.70051343
