energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.00364305,0.00469379,0.06217110,0.43621037,0.25835087,0.00211311,0.55432689,0.16407019,0.06328459
-5.99399700,1.01373151,0.00454368,0.06267239,0.44252790,0.26154274,0.00209955,0.56036917,0.16596409,0.06397473
-5.98799400,1.02014489,0.00439283,0.06284580,0.44701741,0.26387610,0.00208616,0.56456648,0.16742139,0.06450003
-5.98199100,1.02318762,0.00424106,0.06270013,0.44984691,0.26543793,0.00207200,0.56711170,0.16850201,0.06488444
-5.97598799,1.02335979,0.00408870,0.06225518,0.45126525,0.26637085,0.00205671,0.56830703,0.16930187,0.06516391
-5.96998499,1.02134786,0.00393659,0.06154116,0.45159748,0.26687057,0.00204047,0.56855894,0.16995128,0.06538576
-5.96398199,1.01800907,0.00378618,0.06059769,0.45123732,0.26718154,0.00202390,0.56836946,0.17061233,0.06560756
-5.95797899,1.01434988,0.00363948,0.05947248,0.45063712,0.26759107,0.00200804,0.56832410,0.17147512,0.06589573
-5.95197599,1.01149918,0.00349910,0.05821974,0.45029537,0.26842207,0.00199422,0.56907686,0.17275322,0.06632366
-5.94597299,1.01067724,0.00336822,0.05689845,0.45074246,0.27002451,0.00198404,0.57133263,0.17467814,0.06696964
-5.93996998,1.01316117,0.00325054,0.05557037,0.45252492,0.27276599,0.00197921,0.57582767,0.17749328,0.06791451
-5.93396698,1.02024835,0.00315024,0.05429814,0.45618882,0.27702156,0.00198153,0.58330874,0.18144731,0.06923918
-5.92796398,1.03321858,0.00307192,0.05314324,0.46226290,0.28316318,0.00199275,0.59451146,0.18678723,0.07102210
-5.92196098,1.05329642,0.00302056,0.05216416,0.47124187,0.29154898,0.00201453,0.61013866,0.19375133,0.07333675
-5.91595798,1.08161469,0.00300140,0.05141463,0.48357057,0.30251268,0.00204835,0.63083923,0.20256205,0.07624923
-5.90995498,1.11918003,0.00301997,0.05094213,0.49962934,0.31635339,0.00209546,0.65718811,0.21341919,0.07981604
-5.90395198,1.16684166,0.00308194,0.05078657,0.51972119,0.33332605,0.00215685,0.68966798,0.22649332,0.08408213
-5.89794897,1.22526390,0.00319313,0.05097928,0.54406108,0.35363268,0.00223316,0.72865298,0.24191975,0.08907928
-5.89194597,1.29490321,0.00335940,0.05154233,0.57276752,0.37741467,0.00232473,0.77439502,0.25979309,0.09482477
