energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.40279580,0.49995507,0.34071498,0.00339897,0.27786544,1.44645632,0.54284992,0.00646751,0.96356820
-5.99399700,2.42790639,0.51108600,0.34412483,0.00350924,0.27697251,1.44419956,0.54788571,0.00678537,0.98155676
-5.98799400,2.45373187,0.52267248,0.34739625,0.00362173,0.27640249,1.44091712,0.55370493,0.00715332,0.99976239
-5.98199100,2.48079635,0.53477080,0.35063186,0.00373656,0.27621686,1.43694343,0.56044195,0.00757347,1.01836409
-5.97598799,2.50949874,0.54740487,0.35392401,0.00385393,0.27645514,1.43256694,0.56818642,0.00804733,1.03749440
-5.96998499,2.54008565,0.56056113,0.35735005,0.00397405,0.27713314,1.42801832,0.57697690,0.00857546,1.05722712
-5.96398199,2.57263013,0.57418481,0.36096824,0.00409723,0.27824205,1.42346089,0.58679613,0.00915741,1.07756714
-5.95797899,2.60701733,0.58817778,0.36481459,0.00422387,0.27974845,1.41898355,0.59756837,0.00979148,1.09844303
-5.95197599,2.64293820,0.60239823,0.36890081,0.00435450,0.28159518,1.41459674,0.60915900,0.01047462,1.11970293
-5.94597299,2.67989161,0.61666228,0.37321348,0.00448984,0.28370319,1.41023162,0.62137632,0.01120237,1.14111418
-5.93996998,2.71719532,0.63074753,0.37771452,0.00463084,0.28597404,1.40574280,0.63397576,0.01196882,1.16236673
-5.93396698,2.75400551,0.64439855,0.38234288,0.00477868,0.28829329,1.40091442,0.64666635,0.01276664,1.18308056
-5.92796398,2.78934426,0.65733412,0.38701756,0.00493488,0.29053443,1.39546969,0.65911918,0.01358716,1.20281678
-5.92196098,2.82213398,0.66925594,0.39164152,0.00510124,0.29256326,1.38908338,0.67097769,0.01442047,1.22109205
-5.91595798,2.85123730,0.67985849,0.39610650,0.00527991,0.29424265,1.38139684,0.68186934,0.01525564,1.23739578
-5.90995498,2.87550079,0.68883975,0.40029841,0.00547330,0.29543741,1.37203497,0.69141825,0.01608094,1.25120929
-5.90395198,2.89380040,0.69591199,0.40410295,0.00568411,0.29601912,1.36062435,0.69925828,0.01688407,1.26202614
-5.89794897,2.90508670,0.70081256,0.40741112,0.00591518,0.29587070,1.34681157,0.70504605,0.01765250,1.26937257
-5.89194597,2.90842765,0.70331389,0.41012448,0.00616943,0.29489060,1.33028120,0.70847333,0.01837376,1.27282719
-5.88594297,2.90304705,0.70323224,0.41215959,0.00644972,0.29299644,1.31077212,0.70927827,0.01903576,1.27203884
-5.87993997,2.88835681,0.70043508,0.41345165,0.00675870,0.29012787,1.28809185,0.70725507,0.01962716,1.26674193
-5.87393697,2.86398158,0.69484637,0.41395701,0.00709859,0.28624869,1.26212781,0.70226161,0.02013761,1.25676827
-5.86793397,2.82977480,0.68644980,0.41365444,0.00747104,0.28134803,1.23285531,0.69422479,0.02055810,1.24205514
-5.86193097,2.78582546,0.67528977,0.41254518,0.00787695,0.27544068,1.20034166,0.68314335,0.02088119,1.22264903
-5.85592796,2.73245554,0.66147008,0.41065181,0.00831623,0.26856648,1.16474648,0.66908811,0.02110118,1.19870507
-5.84992496,2.67020854,0.64515047,0.40801601,0.00878768,0.26078888,1.12631814,0.65219973,0.02121430,1.17048212
-5.84392196,2.59982994,0.62654122,0.40469549,0.00928889,0.25219278,1.08538670,0.63268404,0.02121880,1.13833411
-5.83791896,2.52224076,0.60589616,0.40076025,0.00981608,0.24288176,1.04235373,0.61080531,0.02111497,1.10269785
-5.83191596,2.43850596,0.58350438,0.39628853,0.01036413,0.23297480,0.99767976,0.58687780,0.02090513,1.06407828
-5.82591296,2.34979921,0.55968116,0.39136269,0.01092656,0.22260279,0.95186986,0.56125598,0.02059352,1.02303177
-5.81990995,2.25736603,0.53475855,0.38606533,0.01149567,0.21190483,0.90545838,0.53432389,0.02018621,0.98014845
-5.81390695,2.16248712,0.50907600,0.38047597,0.01206262,0.20102464,0.85899339,0.50648422,0.01969087,0.93603435
-5.80790395,2.06644346,0.48297147,0.37466836,0.01261773,0.19010717,0.81302175,0.47814736,0.01911660,0.89129429
-5.80190095,1.97048481,0.45677349,0.36870877,0.01315069,0.17929555,0.76807542,0.44972116,0.01847363,0.84651612
-5.79589795,1.87580264,0.43079424,0.36265516,0.01365090,0.16872845,0.72465947,0.42160145,0.01777309,0.80225702
-5.78989495,1.78350837,0.40532403,0.35655740,0.01410786,0.15853810,0.68324236,0.39416386,0.01702669,0.75903220
-5.78389195,1.69461738,0.38062723,0.35045828,0.01451152,0.14884873,0.64424857,0.36775705,0.01624647,0.71730636
-5.77788894,1.61003881,0.35693968,0.34439546,0.01485265,0.13977570,0.60805380,0.34269748,0.01544451,0.67748799
-5.77188594,1.53057082,0.33446755,0.33840384,0.01512323,0.13142514,0.57498266,0.31926575,0.01463264,0.63992632
-5.76588294,1.45690088,0.31338737,0.33251838,0.01531678,0.12389412,0.54530855,0.29770452,0.01382222,0.60491087
-5.75987994,1.38961014,0.29384735,0.32677701,0.01542863,0.11727120,0.51925556,0.27821778,0.01302393,0.57267315
-5.75387694,1.32918093,0.27596936,0.32122338,0.01545615,0.11163735,0.49700194,0.26097141,0.01224754,0.54339003
-5.74787394,1.27600636,0.25985170,0.31590924,0.01539889,0.10706696,0.47868472,0.24609473,0.01150178,0.51718853
-5.74187094,1.23040097,0.24557206,0.31089620,0.01525860,0.10362906,0.46440497,0.23368277,0.01079423,0.49415126
-5.73586793,1.19261137,0.23319070,0.30625680,0.01503926,0.10138837,0.45423334,0.22379913,0.01013121,0.47432222
-5.72986493,1.16282605,0.22275342,0.30207466,0.01474689,0.10040622,0.44821537,0.21647902,0.00951771,0.45771257
-5.72386193,1.14118365,0.21429421,0.29844376,0.01438938,0.10074113,0.44637623,0.21173229,0.00895745,0.44430585
-5.71785893,1.12777903,0.20783746,0.29546689,0.01397620,0.10244908,0.44872460,0.20954642,0.00845281,0.43406262
-5.71185593,1.12266709,0.20339947,0.29325314,0.01351804,0.10558320,0.45525544,0.20988900,0.00800497,0.42692415
-5.70585293,1.12586390,0.20098937,0.29191487,0.01302645,0.11019305,0.46595143,0.21270984,0.00761389,0.42281521
-5.69984992,1.13734540,0.20060935,0.29156398,0.01251342,0.11632324,0.48078310,0.21794252,0.00727852,0.42164594
-5.69384692,1.15704395,0.20225419,0.29230795,0.01199091,0.12401160,0.49970753,0.22550543,0.00699685,0.42331287
-5.68784392,1.18484288,0.20591017,0.29424563,0.01147050,0.13328678,0.52266575,0.23530215,0.00676606,0.42769923
-5.68184092,1.22056977,0.21155351,0.29746311,0.01096297,0.14416542,0.54957898,0.24722156,0.00658270,0.43467472
-5.67583792,1.26398892,0.21914836,0.30202979,0.01047798,0.15664906,0.58034382,0.26113741,0.00644284,0.44409502
-5.66983492,1.31479370,0.22864454,0.30799497,0.01002374,0.17072073,0.61482677,0.27690774,0.00634221,0.45580114
-5.66383192,1.37259939,0.23997522,0.31538486,0.00960687,0.18634162,0.65285827,0.29437433,0.00627636,0.46961897
-5.65782891,1.43693733,0.25305461,0.32420047,0.00923222,0.20344790,0.69422674,0.31336211,0.00624082,0.48535908
-5.65182591,1.50725091,0.26777591,0.33441620,0.00890280,0.22194784,0.73867293,0.33367903,0.00623123,0.50281713
-5.64582291,1.58289421,0.28400973,0.34597941,0.00861985,0.24171967,0.78588511,0.35511640,0.00624346,0.52177488
-5.63981991,1.66313367,0.30160305,0.35881092,0.00838287,0.26261013,0.83549550,0.37744989,0.00627372,0.54200204
-5.63381691,1.74715351,0.32037899,0.37280655,0.00818985,0.28443408,0.88707837,0.40044145,0.00631866,0.56325899
-5.62781391,1.83406509,0.34013741,0.38783959,0.00803743,0.30697537,0.94015028,0.42384210,0.00637541,0.58530038
-5.62181091,1.92292060,0.36065663,0.40376422,0.00792118,0.32998894,0.99417284,0.44739589,0.00644167,0.60787976
-5.61580790,2.01273096,0.38169612,0.42041990,0.00783593,0.35320441,1.04855817,0.47084477,0.00651572,0.63075493
-5.60980490,2.10248787,0.40300041,0.43763646,0.00777600,0.37633110,1.10267737,0.49393463,0.00659645,0.65369418
-5.60380190,2.19118959,0.42430401,0.45523993,0.00773560,0.39906435,1.15587185,0.51642207,0.00668334,0.67648302
-5.59779890,2.27786976,0.44533736,0.47305878,0.00770908,0.42109316,1.20746756,0.53808202,0.00677649,0.69893138
-5.59179590,2.36162840,0.46583368,0.49093049,0.00769121,0.44210884,1.25679170,0.55871570,0.00687652,0.72088092
-5.58579290,2.44166394,0.48553636,0.50870818,0.00767744,0.46181434,1.30319142,0.57815877,0.00698460,0.74221204
-5.57978989,2.51730494,0.50420690,0.52626697,0.00766409,0.47993403,1.34605394,0.59628916,0.00710231,0.76285051
-5.57378689,2.58804002,0.52163274,0.54350984,0.00764849,0.49622347,1.38482714,0.61303433,0.00723162,0.78277308
-5.56778389,2.65354438,0.53763493,0.56037268,0.00762908,0.51047868,1.41903995,0.62837737,0.00737477,0.80201174
-5.56178089,2.71370147,0.55207509,0.57682822,0.00760544,0.52254466,1.44832118,0.64236166,0.00753416,0.82065638
-5.55577789,2.76861816,0.56486138,0.59288859,0.00757825,0.53232252,1.47241625,0.65509367,0.00771227,0.83885539
-5.54977489,2.81863217,0.57595304,0.60860620,0.00754926,0.53977505,1.49120043,0.66674355,0.00791144,0.85681384
-5.54377189,2.86431080,0.58536329,0.62407294,0.00752112,0.54493026,1.50468804,0.67754329,0.00813382,0.87478931
-5.53776888,2.90644017,0.59316027,0.63941730,0.00749725,0.54788283,1.51303680,0.68778235,0.00838117,0.89308490
-5.53176588,2.94600483,0.59946590,0.65479977,0.00748160,0.54879315,1.51654684,0.69780071,0.00865475,0.91203971
-5.52576288,2.98415793,0.60445250,0.67040621,0.00747849,0.54788411,1.51565417,0.70797942,0.00895514,0.93201688
-5.51975988,3.02218273,0.60833736,0.68643971,0.00749235,0.54543563,1.51091866,0.71872889,0.00928212,0.95338937
-5.51375688,3.06144658,0.61137529,0.70311099,0.00752748,0.54177714,1.50300684,0.73047537,0.00963461,0.97652408
-5.50775388,3.10334917,0.61384938,0.72062789,0.00758782,0.53727831,1.49267015,0.74364592,0.01001051,1.00176478
-5.50175088,3.14926699,0.61606046,0.73918421,0.00767678,0.53233838,1.48071948,0.75865260,0.01040672,1.02941447
-5.49574787,3.20049647,0.61831558,0.75894865,0.00779703,0.52737460,1.46799706,0.77587636,0.01081910,1.05971812
-5.48974487,3.25819815,0.62091599,0.78005423,0.00795033,0.52281007,1.45534697,0.79565145,0.01124249,1.09284638
-5.48374187,3.32334459,0.62414535,0.80258878,0.00813745,0.51906165,1.44358551,0.81825084,0.01167084,1.12888123
-5.47773887,3.39667445,0.62825839,0.82658706,0.00835805,0.51652826,1.43347283,0.84387354,0.01209729,1.16780429
-5.47173587,3.47865492,0.63347093,0.85202491,0.00861067,0.51558007,1.42568707,0.87263417,0.01251435,1.20948854
-5.46573287,3.56945454,0.63995146,0.87881594,0.00889273,0.51654887,1.42080220,0.90455542,0.01291415,1.25369398
-5.45972986,3.66892778,0.64781481,0.90681080,0.00920054,0.51972004,1.41927049,0.93956383,0.01328861,1.30006782
-5.45372686,3.77661224,0.65711821,0.93579943,0.00952942,0.52532618,1.42141040,0.97748894,0.01362979,1.34814920
-5.44772386,3.89173901,0.66785999,0.96551612,0.00987379,0.53354267,1.42740039,1.01806618,0.01393010,1.39737882
-5.44172086,4.01325562,0.67998092,0.99564725,0.01022729,0.54448507,1.43727882,1.06094320,0.01418262,1.44711292
-5.43571786,4.13986091,0.69336817,1.02584145,0.01058298,0.55820843,1.45094974,1.10568960,0.01438133,1.49664160
-5.42971486,4.27005020,0.70786173,1.05572184,0.01093351,0.57470827,1.46819426,1.15180952,0.01452138,1.54521051
