energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.67495125,0.00739297,0.20525735,0.81163180,0.56688616,0.00797954,0.67472850,0.25864065,0.09505444
-5.99399700,1.73776562,0.00813256,0.20714923,0.83717817,0.58297323,0.00815751,0.71135437,0.27510008,0.10064857
-5.98799400,1.79895333,0.00892715,0.20798640,0.86128180,0.59755797,0.00829870,0.74913517,0.29274863,0.10654977
-5.98199100,1.85867355,0.00977830,0.20779859,0.88414985,0.61065553,0.00839946,0.78813318,0.31163313,0.11277769
-5.97598799,1.91721411,0.01068698,0.20664501,0.90605686,0.62233978,0.00845739,0.82843604,0.33180237,0.11935228
-5.96998499,1.97496727,0.01165344,0.20461190,0.92732843,0.63273720,0.00847132,0.87014564,0.35330183,0.12629150
-5.96398199,2.03239941,0.01267700,0.20180901,0.94832233,0.64201828,0.00844136,0.91336504,0.37616782,0.13360886
-5.95797899,2.09001623,0.01375597,0.19836537,0.96940763,0.65038686,0.00836882,0.95818397,0.40042119,0.14131083
-5.95197599,2.14832491,0.01488749,0.19442429,0.99094293,0.65806800,0.00825612,1.00466390,0.42606109,0.14939440
-5.94597299,2.20779551,0.01606751,0.19013806,1.01325476,0.66529482,0.00810673,1.05282323,0.45305898,0.15784477
-5.93996998,2.26882345,0.01729070,0.18566231,1.03661728,0.67229514,0.00792494,1.10262374,0.48135337,0.16663355
-5.93396698,2.33169525,0.01855051,0.18115051,1.06123427,0.67927849,0.00771574,1.15395901,0.51084570,0.17571731
-5.92796398,2.39655936,0.01983921,0.17674872,1.08722432,0.68642418,0.00748463,1.20664565,0.54139744,0.18503691
-5.92196098,2.46340367,0.02114799,0.17259079,1.11461018,0.69387107,0.00723740,1.26041790,0.57282884,0.19451741
-5.91595798,2.53204099,0.02246718,0.16879421,1.14331249,0.70170951,0.00697993,1.31492609,0.60491939,0.20406886
-5.90995498,2.60210318,0.02378637,0.16545673,1.17314849,0.70997582,0.00671805,1.36973916,0.63741005,0.21358774
-5.90395198,2.67304428,0.02509470,0.16265393,1.20383557,0.71864960,0.00645728,1.42435119,0.67000718,0.22295915
-5.89794897,2.74415232,0.02638108,0.16043764,1.23499947,0.72765388,0.00620275,1.47819182,0.70238800,0.23205973
-5.89194597,2.81456916,0.02763442,0.15883530,1.26618654,0.73685814,0.00595901,1.53063984,0.73420738,0.24076091
-5.88594297,2.88331718,0.02884391,0.15785023,1.29687960,0.74608379,0.00572997,1.58103965,0.76510565,0.24893276
-5.87993997,2.94933129,0.02999918,0.15746276,1.32651633,0.75511200,0.00551876,1.62871937,0.79471694,0.25644783
-5.87393697,3.01149472,0.03109052,0.15763196,1.35450928,0.76369322,0.00532777,1.67301019,0.82267792,0.26318511
-5.86793397,3.06867661,0.03210899,0.15829813,1.38026669,0.77155803,0.00515853,1.71326559,0.84863626,0.26903386
-5.86193097,3.11976977,0.03304650,0.15938562,1.40321292,0.77842864,0.00501180,1.74888002,0.87225872,0.27389700
-5.85592796,3.16372688,0.03389588,0.16080607,1.42280779,0.78403062,0.00488757,1.77930586,0.89323840,0.27769410
-5.84992496,3.19959381,0.03465083,0.16246185,1.43856411,0.78810420,0.00478513,1.80406844,0.91130111,0.28036376
-5.84392196,3.22653877,0.03530590,0.16424960,1.45006263,0.79041485,0.00470312,1.82277829,0.92621047,0.28186529
-5.83791896,3.24387678,0.03585645,0.16606367,1.45696432,0.79076259,0.00463966,1.83514061,0.93777196,0.28217973
-5.83191596,3.25108881,0.03629852,0.16779960,1.45901953,0.78898996,0.00459240,1.84096188,0.94583577,0.28131013
-5.82591296,3.24783557,0.03662880,0.16935730,1.45607421,0.78498825,0.00455869,1.84015343,0.95029857,0.27928113
-5.81990995,3.23396624,0.03684457,0.17064405,1.44807317,0.77870208,0.00453564,1.83273264,0.95110442,0.27613803
-5.81390695,3.20952242,0.03694364,0.17157722,1.43506085,0.77013224,0.00452026,1.81882171,0.94824493,0.27194524
-5.80790395,3.17473794,0.03692441,0.17208665,1.41717971,0.75933695,0.00450956,1.79864460,0.94175883,0.26678444
-5.80190095,3.13003518,0.03678587,0.17211674,1.39466693,0.74643156,0.00450065,1.77252257,0.93173115,0.26075238
-5.79589795,3.07601847,0.03652771,0.17162813,1.36784949,0.73158696,0.00449084,1.74086854,0.91829223,0.25395856
