energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.68262590,0.00927244,0.07352641,0.30364870,0.29825496,0.00341782,0.23260588,0.12299739,0.03504579
-5.99399700,0.65813303,0.00921165,0.06962976,0.28434067,0.29129019,0.00317282,0.22185844,0.11556895,0.03438145
-5.98799400,0.63410838,0.00912273,0.06597813,0.26625511,0.28400292,0.00294572,0.21159070,0.10860958,0.03367916
-5.98199100,0.61022370,0.00900081,0.06252347,0.24927089,0.27625333,0.00273477,0.20169659,0.10206674,0.03292471
-5.97598799,0.58623593,0.00884276,0.05922589,0.23328303,0.26794519,0.00253837,0.19209378,0.09589599,0.03210998
-5.96998499,0.56199175,0.00864720,0.05605422,0.21820596,0.25902707,0.00235513,0.18272580,0.09006241,0.03123322
-5.96398199,0.53742903,0.00841453,0.05298627,0.20397576,0.24949221,0.00218385,0.17356322,0.08454166,0.03029914
-5.95797899,0.51257529,0.00814678,0.05000876,0.19055161,0.23937684,0.00202359,0.16460386,0.07932060,0.02931887
-5.95197599,0.48754343,0.00784755,0.04711702,0.17791620,0.22875730,0.00187365,0.15587216,0.07439748,0.02830968
-5.94597299,0.46252511,0.00752179,0.04431436,0.16607551,0.21774614,0.00173358,0.14741779,0.06978182,0.02729463
-5.93996998,0.43778227,0.00717562,0.04161131,0.15505767,0.20648727,0.00160316,0.13931354,0.06549392,0.02630204
-5.93396698,0.41363706,0.00681613,0.03902466,0.14491122,0.19515060,0.00148238,0.13165275,0.06156410,0.02536492
-5.92796398,0.39046085,0.00645112,0.03657642,0.13570289,0.18392628,0.00137144,0.12454626,0.05803168,0.02452027
-5.92196098,0.36866271,0.00608885,0.03429267,0.12751483,0.17301881,0.00127071,0.11811912,0.05494383,0.02380834
-5.91595798,0.34867765,0.00573789,0.03220243,0.12044162,0.16264135,0.00118068,0.11250716,0.05235422,0.02327193
-5.90995498,0.33095525,0.00540683,0.03033654,0.11458700,0.15301019,0.00110198,0.10785342,0.05032164,0.02295552
-5.90395198,0.31594874,0.00510411,0.02872660,0.11006052,0.14433976,0.00103526,0.10430465,0.04890855,0.02290456
-5.89794897,0.30410482,0.00483787,0.02740394,0.10697416,0.13683817,0.00098128,0.10200791,0.04817958,0.02316464
-5.89194597,0.29585442,0.00461578,0.02639875,0.10543897,0.13070338,0.00094074,0.10110723,0.04820002,0.02378074
-5.88594297,0.29160444,0.00444493,0.02573924,0.10556185,0.12611998,0.00091438,0.10174051,0.04903444,0.02479640
-5.87993997,0.29173039,0.00433171,0.02545100,0.10744241,0.12325667,0.00090285,0.10403652,0.05074515,0.02625302
-5.87393697,0.29657015,0.00428172,0.02555642,0.11117010,0.12226436,0.00090675,0.10811211,0.05339087,0.02818903
-5.86793397,0.30641852,0.00429975,0.02607418,0.11682151,0.12327475,0.00092656,0.11406960,0.05702533,0.03063919
-5.86193097,0.32152273,0.00438966,0.02701895,0.12445795,0.12639953,0.00096266,0.12199439,0.06169601,0.03363386
-5.85592796,0.34207872,0.00455438,0.02840109,0.13412337,0.13172997,0.00101529,0.13195270,0.06744287,0.03719827
-5.84992496,0.36822832,0.00479582,0.03022651,0.14584257,0.13933689,0.00108453,0.14398965,0.07429724,0.04135192
-5.84392196,0.40005718,0.00511491,0.03249661,0.15961993,0.14927105,0.00117031,0.15812757,0.08228078,0.04610794
-5.83791896,0.43759361,0.00551147,0.03520825,0.17543845,0.16156378,0.00127239,0.17436458,0.09140462,0.05147261
-5.83191596,0.48080840,0.00598426,0.03835393,0.19325949,0.17622802,0.00139035,0.19267371,0.10166862,0.05744497
-5.82591296,0.52961557,0.00653090,0.04192192,0.21302295,0.19325959,0.00152361,0.21300231,0.11306098,0.06401657
-5.81990995,0.58387430,0.00714789,0.04589660,0.23464815,0.21263881,0.00167144,0.23527212,0.12555789,0.07117135
-5.81390695,0.64339210,0.00783058,0.05025882,0.25803535,0.23433238,0.00183294,0.25937984,0.13912366,0.07888568
-5.80790395,0.70792906,0.00857318,0.05498632,0.28306786,0.25829558,0.00200712,0.28519835,0.15371104,0.08712870
-5.80190095,0.77720346,0.00936878,0.06005433,0.30961489,0.28447471,0.00219286,0.31257860,0.16926189,0.09586266
-5.79589795,0.85089842,0.01020943,0.06543610,0.33753482,0.31280970,0.00238897,0.34135209,0.18570811,0.10504365
-5.78989495,0.92866947,0.01108618,0.07110359,0.36667906,0.34323682,0.00259425,0.37133401,0.20297293,0.11462229
-5.78389195,1.01015296,0.01198922,0.07702814,0.39689615,0.37569137,0.00280746,0.40232686,0.22097238,0.12454474
-5.77788894,1.09497464,0.01290800,0.08318111,0.42803606,0.41011016,0.00302742,0.43412444,0.23961699,0.13475371
-5.77188594,1.18275831,0.01383141,0.08953459,0.45995436,0.44643369,0.00325301,0.46651623,0.25881358,0.14518954
-5.76588294,1.27313392,0.01474796,0.09606194,0.49251620,0.48460766,0.00348320,0.49929168,0.27846712,0.15579133
-5.75987994,1.36574451,0.01564605,0.10273829,0.52559966,0.52458378,0.00371709,0.53224456,0.29848249,0.16649795
-5.75387694,1.46025175,0.01651415,0.10954091,0.55909841,0.56631960,0.00395391,0.56517680,0.31876609,0.17724905
-5.74787394,1.55633926,0.01734113,0.11644941,0.59292328,0.60977715,0.00419305,0.59790201,0.33922717,0.18798583
-5.74187094,1.65371363,0.01811644,0.12344572,0.62700274,0.65492039,0.00443403,0.63024807,0.35977884,0.19865165
-5.73586793,1.75210260,0.01883045,0.13051390,0.66128193,0.70171128,0.00467650,0.66205894,0.38033864,0.20919247
-5.72986493,1.85125033,0.01947462,0.13763971,0.69572033,0.75010450,0.00492022,0.69319546,0.40082853,0.21955697
-5.72386193,1.95090985,0.02004176,0.14480997,0.73028797,0.80004107,0.00516499,0.72353501,0.42117454,0.22969649
-5.71785893,2.05083281,0.02052618,0.15201168,0.76496024,0.85144086,0.00541066,0.75297005,0.44130571,0.23956473
-5.71185593,2.15075697,0.02092385,0.15923098,0.79971156,0.90419442,0.00565699,0.78140572,0.46115270,0.24911724
-5.70585293,2.25039214,0.02123242,0.16645199,0.83450803,0.95815455,0.00590369,0.80875641,0.48064592,0.25831082
-5.69984992,2.34940526,0.02145134,0.17365558,0.86929963,1.01312797,0.00615027,0.83494167,0.49971335,0.26710278
-5.69384692,2.44740569,0.02158175,0.18081807,0.90401207,1.06886774,0.00639604,0.85988168,0.51827831,0.27545023
-5.68784392,2.54393171,0.02162641,0.18791003,0.93853915,1.12506694,0.00664005,0.88349256,0.53625712,0.28330941
