energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.61172415,0.00129905,0.09595982,0.20169082,0.29976413,0.00161372,0.18610118,0.07697346,0.03064598
-5.99399700,0.59322538,0.00130708,0.08995176,0.19840796,0.28731249,0.00153354,0.18332574,0.07720527,0.03150410
-5.98799400,0.58402203,0.00134641,0.08551401,0.19913082,0.27893267,0.00149440,0.18326996,0.07896859,0.03286189
-5.98199100,0.58380108,0.00141665,0.08258270,0.20366276,0.27450636,0.00149270,0.18584320,0.08221598,0.03470992
-5.97598799,0.59221291,0.00151738,0.08108470,0.21179715,0.27389551,0.00152485,0.19094957,0.08689929,0.03703726
-5.96998499,0.60887095,0.00164819,0.08093891,0.22331893,0.27694154,0.00158730,0.19848674,0.09297001,0.03983138
-5.96398199,0.63335179,0.00180872,0.08205742,0.23800614,0.28346489,0.00167653,0.20834484,0.10037947,0.04307796
-5.95797899,0.66519625,0.00199860,0.08434689,0.25563142,0.29326510,0.00178907,0.22040564,0.10907915,0.04676087
-5.95197599,0.70391171,0.00221749,0.08770988,0.27596372,0.30612173,0.00192147,0.23454219,0.11902086,0.05086226
-5.94597299,0.74897603,0.00246504,0.09204635,0.29877033,0.32179606,0.00207033,0.25061895,0.13015708,0.05536271
-5.93996998,0.79984287,0.00274086,0.09725511,0.32381910,0.34003360,0.00223226,0.26849250,0.14244123,0.06024156
-5.93396698,0.85594850,0.00304449,0.10323536,0.35088104,0.36056750,0.00240394,0.28801281,0.15582802,0.06547726
-5.92796398,0.91671961,0.00337537,0.10988821,0.37973296,0.38312253,0.00258210,0.30902491,0.17027367,0.07104781
-5.92196098,0.98158180,0.00373280,0.11711808,0.41016014,0.40741962,0.00276357,0.33137084,0.18573600,0.07693116
-5.91595798,1.04996806,0.00411585,0.12483402,0.44195872,0.43318052,0.00294531,0.35489166,0.20217432,0.08310561
-5.90995498,1.12132668,0.00452332,0.13295078,0.47493760,0.46013251,0.00312443,0.37942941,0.21954889,0.08955008
-5.90395198,1.19512793,0.00495371,0.14138966,0.50891955,0.48801261,0.00329827,0.40482862,0.23782007,0.09624425
-5.89794897,1.27086877,0.00540511,0.15007892,0.54374135,0.51657123,0.00346441,0.43093736,0.25694686,0.10316850
-5.89194597,1.34807528,0.00587520,0.15895394,0.57925274,0.54557487,0.00362075,0.45760754,0.27688501,0.11030364
-5.88594297,1.42630233,0.00636112,0.16795684,0.61531405,0.57480767,0.00376553,0.48469440,0.29758455,0.11763042
-5.87993997,1.50513037,0.00685949,0.17703574,0.65179260,0.60407175,0.00389733,0.51205521,0.31898691,0.12512886
-5.87393697,1.58415959,0.00736638,0.18614355,0.68855779,0.63318638,0.00401516,0.53954717,0.34102165,0.13277736
-5.86793397,1.66300165,0.00787726,0.19523649,0.72547532,0.66198587,0.00411841,0.56702471,0.36360307,0.14055174
-5.86193097,1.74126970,0.00838703,0.20427226,0.76240069,0.69031659,0.00420687,0.59433634,0.38662683,0.14842425
-5.85592796,1.81856758,0.00889009,0.21320811,0.79917248,0.71803330,0.00428071,0.62132145,0.40996690,0.15636257
-5.84992496,1.89447914,0.00938034,0.22199887,0.83560598,0.74499515,0.00434044,0.64780729,0.43347306,0.16432910
-5.84392196,1.96855874,0.00985134,0.23059510,0.87148762,0.77106179,0.00438688,0.67360663,0.45696926,0.17228036
-5.83791896,2.04032422,0.01029639,0.23894158,0.90657081,0.79609002,0.00442110,0.69851623,0.48025314,0.18016685
-5.83191596,2.10925311,0.01070870,0.24697615,0.94057372,0.81993136,0.00444439,0.72231670,0.50309685,0.18793333
-5.82591296,2.17478314,0.01108154,0.25462919,0.97317934,0.84243095,0.00445818,0.74477382,0.52524936,0.19551954
-5.81990995,2.23631747,0.01140846,0.26182372,1.00403832,0.86342791,0.00446398,0.76564157,0.54644042,0.20286145
-5.81390695,2.29323496,0.01168346,0.26847626,1.03277447,0.88275750,0.00446334,0.78466676,0.56638601,0.20989300
-5.80790395,2.34490527,0.01190121,0.27449841,1.05899315,0.90025483,0.00445782,0.80159542,0.58479534,0.21654822
-5.80190095,2.39070835,0.01205722,0.27979910,1.08229212,0.91576020,0.00444890,0.81618052,0.60137896,0.22276376
-5.79589795,2.43005727,0.01214804,0.28428757,1.10227465,0.92912562,0.00443803,0.82819072,0.61585798,0.22848156
-5.78989495,2.46242335,0.01217139,0.28787670,1.11856412,0.94022222,0.00442653,0.83741983,0.62797369,0.23365150
-5.78389195,2.48736187,0.01212625,0.29048672,1.13081947,0.94894786,0.00441563,0.84369633,0.63749739,0.23823409
-5.77788894,2.50453698,0.01201298,0.29204908,1.13875083,0.95523455,0.00440645,0.84689240,0.64423975,0.24220266
-5.77188594,2.51374390,0.01183329,0.29251012,1.14213421,0.95905500,0.00440002,0.84693208,0.64805944,0.24554515
-5.76588294,2.51492708,0.01159027,0.29183447,1.14082473,0.96042775,0.00439724,0.84379769,0.64887037,0.24826532
-5.75987994,2.50819278,0.01128825,0.29000794,1.13476735,0.95942040,0.00439894,0.83753450,0.64664724,0.25038306
-5.75387694,2.49381516,0.01093273,0.28703966,1.12400466,0.95615065,0.00440585,0.82825292,0.64142916,0.25193404
-5.74787394,2.47223522,0.01053021,0.28296341,1.10868116,0.95078487,0.00441861,0.81612824,0.63332105,0.25296846
-5.74187094,2.44405246,0.01008797,0.27783800,1.08904380,0.94353423,0.00443779,0.80139786,0.62249266,0.25354894
-5.73586793,2.41000954,0.00961390,0.27174671,1.06543867,0.93464858,0.00446382,0.78435595,0.60917555,0.25374783
-5.72986493,2.37097078,0.00911622,0.26479576,1.03830402,0.92440832,0.00449706,0.76534603,0.59365780,0.25364388
-5.72386193,2.32789566,0.00860327,0.25711196,1.00816000,0.91311483,0.00453772,0.74475168,0.57627704,0.25331856
-5.71785893,2.28180889,0.00808330,0.24883952,0.97559554,0.90108005,0.00458588,0.72298593,0.55741198,0.25285224
-5.71185593,2.23376860,0.00756421,0.24013643,0.94125319,0.88861575,0.00464145,0.70047992,0.53747289,0.25232044
-5.70585293,2.18483470,0.00705341,0.23117028,0.90581244,0.87602336,0.00470417,0.67767136,0.51689150,0.25179041
-5.69984992,2.13603892,0.00655768,0.22211402,0.86997261,0.86358484,0.00477364,0.65499331,0.49611079,0.25131819
-5.69384692,2.08835813,0.00608298,0.21314164,0.83443562,0.85155517,0.00484924,0.63286400,0.47557496,0.25094647
-5.68784392,2.04269228,0.00563445,0.20442405,0.79988978,0.84015687,0.00493023,0.61167781,0.45572010,0.25070318
-5.68184092,1.99984765,0.00521632,0.19612528,0.76699483,0.82957688,0.00501571,0.59179791,0.43696569,0.25060105
-5.67583792,1.96052595,0.00483193,0.18839913,0.73636870,0.81996563,0.00510469,0.57355074,0.41970725,0.25063811
-5.66983492,1.92531910,0.00448374,0.18138633,0.70857644,0.81143842,0.00519615,0.55722224,0.40431009,0.25079902
-5.66383192,1.89470932,0.00417338,0.17521228,0.68412112,0.80407859,0.00528904,0.54305572,0.39110426,0.25105717
-5.65782891,1.86907350,0.00390173,0.16998527,0.66343683,0.79794217,0.00538237,0.53125135,0.38038055,0.25137739
-5.65182591,1.84869077,0.00366898,0.16579528,0.64688359,0.79306331,0.00547529,0.52196665,0.37238739,0.25171903
-5.64582291,1.83375194,0.00347475,0.16271309,0.63474379,0.78945999,0.00556708,0.51531784,0.36732850,0.25203917
-5.63981991,1.82436920,0.00331816,0.16078988,0.62721992,0.78713926,0.00565726,0.51138156,0.36536095,0.25229581
-5.63381691,1.82058504,0.00319789,0.16005694,0.62443319,0.78610150,0.00574558,0.51019655,0.36659362,0.25245070
-5.62781391,1.82237888,0.00311232,0.16052561,0.62642285,0.78634322,0.00583206,0.51176502,0.37108565,0.25247166
-5.62181091,1.82967092,0.00305948,0.16218731,0.63314584,0.78785806,0.00591696,0.51605346,0.37884505,0.25233423
-5.61580790,1.84232248,0.00303721,0.16501362,0.64447675,0.79063579,0.00600079,0.52299271,0.38982714,0.25202260
-5.60980490,1.86013288,0.00304313,0.16895633,0.66020806,0.79465950,0.00608425,0.53247732,0.40393316,0.25152966
-5.60380190,1.88283329,0.00307465,0.17394761,0.68005071,0.79990095,0.00616815,0.54436436,0.42100895,0.25085627
-5.59779890,1.91007826,0.00312905,0.17990027,0.70363530,0.80631480,0.00625337,0.55847173,0.44084405,0.25000985
-5.59179590,1.94143607,0.00320342,0.18670806,0.73051419,0.81383202,0.00634075,0.57457659,0.46317144,0.24900237
-5.58579290,1.97637929,0.00329471,0.19424640,0.76016485,0.82235323,0.00643102,0.59241396,0.48766821,0.24784791
-5.57978989,2.01427705,0.00339974,0.20237331,0.79199481,0.83174271,0.00652466,0.61167623,0.51395745,0.24656010
-5.57378689,2.05439037,0.00351518,0.21093081,0.82534866,0.84182369,0.00662186,0.63201379,0.54161173,0.24514953
-5.56778389,2.09587210,0.00363763,0.21974693,0.85951720,0.85237562,0.00672245,0.65303726,0.57015831,0.24362140
-5.56178089,2.13777236,0.00376363,0.22863812,0.89374904,0.86313383,0.00682581,0.67432159,0.59908619,0.24197365
-5.55577789,2.17905032,0.00388972,0.23741242,0.92726457,0.87379207,0.00693086,0.69541214,0.62785517,0.24019564
-5.54977489,2.21859248,0.00401248,0.24587314,0.95927210,0.88400796,0.00703606,0.71583295,0.65590671,0.23826758
-5.54377189,2.25523743,0.00412867,0.25382300,0.98898598,0.89341139,0.00713945,0.73509686,0.68267639,0.23616068
-5.53776888,2.28780620,0.00423520,0.26106879,1.01564593,0.90161553,0.00723865,0.75271745,0.70760771,0.23383812
-5.53176588,2.31513726,0.00432933,0.26742620,1.03853722,0.90823002,0.00733099,0.76822213,0.73016667,0.23125673
-5.52576288,2.33612448,0.00440868,0.27272482,1.05701064,0.91287578,0.00741359,0.78116620,0.74985657,0.22836924
-5.51975988,2.34975634,0.00447132,0.27681291,1.07050162,0.91520058,0.00748344,0.79114687,0.76623257,0.22512708
-5.51375688,2.35515445,0.00451584,0.27956202,1.07854750,0.91489459,0.00753761,0.79781691,0.77891513,0.22148340
-5.50775388,2.35160925,0.00454141,0.28087090,1.08080230,0.91170514,0.00757327,0.80089703,0.78760195,0.21739620
-5.50175088,2.33861102,0.00454778,0.28066881,1.07704801,0.90544967,0.00758793,0.80018653,0.79207762,0.21283142
-5.49574787,2.31587460,0.00453532,0.27891795,1.06720205,0.89602641,0.00757945,0.79557147,0.79222066,0.20776563
-5.48974487,2.28335629,0.00450500,0.27561477,1.05132044,0.88342197,0.00754622,0.78703011,0.78800746,0.20218840
-5.48374187,2.24126208,0.00445831,0.27079035,1.02959636,0.86771558,0.00748719,0.77463512,0.77951299,0.19610394
-5.47773887,2.19004673,0.00439723,0.26450956,1.00235430,0.84907962,0.00740196,0.75855264,0.76690820,0.18953216
-5.47173587,2.13040371,0.00432415,0.25686921,0.97003998,0.82777654,0.00729077,0.73903800,0.75045415,0.18250897
-5.46573287,2.06324651,0.00424174,0.24799518,0.93320646,0.80415222,0.00715450,0.71642849,0.73049331,0.17508582
-5.45972986,1.98968223,0.00415287,0.23803869,0.89249721,0.77862624,0.00699468,0.69113334,0.70743825,0.16732858
-5.45372686,1.91097887,0.00406044,0.22717189,0.84862671,0.75167943,0.00681339,0.66362160,0.68175843,0.15931578
-5.44772386,1.82852780,0.00396730,0.21558294,0.80235965,0.72383956,0.00661318,0.63440827,0.65396556,0.15113636
-5.44172086,1.74380333,0.00387613,0.20347080,0.75448951,0.69566555,0.00639702,0.60403952,0.62459837,0.14288704
-5.43571786,1.65832113,0.00378932,0.19103994,0.70581739,0.66773125,0.00616815,0.57307753,0.59420735,0.13466943
-5.42971486,1.57359731,0.00370888,0.17849518,0.65713202,0.64060930,0.00592999,0.54208561,0.56334020,0.12658715
-5.42371186,1.49110991,0.00363639,0.16603692,0.60919159,0.61485586,0.00568605,0.51161422,0.53252847,0.11874285
-5.41770885,1.41226405,0.00357294,0.15385670,0.56270791,0.59099663,0.00543978,0.48218842,0.50227606,0.11123560
-5.41170585,1.33836211,0.00351913,0.14213353,0.51833353,0.56951489,0.00519451,0.45429706,0.47304977,0.10415842
-5.40570285,1.27057946,0.00347506,0.13103082,0.47665187,0.55084153,0.00495337,0.42838410,0.44527228,0.09759628
-5.39969985,1.20994638,0.00344041,0.12069409,0.43817050,0.53534755,0.00471921,0.40484211,0.41931749,0.09162448
-5.39369685,1.15733611,0.00341443,0.11124941,0.40331758,0.52333895,0.00449458,0.38400806,0.39550835,0.08630752
-5.38769385,1.11345880,0.00339607,0.10280255,0.37244109,0.51505383,0.00428169,0.36616128,0.37411677,0.08169836
-5.38169085,1.07886086,0.00338408,0.09543888,0.34581061,0.51066170,0.00408241,0.35152331,0.35536552,0.07783820
-5.37568784,1.05392889,0.00337705,0.08922371,0.32362125,0.51026455,0.00389827,0.34025955,0.33943155,0.07475654
-5.36968484,1.03889724,0.00337358,0.08420326,0.30599909,0.51389934,0.00373047,0.33248215,0.32645031,0.07247161
-5.36368184,1.03385830,0.00337237,0.08040588,0.29300789,0.52154165,0.00357994,0.32825396,0.31652067,0.07099104
-5.35767884,1.03877434,0.00337227,0.07784361,0.28465628,0.53310995,0.00344734,0.32759299,0.30970983,0.07031273
-5.35167584,1.05349004,0.00337242,0.07651382,0.28090522,0.54847023,0.00333309,0.33047725,0.30605782,0.07042570
-5.34567284,1.07774485,0.00337226,0.07640096,0.28167519,0.56744063,0.00323743,0.33684931,0.30558128,0.07131113
-5.33966983,1.11118443,0.00337162,0.07747819,0.28685274,0.58979593,0.00316043,0.34662067,0.30827606,0.07294322
-5.33366683,1.15337063,0.00337066,0.07970897,0.29629630,0.61527152,0.00310199,0.35967547,0.31411861,0.07529004
-5.32766383,1.20378987,0.00336994,0.08304843,0.30984084,0.64356706,0.00306187,0.37587355,0.32306601,0.07831427
-5.32166083,1.26185970,0.00337034,0.08744456,0.32730161,0.67434954,0.00303970,0.39505266,0.33505468,0.08197377
-5.31565783,1.32693361,0.00337301,0.09283919,0.34847657,0.70725608,0.00303492,0.41703009,0.34999800,0.08622200
-5.30965483,1.39830460,0.00337927,0.09916870,0.37314795,0.74189645,0.00304682,0.44160349,0.36778299,0.09100840
-5.30365183,1.47520771,0.00339056,0.10636462,0.40108277,0.77785552,0.00307449,0.46855122,0.38826657,0.09627856
-5.29764882,1.55682224,0.00340831,0.11435401,0.43203273,0.81469595,0.00311681,0.49763239,0.41127160,0.10197437
-5.29164582,1.64227405,0.00343384,0.12305968,0.46573346,0.85196131,0.00317240,0.52858669,0.43658333,0.10803412
-5.28564282,1.73063876,0.00346823,0.13240038,0.50190360,0.88917975,0.00323966,0.56113436,0.46394659,0.11439264
