energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.51462793,1.95761352,0.51629768,0.00314644,0.05167054,0.83407432,0.21158448,0.02570927,1.66374647
-5.99399700,2.54669330,1.99248331,0.52459045,0.00322392,0.04897084,0.83413437,0.21650140,0.02631498,1.69233537
-5.98799400,2.58187585,2.02863591,0.53351851,0.00330109,0.04662567,0.83571263,0.22150645,0.02694435,1.72235753
-5.98199100,2.61828229,2.06453802,0.54268427,0.00337428,0.04460251,0.83823148,0.22643519,0.02758006,1.75253644
-5.97598799,2.65399239,2.09863889,0.55167886,0.00344005,0.04286527,0.84109059,0.23112372,0.02820550,1.78158512
-5.96998499,2.68713184,2.12942780,0.56009686,0.00349531,0.04137593,0.84369122,0.23541485,0.02880553,1.80825439
-5.96398199,2.71594214,2.15548958,0.56755070,0.00353737,0.04009603,0.84545965,0.23916400,0.02936705,1.83137900
-5.95797899,2.73884438,2.17555586,0.57368415,0.00356403,0.03898818,0.84586886,0.24224450,0.02987955,1.84991991
-5.95197599,2.75449419,2.18854978,0.57818447,0.00357363,0.03801718,0.84445761,0.24455212,0.03033547,1.86300052
-5.94597299,2.76182577,2.19362244,0.58079247,0.00356503,0.03715109,0.84084607,0.24600851,0.03073041,1.86993575
-5.93996998,2.76008311,2.19017952,0.58131036,0.00353771,0.03636194,0.83474756,0.24656362,0.03106325,1.87025247
-5.93396698,2.74883726,2.17789720,0.57960692,0.00349171,0.03562620,0.82597588,0.24619672,0.03133603,1.86370069
-5.92796398,2.72798939,2.15672684,0.57561990,0.00342760,0.03492507,0.81444833,0.24491626,0.03155367,1.85025511
-5.92196098,2.69775966,2.12688850,0.56935563,0.00334648,0.03424437,0.80018414,0.24275842,0.03172356,1.83010732
-5.91595798,2.65866308,2.08885399,0.56088591,0.00324991,0.03357438,0.78329894,0.23978450,0.03185504,1.80364903
-5.90995498,2.61147373,2.04332037,0.55034240,0.00313982,0.03290933,0.76399539,0.23607731,0.03195869,1.77144769
-5.90395198,2.55717947,1.99117558,0.53790891,0.00301848,0.03224688,0.74255087,0.23173680,0.03204567,1.73421554
-5.89794897,2.49692975,1.93345791,0.52381196,0.00288838,0.03158739,0.71930274,0.22687501,0.03212693,1.69277403
-5.89194597,2.43197910,1.87131143,0.50831012,0.00275215,0.03093317,0.69463203,0.22161084,0.03221247,1.64801534
-5.88594297,2.36362930,1.80593954,0.49168271,0.00261248,0.03028773,0.66894646,0.21606462,0.03231065,1.60086294
-5.87993997,2.29317306,1.73855875,0.47421838,0.00247203,0.02965505,0.64266357,0.21035304,0.03242762,1.55223313
-5.87393697,2.22184178,1.67035491,0.45620406,0.00233337,0.02903894,0.61619460,0.20458445,0.03256679,1.50299930
-5.86793397,2.15075978,1.60244348,0.43791489,0.00219887,0.02844248,0.58993004,0.19885487,0.03272853,1.45396059
-5.86193097,2.08090681,1.53583556,0.41960535,0.00207067,0.02786759,0.56422717,0.19324480,0.03291001,1.40581599
-5.85592796,2.01309017,1.47141074,0.40150217,0.00195062,0.02731480,0.53940006,0.18781706,0.03310520,1.35914502
-5.84992496,1.94792723,1.40989752,0.38379894,0.00184022,0.02678308,0.51571240,0.18261554,0.03330508,1.31439544
-5.84392196,1.88583854,1.35186161,0.36665278,0.00174063,0.02626990,0.49337300,0.17766507,0.03349797,1.27187801
-5.83791896,1.82705098,1.29770205,0.35018293,0.00165262,0.02577137,0.47253418,0.17297215,0.03367008,1.23176824
-5.83191596,1.77161015,1.24765459,0.33447123,0.00157660,0.02528251,0.45329261,0.16852669,0.03380610,1.19411432
-5.82591296,1.71940063,1.20180153,0.31956420,0.00151260,0.02479762,0.43569246,0.16430427,0.03388990,1.15885047
-5.81990995,1.67017229,1.16008705,0.30547654,0.00146030,0.02431065,0.41973033,0.16026915,0.03390534,1.12581455
-5.81390695,1.62357088,1.12233658,0.29219569,0.00141907,0.02381566,0.40536157,0.15637750,0.03383695,1.09476856
-5.80790395,1.57917074,1.08827898,0.27968710,0.00138799,0.02330724,0.39250757,0.15258080,0.03367075,1.06542085
-5.80190095,1.53650788,1.05757020,0.26789987,0.00136590,0.02278085,0.38106331,0.14882925,0.03339484,1.03744856
-5.79589795,1.49511132,1.02981695,0.25677233,0.00135148,0.02223318,0.37090506,0.14507490,0.03299996,1.01051917
-5.78989495,1.45453138,1.00459934,0.24623738,0.00134322,0.02166234,0.36189750,0.14127443,0.03247999,0.98431006
-5.78389195,1.41436352,0.98149149,0.23622726,0.00133956,0.02106802,0.35390014,0.13739144,0.03183211,0.95852517
-5.77788894,1.37426686,0.96007927,0.22667752,0.00133890,0.02045148,0.34677285,0.13339808,0.03105705,0.93290825
-5.77188594,1.33397689,0.93997477,0.21753014,0.00133966,0.01981549,0.34038009,0.12927620,0.03015896,0.90725223
-5.76588294,1.29331238,0.92082708,0.20873567,0.00134031,0.01916418,0.33459410,0.12501771,0.02914529,0.88140473
-5.75987994,1.25217654,0.90232957,0.20025447,0.00133945,0.01850274,0.32929692,0.12062448,0.02802645,0.85526971
-5.75387694,1.21055321,0.88422366,0.19205700,0.00133581,0.01783718,0.32438128,0.11610762,0.02681541,0.82880581
-5.74787394,1.16849879,0.86629961,0.18412349,0.00132832,0.01717391,0.31975069,0.11148638,0.02552717,0.80202175
-5.74187094,1.12613107,0.84839478,0.17644282,0.00131609,0.01651943,0.31531884,0.10678672,0.02417821,0.77496955
-5.73586793,1.08361583,0.83038991,0.16901118,0.00129847,0.01587996,0.31100851,0.10203959,0.02278588,0.74773622
-5.72986493,1.04115257,0.81220427,0.16183032,0.00127502,0.01526113,0.30675024,0.09727925,0.02136785,0.72043469
-5.72386193,0.99896030,0.79378996,0.15490585,0.00124554,0.01466769,0.30248109,0.09254152,0.01994156,0.69319467
-5.71785893,0.95726439,0.77512634,0.14824557,0.00121004,0.01410337,0.29814341,0.08786216,0.01852369,0.66615414
-5.71185593,0.91628516,0.75621475,0.14185810,0.00116873,0.01357068,0.29368410,0.08327551,0.01712975,0.63945176
-5.70585293,0.87622892,0.73707407,0.13575178,0.00112203,0.01307095,0.28905419,0.07881330,0.01577377,0.61322092
-5.69984992,0.83728160,0.71773727,0.12993399,0.00107049,0.01260430,0.28420891,0.07450384,0.01446802,0.58758528
-5.69384692,0.79960529,0.69824909,0.12441093,0.00101479,0.01216980,0.27910826,0.07037150,0.01322290,0.56265624
-5.68784392,0.76333733,0.67866487,0.11918779,0.00095573,0.01176565,0.27371794,0.06643647,0.01204686,0.53853192
-5.68184092,0.72859185,0.65905015,0.11426924,0.00089416,0.01138937,0.26801059,0.06271476,0.01094648,0.51529780
-5.67583792,0.69546325,0.63948112,0.10966025,0.00083094,0.01103815,0.26196722,0.05921855,0.00992651,0.49302843
-5.66983492,0.66403100,0.62004529,0.10536713,0.00076698,0.01070903,0.25557869,0.05595657,0.00899010,0.47179009
-5.66383192,0.63436522,0.60084222,0.10139865,0.00070311,0.01039927,0.24884697,0.05293466,0.00813899,0.45164384
-5.65782891,0.60653242,0.58198387,0.09776709,0.00064014,0.01010660,0.24178618,0.05015639,0.00737377,0.43264868
-5.65182591,0.58060073,0.56359429,0.09448928,0.00057881,0.00982941,0.23442318,0.04762362,0.00669412,0.41486426
-5.64582291,0.55664426,0.54580830,0.09158732,0.00051974,0.00956700,0.22679762,0.04533704,0.00609909,0.39835310
-5.63981991,0.53474602,0.52876915,0.08908914,0.00046349,0.00931968,0.21896139,0.04329659,0.00558736,0.38318178
-5.63381691,0.51499932,0.51262496,0.08702856,0.00041050,0.00908888,0.21097746,0.04150175,0.00515740,0.36942117
-5.62781391,0.49750732,0.49752398,0.08544513,0.00036108,0.00887714,0.20291810,0.03995168,0.00480774,0.35714545
-5.62181091,0.48238090,0.48360894,0.08438347,0.00031549,0.00868807,0.19486253,0.03864521,0.00453707,0.34643012
-5.61580790,0.46973495,0.47101066,0.08389229,0.00027384,0.00852628,0.18689422,0.03758072,0.00434434,0.33734899
-5.60980490,0.45968332,0.45984133,0.08402299,0.00023618,0.00839722,0.17909783,0.03675587,0.00422886,0.32997054
-5.60380190,0.45233277,0.45018785,0.08482805,0.00020248,0.00830700,0.17155602,0.03616730,0.00419024,0.32435363
-5.59779890,0.44777649,0.44210561,0.08635913,0.00017264,0.00826216,0.16434636,0.03581025,0.00422844,0.32054321
-5.59179590,0.44608739,0.43561339,0.08866497,0.00014652,0.00826947,0.15753841,0.03567818,0.00434361,0.31856613
-5.58579290,0.44731189,0.43068952,0.09178928,0.00012391,0.00833568,0.15119122,0.03576250,0.00453605,0.31842738
-5.57978989,0.45146444,0.42726983,0.09576855,0.00010461,0.00846731,0.14535136,0.03605227,0.00480598,0.32010726
-5.57378689,0.45852330,0.42524766,0.10063002,0.00008840,0.00867042,0.14005159,0.03653411,0.00515345,0.32355942
-5.56778389,0.46842774,0.42447599,0.10638980,0.00007505,0.00895040,0.13531027,0.03719222,0.00557809,0.32871030
-5.56178089,0.48107707,0.42477182,0.11305120,0.00006435,0.00931187,0.13113154,0.03800850,0.00607895,0.33545978
-5.55577789,0.49633140,0.42592262,0.12060343,0.00005611,0.00975853,0.12750616,0.03896289,0.00665429,0.34368328
-5.54977489,0.51401437,0.42769462,0.12902074,0.00005016,0.01029305,0.12441316,0.04003381,0.00730139,0.35323516
-5.54377189,0.53391760,0.42984266,0.13826195,0.00004637,0.01091710,0.12182203,0.04119876,0.00801641,0.36395334
-5.53776888,0.55580674,0.43212099,0.14827050,0.00004467,0.01163131,0.11969530,0.04243504,0.00879426,0.37566491
-5.53176588,0.57942895,0.43429462,0.15897513,0.00004501,0.01243533,0.11799158,0.04372042,0.00962847,0.38819249
-5.52576288,0.60452128,0.43615052,0.17029100,0.00004744,0.01332791,0.11666861,0.04503401,0.01051122,0.40136103
-5.51975988,0.63081978,0.43750821,0.18212143,0.00005202,0.01430700,0.11568632,0.04635701,0.01143330,0.41500473
-5.51375688,0.65806874,0.43822893,0.19436019,0.00005892,0.01536994,0.11500970,0.04767338,0.01238422,0.42897367
-5.50775388,0.68602977,0.43822316,0.20689420,0.00006836,0.01651351,0.11461123,0.04897052,0.01335235,0.44313990
-5.50175088,0.71449011,0.43745576,0.21960672,0.00008064,0.01773417,0.11447287,0.05023969,0.01432510,0.45740252
-5.49574787,0.74326982,0.43594867,0.23238078,0.00009614,0.01902812,0.11458732,0.05147634,0.01528923,0.47169164
-5.48974487,0.77222754,0.43378074,0.24510277,0.00011531,0.02039146,0.11495865,0.05268022,0.01623112,0.48597082
-5.48374187,0.80126423,0.43108482,0.25766610,0.00013870,0.02182026,0.11560218,0.05385524,0.01713713,0.50023782
-5.47773887,0.83032485,0.42804202,0.26997467,0.00016694,0.02331057,0.11654348,0.05500922,0.01799400,0.51452368
-5.47173587,0.85939766,0.42487358,0.28194603,0.00020071,0.02485839,0.11781682,0.05615330,0.01878921,0.52888991
-5.46573287,0.88851103,0.42183050,0.29351400,0.00024079,0.02645964,0.11946285,0.05730121,0.01951140,0.54342395
-5.45972986,0.91772780,0.41918151,0.30463066,0.00028801,0.02810995,0.12152578,0.05846842,0.02015066,0.55823300
-5.45372686,0.94713742,0.41719997,0.31526753,0.00034325,0.02980452,0.12405014,0.05967107,0.02069891,0.57343648
-5.44772386,0.97684588,0.41615021,0.32541575,0.00040741,0.03153780,0.12707736,0.06092486,0.02115012,0.58915729
-5.44172086,1.00696414,0.41627404,0.33508533,0.00048142,0.03330326,0.13064214,0.06224390,0.02150047,0.60551236
-5.43571786,1.03759529,0.41777809,0.34430337,0.00056616,0.03509306,0.13476911,0.06363957,0.02174845,0.62260293
-5.42971486,1.06882119,0.42082249,0.35311129,0.00066247,0.03689772,0.13946967,0.06511943,0.02189489,0.64050489
-5.42371186,1.10068933,0.42551165,0.36156120,0.00077109,0.03870591,0.14473931,0.06668631,0.02194284,0.65925982
-5.41770885,1.13320043,0.43188734,0.36971159,0.00089265,0.04050412,0.15055565,0.06833757,0.02189736,0.67886719
-5.41170585,1.16629787,0.43992475,0.37762247,0.00102759,0.04227663,0.15687715,0.07006458,0.02176533,0.69927813
