energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.55475278,0.00580769,0.23784432,0.42521745,0.09885899,0.00656346,0.78045532,0.51910260,0.32058805
-5.99399700,1.61331688,0.00544883,0.25986867,0.42855223,0.10335484,0.00650104,0.79542505,0.52842619,0.34310318
-5.98799400,1.68277340,0.00511596,0.28330579,0.43472086,0.10884849,0.00651494,0.81620863,0.54044991,0.36786547
-5.98199100,1.76324195,0.00481430,0.30787903,0.44404443,0.11538760,0.00660719,0.84323213,0.55535855,0.39470358
-5.97598799,1.85456331,0.00454841,0.33326628,0.45676788,0.12300084,0.00677964,0.87678343,0.57325099,0.42338313
-5.96998499,1.95628112,0.00432211,0.35910454,0.47304810,0.13169539,0.00703381,0.91699374,0.59413281,0.45360707
-5.96398199,2.06763315,0.00413846,0.38499620,0.49294444,0.14145512,0.00737081,0.96382352,0.61791198,0.48501829
-5.95797899,2.18755285,0.00399974,0.41051707,0.51641212,0.15223916,0.00779121,1.01705343,0.64439813,0.51720459
-5.95197599,2.31468157,0.00390743,0.43522607,0.54329876,0.16398119,0.00829496,1.07628087,0.67330528,0.54970602
-5.94597299,2.44739160,0.00386225,0.45867611,0.57334439,0.17658950,0.00888127,1.14092230,0.70425813,0.58202433
-5.93996998,2.58381934,0.00386419,0.48042595,0.60618486,0.18994766,0.00954854,1.21022175,0.73680163,0.61363439
-5.93396698,2.72190787,0.00391252,0.50005258,0.64135883,0.20391614,0.01029429,1.28326510,0.77041355,0.64399724
-5.92796398,2.85945748,0.00400588,0.51716352,0.67831818,0.21833453,0.01111509,1.35900014,0.80451959,0.67257418
-5.92196098,2.99418260,0.00414228,0.53140872,0.71644148,0.23302464,0.01200653,1.43626163,0.83851059,0.69884153
-5.91595798,3.12377293,0.00431919,0.54249131,0.75505033,0.24779419,0.01296315,1.51380083,0.87176104,0.72230541
-5.90995498,3.24595694,0.00453357,0.55017693,0.79342792,0.26244110,0.01397844,1.59031841,0.90364840,0.74251603
-5.90395198,3.35856500,0.00478197,0.55430101,0.83083929,0.27675822,0.01504482,1.66449975,0.93357238,0.75908073
-5.89794897,3.45959014,0.00506051,0.55477387,0.86655264,0.29053845,0.01615367,1.73505136,0.96097355,0.77167556
-5.89194597,3.54724395,0.00536503,0.55158322,0.89986084,0.30357990,0.01729532,1.80073712,0.98535049,0.78005454
-5.88594297,3.62000570,0.00569106,0.54479403,0.93010235,0.31569109,0.01845915,1.86041297,1.00627492,0.78405658
-5.87993997,3.67666263,0.00603395,0.53454580,0.95668089,0.32669589,0.01963367,1.91305882,1.02340409,0.78360957
-5.87393697,3.71634014,0.00638887,0.52104736,0.97908292,0.33643811,0.02080659,1.95780636,1.03649016,0.77873154
-5.86793397,3.73852076,0.00675093,0.50456933,0.99689236,0.34478539,0.02196498,1.99396171,1.04538596,0.76952900
-5.86193097,3.74305112,0.00711518,0.48543485,1.00980189,0.35163248,0.02309547,2.02102210,1.05004715,0.75619232
-5.85592796,3.73013716,0.00747672,0.46400877,1.01762043,0.35690354,0.02418443,2.03868586,1.05053054,0.73898870
-5.84992496,3.70032762,0.00783075,0.44068586,1.02027644,0.36055355,0.02521816,2.04685545,1.04698874,0.71825280
-5.84392196,3.65448689,0.00817260,0.41587870,1.01781709,0.36256863,0.02618320,2.04563342,1.03966149,0.69437555
-5.83791896,3.59375848,0.00849786,0.39000547,1.01040316,0.36296537,0.02706656,2.03531165,1.02886380,0.66779168
-5.83191596,3.51952064,0.00880236,0.36347843,0.99830020,0.36178914,0.02785599,2.01635440,1.01497183,0.63896640
-5.82591296,3.43333631,0.00908227,0.33669329,0.98186614,0.35911155,0.02854024,1.98937603,0.99840673,0.60838181
-5.81990995,3.33689939,0.00933414,0.31001989,0.96153624,0.35502703,0.02910932,1.95511449,0.97961759,0.57652356
-5.81390695,3.23197951,0.00955492,0.28379453,0.93780577,0.34964891,0.02955473,1.91440182,0.95906389,0.54386820
-5.80790395,3.12036776,0.00974202,0.25831399,0.91121154,0.34310495,0.02986967,1.86813299,0.93719848,0.51087166
-5.80190095,3.00382519,0.00989332,0.23383149,0.88231287,0.33553273,0.03004917,1.81723457,0.91445180,0.47795925
-5.79589795,2.88403611,0.01000720,0.21055437,0.85167293,0.32707497,0.03009023,1.76263438,0.89121782,0.44551739
-5.78989495,2.76256771,0.01008253,0.18864360,0.81984121,0.31787510,0.02999187,1.70523360,0.86784252,0.41388719
-5.78389195,2.64083728,0.01011868,0.16821488,0.78733775,0.30807314,0.02975514,1.64588221,0.84461520,0.38336009
-5.77788894,2.52008767,0.01011550,0.14934102,0.75463977,0.29780214,0.02938310,1.58535867,0.82176286,0.35417548
-5.77188594,2.40137151,0.01007333,0.13205561,0.72217093,0.28718527,0.02888069,1.52435436,0.79944786,0.32652008
-5.76588294,2.28554406,0.00999296,0.11635742,0.69029367,0.27633363,0.02825465,1.46346318,0.77776875,0.30052923
-5.75987994,2.17326430,0.00987558,0.10221546,0.65930455,0.26534486,0.02751327,1.40317620,0.75676406,0.27628953
-5.75387694,2.06500329,0.00972281,0.08957441,0.62943253,0.25430246,0.02666628,1.34388114,0.73641860,0.25384282
-5.74787394,1.96105902,0.00953660,0.07836005,0.60084011,0.24327590,0.02572454,1.28586636,0.71667205,0.23319108
-5.74187094,1.86157618,0.00931922,0.06848473,0.57362676,0.23232123,0.02469984,1.22932837,0.69742892,0.21430207
-5.73586793,1.76656958,0.00907320,0.05985239,0.54783446,0.22148234,0.02360464,1.17438247,0.67856965,0.19711530
-5.72986493,1.67594977,0.00880134,0.05236335,0.52345473,0.21079253,0.02245183,1.12107530,0.65996196,0.18154822
-5.72386193,1.58954946,0.00850656,0.04591841,0.50043671,0.20027632,0.02125449,1.06939867,0.64147203,0.16750224
-5.71785893,1.50714936,0.00819196,0.04042252,0.47869582,0.18995144,0.02002563,1.01930371,0.62297490,0.15486852
-5.71185593,1.42850252,0.00786071,0.03578775,0.45812251,0.17983066,0.01877803,0.97071454,0.60436371,0.14353320
-5.70585293,1.35335609,0.00751599,0.03193570,0.43859074,0.16992366,0.01752402,0.92354096,0.58555741,0.13338216
-5.69984992,1.28146991,0.00716100,0.02879933,0.41996593,0.16023852,0.01627531,0.87768957,0.56650665,0.12430503
-5.69384692,1.21263156,0.00679887,0.02632421,0.40211193,0.15078303,0.01504286,0.83307296,0.54719791,0.11619854
-5.68784392,1.14666763,0.00643261,0.02446923,0.38489715,0.14156562,0.01383676,0.78961686,0.52765565,0.10896912
-5.68184092,1.08345128,0.00606512,0.02320698,0.36819946,0.13259596,0.01266611,0.74726519,0.50794269,0.10253488
-5.67583792,1.02290629,0.00569910,0.02252354,0.35191009,0.12388529,0.01153899,0.70598306,0.48815893,0.09682678
