energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.95142781,0.35217136,0.00000000,0.00724573,1.04828385,0.07806464,0.83829049,1.96250185,0.74477139
-5.99399700,2.96252970,0.35377475,0.00000000,0.00738274,1.04438041,0.08081527,0.84991770,1.95288410,0.74309240
-5.98799400,2.95866610,0.35372919,0.00000000,0.00753088,1.03478753,0.08318230,0.85767790,1.93208700,0.73794416
-5.98199100,2.93965910,0.35204124,0.00000000,0.00768463,1.01952319,0.08513104,0.86145251,1.90033445,0.72926983
-5.97598799,2.90568532,0.34874694,0.00000000,0.00783816,0.99875789,0.08663351,0.86119175,1.85811712,0.71711421
-5.96998499,2.85726416,0.34390880,0.00000000,0.00798549,0.97280860,0.08766898,0.85691282,1.80617495,0.70162126
-5.96398199,2.79523418,0.33761241,0.00000000,0.00812067,0.94212722,0.08822442,0.84869624,1.74547084,0.68302765
-5.95797899,2.72071892,0.32996247,0.00000000,0.00823798,0.90728397,0.08829463,0.83668077,1.67715693,0.66165303
-5.95197599,2.63508408,0.32107886,0.00000000,0.00833204,0.86894685,0.08788220,0.82105713,1.60253490,0.63788735
-5.94597299,2.53988834,0.31109251,0.00000000,0.00839798,0.82785787,0.08699731,0.80206096,1.52301238,0.61217600
-5.93996998,2.43682991,0.30014158,0.00000000,0.00843159,0.78480748,0.08565727,0.77996535,1.44005725,0.58500354
-5.93396698,2.32769144,0.28836795,0.00000000,0.00842942,0.74060801,0.08388595,0.75507317,1.35515178,0.55687653
-5.92796398,2.21428541,0.27591407,0.00000000,0.00838883,0.69606751,0.08171310,0.72770967,1.26974846,0.52830649
-5.92196098,2.09840202,0.26292033,0.00000000,0.00830811,0.65196484,0.07917352,0.69821528,1.18522916,0.49979336
-5.91595798,1.98176146,0.24952293,0.00000000,0.00818648,0.60902697,0.07630618,0.66693913,1.10286884,0.47181038
-5.90995498,1.86597186,0.23585226,0.00000000,0.00802413,0.56790924,0.07315332,0.63423303,1.02380510,0.44479052
-5.90395198,1.75249413,0.22203173,0.00000000,0.00782215,0.52917919,0.06975949,0.60044623,0.94901405,0.41911517
-5.89794897,1.64261414,0.20817700,0.00000000,0.00758252,0.49330420,0.06617061,0.56592081,0.87929316,0.39510521
-5.89194597,1.53742277,0.19439557,0.00000000,0.00730803,0.46064336,0.06243310,0.53098772,0.81525099,0.37301461
-5.88594297,1.43780369,0.18078659,0.00000000,0.00700219,0.43144331,0.05859298,0.49596345,0.75730371,0.35302666
-5.87993997,1.34442860,0.16744096,0.00000000,0.00666910,0.40583816,0.05469512,0.46114721,0.70567800,0.33525282
-5.87393697,1.25775948,0.15444142,0.00000000,0.00631332,0.38385307,0.05078249,0.42681865,0.66041975,0.31973393
-5.86793397,1.17805710,0.14186289,0.00000000,0.00593974,0.36541121,0.04689555,0.39323595,0.62140766,0.30644373
-5.86193097,1.10539502,0.12977272,0.00000000,0.00555346,0.35034345,0.04307170,0.36063445,0.58837114,0.29529434
-5.85592796,1.03967825,0.11823108,0.00000000,0.00515957,0.33840058,0.03934486,0.32922567,0.56091142,0.28614350
-5.84992496,0.98066559,0.10729136,0.00000000,0.00476312,0.32926717,0.03574515,0.29919670,0.53852501,0.27880311
-5.84392196,0.92799482,0.09700057,0.00000000,0.00436891,0.32257676,0.03229863,0.27071018,0.52062875,0.27304890
-5.83791896,0.88120980,0.08739987,0.00000000,0.00398141,0.31792771,0.02902724,0.24390469,0.50658540,0.26863077
-5.83191596,0.83978860,0.07852515,0.00000000,0.00360465,0.31489922,0.02594876,0.21889562,0.49572913,0.26528344
-5.82591296,0.80317175,0.07040766,0.00000000,0.00324221,0.31306696,0.02307690,0.19577662,0.48739013,0.26273715
-5.81990995,0.77079000,0.06307482,0.00000000,0.00289707,0.31201792,0.02042146,0.17462152,0.48091766,0.26072806
-5.81390695,0.74209055,0.05655107,0.00000000,0.00257167,0.31136402,0.01798864,0.15548668,0.47570102,0.25900791
-5.80790395,0.71656125,0.05085882,0.00000000,0.00226785,0.31075410,0.01578130,0.13841375,0.47118793,0.25735281
-5.80190095,0.69375199,0.04601942,0.00000000,0.00198689,0.30988407,0.01379938,0.12343274,0.46689989,0.25557086
