energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.46353707,0.64947525,0.32046156,0.00077507,0.38475482,0.01001878,1.15930203,0.55173804,0.58899268
-5.99399700,2.48862566,0.64647924,0.31814486,0.00077421,0.40232443,0.01019535,1.15542239,0.55726757,0.60580036
-5.98799400,2.50463126,0.63951190,0.31393401,0.00077164,0.42059612,0.01032419,1.14472284,0.56130101,0.62189631
-5.98199100,2.51139708,0.62868920,0.30789717,0.00076762,0.43936411,0.01040059,1.12733977,0.56383031,0.63708951
-5.97598799,2.50894864,0.61421951,0.30014563,0.00076259,0.45838973,0.01042154,1.10356847,0.56489554,0.65118077
-5.96998499,2.49748745,0.59639573,0.29082971,0.00075717,0.47740813,0.01038587,1.07385114,0.56458199,0.66396774
-5.96398199,2.47738127,0.57558493,0.28013369,0.00075213,0.49613669,0.01029423,1.03876072,0.56301669,0.67525094
-5.95797899,2.44915153,0.55221595,0.26826976,0.00074841,0.51428485,0.01014899,0.99898108,0.56036441,0.68484048
-5.95197599,2.41345867,0.52676539,0.25547146,0.00074707,0.53156484,0.00995418,0.95528478,0.55682354,0.69256319
-5.94597299,2.37108588,0.49974279,0.24198687,0.00074926,0.54770305,0.00971530,0.90850911,0.55262180,0.69826996
-5.93996998,2.32292202,0.47167547,0.22807176,0.00075622,0.56245135,0.00943908,0.85953157,0.54801207,0.70184286
-5.93396698,2.26994393,0.44309364,0.21398293,0.00076922,0.57559780,0.00913329,0.80924571,0.54326818,0.70320177
-5.92796398,2.21319874,0.41451636,0.19997216,0.00078954,0.58697643,0.00880638,0.75853816,0.53868088,0.70231010
-5.92196098,2.15378635,0.38643876,0.18628065,0.00081844,0.59647535,0.00846725,0.70826755,0.53455375,0.69917924
-5.91595798,2.09284211,0.35932091,0.17313438,0.00085710,0.60404288,0.00812497,0.65924613,0.53119910,0.69387163
-5.90995498,2.03151998,0.33357870,0.16074021,0.00090663,0.60969144,0.00778843,0.61222419,0.52893372,0.68650208
-5.90395198,1.97097599,0.30957663,0.14928293,0.00096796,0.61349887,0.00746614,0.56787775,0.52807436,0.67723720
-5.89794897,1.91235208,0.28762291,0.13892317,0.00104189,0.61560719,0.00716597,0.52679959,0.52893293,0.66629302
-5.89194597,1.85676024,0.26796657,0.12979605,0.00112898,0.61621876,0.00689495,0.48949334,0.53181128,0.65393080
-5.88594297,1.80526701,0.25079653,0.12201063,0.00122957,0.61559017,0.00665914,0.45637063,0.53699572,0.64045107
-5.87993997,1.75887830,0.23624247,0.11564989,0.00134374,0.61402399,0.00646352,0.42775083,0.54475106,0.62618637
-5.87393697,1.71852478,0.22437726,0.11077123,0.00147127,0.61185888,0.00631189,0.40386303,0.55531464,0.61149266
-5.86793397,1.68504796,0.21522057,0.10740731,0.00161161,0.60945858,0.00620692,0.38484983,0.56889018,0.59674015
-5.86193097,1.65918715,0.20874348,0.10556715,0.00176393,0.60720012,0.00615010,0.37077242,0.58564189,0.58230362
-5.85592796,1.64156780,0.20487379,0.10523739,0.00192703,0.60546199,0.00614187,0.36161666,0.60568900,0.56855282
-5.84992496,1.63269136,0.20350171,0.10638362,0.00209940,0.60461271,0.00618169,0.35729956,0.62910099,0.55584320
-5.84392196,1.63292709,0.20448565,0.10895171,0.00227922,0.60500016,0.00626811,0.35767602,0.65589387,0.54450754
