energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.77447222,-1.24149916,0.90856738,-0.63742695,0.41359403,-0.23669189,0.38873918,-0.30391231,0.19107203,-0.09250697,0.00410280,-0.00149098,0.22023770,-0.19748116,0.03096953,-0.01109660,0.82391129,-0.56275964
-5.99399700,1.89381452,-1.19691517,0.97737002,-0.59914992,0.43214014,-0.23807928,0.41889986,-0.28245483,0.20700818,-0.08916641,0.00425981,-0.00148776,0.22679441,-0.20201762,0.03393201,-0.01147050,0.88991993,-0.52914271
-5.98799400,2.01955880,-1.15865439,1.05094674,-0.56493402,0.45307431,-0.23974246,0.44924189,-0.26257141,0.22325111,-0.08678397,0.00444627,-0.00151195,0.23577464,-0.20676808,0.03695901,-0.01205480,0.95694853,-0.49926546
-5.98199100,2.14991871,-1.12761689,1.12861066,-0.53537455,0.47600266,-0.24174742,0.47933423,-0.24461580,0.23958421,-0.08545664,0.00465951,-0.00156389,0.24704013,-0.21173777,0.04001526,-0.01285041,1.02407898,-0.47370665
-5.97598799,2.28303284,-1.10461923,1.20965069,-0.51102708,0.50050658,-0.24416576,0.50874425,-0.22890474,0.25577983,-0.08527135,0.00489632,-0.00164371,0.26043440,-0.21694577,0.04306346,-0.01385622,1.09036952,-0.45297793
-5.96998499,2.41701038,-1.09038937,1.29334958,-0.49240569,0.52615499,-0.24707653,0.53704754,-0.21571456,0.27160408,-0.08630350,0.00515312,-0.00175120,0.27578872,-0.22242770,0.04606491,-0.01506879,1.15487513,-0.43751764
-5.96398199,2.54997865,-1.08556245,1.37900260,-0.47998130,0.55251679,-0.25056770,0.56383813,-0.20527886,0.28682206,-0.08861544,0.00542603,-0.00188587,0.29292825,-0.22823756,0.04898049,-0.01648197,1.21666926,-0.42768602
-5.95797899,2.68013112,-1.09067699,1.46593630,-0.47417956,0.57917322,-0.25473687,0.58873851,-0.19778701,0.30120332,-0.09225516,0.00571093,-0.00204689,0.31167803,-0.23444866,0.05177150,-0.01808660,1.27486582,-0.42376176
-5.95197599,2.80577400,-1.10617056,1.55352664,-0.47537785,0.60572957,-0.25969114,0.61140901,-0.19338336,0.31452748,-0.09725484,0.00600362,-0.00223307,0.33186885,-0.24115312,0.05440065,-0.01987019,1.32864071,-0.42593961
-5.94597299,2.92536992,-1.13237465,1.64121573,-0.48390101,0.63182620,-0.26554576,0.63155627,-0.19216694,0.32658965,-0.10362962,0.00629986,-0.00244283,0.35334273,-0.24846021,0.05683299,-0.02181679,1.37725178,-0.43432884
-5.93996998,3.03757698,-1.16950803,1.72852680,-0.50001546,0.65714822,-0.27242165,0.64894022,-0.19419153,0.33720557,-0.11137636,0.00659546,-0.00267417,0.37595816,-0.25649305,0.05903676,-0.02390689,1.42005666,-0.44895236
-5.93396698,3.14128170,-1.21766872,1.81507655,-0.52392171,0.68143391,-0.28044162,0.66337937,-0.19946589,0.34621613,-0.12047251,0.00688637,-0.00292472,0.39959476,-0.26538398,0.06098421,-0.02611743,1.45652743,-0.46974639
-5.92796398,3.23562484,-1.27682438,1.90058453,-0.55574518,0.70448125,-0.28972547,0.67475412,-0.20795407,0.35349125,-0.13087521,0.00716872,-0.00319166,0.42415726,-0.27526860,0.06265220,-0.02842206,1.48626168,-0.49656058
-5.92196098,3.32001883,-1.34680172,1.98487914,-0.59552582,0.72615267,-0.30038396,0.68300790,-0.21957589,0.35893286,-0.14252044,0.00743888,-0.00347179,0.44957888,-0.28627860,0.06402274,-0.03079137,1.50898957,-0.52915862
-5.91595798,3.39415649,-1.42727529,2.06789987,-0.64320671,0.74637764,-0.31251208,0.68814627,-0.23420733,0.36247695,-0.15532259,0.00769352,-0.00376152,0.47582368,-0.29853384,0.06508324,-0.03319342,1.52457651,-0.56721944
-5.90995498,3.45801067,-1.51775682,2.14969570,-0.69862264,0.76515319,-0.32618180,0.69023380,-0.25168126,0.36409460,-0.16917429,0.00792958,-0.00405694,0.50288794,-0.31213391,0.06582668,-0.03559430,1.53302157,-0.61033910
-5.90395198,3.51182473,-1.61758585,2.23041951,-0.76148921,0.78254209,-0.34143479,0.68938913,-0.27178831,0.36379196,-0.18394662,0.00814436,-0.00435387,0.53080036,-0.32714962,0.06625150,-0.03795889,1.53445173,-0.65803368
