energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.36057791,-0.78091365,0.20760092,-0.20468344,0.11268374,-0.23829786,0.00104138,-0.00301531,0.05458644,-0.07011860,0.09092580,-0.19661009,0.02049345,-0.03356854,0.00248111,-0.00981244,0.16637980,-0.42607131
-5.99399700,0.34415684,-0.76814340,0.19724441,-0.20523619,0.10096024,-0.23908000,0.00108967,-0.00257314,0.04658436,-0.07439132,0.08971187,-0.19178264,0.02067138,-0.03339509,0.00261811,-0.00899623,0.16710847,-0.41339999
-5.98799400,0.33377840,-0.76413255,0.18966614,-0.21005421,0.09128960,-0.24213918,0.00117262,-0.00219103,0.03954003,-0.08072855,0.08975917,-0.18898500,0.02120402,-0.03375702,0.00282642,-0.00825605,0.17049270,-0.40442713
-5.98199100,0.32921913,-0.76928441,0.18475006,-0.21907197,0.08355365,-0.24768067,0.00129408,-0.00186546,0.03339585,-0.08912799,0.09100949,-0.18834734,0.02208409,-0.03466458,0.00311018,-0.00759167,0.17646683,-0.39940078
-5.97598799,0.33022971,-0.78398708,0.18234210,-0.23222608,0.07763032,-0.25590654,0.00145830,-0.00159273,0.02808736,-0.09959056,0.09339552,-0.18999133,0.02330340,-0.03612552,0.00347398,-0.00700250,0.18495397,-0.39855494
-5.96998499,0.33653931,-0.80858894,0.18225554,-0.24944655,0.07339600,-0.26700479,0.00166993,-0.00136912,0.02354576,-0.11211423,0.09684126,-0.19402593,0.02485280,-0.03814467,0.00392271,-0.00648765,0.19586579,-0.40210082
-5.96398199,0.34785943,-0.84337291,0.18427679,-0.27064752,0.07072760,-0.28113808,0.00193386,-0.00119100,0.01970014,-0.12668741,0.10126287,-0.20054284,0.02672216,-0.04072352,0.00446135,-0.00604590,0.20910242,-0.41021781
-5.95797899,0.36388737,-0.88853038,0.18817139,-0.29571789,0.06950421,-0.29843265,0.00225518,-0.00105499,0.01647945,-0.14328212,0.10656962,-0.20961175,0.02890029,-0.04385963,0.00509483,-0.00567575,0.22455256,-0.42304418
-5.95197599,0.38430913,-0.94413583,0.19368997,-0.32451215,0.06960821,-0.31896775,0.00263900,-0.00095799,0.01381418,-0.16184732,0.11266521,-0.22127546,0.03137487,-0.04754602,0.00582776,-0.00537534,0.24209372,-0.44066813
-5.94597299,0.40880167,-1.01012308,0.20057426,-0.35684197,0.07092611,-0.34276594,0.00309033,-0.00089731,0.01163763,-0.18230264,0.11944924,-0.23554513,0.03413237,-0.05177064,0.00666419,-0.00514251,0.26159253,-0.46311925
-5.93996998,0.43703449,-1.08626432,0.20856289,-0.39246894,0.07334887,-0.36978474,0.00361384,-0.00087065,0.00988692,-0.20453286,0.12681882,-0.25239584,0.03715792,-0.05651571,0.00760731,-0.00497470,0.28290504,-0.49036078
-5.93396698,0.46867052,-1.17215267,0.21739689,-0.43109884,0.07677192,-0.39990994,0.00421370,-0.00087616,0.00850362,-0.22838354,0.13467028,-0.27176252,0.04043517,-0.06175715,0.00865916,-0.00486901,0.30587704,-0.52228305
-5.92796398,0.50336638,-1.26718942,0.22682488,-0.47237785,0.08109491,-0.43295083,0.00489332,-0.00091244,0.00743423,-0.25365792,0.14290082,-0.29353673,0.04394614,-0.06746416,0.00982031,-0.00482219,0.33034428,-0.55869825
-5.92196098,0.54077197,-1.37057643,0.23660772,-0.51589095,0.08622105,-0.46863782,0.00565511,-0.00097848,0.00663028,-0.28011548,0.15141020,-0.31756411,0.04767100,-0.07359880,0.01108958,-0.00483060,0.35613263,-0.59933686
-5.91595798,0.58052956,-1.48131464,0.24652261,-0.56116274,0.09205648,-0.50662236,0.00650026,-0.00107366,0.00604833,-0.30747224,0.16010215,-0.34364300,0.05158792,-0.08011575,0.01246372,-0.00489030,0.38305800,-0.64384602
-5.90995498,0.62227243,-1.59820883,0.25636654,-0.60766087,0.09850933,-0.54647970,0.00742843,-0.00119769,0.00564984,-0.33540298,0.16888566,-0.37152418,0.05567276,-0.08696223,0.01393716,-0.00499706,0.41092624,-0.69178993
