energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.20563301,-2.15135993,2.76823658,-1.26438347,1.59172843,-0.64231311,0.00896742,-0.00099270,1.28023124,-0.42039331,0.05428610,-0.02397276,0.96519660,-0.90217912
-5.99399700,4.04532074,-2.18874254,2.65463748,-1.29189093,1.52708657,-0.66321921,0.00890875,-0.00107349,1.22445002,-0.44061210,0.05324378,-0.02387848,0.93616076,-0.90458184
-5.98799400,3.88045599,-2.23231058,2.53765208,-1.32280315,1.46224960,-0.68589703,0.00882174,-0.00116425,1.16742609,-0.46192326,0.05191328,-0.02401323,0.90587699,-0.90957226
-5.98199100,3.71284882,-2.28220190,2.41869018,-1.35697982,1.39785963,-0.71038362,0.00871129,-0.00126539,1.10990810,-0.48433107,0.05031763,-0.02437556,0.87453830,-0.91723124
-5.97598799,3.54425291,-2.33837564,2.29909842,-1.39416876,1.33450560,-0.73666632,0.00858281,-0.00137712,1.05258177,-0.50781592,0.04848533,-0.02495954,0.84237474,-0.92755498
-5.96998499,3.37633656,-2.40061004,2.18013611,-1.43401665,1.27271525,-0.76467861,0.00844210,-0.00149950,0.99605567,-0.53233244,0.04644951,-0.02575486,0.80965300,-0.94045610
-5.96398199,3.21065801,-2.46850616,2.06295594,-1.47608398,1.21294956,-0.79429761,0.00829514,-0.00163238,0.94085113,-0.55780870,0.04424690,-0.02674695,0.77667413,-0.95576714
-5.95797899,3.04864560,-2.54149768,1.94858940,-1.51986339,1.15559939,-0.82534357,0.00814789,-0.00177539,0.88739640,-0.58414689,0.04191682,-0.02791720,0.74376921,-0.97324625
-5.95197599,2.89158259,-2.61886664,1.83793726,-1.56480084,1.10098455,-0.85758182,0.00800612,-0.00192794,0.83602485,-0.61122569,0.03950001,-0.02924325,0.71129323,-0.99258493
-5.94597299,2.74059670,-2.69976516,1.73176459,-1.61031850,1.04935468,-0.89072707,0.00787516,-0.00208923,0.78697709,-0.63890415,0.03703756,-0.03069940,0.67961733,-1.01341755
-5.93996998,2.59665394,-2.78324228,1.63070012,-1.65583850,1.00089194,-0.92445028,0.00775977,-0.00225824,0.74040627,-0.66702744,0.03456986,-0.03225707,0.64911973,-1.03533220
-5.93396698,2.46055622,-2.86827546,1.53523913,-1.70080647,0.95571502,-0.95838796,0.00766396,-0.00243375,0.69638629,-0.69543391,0.03213559,-0.03388538,0.62017575,-1.05788271
-5.92796398,2.33294228,-2.95380537,1.44574934,-1.74471369,0.91388410,-0.99215356,0.00759079,-0.00261438,0.65492194,-0.72396360,0.02977086,-0.03555184,0.59314728,-1.08060116
-5.92196098,2.21429118,-3.03877288,1.36247900,-1.78711704,0.87540653,-1.02535073,0.00754228,-0.00279860,0.61596043,-0.75246746,0.02750843,-0.03722309,0.56837210,-1.10301070
-5.91595798,2.10492782,-3.12215656,1.28556652,-1.82765570,0.84024268,-1.05758765,0.00751936,-0.00298473,0.57940361,-0.78081701,0.02537713,-0.03886567,0.54615357,-1.12463817
-5.90995498,2.00503000,-3.20300916,1.21505086,-1.86606391,0.80831188,-1.08849204,0.00752175,-0.00317103,0.54512008,-0.80891372,0.02340133,-0.04044687,0.52675100,-1.14502609
-5.90395198,1.91463638,-3.28049123,1.15088231,-1.90217908,0.77949811,-1.11772586,0.00754800,-0.00335570,0.51295687,-0.83669763,0.02160066,-0.04193553,0.51037108,-1.16374376
-5.89794897,1.83365520,-3.35390038,1.09293292,-1.93594502,0.75365533,-1.14499915,0.00759554,-0.00353692,0.48274991,-0.86415428,0.01998981,-0.04330287,0.49716076,-1.18039701
-5.89194597,1.76187334,-3.42269451,1.04100661,-1.96740997,0.73061228,-1.17008202,0.00766072,-0.00371290,0.45433330,-0.89131975,0.01857845,-0.04452316,0.48720178,-1.19463654
-5.88594297,1.69896570,-3.48650778,0.99484835,-1.99671967,0.71017682,-1.19281429,0.00773900,-0.00388186,0.42754677,-0.91828282,0.01737133,-0.04557442,0.48050702,-1.20616453
-5.87993997,1.64450477,-3.54515834,0.95415271,-2.02410559,0.69213977,-1.21311196,0.00782504,-0.00404214,0.40224160,-0.94518414,0.01636847,-0.04643886,0.47701890,-1.21473941
-5.87393697,1.59797062,-3.59864724,0.91857149,-2.04986898,0.67627833,-1.23097016,0.00791295,-0.00419213,0.37828469,-0.97221209,0.01556538,-0.04710325,0.47660970,-1.22017887
-5.86793397,1.55876116,-3.64714837,0.88772074,-2.07436145,0.66235920,-1.24646238,0.00799649,-0.00433037,0.35556107,-0.99959509,0.01495349,-0.04755914,0.47908402,-1.22236099
-5.86193097,1.52620308,-3.69098984,0.86118719,-2.09796296,0.65014145,-1.25973566,0.00806933,-0.00445553,0.33397497,-1.02759074,0.01452051,-0.04780284,0.48418305,-1.22122378
-5.85592796,1.49956331,-3.73062748,0.83853433,-2.12105815,0.63937936,-1.27100218,0.00812524,-0.00456640,0.31344959,-1.05647196,0.01425097,-0.04783529,0.49159071,-1.21676304
-5.84992496,1.47806134,-3.76661183,0.81930834,-2.14401227,0.62982517,-1.28052743,0.00815837,-0.00466194,0.29392590,-1.08651080,0.01412669,-0.04766173,0.50094130,-1.20902896
-5.84392196,1.46088226,-3.79955024,0.80304392,-2.16714772,0.62123194,-1.28861558,0.00816344,-0.00474126,0.27536074,-1.11796060,0.01412737,-0.04729126,0.51182856,-1.19812154
-5.83791896,1.44719051,-3.83006596,0.78927029,-2.19072231,0.61335655,-1.29559289,0.00813598,-0.00480362,0.25772439,-1.15103751,0.01423115,-0.04673627,0.52381578,-1.18418510
-5.83191596,1.43614429,-3.85875649,0.77751732,-2.21491036,0.60596272,-1.30178985,0.00807241,-0.00484845,0.24099783,-1.18590225,0.01441519,-0.04601177,0.53644669,-1.16740219
-5.82591296,1.42691028,-3.88615329,0.76732181,-2.23978742,0.59882420,-1.30752322,0.00797027,-0.00487533,0.22516998,-1.22264323,0.01465628,-0.04513471,0.54925680,-1.14798695
-5.81990995,1.41867863,-3.91268507,0.75823400,-2.26531958,0.59172796,-1.31307878,0.00782820,-0.00488402,0.21023505,-1.26126214,0.01493138,-0.04412325,0.56178487,-1.12617841
-5.81390695,1.41067751,-3.93864676,0.74982400,-2.29135767,0.58447729,-1.31869585,0.00764601,-0.00487446,0.19618999,-1.30166284,0.01521819,-0.04299607,0.57358420,-1.10223366
-5.80790395,1.40218726,-3.96417582,0.74168822,-2.31763698,0.57689478,-1.32455436,0.00742470,-0.00484673,0.18303228,-1.34364439,0.01549566,-0.04177176,0.58423343,-1.07642129
-5.80190095,1.39255338,-3.98923717,0.73345547,-2.34378241,0.56882504,-1.33076519,0.00716632,-0.00480115,0.17075814,-1.38689892,0.01574446,-0.04046820,0.59334648,-1.04901513
-5.79589795,1.38119822,-4.01361779,0.72479263,-2.36931895,0.56013705,-1.33736426,0.00687394,-0.00473820,0.15936093,-1.43101457,0.01594736,-0.03910218,0.60058152,-1.02028849
-5.78989495,1.36763085,-4.03693119,0.71540971,-2.39368721,0.55072609,-1.34431085,0.00655147,-0.00465856,0.14883009,-1.47548365,0.01608963,-0.03768901,0.60564849,-0.99050894
-5.78389195,1.35145500,-4.05863162,0.70506404,-2.41626318,0.54051510,-1.35148987,0.00620352,-0.00456316,0.13915036,-1.51971579,0.01615925,-0.03624232,0.60831528,-0.95993384
-5.77788894,1.33237457,-4.07803736,0.69356360,-2.43638157,0.52945556,-1.35871826,0.00583521,-0.00445312,0.13030136,-1.56305554,0.01614711,-0.03477396,0.60841222,-0.92880664
-5.77188594,1.31019695,-4.09436172,0.68076923,-2.45336164,0.51752774,-1.36575488,0.00545198,-0.00432979,0.12225753,-1.60480374,0.01604712,-0.03329402,0.60583481,-0.89735394
-5.76588294,1.28483380,-4.10675028,0.66659574,-2.46653431,0.50474042,-1.37231347,0.00505941,-0.00419478,0.11498832,-1.64424148,0.01585616,-0.03181094,0.60054481,-0.86578347
-5.75987994,1.25629960,-4.11432232,0.65101200,-2.47526945,0.49113014,-1.37807775,0.00466303,-0.00404989,0.10845874,-1.68065576,0.01557405,-0.03033171,0.59256957,-0.83428298
-5.75387694,1.22470802,-4.11621424,0.63403981,-2.47900207,0.47675992,-1.38271793,0.00426816,-0.00389715,0.10263010,-1.71336525,0.01520338,-0.02886208,0.58199981,-0.80301994
-5.74787394,1.19026641,-4.11162273,0.61575195,-2.47725616,0.46171772,-1.38590772,0.00387977,-0.00373880,0.09746101,-1.74174515,0.01474920,-0.02740692,0.56898590,-0.77214213
-5.74187094,1.15326882,-4.09984548,0.59626925,-2.46966511,0.44611457,-1.38734076,0.00350234,-0.00357727,0.09290857,-1.76524970,0.01421880,-0.02597046,0.55373295,-0.74177905
-5.73586793,1.11408767,-4.08031728,0.57575705,-2.45598778,0.43008258,-1.38674582,0.00313980,-0.00341512,0.08892980,-1.78343140,0.01362131,-0.02455660,0.53649481,-0.71204397
-5.72986493,1.07316484,-4.05263980,0.55442109,-2.43611954,0.41377282,-1.38389978,0.00279547,-0.00325506,0.08548307,-1.79595579,0.01296734,-0.02316921,0.51756742,-0.68303659
