energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.58676774,-2.94608887,0.67256572,-2.13135612,0.28239902,-0.71601497,0.00338200,-0.00100732,0.28134608,-1.23380858,0.08613523,-0.08333172,0.43212565,-0.39334422,0.40319737,-0.25103330,0.12281906,-0.11059749
-5.99399700,1.53990229,-2.93499799,0.63900580,-2.10853322,0.26679866,-0.70442661,0.00354371,-0.00106848,0.26753147,-1.21454458,0.08677393,-0.08403981,0.42202879,-0.40797633,0.39951444,-0.25398821,0.12055905,-0.11219874
-5.98799400,1.50117949,-2.92108181,0.60841970,-2.08070990,0.25372702,-0.69252923,0.00371943,-0.00113160,0.25543055,-1.19350253,0.08762858,-0.08489921,0.41399875,-0.42268195,0.39703631,-0.25683620,0.11875638,-0.11372984
-5.98199100,1.46980464,-2.90560584,0.58046537,-2.04873162,0.24304430,-0.68073889,0.00390725,-0.00119668,0.24489060,-1.17131000,0.08865946,-0.08596032,0.40780194,-0.43748952,0.39559648,-0.25970772,0.11734668,-0.11521778
-5.97598799,1.44489552,-2.88977550,0.55477697,-2.01343803,0.23458898,-0.66943815,0.00410506,-0.00126381,0.23575252,-1.14855892,0.08982687,-0.08726683,0.40316807,-0.45243072,0.39500486,-0.26274562,0.11625929,-0.11668903
-5.96998499,1.42551593,-2.87470484,0.53098178,-1.97564282,0.22818341,-0.65896729,0.00431067,-0.00133322,0.22785643,-1.12579105,0.09109199,-0.08885403,0.39980110,-0.46753913,0.39505585,-0.26610224,0.11542001,-0.11816858
-5.96398199,1.41070689,-2.86139202,0.50871552,-1.93611725,0.22363875,-0.64961790,0.00452182,-0.00140530,0.22104631,-1.10348685,0.09241761,-0.09074740,0.39739020,-0.48284922,0.39553631,-0.26993635,0.11475373,-0.11967908
-5.95797899,1.39951490,-2.85070177,0.48763565,-1.89557769,0.22075932,-0.64162896,0.00473638,-0.00148063,0.21517361,-1.08205794,0.09376853,-0.09296147,0.39562046,-0.49839553,0.39623308,-0.27440995,0.11418687,-0.12124027
-5.95197599,1.39101639,-2.84335471,0.46743224,-1.85467702,0.21934628,-0.63518523,0.00495235,-0.00156001,0.21009994,-1.06184299,0.09511182,-0.09549922,0.39418306,-0.51421204,0.39693973,-0.27968488,0.11364952,-0.12286853
-5.94597299,1.38433815,-2.83992287,0.44783630,-1.81399948,0.21920052,-0.63041790,0.00516795,-0.00164449,0.20569866,-1.04310684,0.09641685,-0.09835174,0.39278455,-0.53033158,0.39746255,-0.28591935,0.11307733,-0.12457661
-5.93996998,1.37867344,-2.84083060,0.42862534,-1.77405835,0.22012505,-0.62740684,0.00538175,-0.00173538,0.20185554,-1.02604240,0.09765518,-0.10149835,0.39115510,-0.54678526,0.39762546,-0.29326416,0.11241294,-0.12637353
-5.93396698,1.37329396,-2.84635959,0.40962636,-1.73529594,0.22192669,-0.62618436,0.00559266,-0.00183430,0.19846875,-1.01077468,0.09880026,-0.10490716,0.38905553,-0.56360182,0.39727393,-0.30185886,0.11160710,-0.12826456
-5.92796398,1.36755798,-2.85665686,0.39071644,-1.69808491,0.22441752,-0.62673987,0.00579999,-0.00194312,0.19544807,-0.99736651,0.09982721,-0.10853591,0.38628296,-0.58080664,0.39627787,-0.31182762,0.11061944,-0.13025131
-5.92196098,1.36091497,-2.87174444,0.37182109,-1.66273041,0.22741593,-0.62902498,0.00600346,-0.00206401,0.19271377,-0.98582512,0.10071238,-0.11233325,0.38267505,-0.59842054,0.39453345,-0.32327501,0.10941884,-0.13233189
