energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.04273969,-1.76677506,0.26880475,-0.44151194,0.29586167,-0.48073474,0.01171442,-0.02354670,0.11816799,-0.24910808,0.22058841,-0.33980385,0.04059053,-0.06963824,0.01487095,-0.02782087,0.48814022,-0.79080470
-5.99399700,0.99797468,-1.66493929,0.27039635,-0.40291829,0.28998445,-0.45621657,0.01040182,-0.02215725,0.12447189,-0.22590614,0.20510096,-0.32324761,0.03757758,-0.06530732,0.01346006,-0.02612430,0.45380135,-0.75283562
-5.98799400,0.95908337,-1.56589149,0.27482739,-0.36688343,0.28534008,-0.43278937,0.00917237,-0.02071360,0.13216427,-0.20447600,0.19072321,-0.30659637,0.03490732,-0.06100905,0.01213559,-0.02441581,0.42166802,-0.71468006
-5.98199100,0.92638726,-1.47032789,0.28198091,-0.33365422,0.28199059,-0.41053596,0.00803263,-0.01923714,0.14109551,-0.18494954,0.17763499,-0.28999789,0.03261039,-0.05679319,0.01090468,-0.02271565,0.39209134,-0.67665417
-5.97598799,0.90014655,-1.37886345,0.29170143,-0.30344691,0.27999986,-0.38951201,0.00698667,-0.01774861,0.15110443,-0.16742314,0.16600156,-0.27359657,0.03071248,-0.05270693,0.00977242,-0.02104212,0.36539231,-0.63906225
-5.96998499,0.88055435,-1.29203409,0.30379481,-0.27644578,0.27942944,-0.36975246,0.00603618,-0.01626755,0.16201839,-0.15196084,0.15597281,-0.25753115,0.02923443,-0.04879399,0.00874210,-0.01941138,0.34185924,-0.60219321
-5.96398199,0.86773340,-1.21030202,0.31802969,-0.25280283,0.28033479,-0.35127826,0.00518080,-0.01481193,0.17365416,-0.13859821,0.14768277,-0.24193320,0.02819240,-0.04509408,0.00781528,-0.01783724,0.32174597,-0.56631831
-5.95797899,0.86173548,-1.13406326,0.33414046,-0.23263848,0.28276209,-0.33410289,0.00441840,-0.01339773,0.18581945,-0.12734643,0.14124938,-0.22692618,0.02759819,-0.04164241,0.00699203,-0.01633114,0.30527094,-0.53169026
-5.95197599,0.86254327,-1.06365625,0.35183177,-0.21604280,0.28674597,-0.31823826,0.00374534,-0.01203877,0.19831532,-0.11819642,0.13677457,-0.21262515,0.02745952,-0.03846953,0.00627110,-0.01490223,0.29261681,-0.49854323
-5.94597299,0.87007460,-0.99937065,0.37078434,-0.20307706,0.29230800,-0.30369964,0.00315685,-0.01074652,0.21093934,-0.11112263,0.13434430,-0.19913687,0.02778031,-0.03560130,0.00565015,-0.01355739,0.28393059,-0.46709362
-5.93996998,0.88418868,-0.94145539,0.39066202,-0.19377524,0.29945618,-0.29050938,0.00264728,-0.00953004,0.22348952,-0.10608627,0.13402868,-0.18656027,0.02856104,-0.03305902,0.00512593,-0.01230148,0.27932405,-0.43754132
-5.93396698,0.90469379,-0.89012533,0.41111973,-0.18814522,0.30818508,-0.27869919,0.00221041,-0.00839600,0.23576869,-0.10303787,0.13588197,-0.17498706,0.02979896,-0.03085965,0.00469450,-0.01113751,0.27887436,-0.41007106
-5.92796398,0.93135593,-0.84556595,0.43181205,-0.18616959,0.31847671,-0.26831089,0.00183971,-0.00734880,0.24758932,-0.10191910,0.13994245,-0.16450245,0.03148843,-0.02901614,0.00435140,-0.01006688,0.28262470,-0.38485377
-5.92196098,0.96390783,-0.80793590,0.45240204,-0.18780572,0.33030179,-0.25939590,0.00152857,-0.00639070,0.25877838,-0.10266363,0.14623209,-0.15518579,0.03362103,-0.02753775,0.00409177,-0.00908961,0.29058485,-0.36204758
-5.91595798,1.00205750,-0.77736722,0.47256984,-0.19298538,0.34362128,-0.25201327,0.00127046,-0.00552206,0.26918210,-0.10519739,0.15475592,-0.14711113,0.03618578,-0.02643047,0.00391059,-0.00820460,0.30273161,-0.34179855
-5.90995498,1.04549587,-0.75396358,0.49202087,-0.20161358,0.35838783,-0.24622682,0.00105912,-0.00474153,0.27867024,-0.10943810,0.16550128,-0.14034754,0.03916918,-0.02569732,0.00380269,-0.00740985,0.31900894,-0.32424085
-5.90395198,1.09390292,-0.73779684,0.51049298,-0.21356716,0.37454697,-0.24210147,0.00088867,-0.00404636,0.28713961,-0.11529429,0.17843675,-0.13495927,0.04255536,-0.02533870,0.00376295,-0.00670263,0.33932790,-0.30949658
-5.89794897,1.14695168,-0.72890242,0.52776238,-0.22869299,0.39203790,-0.23969911,0.00075370,-0.00343265,0.29451668,-0.12266414,0.19351093,-0.13100566,0.04632599,-0.02535268,0.00378634,-0.00607972,0.36356627,-0.29767511
