energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.68311759,-1.68312613,0.73167080,-0.73165848,0.50433299,-0.50436029,0.00242296,-0.00242257,0.46772786,-0.46775235,0.01449691,-0.01449694,0.50086965,-0.50084115,0.23075324,-0.23073412,0.04386024,-0.04385888
-5.99399700,1.66222551,-1.66224145,0.70713420,-0.70712853,0.51836184,-0.51838897,0.00208600,-0.00208565,0.47949494,-0.47952008,0.01426297,-0.01426297,0.47125321,-0.47122918,0.21120741,-0.21119116,0.04114734,-0.04114634
-5.98799400,1.64941080,-1.64943279,0.68889819,-0.68889850,0.53273967,-0.53276611,0.00178802,-0.00178771,0.49231472,-0.49233988,0.01403811,-0.01403806,0.44591336,-0.44589369,0.19433713,-0.19432375,0.03883292,-0.03883227
-5.98199100,1.64359983,-1.64362643,0.67635521,-0.67636070,0.54708880,-0.54711401,0.00152760,-0.00152734,0.50570816,-0.50573268,0.01381611,-0.01381601,0.42473138,-0.42471592,0.18009724,-0.18008668,0.03690321,-0.03690291
-5.97598799,1.64362341,-1.64365314,0.66880214,-0.66881193,0.56102766,-0.56105111,0.00130310,-0.00130288,0.51917435,-0.51919756,0.01359197,-0.01359181,0.40754664,-0.40753522,0.16841203,-0.16840424,0.03534100,-0.03534102
-5.96998499,1.64826455,-1.64829594,0.66546787,-0.66548102,0.57418390,-0.57420514,0.00111276,-0.00111257,0.53220626,-0.53222752,0.01336207,-0.01336186,0.39416866,-0.39416108,0.15918189,-0.15917678,0.03412670,-0.03412704
-5.96398199,1.65630434,-1.65633600,0.66554075,-0.66555627,0.58620724,-0.58622583,0.00095478,-0.00095463,0.54430668,-0.54432537,0.01312429,-0.01312402,0.38438779,-0.38438386,0.15228924,-0.15228670,0.03323941,-0.03324006
-5.95797899,1.66656438,-1.66659505,0.66819524,-0.66821218,0.59678128,-0.59679688,0.00082744,-0.00082732,0.55500381,-0.55501938,0.01287804,-0.01287771,0.37798432,-0.37798385,0.14760396,-0.14760389,0.03265778,-0.03265871
-5.95197599,1.67794453,-1.67797308,0.67261708,-0.67263449,0.60563419,-0.60564652,0.00072916,-0.00072908,0.56386595,-0.56387792,0.01262420,-0.01262382,0.37473576,-0.37473856,0.14498796,-0.14499023,0.03236070,-0.03236190
-5.94597299,1.68945484,-1.68948034,0.67802611,-0.67804311,0.61254762,-0.61255649,0.00065857,-0.00065852,0.57051484,-0.57052279,0.01236501,-0.01236459,0.37442216,-0.37442805,0.14429895,-0.14430342,0.03232791,-0.03232937
-5.93996998,1.70024118,-1.70026288,0.68369657,-0.68371233,0.61736362,-0.61736895,0.00061455,-0.00061453,0.57463707,-0.57464072,0.01210385,-0.01210340,0.37682978,-0.37683857,0.14539340,-0.14539995,0.03254037,-0.03254208
-5.93396698,1.70960404,-1.70962144,0.68897414,-0.68898795,0.61998939,-0.61999118,0.00059630,-0.00059631,0.57599341,-0.57599256,0.01184498,-0.01184451,0.38175309,-0.38176461,0.14812887,-0.14813736,0.03298055,-0.03298249
-5.92796398,1.71701064,-1.71702343,0.69328980,-0.69330105,0.62039968,-0.62039803,0.00060329,-0.00060333,0.57442547,-0.57442004,0.01159326,-0.01159278,0.38899556,-0.38900965,0.15236567,-0.15237595,0.03363259,-0.03363477
-5.92196098,1.72210041,-1.72210852,0.69617009,-0.69617830,0.61863682,-0.61863194,0.00063534,-0.00063542,0.56985976,-0.56984980,0.01135381,-0.01135334,0.39836956,-0.39838604,0.15796813,-0.15798006,0.03448241,-0.03448480
