energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.39016662,0.09677464,0.04315857,0.23970111,0.12762198,0.00772637,0.59009167,0.38801770,0.21373927
-5.99399700,1.51287603,0.10482607,0.04740284,0.26107466,0.13836960,0.00831414,0.64219197,0.42520030,0.23208412
-5.98799400,1.63713448,0.11285651,0.05176910,0.28284014,0.14914428,0.00891422,0.69488624,0.46319355,0.25070859
-5.98199100,1.76116172,0.12074126,0.05620410,0.30468549,0.15978362,0.00951711,0.74741218,0.50150826,0.26934049
-5.97598799,1.88308832,0.12835208,0.06064977,0.32628173,0.17011941,0.01011325,0.79896951,0.53961640,0.28769629
-5.96998499,2.00099616,0.13556062,0.06504416,0.34728991,0.17998173,0.01069320,0.84873786,0.57696097,0.30548679
-5.96398199,2.11296401,0.14224196,0.06932269,0.36736894,0.18920335,0.01124787,0.89589681,0.61296783,0.32242354
-5.95797899,2.21711672,0.14827841,0.07341948,0.38618420,0.19762432,0.01176876,0.93964742,0.64705908,0.33822573
-5.95197599,2.31167621,0.15356312,0.07726892,0.40341658,0.20509668,0.01224811,0.97923449,0.67866774,0.35262734
-5.94597299,2.39501202,0.15800367,0.08080738,0.41877146,0.21148888,0.01267918,1.01396857,0.70725289,0.36538429
-5.93996998,2.46568954,0.16152507,0.08397486,0.43198750,0.21668995,0.01305636,1.04324682,0.73231493,0.37628114
-5.93396698,2.52251357,0.16407245,0.08671668,0.44284461,0.22061295,0.01337537,1.06657181,0.75341027,0.38513729
-5.92796398,2.56456535,0.16561298,0.08898510,0.45117077,0.22319790,0.01363334,1.08356725,0.77016467,0.39181218
-5.92196098,2.59123107,0.16613703,0.09074073,0.45684757,0.22441364,0.01382891,1.09399003,0.78228485,0.39620933
-5.91595798,2.60222070,0.16565856,0.09195372,0.45981383,0.22425883,0.01396222,1.09773790,0.78956769,0.39827908
-5.90995498,2.59757597,0.16421457,0.09260472,0.46006743,0.22276190,0.01403489,1.09485229,0.79190667,0.39801981
-5.90395198,2.57766700,0.16186373,0.09268545,0.45766507,0.21997991,0.01404993,1.08551619,0.78929522,0.39547749
-5.89794897,2.54317770,0.15868422,0.09219897,0.45271989,0.21599645,0.01401161,1.07004714,0.78182674,0.39074385
-5.89194597,2.49508054,0.15477081,0.09115959,0.44539721,0.21091863,0.01392529,1.04888549,0.76969144,0.38395283
-5.88594297,2.43460164,0.15023135,0.08959236,0.43590845,0.20487319,0.01379714,1.02257853,0.75317001,0.37527583
-5.87993997,2.36317787,0.14518289,0.08753232,0.42450347,0.19800216,0.01363396,0.99176129,0.73262442,0.36491574
-5.87393697,2.28240780,0.13974747,0.08502332,0.41146179,0.19045792,0.01344287,0.95713465,0.70848631,0.35310004
-5.86793397,2.19399872,0.13404787,0.08211676,0.39708306,0.18239819,0.01323102,0.91944196,0.68124356,0.34007336
-5.86193097,2.09971201,0.12820353,0.07886997,0.38167707,0.17398098,0.01300532,0.87944508,0.65142543,0.32608970
-5.85592796,2.00130935,0.12232664,0.07534456,0.36555401,0.16535978,0.01277217,0.83790098,0.61958724,0.31140473
-5.84992496,1.90050182,0.11651882,0.07160477,0.34901515,0.15667917,0.01253724,0.79553978,0.58629496,0.29626842
-5.84392196,1.79890415,0.11086835,0.06771573,0.33234452,0.14807103,0.01230525,0.75304526,0.55211053,0.28091830
-5.83791896,1.69799570,0.10544799,0.06374193,0.31580182,0.13965148,0.01207986,0.71103839,0.51757847,0.26557366
-5.83191596,1.59908957,0.10031373,0.05974583,0.29961686,0.13151867,0.01186350,0.67006461,0.48321423,0.25043082
-5.82591296,1.50331072,0.09550415,0.05578666,0.28398570,0.12375141,0.01165741,0.63058518,0.44949469,0.23565962
-5.81990995,1.41158352,0.09104061,0.05191954,0.26906859,0.11640872,0.01146162,0.59297260,0.41685108,0.22140128
-5.81390695,1.32462863,0.08692818,0.04819482,0.25498968,0.10953020,0.01127504,0.55751025,0.38566448,0.20776748
-5.80790395,1.24296880,0.08315713,0.04465782,0.24183838,0.10313721,0.01109558,0.52439578,0.35626385,0.19484083
-5.80190095,1.16694252,0.07970495,0.04134882,0.22967224,0.09723470,0.01092033,0.49374794,0.32892654,0.18267643
-5.79589795,1.09672449,0.07653880,0.03830331,0.21852104,0.09181355,0.01074578,0.46561623,0.30388094,0.17130445
-5.78989495,1.03235130,0.07361817,0.03555256,0.20839190,0.08685337,0.01056804,0.43999264,0.28131102,0.16073351
-5.78389195,0.97375071,0.07089766,0.03312441,0.19927492,0.08232549,0.01038312,0.41682489,0.26136242,0.15095474
-5.77788894,0.92077288,0.06832972,0.03104414,0.19114919,0.07819601,0.01018709,0.39603015,0.24414949,0.14194605
-5.77188594,0.87322187,0.06586729,0.02933561,0.18398868,0.07442885,0.00997642,0.37750883,0.22976295,0.13367665
-5.76588294,0.83088581,0.06346609,0.02802228,0.17776776,0.07098851,0.00974810,0.36115750,0.21827766,0.12611144
-5.75987994,0.79356451,0.06108663,0.02712837,0.17246619,0.06784258,0.00949983,0.34688048,0.20976009,0.11921508
-5.75387694,0.76109311,0.05869575,0.02667987,0.16807313,0.06496381,0.00923016,0.33459962,0.20427504,0.11295563
-5.74787394,0.73336121,0.05626779,0.02670544,0.16459015,0.06233173,0.00893856,0.32426184,0.20189133,0.10730758
-5.74187094,0.71032657,0.05378518,0.02723716,0.16203320,0.05993376,0.00862542,0.31584436,0.20268619,0.10225417
-5.73586793,0.69202327,0.05123867,0.02831100,0.16043330,0.05776579,0.00829207,0.30935732,0.20674801,0.09778896
-5.72986493,0.67856414,0.04862711,0.02996700,0.15983610,0.05583224,0.00794069,0.30484400,0.21417750,0.09391665
-5.72386193,0.67013774,0.04595686,0.03224921,0.16030043,0.05414571,0.00757420,0.30237871,0.22508704,0.09065307
-5.71785893,0.66700019,0.04324085,0.03520514,0.16189570,0.05272611,0.00719612,0.30206253,0.23959825,0.08802456
-5.71185593,0.66946237,0.04049752,0.03888499,0.16469863,0.05159951,0.00681043,0.30401719,0.25783782,0.08606656
-5.70585293,0.67787325,0.03774950,0.04334033,0.16878918,0.05079664,0.00642136,0.30837754,0.27993171,0.08482175
-5.69984992,0.69259998,0.03502224,0.04862250,0.17424600,0.05035114,0.00603323,0.31528278,0.30599788,0.08433764
-5.69384692,0.71400557,0.03234269,0.05478058,0.18114160,0.05029775,0.00565030,0.32486701,0.33613766,0.08466385
-5.68784392,0.74242500,0.02973794,0.06185906,0.18953730,0.05067030,0.00527655,0.33724931,0.37042612,0.08584908
-5.68184092,0.77814055,0.02723405,0.06989513,0.19947833,0.05149974,0.00491561,0.35252381,0.40890164,0.08793797
-5.67583792,0.82135710,0.02485501,0.07891582,0.21098899,0.05281223,0.00457060,0.37075005,0.45155506,0.09096789
-5.66983492,0.87217832,0.02262187,0.08893498,0.22406829,0.05462731,0.00424408,0.39194392,0.49831875,0.09496580
-5.66383192,0.93058451,0.02055208,0.09995020,0.23868603,0.05695619,0.00393798,0.41606955,0.54905607,0.09994529
-5.65782891,0.99641275,0.01865903,0.11193990,0.25477955,0.05980033,0.00365361,0.44303235,0.60355167,0.10590386
-5.65182591,1.06934032,0.01695179,0.12486057,0.27225118,0.06315021,0.00339162,0.47267347,0.66150312,0.11282056
-5.64582291,1.14887200,0.01543505,0.13864456,0.29096663,0.06698439,0.00315210,0.50476596,0.72251440,0.12065409
-5.63981991,1.23433198,0.01410922,0.15319827,0.31075439,0.07126896,0.00293458,0.53901279,0.78609181,0.12934143
-5.63381691,1.32486105,0.01297064,0.16840120,0.33140610,0.07595726,0.00273813,0.57504700,0.85164265,0.13879709
-5.62781391,1.41941963,0.01201196,0.18410579,0.35267815,0.08099012,0.00256145,0.61243404,0.91847733,0.14891305
-5.62181091,1.51679701,0.01122261,0.20013828,0.37429445,0.08629637,0.00240295,0.65067642,0.98581505,0.15955940
-5.61580790,1.61562705,0.01058924,0.21630058,0.39595043,0.09179389,0.00226084,0.68922082,1.05279343,0.17058585
-5.60980490,1.71441046,0.01009634,0.23237333,0.41731824,0.09739099,0.00213321,0.72746746,1.11848199,0.18182391
-5.60380190,1.81154328,0.00972679,0.24811998,0.43805302,0.10298828,0.00201813,0.76478181,1.18189964,0.19308997
-5.59779890,1.90535119,0.00946238,0.26329190,0.45780029,0.10848079,0.00191372,0.80050820,1.24203557,0.20418894
-5.59179590,1.99412874,0.00928443,0.27763444,0.47620409,0.11376050,0.00181821,0.83398522,1.29787325,0.21491870
-5.58579290,2.07618241,0.00917425,0.29089363,0.49291585,0.11871909,0.00172997,0.86456236,1.34841673,0.22507499
-5.57978989,2.14987620,0.00911364,0.30282339,0.50760351,0.12325079,0.00164759,0.89161735,1.39271835,0.23445663
-5.57378689,2.21367803,0.00908532,0.31319292,0.51996076,0.12725539,0.00156985,0.91457377,1.42990685,0.24287100
-5.56778389,2.26620521,0.00907327,0.32179399,0.52971599,0.13064111,0.00149582,0.93291801,1.45921467,0.25013954
-5.56178089,2.30626724,0.00906304,0.32844782,0.53664054,0.13332737,0.00142478,0.94621519,1.48000334,0.25610291
-5.55577789,2.33290397,0.00904202,0.33301115,0.54055595,0.13524722,0.00135631,0.95412313,1.49178567,0.26062586
-5.54977489,2.34541751,0.00899956,0.33538132,0.54134000,0.13634946,0.00129022,0.95640385,1.49424385,0.26360136
-5.54377189,2.34339635,0.00892713,0.33550011,0.53893095,0.13660022,0.00122657,0.95293209,1.48724229,0.26495399
-5.53776888,2.32673060,0.00881832,0.33335604,0.53333011,0.13598404,0.00116570,0.94370036,1.47083478,0.26464230
-5.53176588,2.29561753,0.00866881,0.32898509,0.52460241,0.13450435,0.00110816,0.92882030,1.44526531,0.26266015
-5.52576288,2.25055705,0.00847635,0.32246979,0.51287486,0.13218327,0.00105475,0.90852017,1.41096259,0.25903685
-5.51975988,2.19233729,0.00824055,0.31393675,0.49833311,0.12906088,0.00100650,0.88313866,1.36852828,0.25383620
-5.51375688,2.12201100,0.00796276,0.30355259,0.48121615,0.12519387,0.00096468,0.85311517,1.31871953,0.24715444
-5.50775388,2.04086357,0.00764583,0.29151872,0.46180933,0.12065365,0.00093077,0.81897696,1.26242661,0.23911713
-5.50175088,1.95037428,0.00729387,0.27806490,0.44043604,0.11552403,0.00090647,0.78132382,1.20064643,0.22987520
-5.49574787,1.85217241,0.00691200,0.26344214,0.41744844,0.10989867,0.00089372,0.74081079,1.13445331,0.21960029
-5.48974487,1.74799006,0.00650608,0.24791517,0.39321750,0.10387812,0.00089466,0.69812975,1.06496819,0.20847962
-5.48374187,1.63961361,0.00608244,0.23175465,0.36812295,0.09756696,0.00091163,0.65399055,0.99332752,0.19671057
-5.47773887,1.52883590,0.00564764,0.21522976,0.34254330,0.09107083,0.00094716,0.60910252,0.92065309,0.18449515
-5.47173587,1.41741064,0.00520826,0.19860112,0.31684649,0.08449368,0.00100394,0.56415687,0.84802406,0.17203467
-5.46573287,1.30701090,0.00477065,0.18211450,0.29138142,0.07793516,0.00108477,0.51981073,0.77645197,0.15952479
-5.45972986,1.19919266,0.00434082,0.16599549,0.26647061,0.07148845,0.00119254,0.47667324,0.70685956,0.14715090
-5.45372686,1.09536462,0.00392426,0.15044515,0.24240417,0.06523833,0.00133015,0.43529401,0.64006400,0.13508434
-5.44772386,0.99676455,0.00352590,0.13563689,0.21943530,0.05925978,0.00150044,0.39615416,0.57676470,0.12347914
