energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.73004629,0.07928795,0.07026507,0.00839171,0.67798570,0.27357530,0.15505502,0.53181425,0.32952339
-5.99399700,1.72805590,0.07607253,0.07279835,0.00852697,0.67212442,0.27133607,0.15116333,0.53972765,0.33258059
-5.98799400,1.72120493,0.07282707,0.07502251,0.00865350,0.66437820,0.26871080,0.14681622,0.54538944,0.33469298
-5.98199100,1.70979531,0.06960979,0.07691249,0.00877301,0.65493195,0.26578051,0.14210375,0.54875096,0.33588013
-5.97598799,1.69420621,0.06647786,0.07844904,0.00888751,0.64400144,0.26263247,0.13711937,0.54980576,0.33617630
-5.96998499,1.67487626,0.06348562,0.07961888,0.00899916,0.63182527,0.25935640,0.13195716,0.54858807,0.33562747
-5.96398199,1.65228406,0.06068278,0.08041471,0.00911014,0.61865600,0.25604054,0.12670929,0.54516995,0.33428808
-5.95797899,1.62692796,0.05811291,0.08083495,0.00922244,0.60475103,0.25276780,0.12146350,0.53965733,0.33221763
-5.95197599,1.59930591,0.05581205,0.08088344,0.00933773,0.59036347,0.24961216,0.11630085,0.53218520,0.32947738
-5.94597299,1.56989632,0.05380766,0.08056896,0.00945717,0.57573342,0.24663552,0.11129373,0.52291197,0.32612727
-5.93996998,1.53914083,0.05211782,0.07990466,0.00958134,0.56107998,0.24388503,0.10650417,0.51201365,0.32222325
-5.93396698,1.50742962,0.05075082,0.07890748,0.00971010,0.54659439,0.24139108,0.10198261,0.49967780,0.31781511
-5.92796398,1.47509010,0.04970498,0.07759750,0.00984255,0.53243444,0.23916604,0.09776700,0.48609778,0.31294493
-5.92196098,1.44237912,0.04896893,0.07599735,0.00997702,0.51872057,0.23720382,0.09388243,0.47146745,0.30764626
-5.91595798,1.40947933,0.04852207,0.07413165,0.01011107,0.50553364,0.23548025,0.09034108,0.45597654,0.30194392
-5.90995498,1.37649941,0.04833543,0.07202655,0.01024153,0.49291454,0.23395426,0.08714269,0.43980695,0.29585450
-5.90395198,1.34347829,0.04837273,0.06970928,0.01036465,0.48086556,0.23256986,0.08427540,0.42312996,0.28938752
-5.89794897,1.31039290,0.04859169,0.06720782,0.01047616,0.46935356,0.23125885,0.08171696,0.40610452,0.28254703
-5.89194597,1.27716898,0.04894545,0.06455067,0.01057146,0.45831460,0.22994408,0.07943624,0.38887648,0.27533361
-5.88594297,1.24369435,0.04938419,0.06176663,0.01064582,0.44765996,0.22854320,0.07739499,0.37157880,0.26774669
-5.87993997,1.20983377,0.04985676,0.05888468,0.01069449,0.43728310,0.22697274,0.07554980,0.35433246,0.25978687
-5.87393697,1.17544477,0.05031234,0.05593388,0.01071298,0.42706735,0.22515226,0.07385412,0.33724810,0.25145825
-5.86793397,1.14039347,0.05070201,0.05294327,0.01069718,0.41689388,0.22300853,0.07226038,0.32042799,0.24277058
-5.86193097,1.10456966,0.05098027,0.04994178,0.01064357,0.40664957,0.22047943,0.07072198,0.30396827,0.23374110
