energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.13732717,0.03283795,0.00000000,0.00824386,0.23036574,0.01875521,1.94567638,1.78992967,0.42978788
-5.99399700,3.19779332,0.03379627,0.00000000,0.00822215,0.23472511,0.01879979,1.98471720,1.83389836,0.43780289
-5.98799400,3.24793362,0.03464378,0.00000000,0.00821565,0.23861348,0.01878965,2.01711413,1.87042528,0.44484040
-5.98199100,3.28689731,0.03537097,0.00000000,0.00822269,0.24192081,0.01871966,2.04239259,1.89898587,0.45074058
-5.97598799,3.31406121,0.03597049,0.00000000,0.00824139,0.24455474,0.01858625,2.06021353,1.91919513,0.45537369
-5.96998499,3.32903385,0.03643711,0.00000000,0.00826969,0.24644149,0.01838748,2.07037560,1.93081152,0.45864107
-5.96398199,3.33165168,0.03676775,0.00000000,0.00830543,0.24752617,0.01812305,2.07281251,1.93373678,0.46047498
-5.95797899,3.32196802,0.03696134,0.00000000,0.00834629,0.24777250,0.01779430,2.06758626,1.92801187,0.46083743
-5.95197599,3.30023590,0.03701870,0.00000000,0.00838988,0.24716211,0.01740406,2.05487641,1.91380941,0.45971818
-5.94597299,3.26688583,0.03694234,0.00000000,0.00843367,0.24569340,0.01695651,2.03496654,1.89142330,0.45713200
-5.93996998,3.22249989,0.03673625,0.00000000,0.00847509,0.24337997,0.01645697,2.00822843,1.86125578,0.45311545
-5.93396698,3.16778374,0.03640564,0.00000000,0.00851147,0.24024896,0.01591165,1.97510504,1.82380293,0.44772341
-5.92796398,3.10353774,0.03595673,0.00000000,0.00854014,0.23633900,0.01532743,1.93609310,1.77963892,0.44102545
-5.92196098,3.03062880,0.03539652,0.00000000,0.00855844,0.23169825,0.01471157,1.89172615,1.72939989,0.43310226
-5.91595798,2.94996395,0.03473256,0.00000000,0.00856374,0.22638235,0.01407146,1.84255874,1.67376782,0.42404246
-5.90995498,2.86246673,0.03397278,0.00000000,0.00855358,0.22045243,0.01341441,1.78915250,1.61345505,0.41393960
-5.90395198,2.76905711,0.03312535,0.00000000,0.00852568,0.21397329,0.01274745,1.73206439,1.54918980,0.40288977
-5.89794897,2.67063543,0.03219858,0.00000000,0.00847807,0.20701181,0.01207711,1.67183747,1.48170296,0.39098975
-5.89194597,2.56807057,0.03120079,0.00000000,0.00840915,0.19963548,0.01140937,1.60899435,1.41171661,0.37833557
-5.88594297,2.46219224,0.03014032,0.00000000,0.00831779,0.19191134,0.01074948,1.54403312,1.33993407,0.36502182
-5.87993997,2.35378719,0.02902552,0.00000000,0.00820343,0.18390509,0.01010198,1.47742573,1.26703186,0.35114129
-5.87393697,2.24359871,0.02786470,0.00000000,0.00806614,0.17568053,0.00947067,1.40961836,1.19365339,0.33678510
-5.86793397,2.13232904,0.02666620,0.00000000,0.00790670,0.16729922,0.00885861,1.34103337,1.12040429,0.32204319
-5.86193097,2.02064367,0.02543841,0.00000000,0.00772664,0.15882041,0.00826821,1.27207247,1.04784937,0.30700499
-5.85592796,1.90917696,0.02418979,0.00000000,0.00752824,0.15030114,0.00770127,1.20312051,0.97651092,0.29176024
-5.84992496,1.79853828,0.02292891,0.00000000,0.00731457,0.14179650,0.00715910,1.13454936,0.90686826,0.27639979
-5.84392196,1.68931799,0.02166442,0.00000000,0.00708942,0.13335995,0.00664258,1.06672168,0.83935821,0.26101632
-5.83791896,1.58209257,0.02040509,0.00000000,0.00685725,0.12504376,0.00615231,0.99999388,0.77437652,0.24570496
-5.83191596,1.47742859,0.01915976,0.00000000,0.00662314,0.11689942,0.00568868,0.93471826,0.71227974,0.23056356
-5.82591296,1.37588497,0.01793726,0.00000000,0.00639258,0.10897803,0.00525197,0.87124396,0.65338757,0.21569278
-5.81990995,1.27801354,0.01674637,0.00000000,0.00617146,0.10133060,0.00484242,0.80991669,0.59798549,0.20119581
-5.81390695,1.18435774,0.01559572,0.00000000,0.00596581,0.09400828,0.00446032,0.75107726,0.54632731,0.18717786
-5.80790395,1.09544957,0.01449366,0.00000000,0.00578167,0.08706249,0.00410604,0.69505892,0.49863778,0.17374529
-5.80190095,1.01180486,0.01344814,0.00000000,0.00562493,0.08054487,0.00378007,0.64218376,0.45511478,0.16100456
-5.79589795,0.93391741,0.01246658,0.00000000,0.00550111,0.07450716,0.00348307,0.59275826,0.41593129,0.14906088
-5.78989495,0.86225194,0.01155574,0.00000000,0.00541523,0.06900088,0.00321585,0.54706836,0.38123675,0.13801680
-5.78389195,0.79723650,0.01072157,0.00000000,0.00537156,0.06407691,0.00297938,0.50537416,0.35115787,0.12797055
-5.77788894,0.73925451,0.00996911,0.00000000,0.00537356,0.05978496,0.00277477,0.46790468,0.32579873,0.11901442
-5.77188594,0.68863682,0.00930233,0.00000000,0.00542367,0.05617279,0.00260327,0.43485275,0.30524012,0.11123305
-5.76588294,0.64565403,0.00872412,0.00000000,0.00552323,0.05328548,0.00246620,0.40637031,0.28953812,0.10470175
-5.75987994,0.61050939,0.00823612,0.00000000,0.00567239,0.05116443,0.00236500,0.38256435,0.27872189,0.09948481
-5.75387694,0.58333239,0.00783876,0.00000000,0.00587006,0.04984636,0.00230112,0.36349354,0.27279060,0.09563397
-5.74787394,0.56417329,0.00753116,0.00000000,0.00611389,0.04936209,0.00227601,0.34916566,0.27170987,0.09318687
-5.74187094,0.55299859,0.00731119,0.00000000,0.00640030,0.04973539,0.00229113,0.33953595,0.27540750,0.09216570
-5.73586793,0.54968778,0.00717546,0.00000000,0.00672451,0.05098170,0.00234782,0.33450639,0.28376895,0.09257594
-5.72986493,0.55403110,0.00711939,0.00000000,0.00708068,0.05310677,0.00244737,0.33392583,0.29663270,0.09440529
-5.72386193,0.56572881,0.00713728,0.00000000,0.00746200,0.05610549,0.00259091,0.33759121,0.31378579,0.09762279
-5.71785893,0.58439168,0.00722241,0.00000000,0.00786090,0.05996063,0.00277939,0.34524948,0.33495983,0.10217823
-5.71185593,0.60954307,0.00736716,0.00000000,0.00826917,0.06464186,0.00301355,0.35660061,0.35982801,0.10800177
-5.70585293,0.64062253,0.00756313,0.00000000,0.00867826,0.07010485,0.00329386,0.37130131,0.38800321,0.11500399
-5.69984992,0.67699107,0.00780132,0.00000000,0.00907945,0.07629076,0.00362049,0.38896964,0.41903783,0.12307627
-5.69384692,0.71793812,0.00807229,0.00000000,0.00946413,0.08312606,0.00399329,0.40919032,0.45242546,0.13209166
-5.68784392,0.76269025,0.00836629,0.00000000,0.00982401,0.09052267,0.00441166,0.43152077,0.48760474,0.14190620
-5.68184092,0.81042166,0.00867351,0.00000000,0.01015138,0.09837870,0.00487460,0.45549780,0.52396561,0.15236073
-5.67583792,0.86026623,0.00898421,0.00000000,0.01043929,0.10657963,0.00538061,0.48064471,0.56085794,0.16328323
-5.66983492,0.91133118,0.00928893,0.00000000,0.01068178,0.11500002,0.00592763,0.50647888,0.59760251,0.17449166
-5.66383192,0.96271191,0.00957867,0.00000000,0.01087401,0.12350573,0.00651304,0.53251955,0.63350423,0.18579720
-5.65782891,1.01350791,0.00984505,0.00000000,0.01101239,0.13195663,0.00713360,0.55829570,0.66786714,0.19700795
-5.65182591,1.06283919,0.01008046,0.00000000,0.01109463,0.14020972,0.00778542,0.58335381,0.70001092,0.20793284
