energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.89176643,0.00516699,0.43659230,0.02317972,0.81010485,0.34828639,0.24246931,0.39858292,0.48188106
-5.99399700,1.98254222,0.00534772,0.45987785,0.02353884,0.84749478,0.36680617,0.25124644,0.42433376,0.50687807
-5.98799400,2.06947774,0.00550787,0.48212791,0.02374207,0.88364732,0.38532271,0.25940362,0.44971022,0.53077388
-5.98199100,2.15152567,0.00564463,0.50303567,0.02378668,0.91816283,0.40357429,0.26685909,0.47441435,0.55323736
-5.97598799,2.22772840,0.00575590,0.52230805,0.02367348,0.95068317,0.42130612,0.27355118,0.49815411,0.57395354
-5.96998499,2.29723311,0.00584032,0.53967151,0.02340673,0.98089625,0.43827514,0.27943843,0.52064861,0.59262979
-5.96398199,2.35930309,0.00589730,0.55487757,0.02299402,1.00853847,0.45425422,0.28449891,0.54163297,0.60900155
-5.95797899,2.41332505,0.00592695,0.56770778,0.02244590,1.03339505,0.46903569,0.28872859,0.56086291,0.62283740
-5.95197599,2.45881254,0.00593010,0.57797816,0.02177556,1.05529835,0.48243411,0.29213903,0.57811874,0.63394349
-5.94597299,2.49540561,0.00590820,0.58554282,0.02099828,1.07412459,0.49428829,0.29475451,0.59320880,0.64216705
-5.93996998,2.52286713,0.00586325,0.59029683,0.02013092,1.08978908,0.50446252,0.29660876,0.60597214,0.64739900
-5.93396698,2.54107640,0.00579765,0.59217812,0.01919130,1.10224065,0.51284711,0.29774148,0.61628058,0.64957554
-5.92796398,2.55002062,0.00571414,0.59116844,0.01819766,1.11145558,0.51935825,0.29819494,0.62403995,0.64867880
-5.92196098,2.54978497,0.00561567,0.58729339,0.01716804,1.11743153,0.52393735,0.29801085,0.62919071,0.64473641
-5.91595798,2.54054204,0.00550527,0.58062140,0.01611976,1.12018199,0.52654999,0.29722766,0.63170789,0.63782017
-5.90995498,2.52254131,0.00538596,0.57126188,0.01506898,1.11973171,0.52718451,0.29587847,0.63160048,0.62804372
-5.90395198,2.49609928,0.00526067,0.55936240,0.01403026,1.11611325,0.52585052,0.29398972,0.62891034,0.61555955
-5.89794897,2.46159074,0.00513215,0.54510524,0.01301631,1.10936521,0.52257735,0.29158067,0.62371079,0.60055509
-5.89194597,2.41944161,0.00500299,0.52870317,0.01203778,1.09953188,0.51741256,0.28866375,0.61610485,0.58324843
-5.88594297,2.37012342,0.00487554,0.51039471,0.01110317,1.08666470,0.51042064,0.28524568,0.60622338,0.56388338
-5.87993997,2.31414947,0.00475193,0.49043911,0.01021879,1.07082504,0.50168186,0.28132940,0.59422297,0.54272439
-5.87393697,2.25207262,0.00463416,0.46911093,0.00938890,1.05208831,0.49129140,0.27691648,0.58028390,0.52005121
-5.86793397,2.18448420,0.00452406,0.44669463,0.00861582,1.03054889,0.47935862,0.27201003,0.56460794,0.49615350
-5.86193097,2.11201378,0.00442343,0.42347919,0.00790016,1.00632556,0.46600652,0.26661780,0.54741609,0.47132562
-5.85592796,2.03532923,0.00433408,0.39975284,0.00724107,0.97956684,0.45137122,0.26075527,0.52894630,0.44586155
-5.84992496,1.95513646,0.00425790,0.37579818,0.00663655,0.95045584,0.43560150,0.25444855,0.50945095,0.42005020
-5.84392196,1.87217834,0.00419694,0.35188758,0.00608370,0.91921412,0.41885810,0.24773682,0.48919421,0.39417103
-5.83791896,1.78723228,0.00415346,0.32827912,0.00557902,0.88610414,0.40131290,0.24067424,0.46844911,0.36849015
-5.83191596,1.70110607,0.00412997,0.30521301,0.00511869,0.85142991,0.38314772,0.23333098,0.44749428,0.34325697
-5.82591296,1.61463158,0.00412926,0.28290856,0.00469879,0.81553580,0.36455274,0.22579359,0.42661041,0.31870125
-5.81990995,1.52865634,0.00415437,0.26156173,0.00431549,0.77880308,0.34572452,0.21816425,0.40607623,0.29503077
-5.81390695,1.44403287,0.00420857,0.24134320,0.00396527,0.74164452,0.32686350,0.21055927,0.38616423,0.27242942
-5.80790395,1.36160597,0.00429528,0.22239705,0.00364496,0.70449702,0.30817121,0.20310668,0.36713606,0.25105583
-5.80190095,1.28219846,0.00441799,0.20483986,0.00335186,0.66781257,0.28984700,0.19594303,0.34923768,0.23104244
-5.79589795,1.20659555,0.00458014,0.18876039,0.00308379,0.63204793,0.27208459,0.18920957,0.33269444,0.21249501
-5.78989495,1.13552877,0.00478499,0.17421962,0.00283907,0.59765339,0.25506839,0.18304800,0.31770625,0.19549255
-5.78389195,1.06965994,0.00503543,0.16125133,0.00261649,0.56506124,0.23896992,0.17759588,0.30444292,0.18008759
-5.77788894,1.00956585,0.00533390,0.14986296,0.00241529,0.53467430,0.22394432,0.17298199,0.29304006,0.16630686
-5.77188594,0.95572463,0.00568212,0.14003691,0.00223506,0.50685515,0.21012710,0.16932183,0.28359548,0.15415226
-5.76588294,0.90850415,0.00608106,0.13173219,0.00207572,0.48191649,0.19763145,0.16671340,0.27616659,0.14360229
-5.75987994,0.86815334,0.00653068,0.12488642,0.00193736,0.46011297,0.18654602,0.16523349,0.27076874,0.13461362
-5.75387694,0.83479674,0.00702990,0.11941815,0.00182022,0.44163502,0.17693345,0.16493458,0.26737478,0.12712316
-5.74787394,0.80843277,0.00757645,0.11522954,0.00172462,0.42660480,0.16882963,0.16584256,0.26591596,0.12105034
-5.74187094,0.78893592,0.00816684,0.11220932,0.00165081,0.41507441,0.16224381,0.16795526,0.26628415,0.11629975
-5.73586793,0.77606282,0.00879634,0.11023603,0.00159903,0.40702665,0.15715953,0.17124191,0.26833550,0.11276401
-5.72986493,0.76946231,0.00945898,0.10918153,0.00156935,0.40237801,0.15353645,0.17564351,0.27189542,0.11032696
-5.72386193,0.76868916,0.01014761,0.10891470,0.00156172,0.40098411,0.15131290,0.18107419,0.27676484,0.10886699
-5.71785893,0.77322098,0.01085402,0.10930523,0.00157588,0.40264708,0.15040927,0.18742342,0.28272747,0.10826060
-5.71185593,0.78247805,0.01156907,0.11022749,0.00161142,0.40712501,0.15073198,0.19455901,0.28955801,0.10838603
-5.70585293,0.79584526,0.01228286,0.11156436,0.00166770,0.41414277,0.15217807,0.20233088,0.29703084,0.10912688
-5.69984992,0.81269563,0.01298497,0.11321084,0.00174395,0.42340425,0.15464018,0.21057549,0.30492909,0.11037566
-5.69384692,0.83241448,0.01366465,0.11507741,0.00183924,0.43460528,0.15801183,0.21912068,0.31305357,0.11203723
-5.68784392,0.85442368,0.01431115,0.11709294,0.00195253,0.44744716,0.16219286,0.22779090,0.32123136,0.11403185
-5.68184092,0.87820493,0.01491392,0.11920716,0.00208270,0.46165010,0.16709480,0.23641263,0.32932362,0.11629795
-5.67583792,0.90332149,0.01546292,0.12139232,0.00222861,0.47696628,0.17264614,0.24481987,0.33723226,0.11879428
-5.66983492,0.92943728,0.01594889,0.12364422,0.00238913,0.49319210,0.17879711,0.25285941,0.34490537,0.12150161
-5.66383192,0.95633284,0.01636361,0.12598238,0.00256322,0.51017902,0.18552401,0.26039589,0.35234078,0.12442356
-5.65782891,0.98391734,0.01670012,0.12844921,0.00274992,0.52784276,0.19283271,0.26731635,0.35958791,0.12758684
-5.65182591,1.01223597,0.01695294,0.13110841,0.00294842,0.54617026,0.20076130,0.27353413,0.36674748,0.13104054
-5.64582291,1.04147228,0.01711823,0.13404233,0.00315810,0.56522409,0.20938159,0.27899201,0.37396916,0.13485459
-5.63981991,1.07194506,0.01719392,0.13734854,0.00337852,0.58514395,0.21879931,0.28366446,0.38144702,0.13911742
-5.63381691,1.10409951,0.01717977,0.14113554,0.00360944,0.60614497,0.22915302,0.28755882,0.38941299,0.14393265
-5.62781391,1.13849269,0.01707744,0.14551789,0.00385083,0.62851262,0.24061131,0.29071536,0.39812833,0.14941517
-5.62181091,1.17577334,0.01689040,0.15061080,0.00410281,0.65259407,0.25336862,0.29320624,0.40787346,0.15568631
-5.61580790,1.21665647,0.01662390,0.15652439,0.00436565,0.67878613,0.26763925,0.29513326,0.41893641,0.16286865
-5.60980490,1.26189334,0.01628481,0.16335796,0.00463970,0.70751983,0.28364997,0.29662440,0.43160021,0.17108023
-5.60380190,1.31223761,0.01588143,0.17119427,0.00492536,0.73924198,0.30163108,0.29782939,0.44612976,0.18042868
-5.59779890,1.36840868,0.01542330,0.18009436,0.00522298,0.77439422,0.32180629,0.29891431,0.46275858,0.19100517
-5.59179590,1.43105362,0.01492089,0.19009288,0.00553283,0.81339019,0.34438151,0.30005534,0.48167593,0.20287868
-5.58579290,1.50070886,0.01438533,0.20119440,0.00585501,0.85659151,0.36953316,0.30143202,0.50301496,0.21609069
-5.57978989,1.57776343,0.01382810,0.21337073,0.00618943,0.90428357,0.39739608,0.30322016,0.52684219,0.23065048
-5.57378689,1.66242525,0.01326071,0.22655953,0.00653572,0.95665221,0.42805188,0.30558468,0.55314898,0.24653139
-5.56778389,1.75469204,0.01269438,0.24066424,0.00689323,1.01376211,0.46151792,0.30867270,0.58184542,0.26366825
-5.56178089,1.85432843,0.01213970,0.25555554,0.00726104,1.07553824,0.49773770,0.31260710,0.61275687,0.28195599
-5.55577789,1.96085066,0.01160641,0.27107411,0.00763795,1.14175127,0.53657310,0.31748092,0.64562353,0.30124977
-5.54977489,2.07351984,0.01110308,0.28703486,0.00802250,1.21200788,0.57779894,0.32335280,0.68010320,0.32136659
-5.54377189,2.19134473,0.01063693,0.30323240,0.00841310,1.28574684,0.62110038,0.33024360,0.71577717,0.34208840
-5.53776888,2.31309433,0.01021367,0.31944743,0.00880803,1.36224133,0.66607347,0.33813449,0.75215929,0.36316671
-5.53176588,2.43732031,0.00983734,0.33545400,0.00920558,1.44060788,0.71222907,0.34696650,0.78870778,0.38432856
-5.52576288,2.56238879,0.00951031,0.35102713,0.00960416,1.51982197,0.75900029,0.35664167,0.82483957,0.40528357
-5.51975988,2.68652049,0.00923324,0.36595058,0.01000234,1.59873999,0.80575330,0.36702559,0.85994665,0.42573197
-5.51375688,2.80783797,0.00900513,0.38002436,0.01039904,1.67612697,0.85180135,0.37795145,0.89341368,0.44537318
-5.50775388,2.92441817,0.00882344,0.39307154,0.01079353,1.75068919,0.89642162,0.38922521,0.92463646,0.46391465
-5.50175088,3.03434812,0.00868425,0.40494415,0.01118555,1.82111050,0.93887429,0.40063180,0.95304023,0.48108053
-5.49574787,3.13578181,0.00858242,0.41552783,0.01157530,1.88609104,0.97842317,0.41194210,0.97809728,0.49661993
-5.48974487,3.22699552,0.00851185,0.42474492,0.01196349,1.94438664,1.01435719,0.42292026,0.99934311,0.51031419
-5.48374187,3.30643964,0.00846572,0.43255597,0.01235125,1.99484755,1.04601180,0.43333117,1.01639035,0.52198312
-5.47773887,3.37278457,0.00843674,0.43895951,0.01274012,2.03645466,1.07278940,0.44294779,1.02894011,0.53148967
-5.47173587,3.42495890,0.00841745,0.44399006,0.01313190,2.06835170,1.09417807,0.45155789,1.03679011,0.53874304
-5.46573287,3.46217837,0.00840043,0.44771469,0.01352855,2.08987220,1.10976759,0.45897016,1.03983939,0.54370002
-5.45972986,3.48396440,0.00837861,0.45022814,0.01393203,2.10055994,1.11926226,0.46501930,1.03808951,0.54636455
-5.45372686,3.49015177,0.00834545,0.45164686,0.01434414,2.10018204,1.12248990,0.46957005,1.03164215,0.54678559
-5.44772386,3.48088538,0.00829514,0.45210231,0.01476635,2.08873434,1.11940655,0.47251999,1.02069339,0.54505339
