energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.78813374,0.24688838,0.38172659,0.00437407,0.43210284,0.00435797,0.68727247,0.26840246,0.41743201
-5.99399700,1.75606140,0.23871272,0.38558882,0.00461919,0.42109829,0.00443073,0.67680061,0.26070701,0.40874948
-5.98799400,1.72749495,0.23160492,0.38992309,0.00486954,0.41072679,0.00451135,0.66804527,0.25412522,0.40061504
-5.98199100,1.70278076,0.22564631,0.39461513,0.00512259,0.40116663,0.00459596,0.66107409,0.24877577,0.39317003
-5.97598799,1.68217870,0.22090750,0.39953509,0.00537577,0.39257488,0.00468062,0.65592278,0.24476309,0.38653954
-5.96998499,1.66587281,0.21745091,0.40454478,0.00562659,0.38508579,0.00476139,0.65260311,0.24217835,0.38083164
-5.96398199,1.65398431,0.21533347,0.40950532,0.00587278,0.37880962,0.00483442,0.65111188,0.24110047,0.37613690
-5.95797899,1.64658597,0.21460939,0.41428508,0.00611241,0.37383198,0.00489609,0.65144018,0.24159726,0.37252829
-5.95197599,1.64371625,0.21533251,0.41876709,0.00634397,0.37021341,0.00494309,0.65358210,0.24372623,0.37006114
-5.94597299,1.64539214,0.21755818,0.42285577,0.00656653,0.36798921,0.00497255,0.65754243,0.24753511,0.36877328
-5.93996998,1.65161936,0.22134437,0.42648227,0.00677971,0.36716929,0.00498212,0.66334244,0.25306171,0.36868493
-5.93396698,1.66239923,0.22675180,0.42960830,0.00698377,0.36773817,0.00497008,0.67102360,0.26033322,0.36979866
-5.92796398,1.67773131,0.23384304,0.43222801,0.00717956,0.36965492,0.00493540,0.68064850,0.26936476,0.37209909
-5.92196098,1.69761184,0.24268051,0.43436792,0.00736850,0.37285316,0.00487772,0.69229912,0.28015733,0.37555245
-5.91595798,1.72202792,0.25332346,0.43608479,0.00755244,0.37724122,0.00479746,0.70607233,0.29269510,0.38010614
-5.90995498,1.75094797,0.26582397,0.43746154,0.00773358,0.38270245,0.00469571,0.72207284,0.30694248,0.38568829
-5.90395198,1.78430935,0.28022232,0.43860159,0.00791430,0.38909594,0.00457426,0.74040410,0.32284081,0.39220751
-5.89794897,1.82200416,0.29654174,0.43962169,0.00809695,0.39625773,0.00443549,0.76115761,0.34030533,0.39955295
-5.89194597,1.86386463,0.31478319,0.44064402,0.00828372,0.40400266,0.00428233,0.78440145,0.35922242,0.40759489
-5.88594297,1.90964944,0.33492024,0.44178773,0.00847638,0.41212696,0.00411815,0.81016873,0.37944761,0.41618597
-5.87993997,1.95903232,0.35689451,0.44316063,0.00867617,0.42041176,0.00394662,0.83844681,0.40080450,0.42516313
-5.87393697,2.01159427,0.38061214,0.44485155,0.00888360,0.42862744,0.00377167,0.86916808,0.42308492,0.43435038
-5.86793397,2.06682038,0.40594136,0.44692370,0.00909831,0.43653884,0.00359734,0.90220289,0.44605047,0.44356244
-5.86193097,2.12410202,0.43271165,0.44940962,0.00931905,0.44391122,0.00342769,0.93735541,0.46943556,0.45260908
-5.85592796,2.18274462,0.46071451,0.45230787,0.00954358,0.45051683,0.00326672,0.97436257,0.49295193,0.46130011
-5.84992496,2.24198121,0.48970600,0.45558182,0.00976872,0.45614175,0.00311825,1.01289650,0.51629456,0.46945084
-5.84392196,2.30099104,0.51941105,0.45916044,0.00999043,0.46059287,0.00298594,1.05257029,0.53914893,0.47688771
-5.83791896,2.35892258,0.54952925,0.46294122,0.01020389,0.46370455,0.00287314,1.09294697,0.56119908,0.48345384
-5.83191596,2.41491966,0.57974214,0.46679484,0.01040370,0.46534467,0.00278292,1.13355120,0.58213640,0.48901430
-5.82591296,2.46814942,0.60972148,0.47057150,0.01058409,0.46541978,0.00271804,1.17388305,0.60166862,0.49346058
-5.81990995,2.51783038,0.63913823,0.47410834,0.01073912,0.46387905,0.00268090,1.21343324,0.61952858,0.49671429
-5.81390695,2.56325919,0.66767167,0.47723767,0.01086295,0.46071666,0.00267356,1.25169896,0.63548236,0.49872956
-5.80790395,2.60383441,0.69501839,0.47979540,0.01095006,0.45597269,0.00269772,1.28819938,0.64933640,0.49949428
-5.80190095,2.63907607,0.72090050,0.48162928,0.01099554,0.44973218,0.00275474,1.32249006,0.66094312,0.49902987
-5.79589795,2.66863978,0.74507282,0.48260641,0.01099527,0.44212254,0.00284560,1.35417561,0.67020499,0.49738968
-5.78989495,2.69232482,0.76732853,0.48261977,0.01094608,0.43330932,0.00297090,1.38291976,0.67707653,0.49465609
-5.78389195,2.71007564,0.78750310,0.48159320,0.01084594,0.42349053,0.00313085,1.40845263,0.68156445,0.49093642
-5.77788894,2.72197692,0.80547637,0.47948485,0.01069404,0.41288981,0.00332527,1.43057469,0.68372577,0.48635798
-5.77188594,2.72824246,0.82117265,0.47628881,0.01049081,0.40174865,0.00355352,1.44915752,0.68366410,0.48106233
-5.76588294,2.72919879,0.83455882,0.47203499,0.01023789,0.39031820,0.00381449,1.46414133,0.68152419,0.47519932
-5.75987994,2.72526431,0.84564084,0.46678723,0.00993813,0.37885086,0.00410660,1.47552967,0.67748527,0.46892092
-5.75387694,2.71692541,0.85445863,0.46063995,0.00959541,0.36759206,0.00442774,1.48338166,0.67175330,0.46237541
-5.74787394,2.70471084,0.86107990,0.45371341,0.00921455,0.35677268,0.00477530,1.48780241,0.66455267,0.45570208
-5.74187094,2.68916568,0.86559314,0.44614802,0.00880109,0.34660228,0.00514609,1.48893218,0.65611775,0.44902659
-5.73586793,2.67082636,0.86810034,0.43809804,0.00836111,0.33726348,0.00553646,1.48693511,0.64668464,0.44245742
-5.72986493,2.65019802,0.86870970,0.42972485,0.00790102,0.32890759,0.00594223,1.48198795,0.63648355,0.43608324
-5.72386193,2.62773508,0.86752900,0.42119035,0.00742736,0.32165172,0.00635881,1.47426978,0.62573210,0.42997141
-5.71785893,2.60382605,0.86465964,0.41265062,0.00694660,0.31557731,0.00678126,1.46395292,0.61462990,0.42416767
-5.71185593,2.57878300,0.86019194,0.40425029,0.00646495,0.31073015,0.00720437,1.45119566,0.60335435,0.41869673
-5.70585293,2.55283610,0.85420184,0.39611761,0.00598822,0.30712170,0.00762283,1.43613714,0.59205810,0.41356383
-5.69984992,2.52613304,0.84674907,0.38836061,0.00552168,0.30473169,0.00803133,1.41889443,0.58086791,0.40875709
-5.69384692,2.49874341,0.83787686,0.38106435,0.00506997,0.30351178,0.00842476,1.39956201,0.56988499,0.40425044
-5.68784392,2.47066722,0.82761322,0.37428921,0.00463706,0.30339003,0.00879836,1.37821341,0.55918667,0.40000694
-5.68184092,2.44184725,0.81597361,0.36807043,0.00422616,0.30427603,0.00914791,1.35490486,0.54882927,0.39598234
-5.67583792,2.41218423,0.80296475,0.36241865,0.00383979,0.30606642,0.00946992,1.32968074,0.53885184,0.39212872
-5.66983492,2.38155410,0.78858938,0.35732136,0.00347976,0.30865059,0.00976180,1.30258019,0.52928057,0.38839799
-5.66383192,2.34982641,0.77285168,0.35274533,0.00314721,0.31191626,0.01002202,1.27364471,0.52013369,0.38474518
-5.65782891,2.31688293,0.75576293,0.34863959,0.00284272,0.31575490,0.01025024,1.24292603,0.51142638,0.38113136
-5.65182591,2.28263564,0.73734719,0.34493905,0.00256634,0.32006662,0.01044744,1.21049401,0.50317565,0.37752616
-5.64582291,2.24704319,0.71764656,0.34156843,0.00231770,0.32476450,0.01061597,1.17644386,0.49540470,0.37390974
-5.63981991,2.21012525,0.69672581,0.33844650,0.00209611,0.32977813,0.01075958,1.14090239,0.48814675,0.37027430
-5.63381691,2.17197398,0.67467609,0.33549027,0.00190059,0.33505633,0.01088344,1.10403303,0.48144804,0.36662501
-5.62781391,2.13276222,0.65161743,0.33261922,0.00173005,0.34056894,0.01099403,1.06603899,0.47536980,0.36298033
-5.62181091,2.09274801,0.62770007,0.32975924,0.00158325,0.34630756,0.01109907,1.02716480,0.46998922,0.35937187
-5.61580790,2.05227526,0.60310428,0.32684630,0.00145899,0.35228537,0.01120734,0.98769574,0.46539925,0.35584364
-5.60980490,2.01177042,0.57803888,0.32382963,0.00135608,0.35853582,0.01132846,0.94795529,0.46170722,0.35245085
-5.60380190,1.97173529,0.55273831,0.32067443,0.00127342,0.36511044,0.01147266,0.90830077,0.45903238,0.34925822
-5.59779890,1.93273611,0.52745858,0.31736387,0.00121002,0.37207569,0.01165046,0.86911708,0.45750240,0.34633786
-5.59179590,1.89538928,0.50247193,0.31390047,0.00116506,0.37950898,0.01187236,0.83080898,0.45724891,0.34376672
-5.58579290,1.86034418,0.47806080,0.31030674,0.00113785,0.38749400,0.01214847,0.79379213,0.45840237,0.34162386
-5.57978989,1.82826361,0.45451096,0.30662494,0.00112787,0.39611551,0.01248813,0.75848317,0.46108633,0.33998730
-5.57378689,1.79980251,0.43210431,0.30291620,0.00113473,0.40545371,0.01289958,0.72528936,0.46541141,0.33893087
-5.56778389,1.77558568,0.41111157,0.29925871,0.00115817,0.41557855,0.01338950,0.69459794,0.47146924,0.33852091
-5.56178089,1.75618532,0.39178499,0.29574530,0.00119800,0.42654394,0.01396276,0.66676584,0.47932655,0.33881303
-5.55577789,1.74209920,0.37435150,0.29248022,0.00125410,0.43838242,0.01462201,0.64210995,0.48901986,0.33984905
-5.54977489,1.73373026,0.35900650,0.28957549,0.00132636,0.45110023,0.01536743,0.62089832,0.50055081,0.34165424
-5.54377189,1.73136853,0.34590839,0.28714672,0.00141461,0.46467323,0.01619656,0.60334264,0.51388258,0.34423496
-5.53776888,1.73517609,0.33517415,0.28530866,0.00151861,0.47904385,0.01710408,0.58959218,0.52893748,0.34757686
-5.53176588,1.74517586,0.32687609,0.28417074,0.00163797,0.49411919,0.01808180,0.57972948,0.54559600,0.35164370
-5.52576288,1.76124476,0.32103982,0.28383258,0.00177210,0.50977052,0.01911870,0.57376786,0.56369743,0.35637696
-5.51975988,1.78311179,0.31764355,0.28437995,0.00192020,0.52583432,0.02020100,0.57165086,0.58304205,0.36169626
-5.51375688,1.81036130,0.31661874,0.28588114,0.00208120,0.54211491,0.02131247,0.57325373,0.60339507,0.36750066
-5.50775388,1.84244174,0.31785218,0.28838414,0.00225372,0.55838855,0.02243472,0.57838676,0.62449213,0.37367083
