energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.81823186,0.24247240,1.11386721,0.74426585,0.19741682,0.00089854,0.28703644,0.01801049,0.14761337
-5.99399700,1.83177970,0.23686752,1.12594294,0.75130931,0.19614858,0.00090709,0.29162476,0.01787530,0.14730729
-5.98799400,1.84611757,0.23205453,1.13746454,0.76097031,0.19501550,0.00091054,0.29678936,0.01772364,0.14709508
-5.98199100,1.86066346,0.22796695,1.14822126,0.77264677,0.19392229,0.00090905,0.30234107,0.01754886,0.14692940
-5.97598799,1.87491448,0.22454501,1.15807100,0.78569799,0.19278885,0.00090292,0.30808470,0.01734568,0.14677202
-5.96998499,1.88846006,0.22173765,1.16694333,0.79946267,0.19155186,0.00089263,0.31382465,0.01711032,0.14659504
-5.96398199,1.90099300,0.21950418,1.17484077,0.81327801,0.19016574,0.00087877,0.31937082,0.01684063,0.14638174
-5.95797899,1.91231812,0.21781584,1.18183841,0.82649940,0.18860304,0.00086209,0.32454451,0.01653610,0.14612712
-5.95197599,1.92235867,0.21665706,1.18808220,0.83851992,0.18685429,0.00084343,0.32918419,0.01619783,0.14583818
-5.94597299,1.93116022,0.21602649,1.19378587,0.84878899,0.18492744,0.00082373,0.33315075,0.01582849,0.14553386
-5.93996998,1.93889185,0.21593781,1.19922660,0.85682921,0.18284688,0.00080403,0.33633222,0.01543223,0.14524477
-5.93396698,1.94584427,0.21642014,1.20473942,0.86225089,0.18065220,0.00078538,0.33864750,0.01501455,0.14501261
-5.92796398,1.95242466,0.21751813,1.21071014,0.86476348,0.17839658,0.00076889,0.34004905,0.01458217,0.14488938
-5.92196098,1.95914786,0.21929157,1.21756687,0.86418334,0.17614503,0.00075567,0.34052436,0.01414282,0.14493630
-5.91595798,1.96662372,0.22181446,1.22576993,0.86043756,0.17397243,0.00074679,0.34009601,0.01370511,0.14522249
-5.90995498,1.97554048,0.22517356,1.23580014,0.85356358,0.17196133,0.00074329,0.33882044,0.01327828,0.14582345
-5.90395198,1.98664439,0.22946629,1.24814554,0.84370470,0.17019972,0.00074617,0.33678528,0.01287203,0.14681927
