energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.54253118,0.30260238,0.00447029,0.45089023,0.01988735,1.99253979,1.12352752,0.64151976
-5.99399700,3.47734101,0.29614612,0.00457901,0.44590183,0.01928868,1.95468422,1.09198017,0.63042692
-5.98799400,3.40021367,0.28927279,0.00469738,0.43920416,0.01869994,1.91006984,1.05819511,0.61684239
-5.98199100,3.31166241,0.28187833,0.00482531,0.43083909,0.01812064,1.85902155,1.02247377,0.60083103
-5.97598799,3.21250328,0.27390002,0.00496283,0.42088557,0.01755136,1.80203391,0.98517370,0.58252292
-5.96998499,3.10382181,0.26531579,0.00511001,0.40945587,0.01699366,1.73975188,0.94669524,0.56210776
-5.96398199,2.98693085,0.25614192,0.00526690,0.39669099,0.01644991,1.67294642,0.90746659,0.53982748
-5.95797899,2.86332182,0.24642935,0.00543342,0.38275525,0.01592310,1.60248642,0.86792825,0.51596724
-5.95197599,2.73461192,0.23625887,0.00560925,0.36783051,0.01541659,1.52930824,0.82851723,0.49084564
-5.94597299,2.60248995,0.22573566,0.00579377,0.35211012,0.01493384,1.45438463,0.78965211,0.46480431
-5.93996998,2.46866325,0.21498323,0.00598599,0.33579300,0.01447820,1.37869417,0.75171935,0.43819757
-5.93396698,2.33480810,0.20413743,0.00618446,0.31907793,0.01405266,1.30319293,0.71506163,0.41138249
-5.92796398,2.20252576,0.19334056,0.00638727,0.30215842,0.01365967,1.22878932,0.67996856,0.38470988
-5.92196098,2.07330560,0.18273599,0.00659204,0.28521814,0.01330100,1.15632320,0.64667035,0.35851642
-5.91595798,1.94849666,0.17246344,0.00679596,0.26842727,0.01297768,1.08654985,0.61533432,0.33311814
-5.90995498,1.82928816,0.16265514,0.00699586,0.25193960,0.01268997,1.02012929,0.58606464,0.30880559
-5.90395198,1.71669902,0.15343285,0.00718829,0.23589059,0.01243745,0.95762076,0.55890489,0.28584042
-5.89794897,1.61157606,0.14490586,0.00736969,0.22039630,0.01221903,0.89948240,0.53384339,0.26445367
-5.89194597,1.51459981,0.13716980,0.00753649,0.20555314,0.01203322,0.84607526,0.51082072,0.24484530
-5.88594297,1.42629676,0.13030632,0.00768528,0.19143831,0.01187822,0.79767117,0.48973903,0.22718500
-5.87993997,1.34705641,0.12438328,0.00781301,0.17811091,0.01175215,0.75446328,0.47047253,0.21161390
-5.87393697,1.27715136,0.11945549,0.00791715,0.16561348,0.01165328,0.71657846,0.45287843,0.19824687
-5.86793397,1.21675862,0.11556561,0.00799578,0.15397382,0.01158019,0.68409023,0.43680781,0.18717522
-5.86193097,1.16598034,0.11274519,0.00804781,0.14320706,0.01153197,0.65703145,0.42211577,0.17846931
-5.85592796,1.12486254,0.11101553,0.00807300,0.13331772,0.01150830,0.63540558,0.40867033,0.17218103
-5.84992496,1.09341025,0.11038832,0.00807205,0.12430166,0.01150953,0.61919592,0.39635961,0.16834569
-5.84392196,1.07159840,0.11086585,0.00804665,0.11614789,0.01153674,0.60837223,0.38509707,0.16698333
-5.83791896,1.05937761,0.11244092,0.00799943,0.10884012,0.01159162,0.60289423,0.37482455,0.16809924
-5.83191596,1.05667490,0.11509615,0.00793391,0.10235796,0.01167642,0.60271216,0.36551309,0.17168370
-5.82591296,1.06338947,0.11880310,0.00785441,0.09667795,0.01179374,0.60776424,0.35716164,0.17771096
-5.81990995,1.07938418,0.12352092,0.00776594,0.09177408,0.01194639,0.61797174,0.34979399,0.18613754
-5.81390695,1.10447369,0.12919501,0.00767404,0.08761831,0.01213709,0.63323182,0.34345399,0.19690007
-5.80790395,1.13841051,0.13575562,0.00758463,0.08418067,0.01236825,0.65340926,0.33819973,0.20991279
-5.80190095,1.18087015,0.14311665,0.00750383,0.08142933,0.01264171,0.67832760,0.33409699,0.22506505
-5.79589795,1.23143697,0.15117488,0.00743786,0.07933062,0.01295852,0.70776056,0.33121246,0.24221896
-5.78989495,1.28959199,0.15980970,0.00739279,0.07784897,0.01331872,0.74142472,0.32960718,0.26120750
-5.78389195,1.35470399,0.16888363,0.00737451,0.07694699,0.01372120,0.77897400,0.32933061,0.28183335
-5.77788894,1.42602480,0.17824352,0.00738856,0.07658564,0.01416357,0.81999668,0.33041562,0.30386858
-5.77188594,1.50268975,0.18772274,0.00744009,0.07672448,0.01464216,0.86401526,0.33287474,0.32705538
-5.76588294,1.58372345,0.19714418,0.00753380,0.07732216,0.01515202,0.91048962,0.33669770,0.35110797
-5.75987994,1.66805118,0.20632397,0.00767388,0.07833695,0.01568700,0.95882326,0.34185043,0.37571569
-5.75387694,1.75451542,0.21507601,0.00786404,0.07972749,0.01623996,1.00837263,0.34827531,0.40054720
-5.74787394,1.84189701,0.22321691,0.00810752,0.08145344,0.01680291,1.05845909,0.35589270,0.42525583
-5.74187094,1.92893997,0.23057124,0.00840707,0.08347630,0.01736729,1.10838296,0.36460337,0.44948576
-5.73586793,2.01437878,0.23697685,0.00876499,0.08576001,0.01792422,1.15743898,0.37429163,0.47287898
-5.72986493,2.09696692,0.24228990,0.00918311,0.08827152,0.01846479,1.20493249,0.38482887,0.49508265
-5.72386193,2.17550525,0.24638948,0.00966281,0.09098106,0.01898034,1.25019537,0.39607716,0.51575669
-5.71785893,2.24886882,0.24918149,0.01020493,0.09386228,0.01946270,1.29260117,0.40789267,0.53458130
-5.71185593,2.31603106,0.25060159,0.01080976,0.09689198,0.01990442,1.33157849,0.42012859,0.55126402
-5.70585293,2.37608409,0.25061705,0.01147689,0.10004960,0.02029894,1.36662229,0.43263748,0.56554628
-5.69984992,2.42825453,0.24922741,0.01220513,0.10331648,0.02064074,1.39730234,0.44527283,0.57720896
-5.69384692,2.47191420,0.24646402,0.01299235,0.10667476,0.02092539,1.42326888,0.45788987,0.58607700
-5.68784392,2.50658551,0.24238822,0.01383531,0.11010620,0.02114957,1.44425513,0.47034566,0.59202268
-5.68184092,2.53194176,0.23708856,0.01472953,0.11359085,0.02131108,1.46007689,0.48249854,0.59496777
-5.67583792,2.54780259,0.23067703,0.01566911,0.11710572,0.02140873,1.47062945,0.49420728,0.59488414
-5.66983492,2.55412537,0.22328458,0.01664663,0.12062359,0.02144222,1.47588225,0.50532993,0.59179325
-5.66383192,2.55099329,0.21505604,0.01765302,0.12411201,0.02141206,1.47587171,0.51572282,0.58576432
-5.65782891,2.53860118,0.20614492,0.01867760,0.12753261,0.02131939,1.47069295,0.52523991,0.57691129
-5.65182591,2.51724001,0.19670814,0.01970804,0.13084084,0.02116583,1.46049093,0.53373268,0.56538900
-5.64582291,2.48728117,0.18690097,0.02073050,0.13398613,0.02095338,1.44545166,0.54105084,0.55138834
-5.63981991,2.44916142,0.17687250,0.02172985,0.13691264,0.02068427,1.42579396,0.54704391,0.53513099
-5.63381691,2.40336919,0.16676177,0.02268989,0.13956041,0.02036090,1.40176226,0.55156384,0.51686365
-5.62781391,2.35043305,0.15669456,0.02359374,0.14186706,0.01998579,1.37362082,0.55446855,0.49685214
-5.62181091,2.29091247,0.14678117,0.02442424,0.14376991,0.01956153,1.34164942,0.55562637,0.47537544
-5.61580790,2.22539124,0.13711502,0.02516444,0.14520835,0.01909082,1.30614071,0.55492114,0.45271996
-5.60980490,2.15447335,0.12777213,0.02579813,0.14612652,0.01857649,1.26739911,0.55225779,0.42917415
-5.60380190,2.07878113,0.11881143,0.02631033,0.14647601,0.01802158,1.22574101,0.54756811,0.40502353
-5.59779890,1.99895525,0.11027570,0.02668787,0.14621846,0.01742941,1.18149603,0.54081629,0.38054633
-5.59179590,1.91565589,0.10219317,0.02691981,0.14532803,0.01680366,1.13500891,0.53200403,0.35600977
-5.58579290,1.82956472,0.09457950,0.02699795,0.14379349,0.01614848,1.08664174,0.52117487,0.33166696
-5.57978989,1.74138681,0.08744001,0.02691710,0.14161981,0.01546851,1.03677594,0.50841730,0.30775454
-5.57378689,1.65185201,0.08077205,0.02667538,0.13882930,0.01476899,0.98581382,0.49386673,0.28449093
