energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.50380791,0.41846589,0.38744626,0.00383806,0.11254192,0.02671908,0.84255114,0.42062427,0.17176131
-5.99399700,1.50457157,0.41344075,0.39352936,0.00397099,0.10825164,0.02777062,0.84495235,0.41180019,0.17037194
-5.98799400,1.50485277,0.40883760,0.39850052,0.00409226,0.10483082,0.02868722,0.84671504,0.40345631,0.16923241
-5.98199100,1.50419848,0.40457536,0.40222082,0.00419808,0.10227002,0.02945020,0.84760800,0.39567093,0.16826720
-5.97598799,1.50232511,0.40062443,0.40459250,0.00428509,0.10057143,0.03004375,0.84749387,0.38856205,0.16742187
-5.96998499,1.49911833,0.39700336,0.40556136,0.00435039,0.09974675,0.03045547,0.84632946,0.38228071,0.16666307
-5.96398199,1.49462646,0.39377359,0.40511754,0.00439162,0.09981448,0.03067685,0.84416261,0.37700295,0.16597770
-5.95797899,1.48904789,0.39103281,0.40329466,0.00440706,0.10079682,0.03070349,0.84112564,0.37292072,0.16537124
-5.95197599,1.48271273,0.38890687,0.40016740,0.00439566,0.10271630,0.03053535,0.83742566,0.37023209,0.16486550
-5.94597299,1.47605991,0.38754091,0.39584751,0.00435704,0.10559231,0.03017671,0.83333218,0.36913124,0.16449561
-5.93996998,1.46961037,0.38708980,0.39047856,0.00429151,0.10943771,0.02963603,0.82916258,0.36979852,0.16430668
-5.93396698,1.46393762,0.38770853,0.38422952,0.00420005,0.11425557,0.02892568,0.82526586,0.37239093,0.16435014
-5.92796398,1.45963700,0.38954270,0.37728753,0.00408422,0.12003626,0.02806153,0.82200567,0.37703349,0.16467991
-5.92196098,1.45729473,0.39271973,0.36985027,0.00394614,0.12675507,0.02706245,0.81974302,0.38381170,0.16534870
-5.91595798,1.45745832,0.39734083,0.36211812,0.00378834,0.13437033,0.02594968,0.81881963,0.39276539,0.16640446
-5.90995498,1.46060939,0.40347435,0.35428657,0.00361376,0.14282213,0.02474620,0.81954248,0.40388417,0.16788721
-5.90395198,1.46714002,0.41115047,0.34653923,0.00342554,0.15203187,0.02347603,0.82217023,0.41710457,0.16982637
-5.89794897,1.47733368,0.42035763,0.33904168,0.00322700,0.16190241,0.02216359,0.82690200,0.43230907,0.17223876
-5.89194597,1.49135125,0.43104062,0.33193639,0.00302146,0.17231903,0.02083303,0.83386902,0.44932681,0.17512714
-5.88594297,1.50922269,0.44310046,0.32533903,0.00281222,0.18315101,0.01950767,0.84312921,0.46793624,0.17847962
-5.87993997,1.53084443,0.45639604,0.31933603,0.00260241,0.19425389,0.01820945,0.85466498,0.48786923,0.18226962
-5.87393697,1.55598238,0.47074729,0.31398369,0.00239494,0.20547223,0.01695855,0.86838410,0.50881675,0.18645666
-5.86793397,1.58428014,0.48593981,0.30930863,0.00219245,0.21664285,0.01577300,0.88412349,0.53043580,0.19098764
-5.86193097,1.61527186,0.50173065,0.30530945,0.00199726,0.22759833,0.01466850,0.90165559,0.55235727,0.19579867
-5.85592796,1.64839885,0.51785502,0.30195953,0.00181131,0.23817074,0.01365822,0.92069688,0.57419459,0.20081725
-5.84992496,1.68302912,0.53403361,0.29921071,0.00163624,0.24819538,0.01275277,0.94091813,0.59555275,0.20596481
-5.84392196,1.71847871,0.54998021,0.29699754,0.00147328,0.25751441,0.01196018,0.96195573,0.61603757,0.21115923
-5.83791896,1.75403396,0.56540937,0.29524191,0.00132336,0.26598034,0.01128599,0.98342363,0.63526472,0.21631747
-5.83191596,1.78897364,0.58004379,0.29385779,0.00118710,0.27345914,0.01073331,1.00492539,0.65286849,0.22135801
-5.82591296,1.82259001,0.59362124,0.29275579,0.00106483,0.27983295,0.01030299,1.02606570,0.66850982,0.22620305
-5.81990995,1.85420822,0.60590073,0.29184745,0.00095667,0.28500234,0.00999374,1.04646118,0.68188367,0.23078047
-5.81390695,1.88320330,0.61666791,0.29104887,0.00086253,0.28888800,0.00980232,1.06574994,0.69272538,0.23502533
-5.80790395,1.90901439,0.62573942,0.29028382,0.00078218,0.29143192,0.00972366,1.08359977,0.70081589,0.23888102
-5.80190095,1.93115586,0.63296626,0.28948605,0.00071528,0.29259804,0.00975102,1.09971470,0.70598588,0.24230002
-5.79589795,1.94922538,0.63823605,0.28860085,0.00066141,0.29237230,0.00987614,1.11383997,0.70811865,0.24524425
-5.78989495,1.96290886,0.64147432,0.28758589,0.00062010,0.29076228,0.01008938,1.12576538,0.70715170,0.24768506
-5.78389195,1.97198246,0.64264469,0.28641137,0.00059086,0.28779630,0.01037985,1.13532713,0.70307712,0.24960300
-5.77788894,1.97631206,0.64174823,0.28505956,0.00057318,0.28352222,0.01073557,1.14240817,0.69594063,0.25098727
-5.77188594,1.97585037,0.63882192,0.28352386,0.00056656,0.27800585,0.01114364,1.14693748,0.68583955,0.25183510
-5.76588294,1.97063231,0.63393637,0.28180750,0.00057051,0.27132902,0.01159043,1.14888823,0.67291956,0.25215098
-5.75987994,1.96076879,0.62719297,0.27992201,0.00058454,0.26358759,0.01206174,1.14827525,0.65737041,0.25194592
-5.75387694,1.94643964,0.61872053,0.27788558,0.00060816,0.25488912,0.01254308,1.14515187,0.63942080,0.25123669
-5.74787394,1.92788580,0.60867157,0.27572145,0.00064089,0.24535057,0.01301992,1.13960645,0.61933237,0.25004517
-5.74187094,1.90540134,0.59721833,0.27345638,0.00068223,0.23509586,0.01347795,1.13175876,0.59739320,0.24839785
-5.73586793,1.87932544,0.58454876,0.27111937,0.00073169,0.22425349,0.01390338,1.12175638,0.57391073,0.24632534
-5.72986493,1.85003476,0.57086241,0.26874063,0.00078873,0.21295411,0.01428325,1.10977116,0.54920458,0.24386215
-5.72386193,1.81793627,0.55636649,0.26635082,0.00085282,0.20132828,0.01460574,1.09599600,0.52359928,0.24104646
-5.71785893,1.78346062,0.54127210,0.26398057,0.00092340,0.18950426,0.01486043,1.08064191,0.49741717,0.23792007
-5.71185593,1.74705624,0.52579071,0.26166040,0.00099989,0.17760599,0.01503857,1.06393523,0.47097175,0.23452833
-5.70585293,1.70918398,0.51013101,0.25942071,0.00108170,0.16575123,0.01513329,1.04611530,0.44456159,0.23092012
-5.69984992,1.67031225,0.49449601,0.25729210,0.00116824,0.15405001,0.01513979,1.02743212,0.41846497,0.22714777
-5.69384692,1.63091262,0.47908053,0.25530571,0.00125892,0.14260318,0.01505539,1.00814419,0.39293541,0.22326689
-5.68784392,1.59145544,0.46406907,0.25349359,0.00135318,0.13150130,0.01487964,0.98851627,0.36819824,0.21933600
-5.68184092,1.55240556,0.44963383,0.25188903,0.00145047,0.12082383,0.01461422,0.96881691,0.34444813,0.21541608
-5.67583792,1.51421768,0.43593313,0.25052669,0.00155027,0.11063848,0.01426287,0.94931570,0.32184766,0.21156972
-5.66983492,1.47733133,0.42310986,0.24944247,0.00165211,0.10100096,0.01383126,0.93028002,0.30052691,0.20786024
-5.66383192,1.44216526,0.41129017,0.24867318,0.00175554,0.09195488,0.01332669,0.91197124,0.28058392,0.20435034
-5.65782891,1.40911108,0.40058215,0.24825579,0.00186014,0.08353195,0.01275789,0.89464039,0.26208602,0.20110071
-5.65182591,1.37852636,0.39107462,0.24822635,0.00196554,0.07575237,0.01213466,0.87852326,0.24507171,0.19816829
-5.64582291,1.35072719,0.38283590,0.24861864,0.00207135,0.06862547,0.01146758,0.86383503,0.22955315,0.19560451
-5.63981991,1.32598044,0.37591269,0.24946254,0.00217717,0.06215040,0.01076768,0.85076467,0.21551894,0.19345339
-5.63381691,1.30449611,0.37032898,0.25078227,0.00228258,0.05631707,0.01004607,0.83946922,0.20293717,0.19174974
-5.62781391,1.28642022,0.36608526,0.25259451,0.00238712,0.05110711,0.00931367,0.83006850,0.19175848,0.19051747
-5.62181091,1.27182873,0.36315793,0.25490670,0.00249024,0.04649495,0.00858093,0.82264027,0.18191920,0.18976816
-5.61580790,1.26072304,0.36149917,0.25771555,0.00259128,0.04244889,0.00785757,0.81721656,0.17334427,0.18950003
-5.60980490,1.25302765,0.36103735,0.26100592,0.00268949,0.03893228,0.00715245,0.81378129,0.16595018,0.18969735
-5.60380190,1.24859042,0.36167812,0.26475024,0.00278400,0.03590459,0.00647336,0.81226963,0.15964752,0.19033048
-5.59779890,1.24718594,0.36330625,0.26890861,0.00287380,0.03332259,0.00582701,0.81256938,0.15434357,0.19135644
-5.59179590,1.24852212,0.36578831,0.27342958,0.00295776,0.03114136,0.00521894,0.81452451,0.14994456,0.19272026
-5.58579290,1.25225014,0.36897620,0.27825167,0.00303465,0.02931541,0.00465359,0.81794090,0.14635789,0.19435691
-5.57978989,1.25797766,0.37271149,0.28330572,0.00310316,0.02779961,0.00413435,0.82259425,0.14349414,0.19619387
-5.57378689,1.26528487,0.37683050,0.28851780,0.00316195,0.02655016,0.00366362,0.82823992,0.14126905,0.19815425
-5.56778389,1.27374275,0.38116991,0.29381274,0.00320965,0.02552543,0.00324300,0.83462423,0.13960535,0.20016028
-5.56178089,1.28293298,0.38557270,0.29911804,0.00324496,0.02468673,0.00287338,0.84149697,0.13843448,0.20213707
-5.55577789,1.29246819,0.38989424,0.30436788,0.00326668,0.02399902,0.00255513,0.84862413,0.13769816,0.20401646
-5.54977489,1.30201189,0.39400811,0.30950714,0.00327374,0.02343145,0.00228824,0.85580058,0.13734978,0.20574073
-5.54377189,1.31129667,0.39781139,0.31449507,0.00326529,0.02295782,0.00207248,0.86286168,0.13735556,0.20726590
-5.53776888,1.32013969,0.40122920,0.31930834,0.00324074,0.02255693,0.00190753,0.86969325,0.13769531,0.20856462
