energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.87942645,0.22239895,0.28740208,0.09790492,0.02348197,0.03269199,0.02303396,0.27039169
-5.99399700,0.84550401,0.20591492,0.28089662,0.09303605,0.02415345,0.02966623,0.02282374,0.25900365
-5.98799400,0.81690787,0.19137682,0.27509115,0.08920839,0.02491865,0.02695056,0.02281368,0.24973626
-5.98199100,0.79395508,0.17883669,0.27007309,0.08648205,0.02578645,0.02455031,0.02300553,0.24270081
-5.97598799,0.77680981,0.16830286,0.26589504,0.08489807,0.02676394,0.02246383,0.02339504,0.23795429
-5.96998499,0.76548484,0.15974319,0.26257439,0.08447837,0.02785612,0.02068328,0.02397203,0.23549985
-5.96398199,0.75984699,0.15308892,0.26009404,0.08522584,0.02906568,0.01919527,0.02472063,0.23528847
-5.95797899,0.75962581,0.14823902,0.25840441,0.08712455,0.03039273,0.01798177,0.02561968,0.23722172
-5.95197599,0.76442528,0.14506472,0.25742649,0.09014017,0.03183467,0.01702090,0.02664330,0.24115534
-5.94597299,0.77373813,0.14341428,0.25705588,0.09422042,0.03338603,0.01628783,0.02776158,0.24690374
-5.93996998,0.78696214,0.14311766,0.25716744,0.09929564,0.03503839,0.01575556,0.02894142,0.25424518
-5.93396698,0.80341808,0.14399123,0.25762056,0.10527952,0.03678035,0.01539580,0.03014747,0.26292744
-5.92796398,0.82236861,0.14584218,0.25826467,0.11206998,0.03859753,0.01517966,0.03134317,0.27267404
-5.92196098,0.84303778,0.14847282,0.25894483,0.11955019,0.04047261,0.01507834,0.03249177,0.28319066
-5.91595798,0.86463061,0.15168453,0.25950717,0.12758988,0.04238553,0.01506383,0.03355744,0.29417185
-5.90995498,0.88635211,0.15528149,0.25980391,0.13604685,0.04431356,0.01510940,0.03450631,0.30530767
-5.90395198,0.90742562,0.15907397,0.25969792,0.14476890,0.04623165,0.01519008,0.03530749,0.31629038
-5.89794897,0.92710984,0.16288143,0.25906660,0.15359594,0.04811272,0.01528311,0.03593395,0.32682084
-5.89194597,0.94471432,0.16653519,0.25780499,0.16236252,0.04992808,0.01536818,0.03636328,0.33661463
-5.88594297,0.95961312,0.16988072,0.25582804,0.17090070,0.05164792,0.01542774,0.03657832,0.34540777
-5.87993997,0.97125648,0.17277971,0.25307216,0.17904316,0.05324185,0.01544708,0.03656760,0.35296180
-5.87393697,0.97918026,0.17511165,0.24949583,0.18662656,0.05467963,0.01541446,0.03632556,0.35906832
-5.86793397,0.98301311,0.17677513,0.24507960,0.19349506,0.05593176,0.01532112,0.03585259,0.36355279
-5.86193097,0.98248139,0.17768876,0.23982533,0.19950391,0.05697034,0.01516115,0.03515489,0.36627748
-5.85592796,0.97741171,0.17779171,0.23375499,0.20452292,0.05776977,0.01493142,0.03424413,0.36714364
-5.84992496,0.96773134,0.17704392,0.22690890,0.20843984,0.05830755,0.01463142,0.03313690,0.36609274
-5.84392196,0.95346646,0.17542595,0.21934376,0.21116329,0.05856502,0.01426294,0.03185414,0.36310687
-5.83791896,0.93473853,0.17293842,0.21113042,0.21262536,0.05852801,0.01382992,0.03042035,0.35820822
-5.83191596,0.91175879,0.16960121,0.20235157,0.21278354,0.05818738,0.01333808,0.02886278,0.35145773
-5.82591296,0.88482133,0.16545225,0.19309942,0.21162205,0.05753950,0.01279469,0.02721063,0.34295291
-5.81990995,0.85429479,0.16054608,0.18347349,0.20915241,0.05658650,0.01220821,0.02549415,0.33282501
-5.81390695,0.82061306,0.15495211,0.17357854,0.20541318,0.05533635,0.01158803,0.02374393,0.32123550
-5.80790395,0.78426514,0.14875264,0.16352265,0.20046902,0.05380277,0.01094415,0.02199014,0.30837206
-5.80190095,0.74578462,0.14204081,0.15341561,0.19440887,0.05200497,0.01028696,0.02026191,0.29444420
-5.79589795,0.70573886,0.13491830,0.14336748,0.18734352,0.04996713,0.00962699,0.01858685,0.27967858
-5.78989495,0.66471829,0.12749308,0.13348747,0.17940258,0.04771779,0.00897469,0.01699065,0.26431426
-5.78389195,0.62332602,0.11987705,0.12388301,0.17073098,0.04528907,0.00834026,0.01549679,0.24859791
-5.77788894,0.58216804,0.11218389,0.11465913,0.16148511,0.04271575,0.00773353,0.01412645,0.23277927
-5.77188594,0.54184416,0.10452682,0.10591801,0.15182888,0.04003430,0.00716386,0.01289841,0.21710671
-5.76588294,0.50293989,0.09701675,0.09775878,0.14192976,0.03728192,0.00664002,0.01182912,0.20182330
-5.75987994,0.46601939,0.08976046,0.09027744,0.13195492,0.03449552,0.00617017,0.01093277,0.18716322
-5.75387694,0.43161949,0.08285911,0.08356699,0.12206777,0.03171080,0.00576184,0.01022147,0.17334871
-5.74787394,0.40024483,0.07640699,0.07771762,0.11242485,0.02896142,0.00542185,0.00970532,0.16058751
-5.74187094,0.37236411,0.07049056,0.07281694,0.10317318,0.02627823,0.00515638,0.00939265,0.14907081
-5.73586793,0.34840722,0.06518772,0.06895029,0.09444834,0.02368875,0.00497088,0.00929003,0.13897167
-5.72986493,0.32876324,0.06056736,0.06620093,0.08637290,0.02121668,0.00487013,0.00940237,0.13044396
-5.72386193,0.31377908,0.05668914,0.06465022,0.07905561,0.01888167,0.00485817,0.00973292,0.12362162
-5.71785893,0.30375857,0.05360347,0.06437759,0.07259099,0.01669922,0.00493830,0.01028317,0.11861819
-5.71185593,0.29896179,0.05135162,0.06546034,0.06705948,0.01468067,0.00511305,0.01105277,0.11552671
-5.70585293,0.29960446,0.04996600,0.06797324,0.06252783,0.01283343,0.00538412,0.01203929,0.11441964
-5.69984992,0.30585728,0.04947046,0.07198776,0.05904989,0.01116122,0.00575232,0.01323800,0.11534891
-5.69384692,0.31784495,0.04988069,0.07757112,0.05666743,0.00966450,0.00621757,0.01464165,0.11834609
-5.68784392,0.33564505,0.05120457,0.08478491,0.05541110,0.00834080,0.00677878,0.01624021,0.12342245
-5.68184092,0.35928648,0.05344261,0.09368351,0.05530127,0.00718527,0.00743386,0.01802063,0.13056903
-5.67583792,0.38874777,0.05658823,0.10431218,0.05634875,0.00619114,0.00817968,0.01996670,0.13975680
-5.66983492,0.42395521,0.06062815,0.11670492,0.05855531,0.00535011,0.00901206,0.02205897,0.15093667
-5.66383192,0.46478098,0.06554262,0.13088224,0.06191398,0.00465286,0.00992577,0.02427474,0.16403970
-5.65782891,0.51104159,0.07130568,0.14684882,0.06640898,0.00408936,0.01091466,0.02658825,0.17897736
-5.65182591,0.56249679,0.07788547,0.16459119,0.07201555,0.00364925,0.01197169,0.02897096,0.19564200
-5.64582291,0.61884919,0.08524445,0.18407571,0.07869941,0.00332206,0.01308909,0.03139198,0.21390752
-5.63981991,0.67974494,0.09333971,0.20524668,0.08641616,0.00309742,0.01425856,0.03381863,0.23363043
-5.63381691,0.74477558,0.10212332,0.22802503,0.09511057,0.00296520,0.01547148,0.03621718,0.25465120
-5.62781391,0.81348136,0.11154271,0.25230747,0.10471586,0.00291560,0.01671913,0.03855366,0.27679611
-5.62181091,0.88535614,0.12154122,0.27796637,0.11515314,0.00293920,0.01799304,0.04079475,0.29987944
-5.61580790,0.95985386,0.13205864,0.30485039,0.12633106,0.00302692,0.01928525,0.04290878,0.32370615
-5.60980490,1.03639662,0.14303189,0.33278591,0.13814575,0.00317007,0.02058860,0.04486665,0.34807495
-5.60380190,1.11438439,0.15439577,0.36157932,0.15048119,0.00336027,0.02189709,0.04664278,0.37278173
-5.59779890,1.19320585,0.16608377,0.39102017,0.16321013,0.00358942,0.02320611,0.04821599,0.39762325
-5.59179590,1.27225038,0.17802894,0.42088501,0.17619545,0.00384971,0.02451271,0.04957027,0.42240099
-5.58579290,1.35092074,0.19016472,0.45094198,0.18929209,0.00413358,0.02581578,0.05069533,0.44692515
-5.57978989,1.42864590,0.20242582,0.48095588,0.20234960,0.00443377,0.02711624,0.05158707,0.47101847
