energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.70700064,0.50943975,0.71803143,0.19141161,0.39587053,0.01127906,0.07851192,0.01626332,0.39786264
-5.99399700,1.67483362,0.49129093,0.72997158,0.17949095,0.38046481,0.01224044,0.07216635,0.01661210,0.38544421
-5.98799400,1.65387478,0.47645076,0.74670034,0.16864731,0.36785127,0.01334841,0.06618597,0.01710837,0.37542228
-5.98199100,1.64522474,0.46521063,0.76866480,0.15902290,0.35829988,0.01460525,0.06063314,0.01775804,0.36807182
-5.97598799,1.64967435,0.45775314,0.79621136,0.15072098,0.35199554,0.01600989,0.05555523,0.01856295,0.36359726
-5.96998499,1.66768849,0.45415123,0.82957254,0.14380560,0.34903585,0.01755760,0.05098475,0.01952068,0.36212957
-5.96398199,1.69939735,0.45437043,0.86885574,0.13830247,0.34943114,0.01923977,0.04693998,0.02062441,0.36372518
-5.95797899,1.74459508,0.45827410,0.91403384,0.13420085,0.35310648,0.02104384,0.04342586,0.02186299,0.36836654
-5.95197599,1.80274554,0.46563124,0.96493839,0.13145627,0.35990574,0.02295325,0.04043525,0.02322102,0.37596429
-5.94597299,1.87299487,0.47612653,1.02125541,0.12999399,0.36959715,0.02494753,0.03795044,0.02467913,0.38636086
-5.93996998,1.95419065,0.48937224,1.08252443,0.12971293,0.38188058,0.02700255,0.03594469,0.02621432,0.39933539
-5.93396698,2.04490725,0.50492145,1.14814106,0.13049003,0.39639600,0.02909087,0.03438394,0.02780047,0.41460979
-5.92796398,2.14347713,0.52228228,1.21736331,0.13218480,0.41273309,0.03118220,0.03322846,0.02940889,0.43185579
-5.92196098,2.24802757,0.54093273,1.28932203,0.13464395,0.43044181,0.03324406,0.03243446,0.03100900,0.45070302
-5.91595798,2.35652242,0.56033547,1.36303544,0.13770606,0.44904360,0.03524242,0.03195561,0.03256904,0.47074769
-5.90995498,2.46680813,0.57995257,1.43742790,0.14120599,0.46804319,0.03714258,0.03174445,0.03405693,0.49156204
-5.90395198,2.57666330,0.59925945,1.51135240,0.14497918,0.48694057,0.03891005,0.03175357,0.03544104,0.51270410
