energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,2.42786221,0.00346347,0.59495241,0.95527171,0.00000000,0.71823643,0.61421606,0.46593795,0.19452116
-5.99399700,2.41610398,0.00326469,0.58083048,0.96416467,0.00000000,0.70333900,0.60649920,0.46924872,0.19613035
-5.98799400,2.39405302,0.00307716,0.56395648,0.96936127,0.00000000,0.68588906,0.59598449,0.47097787,0.19702609
-5.98199100,2.36209988,0.00290026,0.54468718,0.97070320,0.00000000,0.66613496,0.58291195,0.47103714,0.19718236
-5.97598799,2.32082090,0.00273322,0.52341394,0.96811759,0.00000000,0.64435482,0.56756480,0.46937501,0.19659300
-5.96998499,2.27097255,0.00257521,0.50055207,0.96162622,0.00000000,0.62085234,0.55026289,0.46598233,0.19527370
-5.96398199,2.21348121,0.00242536,0.47652990,0.95135182,0.00000000,0.59595263,0.53135542,0.46089675,0.19326335
-5.95797899,2.14942819,0.00228282,0.45177814,0.93752085,0.00000000,0.56999783,0.51121310,0.45420556,0.19062451
-5.95197599,2.08003007,0.00214684,0.42671964,0.92046253,0.00000000,0.54334274,0.49021991,0.44604682,0.18744311
-5.94597299,2.00661465,0.00201678,0.40176003,0.90060387,0.00000000,0.51635025,0.46876471,0.43660844,0.18382711
-5.93996998,1.93059295,0.00189213,0.37727927,0.87846069,0.00000000,0.48938670,0.44723285,0.42612521,0.17990443
-5.93396698,1.85342785,0.00177257,0.35362437,0.85462494,0.00000000,0.46281719,0.42599789,0.41487391,0.17581989
-5.92796398,1.77660034,0.00165796,0.33110344,0.82974877,0.00000000,0.43700071,0.40541375,0.40316639,0.17173157
-5.92196098,1.70157423,0.00154830,0.30998093,0.80452578,0.00000000,0.41228536,0.38580736,0.39134116,0.16780648
-5.91595798,1.62976059,0.00144381,0.29047433,0.77967049,0.00000000,0.38900358,0.36747191,0.37975352,0.16421582
-5.90995498,1.56248297,0.00134484,0.27275216,0.75589660,0.00000000,0.36746755,0.35066106,0.36876482,0.16113004
-5.90395198,1.50094470,0.00125187,0.25693312,0.73389507,0.00000000,0.34796486,0.33558401,0.35873119,0.15871377
-5.89794897,1.44619939,0.00116550,0.24308658,0.71431293,0.00000000,0.33075452,0.32240172,0.34999216,0.15712093
-5.89194597,1.39912571,0.00108642,0.23123407,0.69773360,0.00000000,0.31606354,0.31122429,0.34285975,0.15649015
-5.88594297,1.36040735,0.00101540,0.22135178,0.68465959,0.00000000,0.30408404,0.30210962,0.33760828,0.15694066
-5.87993997,1.33051891,0.00095323,0.21337399,0.67549820,0.00000000,0.29497112,0.29506339,0.33446546,0.15856886
-5.87393697,1.30971820,0.00090075,0.20719723,0.67055066,0.00000000,0.28884139,0.29004036,0.33360503,0.16144558
-5.86793397,1.29804524,0.00085880,0.20268509,0.67000518,0.00000000,0.28577244,0.28694697,0.33514117,0.16561425
-5.86193097,1.29532784,0.00082823,0.19967360,0.67393403,0.00000000,0.28580295,0.28564518,0.33912493,0.17108992
-5.85592796,1.30119367,0.00080988,0.19797692,0.68229460,0.00000000,0.28893362,0.28595745,0.34554281,0.17785920
-5.84992496,1.31508807,0.00080458,0.19739335,0.69493431,0.00000000,0.29512884,0.28767269,0.35431744,0.18588113
-5.84392196,1.33629703,0.00081316,0.19771143,0.71159913,0.00000000,0.30431880,0.29055309,0.36531037,0.19508886
-5.83791896,1.36397435,0.00083643,0.19871594,0.73194500,0.00000000,0.31640218,0.29434149,0.37832678,0.20539207
-5.83191596,1.39717186,0.00087520,0.20019381,0.75555191,0.00000000,0.33124906,0.29876917,0.39312195,0.21668011
-5.82591296,1.43487151,0.00093028,0.20193962,0.78193968,0.00000000,0.34870399,0.30356381,0.40940918,0.22882554
-5.81990995,1.47601812,0.00100245,0.20376071,0.81058494,0.00000000,0.36858906,0.30845728,0.42686886,0.24168813
-5.81390695,1.51955156,0.00109249,0.20548163,0.84093850,0.00000000,0.39070686,0.31319311,0.44515836,0.25511896
-5.80790395,1.56443714,0.00120115,0.20694798,0.87244243,0.00000000,0.41484306,0.31753337,0.46392225,0.26896455
-5.80190095,1.60969313,0.00132913,0.20802942,0.90454613,0.00000000,0.44076880,0.32126476,0.48280261,0.28307084
-5.79589795,1.65441459,0.00147705,0.20862188,0.93672090,0.00000000,0.46824262,0.32420367,0.50144895,0.29728686
-5.78989495,1.69779263,0.00164544,0.20864894,0.96847234,0.00000000,0.49701206,0.32620022,0.51952739,0.31146790
-5.78389195,1.73912877,0.00183470,0.20806234,0.99935046,0.00000000,0.52681500,0.32714104,0.53672880,0.32547809
-5.77788894,1.77784405,0.00204504,0.20684172,1.02895696,0.00000000,0.55738079,0.32695079,0.55277571,0.33919244
-5.77188594,1.81348294,0.00227647,0.20499362,1.05694978,0.00000000,0.58843141,0.32559247,0.56742765,0.35249797
-5.76588294,1.84571218,0.00252870,0.20254979,1.08304496,0.00000000,0.61968273,0.32306656,0.58048496,0.36529435
-5.75987994,1.87431529,0.00280118,0.19956506,1.10701578,0.00000000,0.65084626,0.31940903,0.59179088,0.37749371
-5.75387694,1.89918306,0.00309295,0.19611472,1.12868981,0.00000000,0.68163132,0.31468841,0.60123208,0.38901991
-5.74787394,1.92030119,0.00340270,0.19229166,1.14794394,0.00000000,0.71174798,0.30900215,0.60873774,0.39980731
-5.74187094,1.93773570,0.00372869,0.18820340,1.16469810,0.00000000,0.74091088,0.30247224,0.61427718,0.40979917
-5.73586793,1.95161727,0.00406875,0.18396906,1.17890810,0.00000000,0.76884384,0.29524064,0.61785655,0.41894586
-5.72986493,1.96212538,0.00442024,0.17971639,1.19055809,0.00000000,0.79528543,0.28746431,0.61951460,0.42720297
-5.72386193,1.96947314,0.00478013,0.17557907,1.19965326,0.00000000,0.81999514,0.27931039,0.61931789,0.43452954
-5.71785893,1.97389347,0.00514496,0.17169409,1.20621309,0.00000000,0.84276025,0.27095150,0.61735580,0.44088659
-5.71185593,1.97562744,0.00551090,0.16819954,1.21026561,0.00000000,0.86340275,0.26256134,0.61373548,0.44623592
-5.70585293,1.97491488,0.00587383,0.16523260,1.21184298,0.00000000,0.88178623,0.25431075,0.60857701,0.45053946
-5.69984992,1.97198773,0.00622939,0.16292781,1.21097840,0.00000000,0.89782220,0.24636430,0.60200894,0.45375903
-5.69384692,1.96706589,0.00657307,0.16141555,1.20770453,0.00000000,0.91147531,0.23887743,0.59416441,0.45585672
-5.68784392,1.96035563,0.00690031,0.16082075,1.20205330,0.00000000,0.92276726,0.23199414,0.58517783,0.45679572
-5.68184092,1.95204996,0.00720661,0.16126172,1.19405689,0.00000000,0.93177877,0.22584531,0.57518218,0.45654162
-5.67583792,1.94233065,0.00748762,0.16284902,1.18374972,0.00000000,0.93864947,0.22054748,0.56430688,0.45506401
-5.66983492,1.93137137,0.00773928,0.16568444,1.17117103,0.00000000,0.94357536,0.21620213,0.55267626,0.45233844
-5.66383192,1.91934126,0.00795790,0.16985991,1.15636783,0.00000000,0.94680391,0.21289536,0.54040843,0.44834836
-5.65782891,1.90640852,0.00814023,0.17545640,1.13939781,0.00000000,0.94862676,0.21069781,0.52761446,0.44308711
-5.65182591,1.89274347,0.00828362,0.18254278,1.12033191,0.00000000,0.94937023,0.20966491,0.51439788,0.43655973
-5.64582291,1.87852066,0.00838602,0.19117461,1.09925638,0.00000000,0.94938412,0.20983719,0.50085423,0.42878455
-5.63981991,1.86391978,0.00844607,0.20139300,1.07627401,0.00000000,0.94902908,0.21124076,0.48707079,0.41979428
-5.63381691,1.84912529,0.00846311,0.21322333,1.05150456,0.00000000,0.94866339,0.21388772,0.47312630,0.40963678
-5.62781391,1.83432459,0.00843719,0.22667410,1.02508419,0.00000000,0.94862948,0.21777664,0.45909062,0.39837519
-5.62181091,1.81970498,0.00836911,0.24173587,0.99716421,0.00000000,0.94924114,0.22289293,0.44502461,0.38608768
-5.61580790,1.80544954,0.00826033,0.25838025,0.96790895,0.00000000,0.95077186,0.22920917,0.43097988,0.37286652
-5.60980490,1.79173225,0.00811296,0.27655906,0.93749321,0.00000000,0.95344492,0.23668532,0.41699880,0.35881681
-5.60380190,1.77871259,0.00792971,0.29620368,0.90609927,0.00000000,0.95742578,0.24526891,0.40311464,0.34405475
-5.59779890,1.76653014,0.00771380,0.31722456,0.87391388,0.00000000,0.96281695,0.25489510,0.38935195,0.32870551
