energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.75412702,0.44703036,0.40677699,0.00338726,0.23581674,0.86875251,0.00000000,0.51931502,0.25303903
-5.99399700,1.83913135,0.47703221,0.43436413,0.00356878,0.23890924,0.92152934,0.00000000,0.54646554,0.25992758
-5.98799400,1.92712087,0.50887030,0.46271926,0.00374788,0.24148084,0.97709195,0.00000000,0.57540203,0.26669436
-5.98199100,2.01698319,0.54214363,0.49140920,0.00392128,0.24360014,1.03465163,0.00000000,0.60584204,0.27333836
-5.97598799,2.10754989,0.57640503,0.51997341,0.00408569,0.24535919,1.09335072,0.00000000,0.63746496,0.27986986
-5.96998499,2.19762578,0.61117075,0.54793519,0.00423790,0.24687195,1.15228284,0.00000000,0.66991874,0.28631046
-5.96398199,2.28601914,0.64593118,0.57481361,0.00437488,0.24827201,1.21051476,0.00000000,0.70282736,0.29269276
-5.95797899,2.37157161,0.68016256,0.60013590,0.00449391,0.24970970,1.26710909,0.00000000,0.73579878,0.29905963
-5.95197599,2.45318689,0.71333911,0.62344971,0.00459262,0.25134857,1.32114692,0.00000000,0.76843316,0.30546318
-5.94597299,2.52985684,0.74494518,0.64433485,0.00466912,0.25336136,1.37174978,0.00000000,0.80033113,0.31196318
-5.93996998,2.60068422,0.77448714,0.66241416,0.00472199,0.25592545,1.41810003,0.00000000,0.83110184,0.31862529
-5.93396698,2.66490099,0.80150440,0.67736302,0.00475039,0.25921805,1.45945892,0.00000000,0.86037062,0.32551869
-5.92796398,2.72188157,0.82557933,0.68891720,0.00475401,0.26341099,1.49518204,0.00000000,0.88778600,0.33271347
-5.92196098,2.77115060,0.84634581,0.69687879,0.00473309,0.26866540,1.52473133,0.00000000,0.91302599,0.34027764
-5.91595798,2.81238482,0.86349601,0.70111996,0.00468839,0.27512626,1.54768367,0.00000000,0.93580331,0.34827380
-5.90995498,2.84540936,0.87678539,0.70158463,0.00462115,0.28291699,1.56373569,0.00000000,0.95586965,0.35675563
-5.90395198,2.87018848,0.88603578,0.69828775,0.00453301,0.29213415,1.57270504,0.00000000,0.97301871,0.36576420
-5.89794897,2.88681165,0.89113657,0.69131264,0.00442594,0.30284240,1.57452819,0.00000000,0.98708802,0.37532426
-5.89194597,2.89547561,0.89204412,0.68080626,0.00430219,0.31506994,1.56925506,0.00000000,0.99795960,0.38544068
-5.88594297,2.89646350,0.88877942,0.66697289,0.00416413,0.32880446,1.55704112,0.00000000,1.00555942,0.39609512
-5.87993997,2.89012227,0.88142447,0.65006641,0.00401424,0.34398991,1.53813729,0.00000000,1.00985576,0.40724320
-5.87393697,2.87683959,0.87011734,0.63038165,0.00385499,0.36052423,1.51287830,0.00000000,1.01085660,0.41881226
-5.86793397,2.85702151,0.85504644,0.60824507,0.00368877,0.37825815,1.48167011,0.00000000,1.00860628,0.43070005
-5.86193097,2.83107209,0.83644406,0.58400523,0.00351783,0.39699539,1.44497696,0.00000000,1.00318150,0.44277429
