energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.33775802,0.00227822,0.00000000,0.18888322,0.07954830,0.00250169,0.09767927,0.12915462,0.00000000
-5.99399700,0.33783945,0.00225163,0.00000000,0.19224464,0.07988769,0.00220205,0.10064530,0.12594466,0.00000000
-5.98799400,0.33912742,0.00223311,0.00000000,0.19588882,0.08069605,0.00192584,0.10371366,0.12344589,0.00000000
-5.98199100,0.34188123,0.00222372,0.00000000,0.19996464,0.08204357,0.00167393,0.10695203,0.12176430,0.00000000
-5.97598799,0.34640217,0.00222484,0.00000000,0.20463892,0.08401844,0.00144667,0.11043186,0.12102804,0.00000000
-5.96998499,0.35302857,0.00223823,0.00000000,0.21009251,0.08672583,0.00124396,0.11422589,0.12138664,0.00000000
-5.96398199,0.36212960,0.00226589,0.00000000,0.21651610,0.09028627,0.00106532,0.11840566,0.12300946,0.00000000
-5.95797899,0.37409823,0.00231009,0.00000000,0.22410560,0.09483370,0.00090997,0.12303902,0.12608353,0.00000000
-5.95197599,0.38934311,0.00237323,0.00000000,0.23305741,0.10051309,0.00077688,0.12818773,0.13081065,0.00000000
-5.94597299,0.40827973,0.00245785,0.00000000,0.24356367,0.10747765,0.00066491,0.13390526,0.13740368,0.00000000
-5.93996998,0.43132088,0.00256648,0.00000000,0.25580746,0.11588559,0.00057281,0.14023497,0.14608216,0.00000000
-5.93396698,0.45886642,0.00270160,0.00000000,0.26995817,0.12589655,0.00049933,0.14720851,0.15706705,0.00000000
-5.92796398,0.49129244,0.00286554,0.00000000,0.28616692,0.13766762,0.00044328,0.15484460,0.17057475,0.00000000
-5.92196098,0.52893992,0.00306039,0.00000000,0.30456225,0.15134896,0.00040354,0.16314826,0.18681043,0.00000000
-5.91595798,0.57210290,0.00328790,0.00000000,0.32524576,0.16707910,0.00037912,0.17211023,0.20596060,0.00000000
-5.90995498,0.62101628,0.00354942,0.00000000,0.34828809,0.18497998,0.00036918,0.18170687,0.22818522,0.00000000
-5.90395198,0.67584344,0.00384578,0.00000000,0.37372486,0.20515175,0.00037307,0.19190017,0.25360944,0.00000000
-5.89794897,0.73666397,0.00417722,0.00000000,0.40155291,0.22766748,0.00039028,0.20263810,0.28231511,0.00000000
-5.89194597,0.80346168,0.00454331,0.00000000,0.43172672,0.25256793,0.00042051,0.21385504,0.31433248,0.00000000
-5.88594297,0.87611353,0.00494287,0.00000000,0.46415512,0.27985657,0.00046359,0.22547239,0.34963236,0.00000000
-5.87993997,0.95437979,0.00537392,0.00000000,0.49869865,0.30949497,0.00051953,0.23739931,0.38811902,0.00000000
-5.87393697,1.03789616,0.00583367,0.00000000,0.53516739,0.34139897,0.00058847,0.24953349,0.42962443,0.00000000
-5.86793397,1.12616831,0.00631845,0.00000000,0.57331991,0.37543564,0.00067065,0.26176214,0.47390406,0.00000000
-5.86193097,1.21856968,0.00682373,0.00000000,0.61286326,0.41142149,0.00076637,0.27396299,0.52063475,0.00000000
-5.85592796,1.31434290,0.00734419,0.00000000,0.65345447,0.44912201,0.00087601,0.28600563,0.56941500,0.00000000
-5.84992496,1.41260547,0.00787372,0.00000000,0.69470368,0.48825274,0.00099994,0.29775298,0.61976790,0.00000000
-5.84392196,1.51236007,0.00840555,0.00000000,0.73617914,0.52848211,0.00113851,0.30906303,0.67114697,0.00000000
-5.83791896,1.61250956,0.00893239,0.00000000,0.77741423,0.56943591,0.00129199,0.31979099,0.72294496,0.00000000
-5.83191596,1.71187676,0.00944654,0.00000000,0.81791637,0.61070357,0.00146058,0.32979167,0.77450549,0.00000000
-5.82591296,1.80922859,0.00994009,0.00000000,0.85717800,0.65184605,0.00164432,0.33892227,0.82513746,0.00000000
-5.81990995,1.90330409,0.01040514,0.00000000,0.89468909,0.69240509,0.00184306,0.34704541,0.87413162,0.00000000
-5.81390695,1.99284540,0.01083400,0.00000000,0.92995111,0.73191365,0.00205648,0.35403243,0.92077902,0.00000000
-5.80790395,2.07663076,0.01121941,0.00000000,0.96249182,0.76990709,0.00228400,0.35976680,0.96439061,0.00000000
-5.80190095,2.15350812,0.01155479,0.00000000,0.99188030,0.80593464,0.00252477,0.36414757,1.00431709,0.00000000
-5.79589795,2.22242816,0.01183443,0.00000000,1.01774174,0.83957080,0.00277769,0.36709259,1.03996853,0.00000000
-5.78989495,2.28247518,0.01205369,0.00000000,1.03977104,0.87042613,0.00304134,0.36854157,1.07083259,0.00000000
-5.78389195,2.33289451,0.01220919,0.00000000,1.05774469,0.89815689,0.00331405,0.36845848,1.09649075,0.00000000
-5.77788894,2.37311513,0.01229890,0.00000000,1.07153018,0.92247335,0.00359382,0.36683352,1.11663174,0.00000000
-5.77188594,2.40276650,0.01232225,0.00000000,1.08109250,0.94314607,0.00387841,0.36368418,1.13106154,0.00000000
-5.76588294,2.42168873,0.01228015,0.00000000,1.08649699,0.96001031,0.00416534,0.35905548,1.13970952,0.00000000
-5.75987994,2.42993557,0.01217499,0.00000000,1.08790860,0.97296801,0.00445191,0.35301935,1.14263041,0.00000000
-5.75387694,2.42777023,0.01201056,0.00000000,1.08558720,0.98198764,0.00473526,0.34567295,1.14000206,0.00000000
-5.74787394,2.41565410,0.01179195,0.00000000,1.07987916,0.98710185,0.00501242,0.33713618,1.13211901,0.00000000
-5.74187094,2.39422910,0.01152538,0.00000000,1.07120538,0.98840310,0.00528037,0.32754836,1.11938237,0.00000000
-5.73586793,2.36429445,0.01121800,0.00000000,1.06004648,0.98603774,0.00553610,0.31706419,1.10228633,0.00000000
-5.72986493,2.32677914,0.01087768,0.00000000,1.04692548,0.98019871,0.00577670,0.30584922,1.08140201,0.00000000
-5.72386193,2.28271139,0.01051277,0.00000000,1.03238904,0.97111743,0.00599940,0.29407502,1.05735954,0.00000000
-5.71785893,2.23318654,0.01013185,0.00000000,1.01698796,0.95905529,0.00620165,0.28191424,1.03082893,0.00000000
-5.71185593,2.17933485,0.00974349,0.00000000,1.00125790,0.94429516,0.00638121,0.26953579,1.00250073,0.00000000
-5.70585293,2.12229064,0.00935599,0.00000000,0.98570117,0.92713338,0.00653619,0.25710037,0.97306729,0.00000000
