energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.16819204,1.20947110,0.35468024,0.01457051,0.22806330,0.98448722,0.56736599,1.06761470,0.00000000
-5.99399700,2.15946941,1.21993867,0.34855023,0.01365579,0.23170927,0.97435232,0.57146718,1.06410003,0.00000000
-5.98799400,2.15276479,1.23071062,0.34262693,0.01271556,0.23600449,0.96237753,0.57687723,1.06086933,0.00000000
-5.98199100,2.14896476,1.24212781,0.33710519,0.01176545,0.24102387,0.94896363,0.58375273,1.05831118,0.00000000
-5.97598799,2.14879458,1.25447031,0.33215187,0.01082015,0.24682010,0.93451623,0.59219280,1.05674873,0.00000000
-5.96998499,2.15278852,1.26794221,0.32790086,0.00989310,0.25342037,0.91943074,0.60223284,1.05642662,0.00000000
-5.96398199,2.16126901,1.28265973,0.32444975,0.00899624,0.26082416,0.90407844,0.61384111,1.05750163,0.00000000
-5.95797899,2.17433515,1.29864326,0.32185823,0.00813979,0.26900214,0.88879412,0.62691820,1.06003747,0.00000000
-5.95197599,2.19186097,1.31581352,0.32014811,0.00733216,0.27789627,0.87386594,0.64129941,1.06400364,0.00000000
-5.94597299,2.21350310,1.33399208,0.31930495,0.00657989,0.28742106,0.85952756,0.65675980,1.06927853,0.00000000
-5.93996998,2.23871730,1.35290612,0.31928112,0.00588774,0.29746582,0.84595304,0.67302173,1.07565622,0.00000000
-5.93396698,2.26678295,1.37219736,0.32000007,0.00525871,0.30789802,0.83325445,0.68976446,1.08285687,0.00000000
-5.92796398,2.29683424,1.39143462,0.32136158,0.00469424,0.31856737,0.82148243,0.70663541,1.09053993,0.00000000
-5.92196098,2.32789662,1.41012976,0.32324770,0.00419437,0.32931065,0.81062943,0.72326258,1.09831980,0.00000000
-5.91595798,2.35892704,1.42775613,0.32552905,0.00375798,0.33995691,0.80063558,0.73926756,1.10578300,0.00000000
-5.90995498,2.38885616,1.44376913,0.32807133,0.00338298,0.35033304,0.79139683,0.75427875,1.11250641,0.00000000
-5.90395198,2.41663110,1.45762788,0.33074163,0.00306656,0.36026935,0.78277510,0.76794420,1.11807566,0.00000000
-5.89794897,2.44125703,1.46881745,0.33341438,0.00280545,0.36960506,0.77460986,0.77994359,1.12210316,0.00000000
-5.89194597,2.46183617,1.47687062,0.33597676,0.00259608,0.37819349,0.76673083,0.78999912,1.12424499,0.00000000
-5.88594297,2.47760307,1.48138877,0.33833336,0.00243483,0.38590671,0.75897116,0.79788474,1.12421620,0.00000000
-5.87993997,2.48795485,1.48206077,0.34041003,0.00231816,0.39263973,0.75118054,0.80343374,1.12180409,0.00000000
-5.87393697,2.49247580,1.47867956,0.34215679,0.00224279,0.39831383,0.74323781,0.80654425,1.11687890,0.00000000
-5.86793397,2.49095558,1.47115574,0.34354979,0.00220576,0.40287923,0.73506252,0.80718282,1.10940184,0.00000000
-5.86193097,2.48340072,1.45952756,0.34459238,0.00220458,0.40631678,0.72662491,0.80538580,1.09943012,0.00000000
-5.85592796,2.47003920,1.44396723,0.34531522,0.00223724,0.40863891,0.71795393,0.80125878,1.08711904,0.00000000
-5.84992496,2.45131825,1.42478300,0.34577552,0.00230223,0.40988959,0.70914302,0.79497406,1.07272091,0.00000000
-5.84392196,2.42789554,1.40241709,0.34605554,0.00239856,0.41014349,0.70035332,0.78676634,1.05658109,0.00000000
-5.83791896,2.40062420,1.37743936,0.34626028,0.00252573,0.40950431,0.69181405,0.77692684,1.03913122,0.00000000
-5.83191596,2.37053213,1.35053676,0.34651469,0.00268365,0.40810233,0.68382019,0.76579599,1.02087971,0.00000000
-5.82591296,2.33879632,1.32249892,0.34696015,0.00287263,0.40609125,0.67672720,0.75375502,1.00239990,0.00000000
-5.81990995,2.30671281,1.29420004,0.34775062,0.00309321,0.40364435,0.67094308,0.74121662,0.98431613,0.00000000
-5.81390695,2.27566306,1.26657758,0.34904835,0.00334616,0.40095017,0.66691785,0.72861494,0.96728797,0.00000000
-5.80790395,2.24707747,1.24060826,0.35101931,0.00363229,0.39820762,0.66513071,0.71639516,0.95199301,0.00000000
-5.80190095,2.22239699,1.21728186,0.35382833,0.00395238,0.39562075,0.66607527,0.70500282,0.93910863,0.00000000
-5.79589795,2.20303348,1.19757357,0.35763419,0.00430704,0.39339317,0.67024323,0.69487318,0.92929297,0.00000000
-5.78989495,2.19032984,1.18241557,0.36258454,0.00469656,0.39172235,0.67810701,0.68642083,0.92316581,0.00000000
-5.78389195,2.18552067,1.17266856,0.36881093,0.00512086,0.39079375,0.69010175,0.68002967,0.92128946,0.00000000
-5.77788894,2.18969435,1.16909401,0.37642392,0.00557930,0.39077513,0.70660742,0.67604342,0.92415044,0.00000000
-5.77188594,2.20375754,1.17232811,0.38550847,0.00607059,0.39181091,0.72793148,0.67475707,0.93214219,0.00000000
-5.76588294,2.22840295,1.18285791,0.39611967,0.00659275,0.39401701,0.75429265,0.67640907,0.94554947,0.00000000
-5.75987994,2.26408135,1.20100078,0.40827902,0.00714296,0.39747618,0.78580664,0.68117480,0.96453487,0.00000000
-5.75387694,2.31097873,1.22688774,0.42197127,0.00771755,0.40223397,0.82247404,0.68916119,0.98912791,0.00000000
-5.74787394,2.36899957,1.26045140,0.43714222,0.00831196,0.40829570,0.86417123,0.70040283,1.01921735,0.00000000
-5.74187094,2.43775695,1.30141914,0.45369726,0.00892075,0.41562439,0.91064461,0.71485962,1.05454691,0.00000000
-5.73586793,2.51657024,1.34931202,0.47150109,0.00953763,0.42413991,0.96150852,0.73241609,1.09471495,0.00000000
-5.72986493,2.60447102,1.40344975,0.49037862,0.01015556,0.43371952,1.01624724,0.75288253,1.13917839,0.00000000
-5.72386193,2.70021741,1.46296191,0.51011695,0.01076678,0.44419973,1.07422115,0.77599790,1.18726084,0.00000000
-5.71785893,2.80231706,1.52680533,0.53046878,0.01136302,0.45537973,1.13467701,0.80143468,1.23816520,0.00000000
-5.71185593,2.90905846,1.59378747,0.55115693,0.01193566,0.46702609,1.19676241,0.82880551,1.29099042,0.00000000
-5.70585293,3.01855016,1.66259525,0.57188008,0.01247589,0.47887901,1.25954387,0.85767156,1.34475226,0.00000000
-5.69984992,3.12876695,1.73182860,0.59231958,0.01297496,0.49065952,1.32202827,0.88755256,1.39840739,0.00000000
-5.69384692,3.23760187,1.80003782,0.61214701,0.01342439,0.50207785,1.38318701,0.91793821,1.45088034,0.00000000
-5.68784392,3.34292246,1.86576359,0.63103258,0.01381623,0.51284234,1.44198208,0.94830071,1.50109243,0.00000000
-5.68184092,3.44262956,1.92757833,0.64865367,0.01414329,0.52266880,1.49739331,0.97810817,1.54799167,0.00000000
-5.67583792,3.53471669,1.98412737,0.66470369,0.01439935,0.53128978,1.54844579,1.00683841,1.59058275,0.00000000
-5.66983492,3.61732783,2.03416866,0.67890053,0.01457938,0.53846353,1.59423665,1.03399279,1.62795587,0.00000000
