energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,1.88125182,0.53992685,0.31710146,0.01093459,0.17635037,1.42246480,0.71523735,0.73775443,0.00000000
-5.99399700,1.83425499,0.52405362,0.31922358,0.01154346,0.17251426,1.39438061,0.68836881,0.72017385,0.00000000
-5.98799400,1.78863391,0.50778430,0.32098829,0.01213141,0.16909672,1.36484687,0.66299831,0.70208538,0.00000000
-5.98199100,1.74508805,0.49136349,0.32236982,0.01268790,0.16618720,1.33447788,0.63952754,0.68374337,0.00000000
-5.97598799,1.70427731,0.47503451,0.32334513,0.01320276,0.16386609,1.30392762,0.61832301,0.66540150,0.00000000
-5.96998499,1.66681894,0.45903731,0.32389729,0.01366649,0.16220343,1.27387983,0.59971181,0.64731157,0.00000000
-5.96398199,1.63328836,0.44360725,0.32401908,0.01407064,0.16125821,1.24503963,0.58397971,0.62972362,0.00000000
-5.95797899,1.60422329,0.42897484,0.32371671,0.01440812,0.16107809,1.21812636,0.57137115,0.61288693,0.00000000
-5.95197599,1.58013031,0.41536581,0.32301335,0.01467351,0.16169958,1.19386735,0.56209102,0.59705171,0.00000000
-5.94597299,1.56149267,0.40300174,0.32195227,0.01486322,0.16314861,1.17299227,0.55630781,0.58247105,0.00000000
-5.93996998,1.54877848,0.39210050,0.32059924,0.01497574,0.16544130,1.15622740,0.55415773,0.56940263,0.00000000
-5.93396698,1.54244790,0.38287653,0.31904409,0.01501167,0.16858506,1.14428918,0.55574924,0.55810984,0.00000000
-5.92796398,1.54295833,0.37554050,0.31740125,0.01497375,0.17257960,1.13787664,0.56116774,0.54886182,0.00000000
-5.92196098,1.55076665,0.37029816,0.31580903,0.01486679,0.17741810,1.13766202,0.57047966,0.54193218,0.00000000
-5.91595798,1.56632782,0.36734828,0.31442764,0.01469749,0.18308814,1.14427925,0.58373586,0.53759607,0.00000000
-5.90995498,1.59008926,0.36687941,0.31343603,0.01447426,0.18957250,1.15831025,0.60097379,0.53612558,0.00000000
-5.90395198,1.62248087,0.36906564,0.31302740,0.01420685,0.19684974,1.18026886,0.62221832,0.53778328,0.00000000
-5.89794897,1.66390085,0.37406130,0.31340369,0.01390605,0.20489448,1.21058292,0.64748101,0.54281429,0.00000000
-5.89194597,1.71469767,0.38199487,0.31476910,0.01358327,0.21367735,1.24957490,0.67675791,0.55143693,0.00000000
-5.88594297,1.77514908,0.39296226,0.31732296,0.01325014,0.22316475,1.29744184,0.71002594,0.56383232,0.00000000
-5.87993997,1.84543902,0.40701994,0.32125206,0.01291806,0.23331830,1.35423566,0.74723807,0.58013366,0.00000000
-5.87393697,1.92563380,0.42417813,0.32672293,0.01259780,0.24409414,1.41984488,0.78831773,0.60041536,0.00000000
-5.86793397,2.01565887,0.44439459,0.33387425,0.01229915,0.25544214,1.49397903,0.83315269,0.62468302,0.00000000
-5.86193097,2.11527770,0.46756953,0.34280976,0.01203049,0.26730515,1.57615680,0.88158908,0.65286455,0.00000000
-5.85592796,2.22407423,0.49354180,0.35359198,0.01179862,0.27961824,1.66569938,0.93342590,0.68480333,0.00000000
-5.84992496,2.34144028,0.52208705,0.36623699,0.01160843,0.29230827,1.76172969,0.98841061,0.72025372,0.00000000
-5.84392196,2.46656914,0.55291797,0.38071070,0.01146283,0.30529366,1.86317842,1.04623622,0.75887955,0.00000000
-5.83791896,2.59845626,0.58568684,0.39692654,0.01136265,0.31848455,1.96879743,1.10654031,0.80025588,0.00000000
-5.83191596,2.73590757,0.61999065,0.41474507,0.01130669,0.33178340,2.07718038,1.16890619,0.84387418,0.00000000
-5.82591296,2.87755580,0.65537856,0.43397533,0.01129175,0.34508591,2.18679066,1.23286646,0.88915104,0.00000000
-5.81990995,3.02188441,0.69136167,0.45437809,0.01131286,0.35828250,2.29599559,1.29790893,0.93544026,0.00000000
-5.81390695,3.16725853,0.72742475,0.47567096,0.01136347,0.37126004,2.40310619,1.36348469,0.98204783,0.00000000
-5.80790395,3.31196182,0.76303956,0.49753512,0.01143576,0.38390394,2.50642077,1.42901817,1.02824956,0.00000000
-5.80190095,3.45423784,0.79767908,0.51962352,0.01152095,0.39610041,2.60427096,1.49391868,1.07331041,0.00000000
-5.79589795,3.59233407,0.83083224,0.54157035,0.01160965,0.40773880,2.69506802,1.55759286,1.11650493,0.00000000
-5.78989495,3.72454677,0.86201829,0.56300121,0.01169225,0.41871391,2.77734765,1.61945756,1.15713792,0.00000000
-5.78389195,3.84926457,0.89080033,0.58354383,0.01175927,0.42892810,2.84981118,1.67895236,1.19456427,0.00000000
-5.77788894,3.96500877,0.91679707,0.60283870,0.01180171,0.43829317,2.91136139,1.73555122,1.22820724,0.00000000
-5.77188594,4.07046869,0.93969263,0.62054942,0.01181141,0.44673183,2.96113130,1.78877260,1.25757430,0.00000000
-5.76588294,4.16453033,0.95924354,0.63637212,0.01178127,0.45417872,2.99850479,1.83818773,1.28226978,0.00000000
-5.75987994,4.24629744,0.97528289,0.65004368,0.01170552,0.46058106,3.02312806,1.88342661,1.30200383,0.00000000
-5.75387694,4.31510411,0.98772133,0.66134852,0.01157989,0.46589871,3.03491170,1.92418156,1.31659738,0.00000000
-5.74787394,4.37051885,0.99654502,0.67012348,0.01140170,0.47010398,3.03402354,1.96020855,1.32598282,0.00000000
-5.74187094,4.41234046,1.00181071,0.67626091,0.01116993,0.47318099,3.02087272,1.99132625,1.33020068,0.00000000
-5.73586793,4.44058649,1.00363823,0.67970966,0.01088518,0.47512487,2.99608636,2.01741333,1.32939249,0.00000000
-5.72986493,4.45547559,1.00220111,0.68047421,0.01054959,0.47594082,2.96047993,2.03840452,1.32379037,0.00000000
-5.72386193,4.45740522,0.99771571,0.67861188,0.01016670,0.47564323,2.91502334,2.05428576,1.31370410,0.00000000
-5.71785893,4.44692658,0.99042971,0.67422858,0.00974131,0.47425485,2.86080446,2.06508940,1.29950637,0.00000000
