energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.83540165,0.60302181,0.40054977,0.00911344,0.30700841,2.18127229,1.21944113,0.86689379,0.00000000
-5.99399700,2.95866312,0.63204114,0.41812988,0.00920737,0.31759699,2.26025905,1.27767591,0.90498885,0.00000000
-5.98799400,3.07998184,0.66087181,0.43593705,0.00931937,0.32771344,2.33616804,1.33500918,0.94283715,0.00000000
-5.98199100,3.19760861,0.68897687,0.45364937,0.00944090,0.33725608,2.40752706,1.39079830,0.97970874,0.00000000
-5.97598799,3.30986279,0.71582941,0.47094333,0.00956314,0.34613569,2.47295590,1.44443114,1.01488859,0.00000000
-5.96998499,3.41517427,0.74092737,0.48750342,0.00967725,0.35427673,2.53120368,1.49533894,1.04769643,0.00000000
-5.96398199,3.51212310,0.76380798,0.50303160,0.00977467,0.36161827,2.58118287,1.54300851,1.07750604,0.00000000
-5.95797899,3.59947513,0.78406131,0.51725604,0.00984744,0.36811450,2.62199890,1.58699311,1.10376301,0.00000000
-5.95197599,3.67621259,0.80134243,0.52993908,0.00988841,0.37373502,2.65297424,1.62692178,1.12600051,0.00000000
-5.94597299,3.74155836,0.81538154,0.54088383,0.00989149,0.37846478,2.67366620,1.66250667,1.14385227,0.00000000
-5.93996998,3.79499279,0.82599184,0.54993919,0.00985179,0.38230381,2.68387765,1.69354812,1.15706237,0.00000000
-5.93396698,3.83626263,0.83307456,0.55700324,0.00976581,0.38526665,2.68366019,1.71993728,1.16549132,0.00000000
-5.92796398,3.86538151,0.83662109,0.56202465,0.00963144,0.38738158,2.67330965,1.74165605,1.16911824,0.00000000
-5.92196098,3.88262198,0.83671210,0.56500224,0.00944806,0.38868968,2.65335398,1.75877441,1.16803909,0.00000000
-5.91595798,3.88849948,0.83351353,0.56598264,0.00921647,0.38924360,2.62453400,1.77144521,1.16246097,0.00000000
-5.90995498,3.88374883,0.82726982,0.56505631,0.00893882,0.38910628,2.58777760,1.77989656,1.15269291,0.00000000
-5.90395198,3.86929449,0.81829460,0.56235200,0.00861850,0.38834939,2.54416855,1.78442220,1.13913349,0.00000000
-5.89794897,3.84621558,0.80695916,0.55803017,0.00826001,0.38705167,2.49491094,1.78537030,1.12225583,0.00000000
-5.89194597,3.81570757,0.79367937,0.55227548,0.00786872,0.38529716,2.44129080,1.78313105,1.10259087,0.00000000
-5.88594297,3.77904204,0.77890148,0.54528900,0.00745073,0.38317334,2.38463643,1.77812374,1.08070939,0.00000000
-5.87993997,3.73752640,0.76308742,0.53728026,0.00701260,0.38076911,2.32627879,1.77078378,1.05720385,0.00000000
-5.87393697,3.69246530,0.74670029,0.52845982,0.00656116,0.37817295,2.26751385,1.76155035,1.03267057,0.00000000
-5.86793397,3.64512518,0.73019043,0.51903247,0.00610333,0.37547090,2.20956792,1.75085502,1.00769313,0.00000000
-5.86193097,3.59670349,0.71398278,0.50919148,0.00564585,0.37274483,2.15356763,1.73911209,0.98282756,0.00000000
-5.85592796,3.54830363,0.69846583,0.49911408,0.00519519,0.37007073,2.10051531,1.72671071,0.95858970,0.00000000
-5.84992496,3.50091630,0.68398261,0.48895826,0.00475735,0.36751738,2.05127060,1.71400931,0.93544530,0.00000000
-5.84392196,3.45540785,0.67082384,0.47886112,0.00433779,0.36514518,2.00653892,1.70133234,0.91380290,0.00000000
-5.83791896,3.41251563,0.65922359,0.46893845,0.00394134,0.36300545,1.96686665,1.68896940,0.89400953,0.00000000
-5.83191596,3.37284993,0.64935722,0.45928566,0.00357211,0.36114011,1.93264312,1.67717660,0.87634929,0.00000000
-5.82591296,3.33690214,0.64134175,0.44997978,0.00323358,0.35958182,1.90410875,1.66618000,0.86104440,0.00000000
-5.81990995,3.30505803,0.63523839,0.44108233,0.00292851,0.35835460,1.88136872,1.65618077,0.84825860,0.00000000
-5.81390695,3.27761512,0.63105698,0.43264269,0.00265906,0.35747492,1.86441113,1.64736162,0.83810226,0.00000000
-5.80790395,3.25480295,0.62876212,0.42470187,0.00242681,0.35695324,1.85312852,1.63989408,0.83063899,0.00000000
-5.80190095,3.23680476,0.62828046,0.41729617,0.00223283,0.35679595,1.84734159,1.63394609,0.82589303,0.00000000
-5.79589795,3.22377924,0.62950896,0.41046064,0.00207780,0.35700761,1.84682371,1.62968935,0.82385713,0.00000000
-5.78989495,3.21588110,0.63232348,0.40423206,0.00196206,0.35759343,1.85132496,1.62730601,0.82450032,0.00000000
-5.78389195,3.21327917,0.63658747,0.39865115,0.00188567,0.35856175,1.86059452,1.62699405,0.82777526,0.00000000
-5.77788894,3.21617086,0.64216027,0.39376403,0.00184854,0.35992660,1.87440022,1.62897114,0.83362469,0.00000000
-5.77188594,3.22479236,0.64890458,0.38962280,0.00185040,0.36170982,1.89254438,1.63347646,0.84198682,0.00000000
-5.76588294,3.23942356,0.65669291,0.38628510,0.00189089,0.36394302,1.91487514,1.64077029,0.85279935,0.00000000
-5.75987994,3.26038766,0.66541265,0.38381292,0.00196957,0.36666880,1.94129272,1.65113124,0.86600200,0.00000000
-5.75387694,3.28804503,0.67496953,0.38227057,0.00208588,0.36994137,1.97175053,1.66485103,0.88153760,0.00000000
-5.74787394,3.32278166,0.68528942,0.38172197,0.00223915,0.37382631,2.00625095,1.68222692,0.89935161,0.00000000
-5.74187094,3.36499246,0.69631837,0.38222753,0.00242854,0.37839941,2.04483604,1.70355194,0.91939028,0.00000000
-5.73586793,3.41506004,0.70802099,0.38384063,0.00265301,0.38374457,2.08757383,1.72910324,0.94159768,0.00000000
-5.72986493,3.47332988,0.72037725,0.38660412,0.00291121,0.38995070,2.13454083,1.75912888,0.96591157,0.00000000
-5.72386193,3.54008296,0.73337795,0.39054679,0.00320144,0.39710770,2.18580157,1.79383364,0.99225874,0.00000000
-5.71785893,3.61550687,0.74701913,0.39568020,0.00352159,0.40530158,2.24138652,1.83336430,1.02054987,0.00000000
-5.71185593,3.69966691,0.76129581,0.40199597,0.00386904,0.41460901,2.30126927,1.87779505,1.05067426,0.00000000
-5.70585293,3.79247844,0.77619543,0.40946363,0.00424065,0.42509134,2.36534439,1.92711363,1.08249497,0.00000000
-5.69984992,3.89368183,0.79169130,0.41802919,0.00463270,0.43678845,2.43340712,1.98120891,1.11584438,0.00000000
-5.69384692,4.00282142,0.80773668,0.42761452,0.00504087,0.44971270,2.50513613,2.03986051,1.15052079,0.00000000
-5.68784392,4.11922968,0.82425967,0.43811749,0.00546029,0.46384327,2.58008026,2.10273097,1.18628609,0.00000000
-5.68184092,4.24201766,0.84115936,0.44941304,0.00588553,0.47912130,2.65765034,2.16936127,1.22286486,0.00000000
-5.67583792,4.37007253,0.85830349,0.46135490,0.00631071,0.49544602,2.73711651,2.23916982,1.25994493,0.00000000
-5.66983492,4.50206305,0.87552781,0.47377818,0.00672959,0.51267226,2.81761178,2.31145548,1.29717965,0.00000000
-5.66383192,4.63645300,0.89263718,0.48650246,0.00713567,0.53060953,2.89814171,2.38540481,1.33419171,0.00000000
-5.65782891,4.77152294,0.90940862,0.49933548,0.00752237,0.54902289,2.97760035,2.46010341,1.37057857,0.00000000
-5.65182591,4.90539974,0.92559587,0.51207718,0.00788315,0.56763576,3.05479181,2.53455151,1.40591929,0.00000000
-5.64582291,5.03609351,0.94093563,0.52452395,0.00821172,0.58613459,3.12845708,2.60768340,1.43978255,0.00000000
-5.63981991,5.16154070,0.95515499,0.53647310,0.00850218,0.60417541,3.19730496,2.67839022,1.47173569,0.00000000
-5.63381691,5.27965250,0.96797974,0.54772713,0.00874923,0.62139211,3.26004608,2.74554566,1.50135433,0.00000000
-5.62781391,5.38836674,0.97914332,0.55809797,0.00894829,0.63740620,3.31542884,2.80803379,1.52823227,0.00000000
-5.62181091,5.48570179,0.98839575,0.56741085,0.00909564,0.65183760,3.36227573,2.86477803,1.55199136,0.00000000
