energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.89723919,0.00826213,0.29105184,0.53227819,0.32648330,0.99710992,0.00000000,0.77592069,0.44815946
-5.99399700,1.81844997,0.00829262,0.27431177,0.52000761,0.31733916,0.96565885,0.00000000,0.77227638,0.42092825
-5.98799400,1.74694132,0.00831904,0.25872273,0.50974791,0.30927377,0.93783268,0.00000000,0.76980260,0.39569308
-5.98199100,1.68293101,0.00833846,0.24433017,0.50141803,0.30234341,0.91365047,0.00000000,0.76838482,0.37257164
-5.97598799,1.62650917,0.00834810,0.23115651,0.49492358,0.29658500,0.89308307,0.00000000,0.76789517,0.35163903
-5.96998499,1.57766314,0.00834543,0.21920449,0.49016653,0.29201839,0.87606767,0.00000000,0.76820639,0.33293339
-5.96398199,1.53630255,0.00832840,0.20846058,0.48705408,0.28864869,0.86252180,0.00000000,0.76920483,0.31646206
-5.95797899,1.50228329,0.00829557,0.19889859,0.48550610,0.28646860,0.85235601,0.00000000,0.77080165,0.30220780
-5.95197599,1.47542851,0.00824621,0.19048293,0.48546077,0.28546030,0.84548416,0.00000000,0.77294140,0.29013474
-5.94597299,1.45554560,0.00818038,0.18317174,0.48687803,0.28559701,0.84183093,0.00000000,0.77560752,0.28019371
-5.93996998,1.44243816,0.00809900,0.17691945,0.48974068,0.28684394,0.84133591,0.00000000,0.77882413,0.27232654
-5.93396698,1.43591252,0.00800375,0.17167885,0.49405307,0.28915872,0.84395421,0.00000000,0.78265419,0.26646930
-5.92796398,1.43577858,0.00789710,0.16740265,0.49983747,0.29249125,0.84965354,0.00000000,0.78719393,0.26255437
-5.92196098,1.44184555,0.00778212,0.16404437,0.50712838,0.29678312,0.85840815,0.00000000,0.79256399,0.26051116
-5.91595798,1.45391303,0.00766239,0.16155883,0.51596514,0.30196666,0.87019008,0.00000000,0.79889776,0.26026581
-5.90995498,1.47175872,0.00754177,0.15990205,0.52638332,0.30796380,0.88495842,0.00000000,0.80632770,0.26173992
-5.90395198,1.49512379,0.00742424,0.15903087,0.53840543,0.31468499,0.90264745,0.00000000,0.81497039,0.26484849
-5.89794897,1.52369754,0.00731364,0.15890234,0.55203161,0.32202824,0.92315455,0.00000000,0.82491149,0.26949750
-5.89194597,1.55710266,0.00721351,0.15947283,0.56723083,0.32987858,0.94632890,0.00000000,0.83619138,0.27558128
-5.88594297,1.59488262,0.00712686,0.16069731,0.58393328,0.33810807,0.97196170,0.00000000,0.84879263,0.28298010
-5.87993997,1.63649237,0.00705599,0.16252854,0.60202441,0.34657640,0.99977893,0.00000000,0.86262997,0.29155815
-5.87393697,1.68129342,0.00700241,0.16491651,0.62134108,0.35513228,1.02943715,0.00000000,0.87754367,0.30116226
-5.86793397,1.72855403,0.00696666,0.16780805,0.64167006,0.36361559,1.06052294,0.00000000,0.89329676,0.31162150
-5.86193097,1.77745489,0.00694832,0.17114672,0.66274923,0.37186022,1.09255603,0.00000000,0.90957636,0.32274780
-5.85592796,1.82710034,0.00694600,0.17487293,0.68427127,0.37969756,1.12499640,0.00000000,0.92599933,0.33433761
-5.84992496,1.87653470,0.00695737,0.17892432,0.70588992,0.38696051,1.15725495,0.00000000,0.94212193,0.34617466
-5.84392196,1.92476319,0.00697928,0.18323629,0.72722839,0.39348779,1.18870729,0.00000000,0.95745312,0.35803366
-5.83791896,1.97077630,0.00700787,0.18774274,0.74788966,0.39912847,1.21871022,0.00000000,0.97147094,0.36968475
-5.83191596,2.01357665,0.00703876,0.19237683,0.76746809,0.40374629,1.24661989,0.00000000,0.98364111,0.38089863
-5.82591296,2.05220671,0.00706724,0.19707177,0.78556183,0.40722381,1.27181088,0.00000000,0.99343694,0.39145191
-5.81990995,2.08577639,0.00708848,0.20176156,0.80178544,0.40946604,1.29369534,0.00000000,1.00035966,0.40113262
