energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.45893635,1.15538307,0.27344059,0.00282928,0.23586178,0.79765441,0.00000000,0.76342810,0.25487356
-5.99399700,1.41788220,1.12472409,0.26290228,0.00264987,0.23154778,0.77344204,0.00000000,0.75562437,0.24552183
-5.98799400,1.38377063,1.09967599,0.25369665,0.00250336,0.22798135,0.75325766,0.00000000,0.74815115,0.23775372
-5.98199100,1.35621341,1.07977753,0.24574625,0.00238636,0.22509291,0.73682956,0.00000000,0.74077540,0.23157855
-5.97598799,1.33475846,1.06448395,0.23896963,0.00229539,0.22279859,0.72384234,0.00000000,0.73327725,0.22699346
-5.96998499,1.31890734,1.05318606,0.23328406,0.00222695,0.22100292,0.71394903,0.00000000,0.72545639,0.22398515
-5.96398199,1.30813145,1.04522929,0.22860775,0.00217766,0.21960171,0.70678250,0.00000000,0.71713747,0.22253121
-5.95797899,1.30188657,1.03993247,0.22486140,0.00214430,0.21848517,0.70196611,0.00000000,0.70817429,0.22260105
-5.95197599,1.29962543,1.03660585,0.22196932,0.00212389,0.21754098,0.69912321,0.00000000,0.69845293,0.22415645
-5.94597299,1.30080819,1.03456797,0.21985987,0.00211376,0.21665747,0.69788535,0.00000000,0.68789357,0.22715152
-5.93996998,1.30491058,1.03316126,0.21846552,0.00211159,0.21572655,0.69789925,0.00000000,0.67645119,0.23153234
-5.93396698,1.31142979,1.03176597,0.21772249,0.00211537,0.21464651,0.69883222,0.00000000,0.66411495,0.23723621
-5.92796398,1.31988802,1.02981228,0.21756999,0.00212348,0.21332451,0.70037616,0.00000000,0.65090651,0.24419049
-5.92196098,1.32983397,1.02679039,0.21794921,0.00213460,0.21167873,0.70225016,0.00000000,0.63687717,0.25231129
-5.91595798,1.34084225,1.02225848,0.21880218,0.00214773,0.20964004,0.70420168,0.00000000,0.62210406,0.26150199
-5.90995498,1.35251124,1.01584833,0.22007043,0.00216212,0.20715333,0.70600652,0.00000000,0.60668546,0.27165177
-5.90395198,1.36445952,1.00726875,0.22169369,0.00217724,0.20417822,0.70746771,0.00000000,0.59073545,0.28263429
-5.89794897,1.37632151,0.99630665,0.22360867,0.00219273,0.20068939,0.70841345,0.00000000,0.57437810,0.29430658
-5.89194597,1.38774258,0.98282599,0.22574794,0.00220831,0.19667639,0.70869444,0.00000000,0.55774147,0.30650848
-5.88594297,1.39837442,0.96676463,0.22803918,0.00222376,0.19214302,0.70818081,0.00000000,0.54095172,0.31906251
-5.87993997,1.40787092,0.94812948,0.23040463,0.00223886,0.18710631,0.70675889,0.00000000,0.52412748,0.33177458
-5.87393697,1.41588525,0.92699009,0.23276103,0.00225334,0.18159521,0.70432816,0.00000000,0.50737496,0.34443547
-5.86793397,1.42206863,0.90347105,0.23502001,0.00226688,0.17564897,0.70079863,0.00000000,0.49078385,0.35682310
-5.86193097,1.42607097,0.87774370,0.23708898,0.00227902,0.16931542,0.69608884,0.00000000,0.47442439,0.36870595
-5.85592796,1.42754384,0.85001737,0.23887253,0.00228922,0.16264912,0.69012471,0.00000000,0.45834562,0.37984714
-5.84992496,1.42614579,0.82053065,0.24027429,0.00229684,0.15570957,0.68283939,0.00000000,0.44257504,0.39000952
-5.84392196,1.42154992,0.78954306,0.24119935,0.00230114,0.14855943,0.67417411,0.00000000,0.42711955,0.39896145
-5.83791896,1.41345365,0.75732741,0.24155694,0.00230129,0.14126297,0.66408006,0.00000000,0.41196781,0.40648304
-5.83191596,1.40159007,0.72416310,0.24126346,0.00229647,0.13388469,0.65252117,0.00000000,0.39709365,0.41237277
-5.82591296,1.38574056,0.69033062,0.24024564,0.00228585,0.12648821,0.63947766,0.00000000,0.38246049,0.41645418
-5.81990995,1.36574788,0.65610731,0.23844368,0.00226863,0.11913543,0.62495013,0.00000000,0.36802656,0.41858222
