energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.96347082,0.38202522,0.43833016,0.00266259,0.01811346,0.11232713,0.37181224,0.09015368,0.00000000
-5.99399700,0.92362817,0.35370311,0.42645224,0.00246060,0.01564811,0.10353694,0.35798461,0.08337533,0.00000000
-5.98799400,0.88834407,0.32676794,0.41608636,0.00228195,0.01343794,0.09570595,0.34613780,0.07725493,0.00000000
-5.98199100,0.85742753,0.30131483,0.40703608,0.00212777,0.01147520,0.08878019,0.33626675,0.07181550,0.00000000
-5.97598799,0.83070726,0.27741787,0.39912566,0.00199960,0.00974915,0.08270336,0.32837533,0.06707865,0.00000000
-5.96998499,0.80804778,0.25513157,0.39220903,0.00189931,0.00824678,0.07741963,0.32248196,0.06306493,0.00000000
-5.96398199,0.78936227,0.23449255,0.38617690,0.00182896,0.00695344,0.07287597,0.31862383,0.05979413,0.00000000
-5.95797899,0.77462135,0.21552153,0.38096173,0.00179077,0.00585344,0.06902408,0.31685949,0.05728532,0.00000000
-5.95197599,0.76385746,0.19822534,0.37654016,0.00178702,0.00493063,0.06582184,0.31726934,0.05555682,0.00000000
-5.94597299,0.75716415,0.18259886,0.37293282,0.00181995,0.00416884,0.06323413,0.31995409,0.05462578,0.00000000
-5.93996998,0.75469046,0.16862681,0.37020160,0.00189169,0.00355227,0.06123310,0.32503096,0.05450769,0.00000000
-5.93396698,0.75663039,0.15628531,0.36844441,0.00200413,0.00306583,0.05979789,0.33262778,0.05521548,0.00000000
-5.92796398,0.76320801,0.14554308,0.36778770,0.00215888,0.00269529,0.05891379,0.34287518,0.05675847,0.00000000
-5.92196098,0.77465870,0.13636229,0.36837716,0.00235711,0.00242747,0.05857094,0.35589705,0.05914107,0.00000000
-5.91595798,0.79120757,0.12869910,0.37036697,0.00259951,0.00225031,0.05876268,0.37179981,0.06236131,0.00000000
-5.90995498,0.81304600,0.12250378,0.37390817,0.00288610,0.00215284,0.05948360,0.39066098,0.06640927,0.00000000
-5.90395198,0.84030753,0.11772062,0.37913679,0.00321625,0.00212518,0.06072741,0.41251744,0.07126545,0.00000000
-5.89794897,0.87304442,0.11428761,0.38616217,0.00358846,0.00215844,0.06248483,0.43735420,0.07689926,0.00000000
-5.89194597,0.91120607,0.11213611,0.39505623,0.00400039,0.00224464,0.06474151,0.46509425,0.08326760,0.00000000
-5.88594297,0.95462065,0.11119042,0.40584418,0.00444874,0.00237664,0.06747623,0.49558999,0.09031377,0.00000000
-5.87993997,1.00298105,0.11136765,0.41849711,0.00492924,0.00254797,0.07065933,0.52861703,0.09796671,0.00000000
-5.87393697,1.05583619,0.11257779,0.43292699,0.00543663,0.00275280,0.07425168,0.56387068,0.10614075,0.00000000
-5.86793397,1.11258839,0.11472416,0.44898428,0.00596469,0.00298587,0.07820410,0.60096565,0.11473588,0.00000000
-5.86193097,1.17249748,0.11770438,0.46645845,0.00650633,0.00324241,0.08245729,0.63943921,0.12363867,0.00000000
-5.85592796,1.23469168,0.12141175,0.48508140,0.00705367,0.00351817,0.08694247,0.67875788,0.13272381,0.00000000
-5.84992496,1.29818542,0.12573731,0.50453373,0.00759820,0.00380944,0.09158252,0.71832777,0.14185632,0.00000000
-5.84392196,1.36190333,0.13057227,0.52445369,0.00813097,0.00411306,0.09629372,0.75750817,0.15089439,0.00000000
-5.83791896,1.42471003,0.13581094,0.54444843,0.00864280,0.00442655,0.10098798,0.79562812,0.15969274,0.00000000
-5.83191596,1.48544435,0.14135403,0.56410720,0.00912451,0.00474816,0.10557544,0.83200541,0.16810650,0.00000000
-5.82591296,1.54295685,0.14711209,0.58301578,0.00956723,0.00507705,0.10996749,0.86596727,0.17599531,0.00000000
-5.81990995,1.59614898,0.15300895,0.60077172,0.00996261,0.00541333,0.11407980,0.89687198,0.18322762,0.00000000
-5.81390695,1.64401221,0.15898505,0.61699955,0.01030315,0.00575824,0.11783543,0.92413048,0.18968498,0.00000000
-5.80790395,1.68566543,0.16500034,0.63136541,0.01058237,0.00611424,0.12116786,0.94722703,0.19526605,0.00000000
-5.80190095,1.72038875,0.17103653,0.64359022,0.01079511,0.00648505,0.12402361,0.96573804,0.19989019,0.00000000
-5.79589795,1.74765219,0.17709859,0.65346102,0.01093767,0.00687573,0.12636452,0.97934813,0.20350047,0.00000000
-5.78989495,1.76713765,0.18321524,0.66083962,0.01100793,0.00729264,0.12816944,0.98786273,0.20606587,0.00000000
-5.78389195,1.77875311,0.18943834,0.66566839,0.01100547,0.00774339,0.12943525,0.99121645,0.20758259,0.00000000
-5.77788894,1.78263820,0.19584102,0.66797267,0.01093153,0.00823674,0.13017716,0.98947693,0.20807435,0.00000000
