energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,4.00434988,1.17010596,2.39313074,0.03661076,0.07388356,0.81100406,0.35403260,1.22024009,0.00000000
-5.99399700,3.85510184,1.11875583,2.31108260,0.03493690,0.07154049,0.77682731,0.33852284,1.16772274,0.00000000
-5.98799400,3.69652209,1.06438186,2.22389603,0.03311941,0.06911519,0.74003697,0.32195796,1.11200456,0.00000000
-5.98199100,3.53121452,1.00782989,2.13302295,0.03118932,0.06662997,0.70125747,0.30460266,1.05398339,0.00000000
-5.97598799,3.36180238,0.94994702,2.03994616,0.02917820,0.06410646,0.66111588,0.28672059,0.99454832,0.00000000
-5.96998499,3.19087211,0.89156289,1.94614909,0.02711740,0.06156553,0.62022661,0.26856832,0.93455931,0.00000000
-5.96398199,3.02092072,0.83347252,1.85308619,0.02503722,0.05902713,0.57917741,0.25038986,0.87482892,0.00000000
-5.95797899,2.85430817,0.77642103,1.76215473,0.02296626,0.05651023,0.53851724,0.23241200,0.81610686,0.00000000
-5.95197599,2.69321558,0.72109069,1.67466873,0.02093082,0.05403272,0.49874631,0.21484053,0.75906755,0.00000000
-5.94597299,2.53961023,0.66809059,1.59183545,0.01895448,0.05161128,0.46030833,0.19785733,0.70430080,0.00000000
-5.93996998,2.39521778,0.61794893,1.51473514,0.01705772,0.04926126,0.42358522,0.18161845,0.65230593,0.00000000
-5.93396698,2.26150179,0.57110798,1.44430402,0.01525780,0.04699661,0.38889420,0.16625301,0.60348884,0.00000000
-5.92796398,2.13965052,0.52792173,1.38132097,0.01356860,0.04482973,0.35648702,0.15186306,0.55816221,0.00000000
-5.92196098,2.03057062,0.48865587,1.32639783,0.01200074,0.04277135,0.32655133,0.13852413,0.51654811,0.00000000
-5.91595798,1.93488721,0.45348994,1.27997340,0.01056167,0.04083049,0.29921371,0.12628642,0.47878300,0.00000000
