energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.83294496,0.07126598,0.75486100,0.02298518,0.03197062,0.00368169,0.00114458,0.08211831,0.00000000
-5.99399700,0.85595171,0.07393763,0.77561823,0.02397161,0.03241268,0.00372915,0.00117669,0.08530292,0.00000000
-5.98799400,0.87547584,0.07630541,0.79325211,0.02488435,0.03268211,0.00375916,0.00120249,0.08810066,0.00000000
-5.98199100,0.89121717,0.07833488,0.80749050,0.02571058,0.03277421,0.00377110,0.00122169,0.09047044,0.00000000
-5.97598799,0.90292560,0.07999672,0.81810507,0.02643803,0.03268771,0.00376462,0.00123416,0.09237814,0.00000000
-5.96998499,0.91040884,0.08126762,0.82491816,0.02705532,0.03242486,0.00373965,0.00123994,0.09379765,0.00000000
-5.96398199,0.91353903,0.08213112,0.82780894,0.02755234,0.03199143,0.00369642,0.00123925,0.09471170,0.00000000
-5.95797899,0.91225823,0.08257834,0.82671835,0.02792055,0.03139665,0.00363541,0.00123249,0.09511251,0.00000000
-5.95197599,0.90658241,0.08260853,0.82165287,0.02815330,0.03065305,0.00355741,0.00122025,0.09500228,0.00000000
-5.94597299,0.89660394,0.08222945,0.81268691,0.02824618,0.02977617,0.00346343,0.00120331,0.09439338,0.00000000
-5.93996998,0.88249245,0.08145765,0.79996375,0.02819726,0.02878427,0.00335474,0.00118265,0.09330839,0.00000000
-5.93396698,0.86449385,0.08031841,0.78369485,0.02800730,0.02769791,0.00323279,0.00115942,0.09177980,0.00000000
-5.92796398,0.84292776,0.07884564,0.76415772,0.02767995,0.02653958,0.00309920,0.00113493,0.08984964,0.00000000
-5.92196098,0.81818314,0.07708151,0.74169210,0.02722180,0.02533318,0.00295570,0.00111070,0.08756876,0.00000000
-5.91595798,0.79071229,0.07507584,0.71669478,0.02664236,0.02410361,0.00280413,0.00108840,0.08499600,0.00000000
-5.90995498,0.76102337,0.07288540,0.68961291,0.02595407,0.02287628,0.00264636,0.00106986,0.08219712,0.00000000
-5.90395198,0.72967157,0.07057297,0.66093621,0.02517204,0.02167667,0.00248427,0.00105708,0.07924364,0.00000000
-5.89794897,0.69724914,0.06820623,0.63118804,0.02431392,0.02052990,0.00231970,0.00105222,0.07621149,0.00000000
-5.89194597,0.66437449,0.06585657,0.60091567,0.02339949,0.01946033,0.00215443,0.00105762,0.07317958,0.00000000
-5.88594297,0.63168076,0.06359770,0.57067998,0.02245042,0.01849118,0.00199016,0.00107577,0.07022829,0.00000000
-5.87993997,0.59980392,0.06150427,0.54104484,0.02148977,0.01764420,0.00182843,0.00110939,0.06743791,0.00000000
-5.87393697,0.56937102,0.05965035,0.51256651,0.02054163,0.01693935,0.00167065,0.00116136,0.06488710,0.00000000
-5.86793397,0.54098861,0.05810794,0.48578322,0.01963072,0.01639455,0.00151807,0.00123484,0.06265130,0.00000000
-5.86193097,0.51523179,0.05694547,0.46120536,0.01878192,0.01602544,0.00137175,0.00133323,0.06080130,0.00000000
-5.85592796,0.49263416,0.05622636,0.43930639,0.01801993,0.01584518,0.00123260,0.00146025,0.05940179,0.00000000
-5.84992496,0.47367893,0.05600771,0.42051487,0.01736898,0.01586431,0.00110129,0.00161999,0.05851013,0.00000000
-5.84392196,0.45879134,0.05633906,0.40520760,0.01685249,0.01609064,0.00097837,0.00181696,0.05817524,0.00000000
