energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.19856831,2.24411106,1.32733823,0.03112349,0.37568922,0.06916429,1.69044468,0.10570436,0.65342068
-5.99399700,4.15446077,2.18429482,1.32154908,0.03157842,0.36304839,0.06892954,1.69570212,0.10618915,0.63313305
-5.98799400,4.11445197,2.12927739,1.31835407,0.03207262,0.35121367,0.06861715,1.70257801,0.10655842,0.61301787
-5.98199100,4.07876606,2.07927049,1.31776172,0.03260807,0.34026189,0.06823919,1.71106854,0.10682692,0.59311857
-5.97598799,4.04753107,2.03438983,1.31974126,0.03318482,0.33024697,0.06780704,1.72112981,0.10700924,0.57348070
-5.96998499,4.02077086,1.99465557,1.32422250,0.03380099,0.32119901,0.06733089,1.73267636,0.10711876,0.55415030
-5.96398199,3.99840080,1.95999502,1.33109693,0.03445276,0.31312411,0.06681945,1.74558158,0.10716665,0.53517192
-5.95797899,3.98022787,1.93024785,1.34021992,0.03513455,0.30600488,0.06627966,1.75968026,0.10716107,0.51658677
-5.95197599,3.96595574,1.90517372,1.35141433,0.03583925,0.29980180,0.06571663,1.77477313,0.10710659,0.49843089
-5.94597299,3.95519481,1.88446239,1.36447516,0.03655859,0.29445525,0.06513357,1.79063352,0.10700388,0.48073371
-5.93996998,3.94747703,1.86774606,1.37917523,0.03728358,0.28988837,0.06453201,1.80701569,0.10684968,0.46351699
-5.93396698,3.94227506,1.85461372,1.39527158,0.03800495,0.28601041,0.06391198,1.82366445,0.10663713,0.44679426
-5.92796398,3.93902474,1.84462703,1.41251225,0.03871368,0.28272076,0.06327240,1.84032578,0.10635625,0.43057082
-5.92196098,3.93714994,1.83733713,1.43064315,0.03940149,0.27991318,0.06261148,1.85675753,0.10599487,0.41484430
-5.91595798,3.93608837,1.83230195,1.44941453,0.04006133,0.27748041,0.06192722,1.87274000,0.10553959,0.39960570
-5.90995498,3.93531713,1.82910313,1.46858685,0.04068779,0.27531868,0.06121788,1.88808548,0.10497699,0.38484089
-5.90395198,3.93437655,1.82736210,1.48793570,0.04127740,0.27333220,0.06048246,1.90264648,0.10429488,0.37053244
-5.89794897,3.93289126,1.82675448,1.50725557,0.04182889,0.27143715,0.05972117,1.91632211,0.10348359,0.35666161
-5.89194597,3.93058726,1.82702237,1.52636241,0.04234332,0.26956532,0.05893576,1.92906238,0.10253708,0.34321045
-5.88594297,3.92730443,1.82798395,1.54509494,0.04282402,0.26766698,0.05812980,1.94087025,0.10145406,0.33016377
-5.87993997,3.92300387,1.82954005,1.56331483,0.04327654,0.26571303,0.05730886,1.95180139,0.10023872,0.31751092
-5.87393697,3.91777006,1.83167743,1.58090598,0.04370833,0.26369631,0.05648057,1.96196193,0.09890138,0.30524727
-5.86793397,3.91180781,1.83446876,1.59777315,0.04412849,0.26163192,0.05565455,1.97150428,0.09745870,0.29337530
