energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.98119968,0.00175366,0.15304648,0.06450102,2.01606647,0.63320144,0.03028588,0.89966310
-5.99399700,2.04735280,0.00152194,0.16743273,0.06174470,2.13363927,0.65384402,0.03029877,0.92809843
-5.98799400,2.12700491,0.00133732,0.18283929,0.05930304,2.25917316,0.68077517,0.03041944,0.96270135
-5.98199100,2.22139422,0.00119773,0.19925699,0.05721957,2.39241652,0.71476920,0.03065781,1.00405959
-5.97598799,2.33172456,0.00110154,0.21667134,0.05553543,2.53300162,0.75660549,0.03102252,1.05275311
-5.96998499,2.45916367,0.00104768,0.23506317,0.05428932,2.68045993,0.80706532,0.03152075,1.10935445
-5.96398199,2.60484478,0.00103573,0.25440941,0.05351750,2.83424267,0.86692952,0.03215811,1.17443041
-5.95797899,2.76986962,0.00106599,0.27468366,0.05325381,2.99374533,0.93697632,0.03293860,1.24854474
-5.95197599,2.95531146,0.00113959,0.29585651,0.05352962,3.15833421,1.01797874,0.03386458,1.33226070
-5.94597299,3.16221571,0.00125848,0.31789549,0.05437383,3.32737299,1.11070068,0.03493677,1.42614250
-5.93996998,3.39159638,0.00142554,0.34076442,0.05581266,3.50024727,1.21589090,0.03615422,1.53075478
-5.93396698,3.64442595,0.00164456,0.36442232,0.05786937,3.67638506,1.33427397,0.03751433,1.64665882
-5.92796398,3.92161723,0.00192024,0.38882151,0.06056388,3.85527153,1.46653734,0.03901281,1.77440474
-5.92196098,4.22399567,0.00225822,0.41390524,0.06391212,4.03645642,1.61331410,0.04064356,1.91451886
-5.91595798,4.55226154,0.00266502,0.43960479,0.06792540,4.21955350,1.77516079,0.04239861,2.06748582
-5.90995498,4.90694195,0.00314800,0.46583613,0.07260949,4.40423153,1.95253037,0.04426800,2.23372531
-5.90395198,5.28833367,0.00371526,0.49249653,0.07796374,4.59019718,2.14574063,0.04623958,2.41356371
-5.89794897,5.69643844,0.00437554,0.51946116,0.08398007,4.77717078,2.35493864,0.04829893,2.60720140
-5.89194597,6.13089336,0.00513808,0.54658013,0.09064200,4.96485642,2.58006252,0.05042927,2.81467674
-5.88594297,6.59089976,0.00601243,0.57367624,0.09792371,5.15290855,2.82080198,0.05261137,3.03582847
-5.87993997,7.07515447,0.00700822,0.60054365,0.10578930,5.34089730,3.07655969,0.05482360,3.27025810
-5.87393697,7.58178796,0.00813489,0.62694784,0.11419210,5.52827519,3.34641552,0.05704209,3.51729476
-5.86793397,8.10831375,0.00940141,0.65262703,0.12307434,5.71434795,3.62909621,0.05924093,3.77596448
-5.86193097,8.65159375,0.01081588,0.67729517,0.13236708,5.89825173,3.92295283,0.06139263,4.04496635
-5.85592796,9.20782330,0.01238520,0.70064665,0.14199035,6.07893906,4.22594849,0.06346852,4.32265763
-5.84992496,9.77253957,0.01411462,0.72236250,0.15185378,6.25517503,4.53565825,0.06543949,4.60704973
-5.84392196,10.34065541,0.01600732,0.74211808,0.16185744,6.42554490,4.84928302,0.06727660,4.89581659
-5.83791896,10.90652011,0.01806399,0.75959197,0.17189310,6.58847328,5.16367865,0.06895196,5.18631629
-5.83191596,11.46400691,0.02028239,0.77447559,0.18184572,6.74225476,5.47540036,0.07043952,5.47562635
-5.82591296,12.00662574,0.02265697,0.78648328,0.19159525,6.88509466,5.78076255,0.07171590,5.76059236
-5.81990995,12.52765827,0.02517853,0.79536222,0.20101867,7.01515821,6.07591251,0.07276116,6.03788889
-5.81390695,13.02031119,0.02783396,0.80090185,0.20999218,7.13062586,6.35691632,0.07355947,6.30409099
-5.80790395,13.47788218,0.03060604,0.80294212,0.21839346,7.22975197,6.61985396,0.07409965,6.55575386
-5.80190095,13.89393254,0.03347339,0.80138032,0.22610407,7.31092386,6.86092053,0.07437557,6.78949799
-5.79589795,14.26245933,0.03641054,0.79617594,0.23301177,7.37271826,7.07652950,0.07438628,7.00209628
-5.78989495,14.57806034,0.03938815,0.78735345,0.23901283,7.41395218,7.26341377,0.07413600,7.19055993
-5.78389195,14.83608453,0.04237334,0.77500272,0.24401413,7.43372565,7.41872051,0.07363388,7.35221929
-5.77788894,15.03276188,0.04533018,0.75927705,0.24793519,7.43145411,7.54009533,0.07289354,7.48479647
-5.77188594,15.16530682,0.04822039,0.74038899,0.25070990,7.40688895,7.62575219,0.07193245,7.58646654
-5.76588294,15.23199100,0.05100408,0.71860408,0.25228799,7.36012528,7.67452580,0.07077113,7.65590478
-5.75987994,15.23218236,0.05364066,0.69423274,0.25263624,7.29159664,7.68590410,0.06943233,7.69231804
-5.75387694,15.16634906,0.05608979,0.66762097,0.25173925,7.20205736,7.66003935,0.06794004,7.69545887
-5.74787394,15.03602848,0.05831244,0.63913997,0.24959997,7.09255342,7.59773725,0.06631859,7.66562228
-5.74187094,14.84376322,0.06027190,0.60917539,0.24623972,6.96438384,7.50042478,0.06459174,7.60362525
-5.73586793,14.59300722,0.06193480,0.57811671,0.24169791,6.81905457,7.37009816,0.06278188,7.51077042
-5.72986493,14.28800682,0.06327211,0.54634695,0.23603125,6.65822751,7.20925351,0.06090932,7.38879581
-5.72386193,13.93366229,0.06425993,0.51423349,0.22931268,6.48366713,7.02080345,0.05899185,7.23981307
-5.71785893,13.53537615,0.06488022,0.48211993,0.22162985,6.29718763,6.80798343,0.05704431,7.06623737
-5.71185593,13.09889515,0.06512139,0.45031960,0.21308326,6.10060280,6.57425208,0.05507851,6.87071200
-5.70585293,12.63015228,0.06497860,0.41911059,0.20378415,5.89568102,6.32318988,0.05310322,6.65603127
