energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.55482938,0.12132568,0.07567354,0.00743754,0.36646955,2.76163116,1.37611038,0.03692712,1.24162309
-5.99399700,3.21595208,0.10969237,0.07056219,0.00690825,0.32528828,2.50319267,1.23245427,0.03391182,1.13343104
-5.98799400,2.90235518,0.09919724,0.06561252,0.00649875,0.28744356,2.26261623,1.10024271,0.03106892,1.03330524
-5.98199100,2.61600923,0.08992764,0.06089936,0.00621545,0.25303590,2.04155353,0.98003907,0.02842387,0.94209346
-5.97598799,2.35849093,0.08195477,0.05649431,0.00606411,0.22210761,1.84133828,0.87222477,0.02600018,0.86054104
-5.96998499,2.13101630,0.07533538,0.05246490,0.00604981,0.19465072,1.66301828,0.77701865,0.02381907,0.78929607
-5.96398199,1.93447767,0.07011344,0.04887394,0.00617693,0.17061550,1.50738969,0.69449829,0.02189939,0.72891522
-5.95797899,1.76948153,0.06632168,0.04577888,0.00644906,0.14991888,1.37503105,0.62462191,0.02025745,0.67986957
-5.95197599,1.63638404,0.06398291,0.04323129,0.00686884,0.13245262,1.26633460,0.56724939,0.01890691,0.64254944
-5.94597299,1.53532193,0.06311101,0.04127635,0.00743785,0.11809072,1.18153306,0.52216139,0.01785878,0.61726748
-5.93996998,1.46623655,0.06371140,0.03995233,0.00815638,0.10669582,1.12072038,0.48907558,0.01712126,0.60425942
-5.93396698,1.42888996,0.06578112,0.03929005,0.00902321,0.09812451,1.08386535,0.46765941,0.01669976,0.60368221
-5.92796398,1.42287222,0.06930840,0.03931237,0.01003533,0.09223137,1.07081779,0.45753910,0.01659671,0.61560919
-5.92196098,1.44760007,0.07427176,0.04003356,0.01118777,0.08887169,1.08130712,0.45830471,0.01681149,0.64002271
-5.91595798,1.50230772,0.08063876,0.04145871,0.01247329,0.08790305,1.11493400,0.46951175,0.01734025,0.67680430
-5.90995498,1.58603115,0.08836448,0.04358308,0.01388219,0.08918572,1.17115617,0.49067967,0.01817572,0.72572321
-5.90395198,1.69758817,0.09738984,0.04639149,0.01540218,0.09258217,1.24926981,0.52128810,0.01930702,0.78642422
-5.89794897,1.83555646,0.10763994,0.04985780,0.01701827,0.09795587,1.34838842,0.56077162,0.02071949,0.85841566
-5.89194597,1.99825286,0.11902257,0.05394446,0.01871276,0.10516958,1.46742139,0.60851432,0.02239452,0.94105903
-5.88594297,2.18371656,0.13142708,0.05860227,0.02046536,0.11408339,1.60505451,0.66384500,0.02430940,1.03356145
-5.87993997,2.38969964,0.14472379,0.06377036,0.02225335,0.12455281,1.75973475,0.72603430,0.02643737,1.13497219
-5.87393697,2.61366746,0.15876397,0.06937653,0.02405190,0.13642714,1.92966178,0.79429460,0.02874764,1.24418458
-5.86793397,2.85281159,0.17338069,0.07533787,0.02583452,0.14954825,2.11278794,0.86778374,0.03120559,1.35994427
-5.86193097,3.10407700,0.18839051,0.08156184,0.02757356,0.16375007,2.30682855,0.94561293,0.03377313,1.48086450
-5.85592796,3.36420452,0.20359604,0.08794773,0.02924079,0.17885888,2.50928356,1.02685955,0.03640920,1.60544887
