energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,14.03329070,0.04946062,0.77746689,6.25066837,8.34416708,0.07506400,4.37182225,0.16383309,0.70787501
-5.99399700,14.12337596,0.04949161,0.77366630,6.09600512,8.46612942,0.07278137,4.40220250,0.15759719,0.69640075
-5.98799400,14.17044350,0.04930086,0.76843942,5.94324786,8.55590584,0.07052000,4.41824048,0.15174233,0.68446045
-5.98199100,14.17301245,0.04887784,0.76169735,5.79207591,8.61251846,0.06827955,4.41941585,0.14625837,0.67199763
-5.97598799,14.13063183,0.04821836,0.75340377,5.64232941,8.63567874,0.06606250,4.40552443,0.14113668,0.65898130
-5.96998499,14.04393079,0.04732482,0.74357961,5.49405376,8.62580938,0.06387442,4.37669393,0.13637122,0.64541096
-5.96398199,13.91463069,0.04620619,0.73230531,5.34753121,8.58404290,0.06172422,4.33338875,0.13195937,0.63132018
-5.95797899,13.74551750,0.04487785,0.71972031,5.20329794,8.51219616,0.05962407,4.27640307,0.12790261,0.61677847
-5.95197599,13.54037530,0.04336105,0.70602004,5.06214640,8.41272158,0.05758927,4.20684270,0.12420701,0.60189138
-5.94597299,13.30388288,0.04168229,0.69145036,4.92511295,8.28863649,0.05563782,4.12609618,0.12088351,0.58679874
-5.93996998,13.04147767,0.03987248,0.67629977,4.79345196,8.14343334,0.05378995,4.03579643,0.11794810,0.57167103
-5.93396698,12.75919231,0.03796594,0.66088969,4.66859790,7.98097413,0.05206746,3.93777425,0.11542172,0.55670417
-5.92796398,12.46347063,0.03599939,0.64556333,4.55211779,7.80537326,0.05049299,3.83400590,0.11333015,0.54211285
-5.92196098,12.16097065,0.03401086,0.63067348,4.44565644,7.62087358,0.04908924,3.72655670,0.11170358,0.52812275
-5.91595798,11.85836265,0.03203858,0.61656992,4.35087748,7.43172039,0.04787820,3.61752295,0.11057614,0.51496208
-5.90995498,11.56213053,0.03011999,0.60358681,4.26940290,7.24203858,0.04688035,3.50897447,0.10998526,0.50285276
-5.90395198,11.27838412,0.02829075,0.59203068,4.20275410,7.05571748,0.04611395,3.40290003,0.10997087,0.49200180
-5.89794897,11.01268975,0.02658397,0.58216944,4.15229683,6.87630774,0.04559443,3.30115735,0.11057452,0.48259312
-5.89194597,10.76992478,0.02502949,0.57422288,4.11919216,6.70693389,0.04533385,3.20542961,0.11183830,0.47478036
-5.88594297,10.55416106,0.02365335,0.56835492,4.10435531,6.55022531,0.04534056,3.11718948,0.11380378,0.46868079
-5.87993997,10.36858028,0.02247742,0.56466801,4.10842338,6.40826748,0.04561890,3.03767162,0.11651076,0.46437080
-5.87393697,10.21542295,0.02151918,0.56319973,4.13173265,6.28257440,0.04616914,2.96785404,0.11999604,0.46188283
-5.86793397,10.09597088,0.02079162,0.56392167,4.17430556,6.17408207,0.04698746,2.90844824,0.12429205,0.46120410
-5.86193097,10.01056182,0.02030337,0.56674077,4.23584700,6.08316194,0.04806615,2.85989775,0.12942559,0.46227686
-5.85592796,9.95863333,0.02005880,0.57150271,4.31574916,6.00965257,0.04939379,2.82238429,0.13541644,0.46500020
-5.84992496,9.93879213,0.02005831,0.57799744,4.41310388,5.95290689,0.05095563,2.79584058,0.14227611,0.46923327
-5.84392196,9.94890412,0.02029867,0.58596641,4.52672119,5.91185201,0.05273394,2.77996849,0.15000658,0.47479955
-5.83791896,9.98619998,0.02077339,0.59511131,4.65515270,5.88505825,0.05470842,2.77426145,0.15859910,0.48149204
-5.83191596,10.04739077,0.02147311,0.60510383,4.79671848,5.87081381,0.05685662,2.77802951,0.16803314,0.48907912
-5.82591296,10.12878840,0.02238597,0.61559615,4.94953612,5.86720157,0.05915432,2.79042610,0.17827542,0.49731071
-5.81990995,10.22642572,0.02349802,0.62623168,5.11155082,5.87217483,0.06157589,2.81047510,0.18927907,0.50592458
-5.81390695,10.33617202,0.02479354,0.63665566,5.28056567,5.88362900,0.06409464,2.83709752,0.20098301,0.51465251
-5.80790395,10.45384011,0.02625533,0.64652523,5.45427149,5.89946680,0.06668300,2.86913671,0.21331142,0.52322630
-5.80190095,10.57528221,0.02786497,0.65551865,5.63027570,5.91765514,0.06931282,2.90538202,0.22617355,0.53138322
-5.79589795,10.69647283,0.02960297,0.66334329,5.80613036,5.93627234,0.07195546,2.94459017,0.23946375,0.53887110
-5.78989495,10.81357759,0.03144899,0.66974227,5.97935936,5.95354506,0.07458191,2.98550456,0.25306172,0.54545277
-5.78389195,10.92300805,0.03338191,0.67449942,6.14748515,5.96787498,0.07716295,3.02687264,0.26683324,0.55091008
-5.77788894,11.02146321,0.03537988,0.67744267,6.30805550,5.97785557,0.07966917,3.06746134,0.28063116,0.55504722
-5.77188594,11.10595928,0.03742044,0.67844568,6.45867089,5.98228005,0.08207110,3.10607136,0.29429687,0.55769366
-5.76588294,11.17384939,0.03948055,0.67742794,6.59701306,5.98014190,0.08433937,3.14155036,0.30766225,0.55870650
-5.75987994,11.22283567,0.04153670,0.67435335,6.72087520,5.97062943,0.08644488,3.17280580,0.32055200,0.55797250
-5.75387694,11.25097589,0.04356499,0.66922760,6.82819411,5.95311621,0.08835908,3.19881766,0.33278658,0.55540955
-5.74787394,11.25668693,0.04554130,0.66209447,6.91708436,5.92714904,0.09005430,3.21865141,0.34418549,0.55096788
-5.74187094,11.23874694,0.04744154,0.65303146,6.98587435,5.89243515,0.09150417,3.23147133,0.35457103,0.54463073
-5.73586793,11.19629763,0.04924187,0.64214491,7.03314359,5.84882981,0.09268412,3.23655429,0.36377245,0.53641472
-5.72986493,11.12884778,0.05091907,0.62956505,7.05776037,5.79632566,0.09357196,3.23330365,0.37163031,0.52636967
-5.72386193,11.03627789,0.05245094,0.61544097,7.05891862,5.73504414,0.09414846,3.22126312,0.37800092,0.51457796
-5.71785893,10.91884600,0.05381671,0.59993606,7.03617230,5.66522952,0.09439803,3.20012980,0.38276089,0.50115339
-5.71185593,10.77719333,0.05499754,0.58322374,6.98946576,5.58724516,0.09430930,3.16976591,0.38581134,0.48623936
-5.70585293,10.61234839,0.05597700,0.56548387,6.91915786,5.50157161,0.09387575,3.13020843,0.38708184,0.47000651
-5.69984992,10.42572760,0.05674150,0.54689972,6.82603821,5.40880557,0.09309622,3.08167561,0.38653370,0.45264976
-5.69384692,10.21913035,0.05728073,0.52765549,6.71133348,5.30965878,0.09197527,3.02456989,0.38416257,0.43438461
-5.68784392,9.99472620,0.05758804,0.50793442,6.57670216,5.20495542,0.09052350,2.95947615,0.38000008,0.41544301
-5.68184092,9.75503246,0.05766064,0.48791730,6.42421657,5.09562702,0.08875757,2.88715497,0.37411449,0.39606859
-5.67583792,9.50288055,0.05749979,0.46778130,6.25633139,4.98270379,0.08670013,2.80853032,0.36661017,0.37651151
-5.66983492,9.24137012,0.05711080,0.44769895,6.07583824,4.86730139,0.08437948,2.72467166,0.35762593,0.35702304
-5.66383192,8.97381084,0.05650290,0.42783719,5.88580705,4.75060281,0.08182905,2.63677051,0.34733212,0.33784988
-5.65782891,8.70365233,0.05568896,0.40835632,5.68951511,4.63383524,0.07908669,2.54611192,0.33592671,0.31922856
-5.65182591,8.43440390,0.05468512,0.38940882,5.49036565,4.51824216,0.07619377,2.45404162,0.32363033,0.30137993
-5.64582291,8.16954606,0.05351026,0.37113798,5.29179840,4.40505158,0.07319411,2.36192976,0.31068043,0.28450402
-5.63981991,7.91243724,0.05218537,0.35367625,5.09719498,4.29544151,0.07013286,2.27113253,0.29732494,0.26877540
-5.63381691,7.66621897,0.05073294,0.33714349,4.90978253,4.19050425,0.06705522,2.18295298,0.28381541,0.25433910
-5.62781391,7.43372372,0.04917618,0.32164511,4.73253921,4.09121116,0.06400525,2.09860266,0.27040011,0.24130747
-5.62181091,7.21738951,0.04753839,0.30727019,4.56810527,3.99837986,0.06102463,2.01916549,0.25731721,0.22975776
-5.61580790,7.01918522,0.04584225,0.29408968,4.41870334,3.91264570,0.05815154,1.94556548,0.24478835,0.21973081
-5.60980490,6.84055045,0.04410925,0.28215495,4.28607124,3.83443905,0.05541967,1.87853955,0.23301289,0.21123070
-5.60380190,6.68235295,0.04235920,0.27149662,4.17141031,3.76397007,0.05285742,1.81861670,0.22216291,0.20422542
-5.59779890,6.54486588,0.04060989,0.26212393,4.07535157,3.70122175,0.05048724,1.76610443,0.21237929,0.19864863
-5.59179590,6.42776640,0.03887678,0.25402466,3.99794119,3.64595193,0.04832527,1.72108289,0.20376886,0.19440230
-5.58579290,6.33015591,0.03717300,0.24716568,3.93864628,3.59770441,0.04638117,1.68340724,0.19640279,0.19136025
-5.57978989,6.25060117,0.03550933,0.24149414,3.89638073,3.55582857,0.04465823,1.65271793,0.19031621,0.18937247
-5.57378689,6.18719467,0.03389440,0.23693932,3.86955031,3.51950674,0.04315369,1.62845848,0.18550901,0.18827000
-5.56778389,6.13763158,0.03233497,0.23341490,3.85611527,3.48778785,0.04185928,1.60990015,0.18194775,0.18787032
-5.56178089,6.09929983,0.03083628,0.23082189,3.85366783,3.45962581,0.04076193,1.59617218,0.17956867,0.18798293
-5.55577789,6.06937944,0.02940254,0.22905170,3.85952166,3.43392062,0.03984465,1.58629660,0.17828143,0.18841509
-5.54977489,6.04494654,0.02803731,0.22798952,3.87080953,3.40956024,0.03908751,1.57922592,0.17797365,0.18897738
-5.54377189,6.02307792,0.02674402,0.22751773,3.88458529,3.38546141,0.03846867,1.57388222,0.17851586,0.18948906
-5.53776888,6.00095147,0.02552638,0.22751912,3.89792618,3.36060725,0.03796543,1.56919615,0.17976675,0.18978288
-5.53176588,5.97593874,0.02438877,0.22787998,3.90803138,3.33408048,0.03755525,1.56414414,0.18157854,0.18970939
-5.52576288,5.94568598,0.02333653,0.22849272,3.91231302,3.30509073,0.03721669,1.55778254,0.18380212,0.18914042
-5.51975988,5.90818107,0.02237617,0.22925809,3.90847643,3.27299517,0.03693025,1.54927734,0.18629196,0.18797180
-5.51375688,5.86180418,0.02151550,0.23008686,3.89458667,3.23731206,0.03667903,1.53792861,0.18891051,0.18612519
-5.50775388,5.80536120,0.02076359,0.23090091,3.86911932,3.19772725,0.03644926,1.52318876,0.19153195,0.18354897
-5.50175088,5.73809967,0.02013068,0.23163386,3.83099407,3.15409383,0.03623065,1.50467426,0.19404529,0.18021824
-5.49574787,5.65970768,0.01962794,0.23223103,3.77959068,3.10642588,0.03601649,1.48217071,0.19635658,0.17613399
-5.48974487,5.57029731,0.01926718,0.23264910,3.71474734,3.05488710,0.03580363,1.45563132,0.19839040,0.17132141
-5.48374187,5.47037433,0.01906043,0.23285528,3.63674257,2.99977565,0.03559226,1.42516927,0.20009043,0.16582759
-5.47773887,5.36079678,0.01901949,0.23282624,3.54626222,2.94150632,0.03538553,1.39104470,0.20141929,0.15971867
-5.47173587,5.24272511,0.01915545,0.23254691,3.44435393,2.88059148,0.03518908,1.35364703,0.20235763,0.15307649
-5.46573287,5.11756688,0.01947810,0.23200910,3.33237152,2.81762182,0.03501042,1.31347376,0.20290258,0.14599506
