energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,10.52267595,2.22981589,6.98992758,0.14818946,0.01458364,1.06702500,0.10908562,1.43292351
-5.99399700,10.41273102,2.22951070,6.93436630,0.14555592,0.01423387,1.04134315,0.10745274,1.41112493
-5.98799400,10.32860212,2.23234114,6.89703421,0.14309166,0.01387546,1.01714053,0.10561238,1.39327294
-5.98199100,10.26993876,2.23827636,6.87757293,0.14081559,0.01351514,0.99431370,0.10357991,1.37949480
-5.97598799,10.23599726,2.24716890,6.87538876,0.13874102,0.01315935,0.97276694,0.10137307,1.36981202
-5.96998499,10.22564972,2.25875805,6.88965855,0.13687557,0.01281397,0.95241462,0.09901170,1.36413987
-5.96398199,10.23740603,2.27267788,6.91934264,0.13522151,0.01248418,0.93318282,0.09651749,1.36229094
-5.95797899,10.26944924,2.28846986,6.96320554,0.13377647,0.01217430,0.91501040,0.09391373,1.36398270
-5.95197599,10.31968384,2.30559952,7.01984407,0.13253436,0.01188776,0.89784971,0.09122501,1.36884871
-5.94597299,10.38579582,2.32347643,7.08772269,0.13148657,0.01162705,0.88166683,0.08847693,1.37645315
-5.93996998,10.46532260,2.34147678,7.16521490,0.13062343,0.01139380,0.86644167,0.08569579,1.38630802
-5.93396698,10.55573043,2.35896746,7.25064953,0.12993554,0.01118886,0.85216779,0.08290834,1.39789234
-5.92796398,10.65449628,2.37533077,7.34236005,0.12941533,0.01101242,0.83885217,0.08014152,1.41067256
-5.92196098,10.75919068,2.38998853,7.43873494,0.12905838,0.01086419,0.82651481,0.07742218,1.42412338
-5.91595798,10.86755805,2.40242462,7.53826688,0.12886461,0.01074357,0.81518825,0.07477687,1.43774805
-5.90995498,10.97759076,2.41220504,7.63959842,0.12883918,0.01064978,0.80491699,0.07223161,1.45109729
-5.90395198,11.08759343,2.41899460,7.74156193,0.12899313,0.01058210,0.79575672,0.06981169,1.46378607
-5.89794897,11.19623419,2.42256953,7.84321169,0.12934363,0.01053995,0.78777332,0.06754145,1.47550752
-5.89194597,11.30258043,2.42282572,7.94384642,0.12991376,0.01052306,0.78104172,0.06544401,1.48604324
-5.88594297,11.40611681,2.41978214,8.04302080,0.13073194,0.01053152,0.77564429,0.06354112,1.49526980
