energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.25739108,0.10339762,0.08659810,0.01363515,0.32638430,0.01995175,0.44897674,0.37210486,0.23693947
-5.99399700,1.36605987,0.11424045,0.09713413,0.01527301,0.33503033,0.02269873,0.50671118,0.38539352,0.24736510
-5.98799400,1.49266503,0.12656530,0.10884027,0.01706951,0.34741782,0.02578307,0.57157406,0.40792349,0.26059749
-5.98199100,1.63708925,0.14047536,0.12175500,0.01900834,0.36349687,0.02919707,0.64364309,0.43926281,0.27658558
-5.97598799,1.79907903,0.15606185,0.13589952,0.02106958,0.38323236,0.03292773,0.72290379,0.47902831,0.29527902
-5.96998499,1.97819868,0.17339839,0.15127450,0.02322960,0.40659099,0.03695611,0.80923296,0.52687237,0.31662003
-5.96398199,2.17378715,0.19253544,0.16785712,0.02546123,0.43352755,0.04125686,0.90238436,0.58246792,0.34053508
-5.95797899,2.38492040,0.21349494,0.18559876,0.02773399,0.46397110,0.04579793,1.00197733,0.64549268,0.36692689
-5.95197599,2.61038172,0.23626554,0.20442338,0.03001449,0.49781197,0.05054053,1.10748927,0.71561333,0.39566730
-5.94597299,2.84864234,0.26079860,0.22422674,0.03226705,0.53489010,0.05543928,1.21825248,0.79247057,0.42659139
-5.93996998,3.09785392,0.28700517,0.24487665,0.03445440,0.57498544,0.06044265,1.33345613,0.87566550,0.45949321
-5.93396698,3.35585445,0.31475427,0.26621417,0.03653856,0.61781103,0.06549368,1.45215338,0.96474814,0.49412351
-5.92796398,3.62018784,0.34387246,0.28805599,0.03848180,0.66300902,0.07053097,1.57327396,1.05920826,0.53018954
-5.92196098,3.88813759,0.37414492,0.31019769,0.04024765,0.71015010,0.07548983,1.69564189,1.15846900,0.56735714
-5.91595798,4.15677357,0.40531816,0.33241803,0.04180196,0.75873640,0.08030379,1.81799793,1.26188349,0.60525517
-5.90995498,4.42301072,0.43710413,0.35448406,0.04311396,0.80820787,0.08490613,1.93902628,1.36873449,0.64348199
-5.90395198,4.68367783,0.46918581,0.37615672,0.04415716,0.85795200,0.08923166,2.05738434,1.47823714,0.68161411
-5.89794897,4.93559379,0.50122410,0.39719699,0.04491026,0.90731651,0.09321845,2.17173491,1.58954472,0.71921641
-5.89194597,5.17564861,0.53286568,0.41737206,0.04535779,0.95562460,0.09680969,2.28077939,1.70175733,0.75585378
-5.88594297,5.40088608,0.56375161,0.43646143,0.04549065,1.00219215,0.09995532,2.38329085,1.81393325,0.79110365
-5.87993997,5.60858487,0.59352641,0.45426260,0.04530637,1.04634608,0.10261375,2.47814594,1.92510272,0.82456896
-5.87393697,5.79633485,0.62184712,0.47059618,0.04480920,1.08744330,0.10475320,2.56435429,2.03428383,0.85589108
-5.86793397,5.96210586,0.64839210,0.48531009,0.04400994,1.12488926,0.10635302,2.64108458,2.14050024,0.88476203
-5.86193097,6.10430606,0.67286914,0.49828280,0.04292552,1.15815537,0.10740455,2.70768630,2.24280029,0.91093577
-5.85592796,6.22182807,0.69502265,0.50942540,0.04157844,1.18679460,0.10791186,2.76370669,2.34027699,0.93423778
-5.84992496,6.31408095,0.71463953,0.51868255,0.03999597,1.21045449,0.10789213,2.80890238,2.43208865,0.95457282
-5.84392196,6.38100753,0.73155368,0.52603227,0.03820927,1.22888712,0.10737563,2.84324555,2.51747938,0.97193035
