energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,9.84833638,1.96610340,1.23381559,0.03916967,1.29112298,4.37025166,2.70642324,0.06336242,5.31970271
-5.99399700,9.76055603,1.94769434,1.21313792,0.03829623,1.27947209,4.36194205,2.69733861,0.06276974,5.28367830
-5.98799400,9.65397915,1.92486199,1.18836810,0.03732154,1.26548269,4.34702313,2.68457027,0.06200777,5.23752929
-5.98199100,9.53088710,1.89806088,1.15992503,0.03625719,1.24937866,4.32615482,2.66862929,0.06108751,5.18250845
-5.97598799,9.39365824,1.86777407,1.12826888,0.03511545,1.23139707,4.29999811,2.65003882,0.06002141,5.11990929
-5.96998499,9.24469183,1.83450015,1.09388912,0.03390903,1.21178178,4.26919038,2.62931295,0.05882300,5.05102096
-5.96398199,9.08633701,1.79874085,1.05729259,0.03265087,1.19077740,4.23432384,2.60693680,0.05750667,4.97708672
-5.95797899,8.92082991,1.76098990,1.01899208,0.03135394,1.16862401,4.19592846,2.58334894,0.05608733,4.89926792
-5.95197599,8.75024143,1.72172339,0.97949570,0.03003106,1.14555256,4.15445982,2.55892689,0.05458017,4.81861510
-5.94597299,8.57643750,1.68139197,0.93929738,0.02869469,1.12178146,4.11029278,2.53397635,0.05300041,4.73604723
-5.93996998,8.40105289,1.64041489,0.89886877,0.02735678,1.09751401,4.06372072,2.50872479,0.05136307,4.65233967
-5.93396698,8.22547898,1.59917590,0.85865246,0.02602859,1.07293703,4.01496054,2.48331935,0.04968279,4.56812106
-5.92796398,8.05086484,1.55802101,0.81905682,0.02472060,1.04822038,3.96416265,2.45782923,0.04797373,4.48387863
-5.92196098,7.87813066,1.51725772,0.78045218,0.02344235,1.02351738,3.91142539,2.43225236,0.04624942,4.39997101
-5.91595798,7.70799165,1.47715567,0.74316842,0.02220241,0.99896599,3.85681278,2.40652573,0.04452274,4.31664749
-5.90995498,7.54099022,1.43794821,0.70749376,0.02100829,0.97469047,3.80037446,2.38053886,0.04280590,4.23407190
-5.90395198,7.37753399,1.39983473,0.67367447,0.01986646,0.95080349,3.74216656,2.35414965,0.04111042,4.15234961
-5.89794897,7.21793674,1.36298337,0.64191554,0.01878230,0.92740830,3.68227220,2.32720157,0.03944719,4.07155570
-5.89194597,7.06245981,1.32753387,0.61238186,0.01776023,0.90460092,3.62082039,2.29954142,0.03782649,3.99176247
-5.88594297,6.91135126,1.29360034,0.58519984,0.01680370,0.88247216,3.55800205,2.27103653,0.03625805,3.91306468
-5.87993997,6.76488050,1.26127372,0.56045936,0.01591530,0.86110925,3.49408245,2.24159068,0.03475107,3.83560106
-5.87393697,6.62336652,1.23062404,0.53821582,0.01509689,0.84059702,3.42940895,2.21115768,0.03331432,3.75957074
-5.86793397,6.48719821,1.20170207,0.51849222,0.01434968,0.82101860,3.36441375,2.17975207,0.03195605,3.68524399
-5.86193097,6.35684579,1.17454079,0.50128121,0.01367437,0.80245549,3.29961129,2.14745637,0.03068406,3.61296645
-5.85592796,6.23286287,1.14915638,0.48654715,0.01307125,0.78498709,3.23559036,2.11442445,0.02950564,3.54315706
-5.84992496,6.11587925,1.12554900,0.47422801,0.01254031,0.76868963,3.17300104,2.08088083,0.02842746,3.47629952
-5.84392196,6.00658488,1.10370341,0.46423727,0.01208131,0.75363466,3.11253717,2.04711597,0.02745555,3.41292820
-5.83791896,5.90570605,1.08358945,0.45646580,0.01169387,0.73988704,3.05491496,2.01347785,0.02659510,3.35360897
-5.83191596,5.81397511,1.06516265,0.45078376,0.01137748,0.72750264,3.00084861,1.98035994,0.02585037,3.29891626
-5.82591296,5.73209537,1.04836481,0.44704253,0.01113152,0.71652580,2.95102417,1.94818649,0.02522452,3.24940749
-5.81990995,5.66070308,1.03312486,0.44507676,0.01095523,0.70698670,2.90607256,1.91739554,0.02471944,3.20559609
-5.81390695,5.60032849,1.01935979,0.44470658,0.01084768,0.69889878,2.86654316,1.88842062,0.02433561,3.16792479
-5.80790395,5.55135809,1.00697594,0.44573986,0.01080769,0.69225631,2.83287907,1.86167194,0.02407196,3.13674025
-5.80190095,5.51400015,0.99587041,0.44797474,0.01083374,0.68703236,2.80539525,1.83751798,0.02392575,3.11227052
-5.79589795,5.48825537,0.98593273,0.45120226,0.01092387,0.68317717,2.78426057,1.81626844,0.02389247,3.09460644
-5.78989495,5.47389444,0.97704678,0.45520914,0.01107559,0.68061717,2.76948484,1.79815926,0.02396582,3.08368802
-5.78389195,5.47044406,0.96909281,0.45978068,0.01128574,0.67925474,2.76091137,1.78334064,0.02413770,3.07929654
-5.77788894,5.47718230,0.96194966,0.46470377,0.01155043,0.67896881,2.75821581,1.77186845,0.02439827,3.08105279
-5.77188594,5.49314414,0.95549706,0.46976996,0.01186496,0.67961631,2.76091141,1.76369976,0.02473607,3.08842196
-5.76588294,5.51713732,0.94961800,0.47477845,0.01222377,0.68103467,2.76836079,1.75869241,0.02513820,3.10072474
-5.75987994,5.54776818,0.94420111,0.47953917,0.01262042,0.68304518,2.77979385,1.75660901,0.02559052,3.11715454
-5.75387694,5.58347679,0.93914295,0.48387562,0.01304761,0.68545730,2.79433142,1.75712491,0.02607795,3.13680010
-5.74787394,5.62258000,0.93435024,0.48762764,0.01349725,0.68807370,2.81101359,1.75984001,0.02658482,3.15867251
-5.74187094,5.66332075,0.92974181,0.49065389,0.01396056,0.69069605,2.82883184,1.76429367,0.02709517,3.18173561
-5.73586793,5.70392164,0.92525033,0.49283413,0.01442818,0.69313111,2.84676348,1.76998206,0.02759317,3.20493840
-5.72986493,5.74264048,0.92082368,0.49407105,0.01489037,0.69519719,2.86380717,1.77637720,0.02806352,3.22724812
-5.72386193,5.77782527,0.91642579,0.49429183,0.01533720,0.69673041,2.87901784,1.78294655,0.02849183,3.24768260
-5.71785893,5.80796636,0.91203709,0.49344915,0.01575876,0.69759075,2.89153961,1.78917251,0.02886498,3.26534040
-5.71185593,5.83174342,0.90765424,0.49152180,0.01614543,0.69766731,2.90063519,1.79457067,0.02917149,3.27942761
-5.70585293,5.84806512,0.90328940,0.48851471,0.01648806,0.69688288,2.90571050,1.79870612,0.02940181,3.28928016
-5.69984992,5.85609993,0.89896869,0.48445853,0.01677828,0.69519713,2.90633352,1.80120712,0.02954856,3.29438079
-5.69384692,5.85529683,0.89473017,0.47940863,0.01700865,0.69260869,2.90224639,1.80177562,0.02960671,3.29437015
-5.68784392,5.84539506,0.89062111,0.47344352,0.01717291,0.68915556,2.89337051,1.80019419,0.02957368,3.28905180
-5.68184092,5.82642291,0.88669485,0.46666287,0.01726613,0.68491407,2.87980435,1.79632941,0.02944943,3.27839099
-5.67583792,5.79868591,0.88300712,0.45918499,0.01728484,0.67999630,2.86181429,1.79013155,0.02923635,3.26250774
-5.66983492,5.76274512,0.87961212,0.45114389,0.01722710,0.67454598,2.83981894,1.78163105,0.02893918,3.24166468
-5.66383192,5.71938703,0.87655841,0.44268604,0.01709261,0.66873311,2.81436791,1.77093195,0.02856486,3.21625043
-5.65782891,5.66958651,0.87388482,0.43396679,0.01688261,0.66274753,2.78611606,1.75820295,0.02812226,3.18675963
-5.65182591,5.61446493,0.87161645,0.42514666,0.01659992,0.65679160,2.75579448,1.74366671,0.02762191,3.15377045
-5.64582291,5.55524525,0.86976109,0.41638752,0.01624878,0.65107242,2.72417965,1.72758790,0.02707566,3.11792083
-5.63981991,5.49320616,0.86830613,0.40784880,0.01583476,0.64579392,2.69206218,1.71026083,0.02649635,3.07988448
-5.63381691,5.42963734,0.86721610,0.39968382,0.01536460,0.64114910,2.66021652,1.69199708,0.02589744,3.04034761
-5.62781391,5.36579740,0.86643111,0.39203634,0.01484597,0.63731282,2.62937287,1.67311386,0.02529264,2.99998729
-5.62181091,5.30287615,0.86586618,0.38503754,0.01428728,0.63443537,2.60019249,1.65392330,0.02469555,2.95945207
-5.61580790,5.24196238,0.86541175,0.37880331,0.01369749,0.63263721,2.57324723,1.63472321,0.02411930,2.91934559
-5.60980490,5.18401789,0.86493520,0.37343218,0.01308581,0.63200486,2.54900397,1.61578946,0.02357630,2.88021341
-5.60380190,5.12985849,0.86428362,0.36900376,0.01246154,0.63258842,2.52781439,1.59737001,0.02307789,2.84253328
-5.59779890,5.08014201,0.86328775,0.36557788,0.01183380,0.63440034,2.50991004,1.57968066,0.02263418,2.80670891
