energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.84129426,1.79558663,1.51544668,0.09218187,0.33851672,0.04308664,2.01352910,0.11086591,1.45081936
-5.99399700,5.84783067,1.80992890,1.50928570,0.08805726,0.34077476,0.04273440,2.01328896,0.11041551,1.46380990
-5.98799400,5.85025286,1.82510583,1.50275962,0.08425468,0.34151425,0.04240682,2.01442313,0.11007578,1.47313005
-5.98199100,5.84655579,1.84008499,1.49561297,0.08073223,0.34071385,0.04209647,2.01595169,0.10978838,1.47817499
-5.97598799,5.83513548,1.85394615,1.48772069,0.07744615,0.33839416,0.04179725,2.01700469,0.10949961,1.47845344
-5.96998499,5.81486810,1.86591637,1.47910162,0.07435343,0.33461793,0.04150494,2.01685931,0.10916268,1.47360635
-5.96398199,5.78516317,1.87539578,1.46992370,0.07141423,0.32948859,0.04121751,2.01496733,0.10873938,1.46342049
-5.95797899,5.74598874,1.88197322,1.46050111,0.06859381,0.32314700,0.04093540,2.01097200,0.10820117,1.44783629
-5.95197599,5.69786759,1.88543137,1.45128316,0.06586412,0.31576677,0.04066155,2.00471388,0.10752967,1.42694948
-5.94597299,5.64184532,1.88574177,1.44283581,0.06320486,0.30754822,0.04040132,1.99622587,0.10671666,1.40100639
-5.93996998,5.57943237,1.88305014,1.43581677,0.06060405,0.29871135,0.04016222,1.98571807,0.10576342,1.37039315
-5.93396698,5.51252348,1.87765360,1.43094541,0.05805815,0.28948817,0.03995358,1.97355378,0.10467968,1.33561926
-5.92796398,5.44329903,1.86997101,1.42896908,0.05557163,0.28011470,0.03978604,1.96021824,0.10348223,1.29729645
-5.92196098,5.37411381,1.86050869,1.43062755,0.05315619,0.27082309,0.03967098,1.94628201,0.10219319,1.25611365
-5.91595798,5.30737879,1.84982327,1.43661718,0.05082967,0.26183412,0.03961997,1.93236129,0.10083821,1.21280944
-5.90995498,5.24544224,1.83848402,1.44755669,0.04861457,0.25335048,0.03964416,1.91907726,0.09944461,1.16814326
-5.90395198,5.19047587,1.82703664,1.46395603,0.04653649,0.24555104,0.03975368,1.90701672,0.09803965,1.12286661
-5.89794897,5.14437162,1.81597043,1.48618977,0.04462242,0.23858631,0.03995716,1.89669603,0.09664889,1.07769575
-5.89194597,5.10865375,1.80569041,1.51447620,0.04289902,0.23257533,0.04026127,1.88853009,0.09529495,1.03328691
-5.88594297,5.08440996,1.79649574,1.54886292,0.04139094,0.22760386,0.04067043,1.88280784,0.09399646,0.99021512
-5.87993997,5.07224447,1.78856523,1.58921949,0.04011931,0.22372401,0.04118655,1.87967515,0.09276744,0.94895754
-5.87393697,5.07225418,1.78195037,1.63523736,0.03910039,0.22095521,0.04180897,1.87912590,0.09161702,0.90988171
-5.86793397,5.08402849,1.77657587,1.68643675,0.03834453,0.21928627,0.04253448,1.88100106,0.09054949,0.87323917
-5.86193097,5.10667167,1.77224724,1.74218011,0.03785532,0.21867845,0.04335740,1.88499574,0.08956467,0.83916431
-5.85592796,5.13884573,1.76866462,1.80169137,0.03762911,0.21906926,0.04426987,1.89067330,0.08865856,0.80767838
-5.84992496,5.17883105,1.76544172,1.86407990,0.03765488,0.22037683,0.04526213,1.89748555,0.08782411,0.77869807
-5.84392196,5.22460096,1.76212851,1.92836799,0.03791433,0.22250439,0.04632281,1.90479777,0.08705216,0.75204794
-5.83791896,5.27390616,1.75823628,1.99352066,0.03838236,0.22534492,0.04743941,1.91191701,0.08633239,0.72747615
-5.83191596,5.32436468,1.75326338,2.05847633,0.03902781,0.22878550,0.04859863,1.91812210,0.08565426,0.70467216
