energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.57432480,0.02032008,1.07163694,0.20471592,0.08265898,2.48813538,2.90714240,1.22118975
-5.99399700,5.74850216,0.02116447,1.11144310,0.20683708,0.08556886,2.56337188,3.02043357,1.25592969
-5.98799400,5.91590180,0.02201719,1.15032114,0.20851262,0.08836135,2.63551210,3.13425483,1.28749254
-5.98199100,6.07481951,0.02286690,1.18790100,0.20970083,0.09102207,2.70381003,3.24749760,1.31557984
-5.97598799,6.22365691,0.02370167,1.22383251,0.21036691,0.09353996,2.76755936,3.35901941,1.33995030
-5.96998499,6.36095409,0.02450929,1.25779077,0.21048430,0.09590753,2.82610974,3.46766860,1.36042309
-5.96398199,6.48541935,0.02527761,1.28948124,0.21003585,0.09812101,2.87888184,3.57231022,1.37687955
-5.95797899,6.59595505,0.02599485,1.31864429,0.20901463,0.10018034,2.92538073,3.67185242,1.38926332
-5.95197599,6.69167894,0.02664991,1.34505915,0.20742450,0.10208906,2.96520716,3.76527233,1.39757906
-5.94597299,6.77194016,0.02723271,1.36854706,0.20528029,0.10385408,2.99806634,3.85164049,1.40188981
-5.93996998,6.83632940,0.02773449,1.38897371,0.20260764,0.10548529,3.02377391,3.93014297,1.40231321
-5.93396698,6.88468289,0.02814800,1.40625051,0.19944253,0.10699509,3.04225884,4.00010024,1.39901668
-5.92796398,6.91707984,0.02846780,1.42033509,0.19583042,0.10839773,3.05356311,4.06098196,1.39221183
-5.92196098,6.93383345,0.02869029,1.43123050,0.19182509,0.10970863,3.05783808,4.11241705,1.38214817
-5.91595798,6.93547542,0.02881390,1.43898346,0.18748724,0.11094360,3.05533762,4.15419860,1.36910635
-5.90995498,6.92273457,0.02883902,1.44368143,0.18288279,0.11211800,3.04640818,4.18628325,1.35339104
-5.90395198,6.89650985,0.02876800,1.44544866,0.17808100,0.11324594,3.03147604,4.20878505,1.33532362
-5.89794897,6.85783879,0.02860499,1.44444126,0.17315250,0.11433945,3.01103217,4.22196399,1.31523470
-5.89194597,6.80786226,0.02835579,1.44084145,0.16816729,0.11540774,2.98561522,4.22620967,1.29345679
-5.88594297,6.74778673,0.02802756,1.43485116,0.16319265,0.11645657,2.95579325,4.22202083,1.27031698
-5.87993997,6.67884539,0.02762862,1.42668510,0.15829127,0.11748774,2.92214493,4.20998159,1.24613001
-5.87393697,6.60225957,0.02716807,1.41656375,0.15351948,0.11849873,2.88524085,4.19073551,1.22119167
-5.86793397,6.51920190,0.02665551,1.40470628,0.14892572,0.11948252,2.84562581,4.16495858,1.19577284
-5.86193097,6.43076271,0.02610072,1.39132389,0.14454934,0.12042765,2.80380274,4.13333253,1.17011420
-5.85592796,6.33792098,0.02551332,1.37661366,0.14041975,0.12131839,2.76021903,4.09651947,1.14442186
-5.84992496,6.24152099,0.02490255,1.36075327,0.13655588,0.12213518,2.71525568,4.05513915,1.11886405
-5.84392196,6.14225574,0.02427698,1.34389682,0.13296619,0.12285522,2.66921995,4.00974976,1.09356894
-5.83791896,6.04065768,0.02364437,1.32617181,0.12964891,0.12345318,2.62234165,3.96083314,1.06862387
-5.83191596,5.93709714,0.02301148,1.30767747,0.12659281,0.12390210,2.57477320,3.90878493,1.04407582
-5.82591296,5.83178852,0.02238406,1.28848459,0.12377828,0.12417431,2.52659355,3.85391006,1.01993349
-5.81990995,5.72480371,0.02176679,1.26863664,0.12117868,0.12424244,2.47781555,3.79642355,0.99617058
-5.81390695,5.61609217,0.02116333,1.24815233,0.11876196,0.12408041,2.42839645,3.73645644,0.97273054
-5.80790395,5.50550663,0.02057639,1.22702942,0.11649249,0.12366441,2.37825088,3.67406651,0.94953240
-5.80190095,5.39283315,0.02000787,1.20524952,0.11433285,0.12297377,2.32726577,3.60925292,0.92647766
-5.79589795,5.27782400,0.01945900,1.18278388,0.11224575,0.12199176,2.27531620,3.54197407,0.90345785
-5.78989495,5.16023197,0.01893047,1.15959972,0.11019580,0.12070623,2.22228153,3.47216770,0.88036258
-5.78389195,5.03984440,0.01842266,1.13566710,0.10815106,0.11911007,2.16806091,3.39977210,0.85708772
-5.77788894,4.91651553,0.01793573,1.11096575,0.10608453,0.11720161,2.11258741,3.32474752,0.83354347
-5.77188594,4.79019566,0.01746978,1.08549201,0.10397515,0.11498466,2.05584009,3.24709664,0.80966191
-5.76588294,4.66095602,0.01702499,1.05926532,0.10180865,0.11246859,1.99785347,3.16688332,0.78540381
-5.75987994,4.52900849,0.01660167,1.03233418,0.09957801,0.10966807,1.93872390,3.08424868,0.76076451
-5.75387694,4.39471934,0.01620030,1.00478145,0.09728354,0.10660278,1.87861282,2.99942414,0.73577851
-5.74787394,4.25861691,0.01582156,0.97672871,0.09493274,0.10329694,1.81774665,2.91274072,0.71052279
-5.74187094,4.12139295,0.01546629,0.94833965,0.09253980,0.09977874,1.75641358,2.82463458,0.68511876
-5.73586793,3.98389802,0.01513545,0.91982233,0.09012488,0.09607975,1.69495758,2.73564860,0.65973263
-5.72986493,3.84713140,0.01483003,0.89143027,0.08771324,0.09223415,1.63376993,2.64643019,0.63457446
-5.72386193,3.71222600,0.01455095,0.86346227,0.08533421,0.08827807,1.57327898,2.55772555,0.60989584
-5.71785893,3.58042936,0.01429902,0.83626101,0.08302009,0.08424884,1.51393861,2.47037079,0.58598631
-5.71185593,3.45308120,0.01407478,0.81021033,0.08080508,0.08018424,1.45621609,2.38528026,0.56316861
-5.70585293,3.33158869,0.01387848,0.78573129,0.07872415,0.07612188,1.40057985,2.30343271,0.54179309
-5.69984992,3.21740003,0.01370999,0.76327691,0.07681213,0.07209845,1.34748777,2.22585565,0.52223122
-5.69384692,3.11197722,0.01356877,0.74332581,0.07510279,0.06814919,1.29737642,2.15360843,0.50486847
-5.68784392,3.01676843,0.01345389,0.72637461,0.07362803,0.06430732,1.25065158,2.08776448,0.49009671
-5.68184092,2.93318070,0.01336402,0.71292942,0.07241734,0.06060352,1.20768026,2.02939298,0.47830628
-5.67583792,2.86255318,0.01329753,0.70349627,0.07149717,0.05706556,1.16878432,1.97954037,0.46987771
-5.66983492,2.80613119,0.01325251,0.69857082,0.07089059,0.05371790,1.13423573,1.93921181,0.46517349
-5.66383192,2.76504145,0.01322691,0.69862745,0.07061695,0.05058142,1.10425331,1.90935279,0.46452970
-5.65782891,2.74026839,0.01321862,0.70410785,0.07069158,0.04767319,1.07900083,1.89083101,0.46824784
-5.65182591,2.73263195,0.01322561,0.71540941,0.07112562,0.04500628,1.05858623,1.88441863,0.47658673
-5.64582291,2.74276679,0.01324599,0.73287364,0.07192581,0.04258976,1.04306176,1.89077486,0.48975488
-5.63981991,2.77110325,0.01327812,0.75677474,0.07309433,0.04042856,1.03242484,1.91042921,0.50790319
-5.63381691,2.81785030,0.01332069,0.78730881,0.07462862,0.03852361,1.02661938,1.94376533,0.53111824
-5.62781391,2.88298081,0.01337273,0.82458369,0.07652126,0.03687193,1.02553750,1.99100575,0.55941630
-5.62181091,2.96621943,0.01343364,0.86860998,0.07875982,0.03546679,1.02902156,2.05219774,0.59273821
-5.61580790,3.06703373,0.01350317,0.91929327,0.08132677,0.03429798,1.03686637,2.12720073,0.63094530
-5.60980490,3.18462889,0.01358134,0.97642802,0.08419951,0.03335211,1.04882174,2.21567548,0.67381649
-5.60380190,3.31794651,0.01366840,1.03969317,0.08735034,0.03261300,1.06459529,2.31707568,0.72104686
-5.59779890,3.46566792,0.01376469,1.10864991,0.09074670,0.03206205,1.08385566,2.43064240,0.77224762
-5.59179590,3.62622246,0.01387055,1.18274158,0.09435142,0.03167875,1.10623617,2.55540184,0.82694790
-5.58579290,3.79780083,0.01398617,1.26129603,0.09812315,0.03144111,1.13133900,2.69016701,0.88459832
-5.57978989,3.97837385,0.01411147,1.34353058,0.10201696,0.03132620,1.15873988,2.83354376,0.94457633
-5.57378689,4.16571651,0.01424602,1.42855948,0.10598500,0.03131066,1.18799339,2.98394148,1.00619365
-5.56778389,4.35743721,0.01438889,1.51540423,0.10997738,0.03137118,1.21863865,3.13958893,1.06870544
-5.56178089,4.55101175,0.01453863,1.60300642,0.11394308,0.03148505,1.25020554,3.29855512,1.13132143
-5.55577789,4.74382180,0.01469320,1.69024326,0.11783101,0.03163054,1.28222108,3.45877548,1.19321867
-5.54977489,4.93319698,0.01484996,1.77594545,0.12159101,0.03178739,1.31421601,3.61808291,1.25355580
-5.54377189,5.11645987,0.01500572,1.85891735,0.12517490,0.03193718,1.34573126,3.77424345,1.31148851
-5.53776888,5.29097313,0.01515680,1.93795894,0.12853751,0.03206360,1.37632427,3.92499590,1.36618595
-5.53176588,5.45418757,0.01529909,2.01188931,0.13163754,0.03215280,1.40557483,4.06809467,1.41684762
-5.52576288,5.60369025,0.01542821,2.07957104,0.13443837,0.03219354,1.43309053,4.20135476,1.46272039
-5.51975988,5.73725137,0.01553962,2.13993503,0.13690863,0.03217736,1.45851146,4.32269793,1.50311507
-5.51375688,5.85286896,0.01562878,2.19200506,0.13902269,0.03209865,1.48151433,4.43019852,1.53742225
-5.50775388,5.94881010,0.01569132,2.23492134,0.14076088,0.03195470,1.50181588,4.52212790,1.56512666
-5.50175088,6.02364773,0.01572315,2.26796236,0.14210955,0.03174568,1.51917555,4.59699585,1.58581984
-5.49574787,6.07629188,0.01572067,2.29056429,0.14306097,0.03147453,1.53339764,4.65358776,1.59921045
-5.48974487,6.10601449,0.01568081,2.30233720,0.14361304,0.03114687,1.54433278,4.69099611,1.60513202
-5.48374187,6.11246707,0.01560124,2.30307751,0.14376889,0.03077085,1.55187901,4.70864537,1.60354771
-5.47773887,6.09569037,0.01548037,2.29277595,0.14353638,0.03035688,1.55598241,4.70630902,1.59455191
-5.47173587,6.05611587,0.01531741,2.27162078,0.14292753,0.02991748,1.55663739,4.68411815,1.57836856
-5.46573287,5.99455859,0.01511246,2.23999592,0.14195792,0.02946693,1.55388666,4.64256119,1.55534613
-5.45972986,5.91220145,0.01486644,2.19847382,0.14064608,0.02902101,1.54782092,4.58247439,1.52594953
-5.45372686,5.81057125,0.01458108,2.14780334,0.13901300,0.02859666,1.53857818,4.50502345,1.49074894
-5.44772386,5.69150688,0.01425890,2.08889271,0.13708157,0.02821163,1.52634272,4.41167655,1.45040615
-5.44172086,5.55712051,0.01390311,2.02278820,0.13487620,0.02788406,1.51134367,4.30416965,1.40565870
-5.43571786,5.40975262,0.01351752,1.95064918,0.13242252,0.02763215,1.49385296,4.18446515,1.35730244
-5.42971486,5.25192234,0.01310647,1.87372015,0.12974708,0.02747369,1.47418282,4.05470502,1.30617299
-5.42371186,5.08627423,0.01267470,1.79330099,0.12687730,0.02742564,1.45268244,3.91715999,1.25312685
-5.41770885,4.91552303,0.01222726,1.71071606,0.12384130,0.02750376,1.42973410,3.77417634,1.19902267
-5.41170585,4.74239815,0.01176941,1.62728344,0.12066800,0.02772213,1.40574843,3.62812194,1.14470332
-5.40570285,4.56958917,0.01130650,1.54428514,0.11738707,0.02809281,1.38115900,3.48133307,1.09097934
-5.39969985,4.39969411,0.01084388,1.46293930,0.11402908,0.02862542,1.35641631,3.33606368,1.03861415
-5.39369685,4.23517164,0.01038682,1.38437516,0.11062551,0.02932688,1.33198115,3.19443854,0.98831152
-5.38769385,4.07829868,0.00994041,1.30961149,0.10720882,0.03020108,1.30831760,3.05841127,0.94070543
-5.38169085,3.93113419,0.00950950,1.23953904,0.10381248,0.03124873,1.28588571,2.92972857,0.89635257
-5.37568784,3.79548994,0.00909867,1.17490733,0.10047093,0.03246719,1.26513425,2.80990116,0.85572744
-5.36968484,3.67290883,0.00871211,1.11631597,0.09721944,0.03385047,1.24649348,2.70018211,0.81922007
-5.36368184,3.56465082,0.00835364,1.06421048,0.09409398,0.03538925,1.23036835,2.60155258,0.78713603
-5.35767884,3.47168645,0.00802662,1.01888242,0.09113097,0.03707107,1.21713226,2.51471523,0.75969860
-5.35167584,3.39469756,0.00773397,0.98047350,0.08836688,0.03888053,1.20712151,2.44009469,0.73705274
-5.34567284,3.33408472,0.00747809,0.94898329,0.08583788,0.04079969,1.20063071,2.37784500,0.71927043
-5.33966983,3.28998054,0.00726091,0.92427985,0.08357938,0.04280845,1.19790918,2.32786307,0.70635704
-5.33366683,3.26226802,0.00708381,0.90611280,0.08162544,0.04488510,1.19915836,2.28980758,0.69825842
-5.32766383,3.25060294,0.00694764,0.89412817,0.08000829,0.04700685,1.20453044,2.26312238,0.69486819
-5.32166083,3.25443921,0.00685273,0.88788441,0.07875776,0.04915048,1.21412800,2.24706354,0.69603505
-5.31565783,3.27305619,0.00679886,0.88686893,0.07790070,0.05129294,1.22800466,2.24072893,0.70156974
-5.30965483,3.30558693,0.00678530,0.89051476,0.07746048,0.05341202,1.24616670,2.24308963,0.71125154
-5.30365183,3.35104637,0.00681079,0.89821669,0.07745655,0.05548693,1.26857530,2.25302200,0.72483406
-5.29764882,3.40835861,0.00687358,0.90934667,0.07790404,0.05749892,1.29514935,2.26933970,0.74205029
-5.29164582,3.47638255,0.00697147,0.92326812,0.07881350,0.05943176,1.32576866,2.29082480,0.76261679
-5.28564282,3.55393522,0.00710179,0.93934889,0.08019068,0.06127216,1.36027703,2.31625721,0.78623721
-5.27963982,3.63981227,0.00726151,0.95697282,0.08203649,0.06301008,1.39848537,2.34444190,0.81260497
-5.27363682,3.73280539,0.00744723,0.97554982,0.08434701,0.06463899,1.44017430,2.37423329,0.84140533
-5.26763382,3.83171629,0.00765530,0.99452440,0.08711362,0.06615589,1.48509619,2.40455642,0.87231688
-5.26163082,3.93536734,0.00788179,1.01338290,0.09032323,0.06756129,1.53297652,2.43442469,0.90501269
-5.25562781,4.04260897,0.00812265,1.03165921,0.09395857,0.06885903,1.58351443,2.46295379,0.93916103
-5.24962481,4.15232398,0.00837372,1.04893938,0.09799845,0.07005600,1.63638257,2.48937213,0.97442603
-5.24362181,4.26342936,0.00863082,1.06486502,0.10241818,0.07116172,1.69122622,2.51302749,1.01046820
-5.23761881,4.37487608,0.00888981,1.07913572,0.10718982,0.07218785,1.74766201,2.53339041,1.04694513
-5.23161581,4.48564750,0.00914668,1.09151057,0.11228253,0.07314759,1.80527644,2.55005455,1.08351228
-5.22561281,4.59475730,0.00939757,1.10180884,0.11766281,0.07405510,1.86362461,2.56273443,1.11982418
-5.21960980,4.70124760,0.00963887,1.10990994,0.12329466,0.07492478,1.92222960,2.57126121,1.15553596
-5.21360680,4.80418820,0.00986725,1.11575276,0.12913978,0.07577067,1.98058284,2.57557694,1.19030544
-5.20760380,4.90267771,0.01007967,1.11933433,0.13515757,0.07660579,2.03814603,2.57572804,1.22379575
-5.20160080,4.99584716,0.01027346,1.12070803,0.14130523,0.07744157,2.09435494,2.57185843,1.25567857
-5.19559780,5.08286675,0.01044631,1.11998117,0.14753777,0.07828733,2.14862540,2.56420295,1.28563803
-5.18959480,5.16295585,0.01059628,1.11731212,0.15380803,0.07914989,2.20036169,2.55308140,1.31337513
-5.18359180,5.23539640,0.01072182,1.11290694,0.16006675,0.08003326,2.24896724,2.53889352,1.33861279
-5.17758879,5.29954938,0.01082173,1.10701556,0.16626272,0.08093845,2.29385767,2.52211495,1.36110122
