energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.41634568,0.02105021,1.02499492,1.16483912,0.55770864,0.04646998,2.47202093,1.73289823,1.00143926
-5.99399700,5.27202044,0.02090363,0.97878517,1.15345559,0.55392305,0.04606641,2.43115050,1.68804280,0.95531218
-5.98799400,5.12524919,0.02072454,0.93384357,1.14075163,0.54877912,0.04555716,2.38709614,1.64250430,0.91117271
-5.98199100,4.97748055,0.02051634,0.89048704,1.12694494,0.54234712,0.04495505,2.34046549,1.59672283,0.86933404
-5.97598799,4.83008988,0.02028293,0.84898513,1.11224634,0.53470774,0.04427386,2.29187777,1.55113392,0.83005618
-5.96998499,4.68438048,0.02002866,0.80956422,1.09686072,0.52595131,0.04352811,2.24195970,1.50617144,0.79355107
-5.96398199,4.54159065,0.01975844,0.77241352,1.08098893,0.51617724,0.04273286,2.19134324,1.46227134,0.75998957
-5.95797899,4.40290518,0.01947772,0.73769213,1.06483045,0.50549367,0.04190369,2.14066494,1.41987560,0.72951007
-5.95197599,4.26946978,0.01919255,0.70553696,1.04858634,0.49401732,0.04105655,2.09056613,1.37943597,0.70222773
-5.94597299,4.14240658,0.01890958,0.67607076,1.03246229,0.48187327,0.04020780,2.04169359,1.34141696,0.67824411
-5.93996998,4.02282899,0.01863600,0.64940997,1.01667102,0.46919481,0.03937421,1.99469976,1.30629771,0.65765616
-5.93396698,3.91185391,0.01837954,0.62567180,1.00143389,0.45612295,0.03857294,1.95024195,1.27457227,0.64056439
-5.92796398,3.81060988,0.01814836,0.60498018,0.98698135,0.44280572,0.03782160,1.90897986,1.24674804,0.62707930
-5.92196098,3.72023966,0.01795095,0.58747027,0.97355175,0.42939703,0.03713821,1.87157088,1.22334201,0.61732592
-5.91595798,3.64189620,0.01779594,0.57329117,0.96138861,0.41605512,0.03654120,1.83866279,1.20487492,0.61144607
-5.90995498,3.57673151,0.01769196,0.56260677,0.95073615,0.40294040,0.03604930,1.81088387,1.19186307,0.60959807
-5.90395198,3.52587836,0.01764736,0.55559453,0.94183323,0.39021291,0.03568143,1.78883020,1.18480815,0.61195401
-5.89794897,3.49042509,0.01767002,0.55244226,0.93490584,0.37802927,0.03545647,1.77305086,1.18418523,0.61869448
-5.89194597,3.47138462,0.01776701,0.55334301,0.93015862,0.36653926,0.03539305,1.76403122,1.19042939,0.63000116
-5.88594297,3.46965881,0.01794435,0.55848827,0.92776580,0.35588218,0.03550918,1.76217541,1.20392136,0.64604754
-5.87993997,3.48600019,0.01820675,0.56805962,0.92786202,0.34618313,0.03582196,1.76778862,1.22497288,0.66698818
-5.87393697,3.52097282,0.01855731,0.58221937,0.93053374,0.33754940,0.03634708,1.78106052,1.25381236,0.69294709
-5.86793397,3.57491455,0.01899729,0.60110050,0.93581177,0.33006710,0.03709851,1.80205063,1.29057145,0.72400586
-5.86193097,3.64790298,0.01952596,0.62479628,0.94366544,0.32379834,0.03808794,1.83067693,1.33527333,0.76019201
-5.85592796,3.73972705,0.02014041,0.65335008,0.95399893,0.31877900,0.03932444,1.86670834,1.38782309,0.80146827
-5.84992496,3.84986627,0.02083550,0.68674598,0.96665012,0.31501732,0.04081401,1.90976213,1.44800096,0.84772333
-5.84392196,3.97747894,0.02160387,0.72490028,0.98139230,0.31249345,0.04255922,1.95930654,1.51545868,0.89876455
-5.83791896,4.12140062,0.02243600,0.76765474,0.99793856,0.31115988,0.04455886,2.01466886,1.58971929,0.95431297
-5.83191596,4.28015326,0.02332034,0.81477157,1.01594909,0.31094304,0.04680773,2.07504902,1.67018054,1.01400107
-5.82591296,4.45196500,0.02424355,0.86593071,1.03504098,0.31174564,0.04929640,2.13953815,1.75612181,1.07737333
-5.81990995,4.63480027,0.02519082,0.92072947,1.05480002,0.31345011,0.05201117,2.20714153,1.84671450,1.14388966
-5.81390695,4.82639890,0.02614615,0.97868476,1.07479424,0.31592261,0.05493400,2.27680484,1.94103531,1.21293168
-5.80790395,5.02432307,0.02709283,1.03923783,1.09458825,0.31901768,0.05804263,2.34744282,2.03808236,1.28381166
-5.80190095,5.22600994,0.02801379,1.10176169,1.11375795,0.32258327,0.06131073,2.41796871,2.13679315,1.35578377
-5.79589795,5.42882823,0.02889209,1.16557073,1.13190471,0.32646581,0.06470817,2.48732353,2.23606414,1.42805730
-5.78989495,5.63013626,0.02971135,1.22993268,1.14866840,0.33051527,0.06820140,2.55450353,2.33477114,1.49981137
-5.78389195,5.82733949,0.03045619,1.29408224,1.16373868,0.33458984,0.07175390,2.61858492,2.43178984,1.57021076
-5.77788894,6.01794533,0.03111258,1.35723627,1.17686400,0.33856010,0.07532672,2.67874461,2.52601606,1.63842211
-5.77188594,6.19961354,0.03166823,1.41860994,1.18785790,0.34231250,0.07887912,2.73427639,2.61638511,1.70363031
-5.76588294,6.37020058,0.03211284,1.47743343,1.19660246,0.34575196,0.08236927,2.78460193,2.70188977,1.76505436
-5.75987994,6.52779677,0.03243834,1.53296867,1.20304876,0.34880363,0.08575500,2.82927636,2.78159673,1.82196234
-5.75387694,6.67075566,0.03263905,1.58452566,1.20721453,0.35141367,0.08899465,2.86798873,2.85466115,1.87368521
-5.74787394,6.79771514,0.03271171,1.63147780,1.20917919,0.35354904,0.09204792,2.90055752,2.92033928,1.91962902
-5.74187094,6.90761052,0.03265553,1.67327593,1.20907680,0.35519653,0.09487669,2.92692201,2.97799912,1.95928544
-5.73586793,6.99967992,0.03247209,1.70946056,1.20708726,0.35636100,0.09744594,2.94713029,3.02712916,1.99224022
-5.72986493,7.07346288,0.03216526,1.73967208,1.20342660,0.35706292,0.09972453,2.96132490,3.06734537,2.01817986
-5.72386193,7.12879304,0.03174096,1.76365855,1.19833666,0.35733562,0.10168598,2.96972715,3.09839643,2.03689606
-5.71785893,7.16578601,0.03120700,1.78128103,1.19207519,0.35722217,0.10330915,2.97262125,3.12016748,2.04828829
-5.71185593,7.18482372,0.03057280,1.79251630,1.18490649,0.35677221,0.10457881,2.97033909,3.13268242,2.05236439
-5.70585293,7.18653616,0.02984913,1.79745692,1.17709348,0.35603892,0.10548605,2.96324664,3.13610478,2.04923926
-5.69984992,7.17178159,0.02904786,1.79630867,1.16889133,0.35507624,0.10602863,2.95173250,3.13073716,2.03913193
-5.69384692,7.14162604,0.02818164,1.78938558,1.16054290,0.35393642,0.10621101,2.93619917,3.11701922,2.02236088
-5.68784392,7.09732252,0.02726365,1.77710261,1.15227630,0.35266820,0.10604434,2.91705709,3.09552398,1.99933793
-5.68184092,7.04029042,0.02630736,1.75996624,1.14430412,0.35131535,0.10554622,2.89472141,3.06695219,1.97056065
-5.67583792,6.97209489,0.02532628,1.73856317,1.13682454,0.34991601,0.10474027,2.86961135,3.03212469,1.93660347
-5.66983492,6.89442619,0.02433373,1.71354750,1.13002362,0.34850231,0.10365554,2.84215131,2.99197227,1.89810762
-5.66383192,6.80907847,0.02334268,1.68562650,1.12407857,0.34710073,0.10232581,2.81277345,2.94752293,1.85576988
-5.65782891,6.71792750,0.02236555,1.65554545,1.11916133,0.34573265,0.10078872,2.78192064,2.89988626,1.81033033
-5.65182591,6.62290671,0.02141407,1.62407162,1.11544206,0.34441530,0.09908483,2.75004922,2.85023487,1.76255913
-5.64582291,6.52598096,0.02049913,1.59197790,1.11309185,0.34316281,0.09725659,2.71763053,2.79978290,1.71324262
-5.63981991,6.42911760,0.01963068,1.56002618,1.11228435,0.34198732,0.09534728,2.68515076,2.74976168,1.66316872
-5.63381691,6.33425458,0.01881760,1.52895093,1.11319576,0.34089991,0.09339996,2.65310837,2.70139298,1.61311194
-5.62781391,6.24326563,0.01806763,1.49944326,1.11600310,0.33991141,0.09145641,2.62200872,2.65586036,1.56381831
-5.62181091,6.15792285,0.01738727,1.47213562,1.12088045,0.33903284,0.08955617,2.59235598,2.61427929,1.51599045
-5.61580790,6.07985758,0.01678170,1.44758781,1.12799342,0.33827549,0.08773562,2.56464211,2.57766709,1.47027312
-5.60980490,6.01052045,0.01625475,1.42627438,1.13749188,0.33765070,0.08602717,2.53933364,2.54691353,1.42723980
