energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.51893930,1.03153998,0.31869362,2.57651921,1.51433844,0.01136861,1.85669316,0.15387881,2.20339397
-5.99399700,6.34065404,1.00798733,0.30811555,2.49893068,1.47059886,0.01101292,1.80720198,0.15025862,2.14497794
-5.98799400,6.14827951,0.98133658,0.29696020,2.41974470,1.42366778,0.01061457,1.75542256,0.14596743,2.07988707
-5.98199100,5.94323829,0.95194350,0.28531396,2.33905846,1.37386342,0.01017733,1.70148776,0.14106834,2.00886980
-5.97598799,5.72723757,0.92024472,0.27327802,2.25701501,1.32155563,0.00970582,1.64556744,0.13563670,1.93281896
-5.96998499,5.50223425,0.88674443,0.26096623,2.17380850,1.26716047,0.00920543,1.58787073,0.12975802,1.85274740
-5.96398199,5.27039194,0.85199854,0.24850241,2.08968852,1.21113347,0.00868213,1.52864779,0.12352549,1.76975928
-5.95797899,5.03403158,0.81659663,0.23601728,2.00496353,1.15396174,0.00814224,1.46819058,0.11703731,1.68501819
-5.95197599,4.79557772,0.78114287,0.22364508,1.92000319,1.09615515,0.00759232,1.40683293,0.11039387,1.59971355
-5.94597299,4.55750283,0.74623646,0.21152013,1.83523952,1.03823710,0.00703887,1.34494960,0.10369494,1.51502665
-5.93996998,4.32227180,0.71245273,0.19977340,1.75116685,0.98073497,0.00648825,1.28295459,0.09703698,1.43209771
-5.93396698,4.09228898,0.68032541,0.18852924,1.66834072,0.92417092,0.00594646,1.22129857,0.09051070,1.35199537
-5.92796398,3.86984972,0.65033105,0.17790247,1.58737566,0.86905318,0.00541901,1.16046564,0.08419880,1.27568978
-5.92196098,3.65709813,0.62287599,0.16799586,1.50894194,0.81586824,0.00491080,1.10096952,0.07817428,1.20403008
-5.91595798,3.45599244,0.59828643,0.15889818,1.43376152,0.76507429,0.00442604,1.04334911,0.07249904,1.13772728
-5.90995498,3.26827876,0.57680192,0.15068277,1.36260301,0.71709583,0.00396816,0.98816372,0.06722296,1.07734273
-5.90395198,3.09547380,0.55857236,0.14340673,1.29627594,0.67231994,0.00353982,0.93598786,0.06238357,1.02328252
-5.89794897,2.93885630,0.54365850,0.13711076,1.23562417,0.63109383,0.00314290,0.88740568,0.05800606,0.97579769
-5.89194597,2.79946684,0.53203580,0.13181945,1.18151852,0.59372391,0.00277850,0.84300515,0.05410373,0.93498983
-5.88594297,2.67811511,0.52360123,0.12754219,1.13484850,0.56047604,0.00244703,0.80337185,0.05067896,0.90082161
-5.87993997,2.57539331,0.51818278,0.12427443,1.09651320,0.53157684,0.00214823,0.76908247,0.04772432,0.87313139
-5.87393697,2.49169442,0.51555084,0.12199925,1.06741112,0.50721581,0.00188131,0.74069795,0.04522407,0.85165109
-5.86793397,2.42723355,0.51543120,0.12068919,1.04842896,0.48754786,0.00164498,0.71875621,0.04315576,0.83602633
-5.86193097,2.38207094,0.51751871,0.12030811,1.04042934,0.47269615,0.00143761,0.70376446,0.04149203,0.82583779
-5.85592796,2.35613484,0.52149116,0.12081315,1.04423726,0.46275473,0.00125728,0.69619117,0.04020232,0.82062288
-5.84992496,2.34924300,0.52702273,0.12215646,1.06062560,0.45779090,0.00110192,0.69645757,0.03925468,0.81989674
-5.84392196,2.36112147,0.53379637,0.12428692,1.09029955,0.45784689,0.00096935,0.70492894,0.03861736,0.82317176
-5.83791896,2.39141995,0.54151468,0.12715148,1.13388016,0.46294083,0.00085743,0.72190566,0.03826041,0.82997505
-5.83191596,2.43972291,0.54990891,0.13069638,1.19188739,0.47306692,0.00076408,0.74761425,0.03815697,0.83986324
-5.82591296,2.50555655,0.55874582,0.13486808,1.26472290,0.48819452,0.00068735,0.78219858,0.03828446,0.85243436
-5.81990995,2.58839163,0.56783220,0.13961390,1.35265301,0.50826652,0.00062552,0.82571156,0.03862554,0.86733675
-5.81390695,2.68764267,0.57701713,0.14488263,1.45579238,0.53319684,0.00057708,0.87810757,0.03916881,0.88427489
-5.80790395,2.80266439,0.58619198,0.15062485,1.57408890,0.56286732,0.00054079,0.93923591,0.03990939,0.90301260
-5.80190095,2.93274638,0.59528846,0.15679329,1.70731040,0.59712418,0.00051572,1.00883565,0.04084924,0.92337365
-5.79589795,3.07710702,0.60427500,0.16334321,1.85503369,0.63577432,0.00050121,1.08653225,0.04199730,0.94524051
-5.78989495,3.23488800,0.61315178,0.17023284,2.01663661,0.67858171,0.00049692,1.17183602,0.04336951,0.96855151
-5.78389195,3.40515033,0.62194490,0.17742396,2.19129333,0.72526414,0.00050279,1.26414300,0.04498865,0.99329693
-5.77788894,3.58687287,0.63070003,0.18488263,2.37797362,0.77549067,0.00051906,1.36273804,0.04688401,1.01951453
