energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,7.95131141,5.72075970,3.27752170,0.05073732,1.12631997,0.22328276,0.19065976,3.05517177
-5.99399700,7.76793385,5.60693634,3.18501987,0.04996157,1.09734743,0.21525456,0.18696839,2.99563792
-5.98799400,7.55593544,5.46850364,3.08204217,0.04897667,1.06375353,0.20649012,0.18271947,2.92531216
-5.98199100,7.31816302,5.30778400,2.96989695,0.04778923,1.02606045,0.19712060,0.17796069,2.84508074
-5.97598799,7.05774525,5.12746679,2.84995750,0.04640971,0.98483721,0.18727982,0.17274306,2.75594553
-5.96998499,6.77804237,4.93054548,2.72364208,0.04485223,0.94068764,0.17710172,0.16712085,2.65901130
-5.96398199,6.48259288,4.72024715,2.59239478,0.04313430,0.89423800,0.16671799,0.16115145,2.55547112
-5.95797899,6.17505763,4.49995620,2.45766688,0.04127648,0.84612452,0.15625596,0.15489527,2.44658987
-5.95197599,5.85916190,4.27313456,2.32089896,0.03930183,0.79698118,0.14583666,0.14841546,2.33368591
-5.94597299,5.53863619,4.04324048,2.18350351,0.03723541,0.74742780,0.13557327,0.14177762,2.21811099
-5.93996998,5.21715671,3.81364828,2.04684832,0.03510364,0.69805890,0.12556971,0.13504924,2.10122877
-5.93396698,4.89828681,3.58757162,1.91224059,0.03293364,0.64943348,0.11591960,0.12829907,1.98439243
-5.92796398,4.58542067,3.36799226,1.78091214,0.03075260,0.60206588,0.10670546,0.12159631,1.86892197
-5.92196098,4.28173087,3.15759677,1.65400588,0.02858715,0.55641804,0.09799815,0.11500970,1.75608181
-5.91595798,3.99012136,2.95872289,1.53256392,0.02646275,0.51289328,0.08985660,0.10860652,1.64705970
-5.90995498,3.71318727,2.77331718,1.41751757,0.02440317,0.47183172,0.08232775,0.10245152,1.54294745
-5.90395198,3.45318310,2.60290531,1.30967974,0.02243008,0.43350745,0.07544675,0.09660594,1.44472441
-5.89794897,3.21200020,2.44857554,1.20973973,0.02056267,0.39812748,0.06923734,0.09112654,1.35324437
-5.89194597,2.99115434,2.31097592,1.11826085,0.01881743,0.36583245,0.06371243,0.08606477,1.26922625
-5.88594297,2.79178369,2.19032491,1.03568073,0.01720802,0.33669903,0.05887487,0.08146612,1.19324900
-5.87993997,2.61465709,2.08643475,0.96231436,0.01574527,0.31074381,0.05471828,0.07736968,1.12575086
-5.87393697,2.46019176,1.99874657,0.89835958,0.01443721,0.28792865,0.05122807,0.07380780,1.06703272
-5.86793397,2.32847962,1.92637544,0.84390473,0.01328925,0.26816704,0.04838244,0.07080613,1.01726535
-5.86193097,2.21932031,1.86816361,0.79893794,0.01230440,0.25133133,0.04615351,0.06838373,0.97649983
-5.85592796,2.13225939,1.82273959,0.76335751,0.01148355,0.23726056,0.04450833,0.06655334,0.94468055
-5.84992496,2.06662928,1.78858068,0.73698278,0.01082576,0.22576839,0.04340995,0.06532186,0.92165974
-5.84392196,2.02159082,1.76407628,0.71956487,0.01032855,0.21665104,0.04281832,0.06469080,0.90721269
-5.83791896,1.99617328,1.74758956,0.71079656,0.00998821,0.20969480,0.04269123,0.06465676,0.90105260
-5.83191596,1.98931064,1.73751506,0.71032099,0.00980008,0.20468284,0.04298492,0.06521195,0.90284421
-5.82591296,1.99987238,1.73232991,0.71773853,0.00975873,0.20140121,0.04365478,0.06634446,0.91221522
-5.81990995,2.02668746,1.73063690,0.73261164,0.00985812,0.19964365,0.04465576,0.06803852,0.92876501
-5.81390695,2.06856044,1.73119804,0.75446762,0.01009176,0.19921531,0.04594272,0.07027454,0.95207015
-5.80790395,2.12427961,1.73295746,0.78279922,0.01045267,0.19993517,0.04747060,0.07302896,0.98168647
-5.80190095,2.19261715,1.73505347,0.81706340,0.01093344,0.20163724,0.04919460,0.07627398,1.01714781
-5.79589795,2.27232225,1.73681972,0.85667868,0.01152608,0.20417060,0.05107017,0.07997709,1.05796176
-5.78989495,2.36210852,1.73777636,0.90102149,0.01222195,0.20739842,0.05305306,0.08410053,1.10360302
-5.78389195,2.46063746,1.73761211,0.94942239,0.01301163,0.21119614,0.05509931,0.08860070,1.15350521
-5.77788894,2.56650008,1.73615918,1.00116265,0.01388476,0.21544904,0.05716533,0.09342760,1.20705199
-5.77188594,2.67819908,1.73336269,1.05547216,0.01482987,0.22004946,0.05920797,0.09852437,1.26356875
-5.76588294,2.79413387,1.72924692,1.11152920,0.01583434,0.22489392,0.06118477,0.10382702,1.32231585
-5.75987994,2.91259075,1.72388061,1.16846280,0.01688429,0.22988041,0.06305426,0.10926440,1.38248451
-5.75387694,3.03174016,1.71734352,1.22535815,0.01796458,0.23490601,0.06477635,0.11475850,1.44319637
-5.74787394,3.14964272,1.70969627,1.28126536,0.01905892,0.23986525,0.06631294,0.12022515,1.50350730
-5.74187094,3.26426480,1.70095528,1.33521174,0.02014996,0.24464905,0.06762853,0.12557505,1.56241616
-5.73586793,3.37350436,1.69107407,1.38621738,0.02121962,0.24914467,0.06869094,0.13071523,1.61887848
-5.72986493,3.47522646,1.67993193,1.43331376,0.02224930,0.25323646,0.06947207,0.13555092,1.67182510
