energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,5.47308259,0.05218643,0.66805831,0.14612152,2.93206611,2.06357628,0.14483785,2.40617627
-5.99399700,5.32770284,0.05063788,0.65857079,0.14498734,2.97633311,1.96815847,0.14133658,2.34598646
-5.98799400,5.17677059,0.04884943,0.65040852,0.14344712,3.02603253,1.87119213,0.13734111,2.27977920
-5.98199100,5.02042473,0.04684805,0.64320728,0.14149294,3.07856015,1.77316267,0.13290449,2.20808618
-5.97598799,4.85906951,0.04466402,0.63662063,0.13912944,3.13139253,1.67466621,0.12808597,2.13156380
-5.96998499,4.69333538,0.04233004,0.63032344,0.13637321,3.18213359,1.57638088,0.12294914,2.05096723
-5.96398199,4.52403560,0.03988019,0.62401458,0.13325184,3.22855669,1.47903672,0.11756010,1.96712358
-5.95797899,4.35212151,0.03734905,0.61741931,0.12980263,3.26864190,1.38338592,0.11198568,1.88090521
-5.95197599,4.17863872,0.03477074,0.61029122,0.12607106,3.30060804,1.29017464,0.10629186,1.79320426
-5.94597299,4.00468622,0.03217808,0.60241406,0.12210906,3.32293908,1.20011774,0.10054241,1.70490926
-5.93996998,3.83137976,0.02960190,0.59360332,0.11797318,3.33440448,1.11387695,0.09479764,1.61688437
-5.93396698,3.65982018,0.02707042,0.58370770,0.11372270,3.33407314,1.03204326,0.08911349,1.52995164
-5.92796398,3.49106730,0.02460876,0.57261019,0.10941771,3.32132053,0.95512360,0.08354080,1.44487643
-5.92196098,3.32611908,0.02223862,0.56022898,0.10511728,3.29582898,0.88353188,0.07812482,1.36235605
-5.91595798,3.16589592,0.01997810,0.54651779,0.10087773,3.25758096,0.81758404,0.07290486,1.28301137
-5.90995498,3.01122935,0.01784161,0.53146578,0.09675111,3.20684577,0.75749691,0.06791425,1.20738126
-5.90395198,2.86285463,0.01583993,0.51509678,0.09278374,3.14415976,0.70339013,0.06318028,1.13591944
-5.89794897,2.72140630,0.01398037,0.49746792,0.08901520,3.07030100,0.65529084,0.05872439,1.06899353
-5.89194597,2.58741625,0.01226697,0.47866747,0.08547740,2.98625889,0.61314030,0.05456244,1.00688582
-5.88594297,2.46131349,0.01070087,0.45881213,0.08219400,2.89319990,0.57680211,0.05070500,0.94979551
