energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.34580165,0.00009210,0.25562286,0.00122053,0.00437528,0.13509876,0.24960897
-5.99399700,0.34483394,0.00007546,0.25728125,0.00101069,0.00392539,0.13747298,0.25194157
-5.98799400,0.34379709,0.00006141,0.25852832,0.00083117,0.00354125,0.13941026,0.25376347
-5.98199100,0.34232740,0.00004965,0.25911986,0.00067884,0.00321363,0.14079421,0.25484391
-5.97598799,0.34010416,0.00003987,0.25884376,0.00055060,0.00293380,0.14152622,0.25498353
-5.96998499,0.33685788,0.00003181,0.25752587,0.00044351,0.00269370,0.14152826,0.25401997
-5.96398199,0.33237638,0.00002521,0.25503415,0.00035478,0.00248602,0.14074492,0.25183193
-5.95797899,0.32650836,0.00001984,0.25128124,0.00028184,0.00230433,0.13914453,0.24834154
-5.95197599,0.31916460,0.00001551,0.24622515,0.00022235,0.00214306,0.13671944,0.24351508
-5.94597299,0.31031683,0.00001205,0.23986838,0.00017420,0.00199752,0.13348538,0.23736205
-5.93996998,0.29999448,0.00000930,0.23225541,0.00013555,0.00186391,0.12948009,0.22993273
-5.93396698,0.28827951,0.00000712,0.22346880,0.00010475,0.00173922,0.12476109,0.22131435
-5.92796398,0.27529973,0.00000542,0.21362418,0.00008041,0.00162117,0.11940300,0.21162618
-5.92196098,0.26122095,0.00000410,0.20286431,0.00006132,0.00150815,0.11349426,0.20101368
-5.91595798,0.24623834,0.00000308,0.19135263,0.00004649,0.00139913,0.10713366,0.18964218
-5.90995498,0.23056744,0.00000230,0.17926646,0.00003507,0.00129355,0.10042659,0.17769023
-5.90395198,0.21443527,0.00000170,0.16679025,0.00002637,0.00119124,0.09348146,0.16534298
-5.89794897,0.19807177,0.00000125,0.15410925,0.00001983,0.00109234,0.08640620,0.15278589
-5.89194597,0.18170206,0.00000092,0.14140354,0.00001501,0.00099725,0.07930506,0.14019900
-5.88594297,0.16553968,0.00000067,0.12884302,0.00001157,0.00090652,0.07227590,0.12775185
-5.87993997,0.14978106,0.00000048,0.11658313,0.00000924,0.00082084,0.06540787,0.11559946
-5.87393697,0.13460127,0.00000035,0.10476176,0.00000783,0.00074100,0.05877974,0.10387913
-5.86793397,0.12015119,0.00000025,0.09349702,0.00000723,0.00066785,0.05245877,0.09270836
-5.86193097,0.10655609,0.00000018,0.08288618,0.00000737,0.00060232,0.04650007,0.08218383
-5.85592796,0.09391543,0.00000013,0.07300555,0.00000825,0.00054542,0.04094666,0.07238121
-5.84992496,0.08230390,0.00000010,0.06391119,0.00000992,0.00049825,0.03582983,0.06335595
-5.84392196,0.07177344,0.00000009,0.05564052,0.00001246,0.00046205,0.03117005,0.05514484
-5.83791896,0.06235611,0.00000008,0.04821438,0.00001604,0.00043827,0.02697817,0.04776802
-5.83191596,0.05406757,0.00000009,0.04163966,0.00002085,0.00042856,0.02325683,0.04123167
-5.82591296,0.04691095,0.00000011,0.03591219,0.00002718,0.00043491,0.02000212,0.03553075
-5.81990995,0.04088099,0.00000015,0.03101984,0.00003536,0.00045965,0.01720522,0.03065212
-5.81390695,0.03596813,0.00000021,0.02694550,0.00004580,0.00050556,0.01485410,0.02657745
-5.80790395,0.03216243,0.00000030,0.02367007,0.00005899,0.00057592,0.01293518,0.02328618
-5.80190095,0.02945725,0.00000044,0.02117516,0.00007551,0.00067455,0.01143474,0.02075810
-5.79589795,0.02785242,0.00000063,0.01944544,0.00009604,0.00080589,0.01034029,0.01897575
-5.78989495,0.02735684,0.00000091,0.01847062,0.00012135,0.00097500,0.00964167,0.01792630
-5.78389195,0.02799043,0.00000129,0.01824701,0.00015231,0.00118761,0.00933186,0.01760305
-5.77788894,0.02978545,0.00000183,0.01877851,0.00018992,0.00145007,0.00940763,0.01800640
-5.77188594,0.03278696,0.00000257,0.02007716,0.00023527,0.00176934,0.00986981,0.01914439
-5.76588294,0.03705257,0.00000359,0.02216317,0.00028957,0.00215291,0.01072344,0.02103267
-5.75987994,0.04265143,0.00000499,0.02506441,0.00035413,0.00260871,0.01197752,0.02369397
-5.75387694,0.04966253,0.00000687,0.02881552,0.00043040,0.00314499,0.01364459,0.02715719
-5.74787394,0.05817226,0.00000940,0.03345653,0.00051987,0.00377012,0.01574016,0.03145599
-5.74187094,0.06827155,0.00001276,0.03903117,0.00062420,0.00449244,0.01828185,0.03662706
-5.73586793,0.08005245,0.00001722,0.04558489,0.00074509,0.00532002,0.02128846,0.04270812
-5.72986493,0.09360453,0.00002306,0.05316274,0.00088435,0.00626044,0.02477896,0.04973576
-5.72386193,0.10901117,0.00003067,0.06180718,0.00104390,0.00732058,0.02877143,0.05774313
-5.71785893,0.12634593,0.00004052,0.07155595,0.00122574,0.00850635,0.03328204,0.06675776
-5.71185593,0.14566940,0.00005315,0.08244015,0.00143200,0.00982253,0.03832410,0.07679951
-5.70585293,0.16702643,0.00006924,0.09448267,0.00166493,0.01127254,0.04390729,0.08787887
-5.69984992,0.19044436,0.00008958,0.10769708,0.00192694,0.01285841,0.05003712,0.09999565
-5.69384692,0.21593212,0.00011510,0.12208706,0.00222065,0.01458061,0.05671459,0.11313825
-5.68784392,0.24348045,0.00014687,0.13764650,0.00254889,0.01643815,0.06393624,0.12728355
-5.68184092,0.27306346,0.00018612,0.15436039,0.00291480,0.01842862,0.07169446,0.14239754
-5.67583792,0.30464130,0.00023424,0.17220630,0.00332184,0.02054833,0.07997815,0.15843664
-5.66983492,0.33816409,0.00029279,0.19115661,0.00377388,0.02279261,0.08877375,0.17534978
-5.66383192,0.37357677,0.00036347,0.21118129,0.00427520,0.02515606,0.09806643,0.19308101
-5.65782891,0.41082470,0.00044815,0.23225113,0.00483056,0.02763295,0.10784153,0.21157272
-5.65182591,0.44985959,0.00054880,0.25434107,0.00544519,0.03021752,0.11808615,0.23076910
-5.64582291,0.49064534,0.00066750,0.27743365,0.00612480,0.03290443,0.12879058,0.25061976
-5.63981991,0.53316326,0.00080637,0.30152194,0.00687553,0.03568908,0.13994977,0.27108313
-5.63381691,0.57741625,0.00096757,0.32661198,0.00770385,0.03856788,0.15156431,0.29212943
-5.62781391,0.62343127,0.00115317,0.35272420,0.00861644,0.04153847,0.16364120,0.31374303
-5.62181091,0.67125978,0.00136514,0.37989374,0.00962000,0.04459978,0.17619398,0.33592372
-5.61580790,0.72097581,0.00160524,0.40816930,0.01072106,0.04775199,0.18924226,0.35868690
-5.60980490,0.77267128,0.00187496,0.43761055,0.01192562,0.05099630,0.20281065,0.38206244
-5.60380190,0.82644878,0.00217539,0.46828397,0.01323889,0.05433459,0.21692698,0.40609215
-5.59779890,0.88241170,0.00250718,0.50025722,0.01466487,0.05776890,0.23161995,0.43082596
-5.59179590,0.94065227,0.00287041,0.53359234,0.01620603,0.06130083,0.24691625,0.45631688
-5.58579290,1.00123802,0.00326453,0.56833796,0.01786284,0.06493082,0.26283731,0.48261497
