energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.00472171,0.00024709,0.16521468,0.02668744,0.39371439,0.50591066,0.29932920
-5.99399700,1.01892778,0.00028240,0.16633528,0.02693492,0.40044425,0.51261094,0.30328788
-5.98799400,1.02851821,0.00032328,0.16632288,0.02703328,0.40556941,0.51674051,0.30585979
-5.98199100,1.03364657,0.00037011,0.16519428,0.02698627,0.40916316,0.51836182,0.30709070
-5.97598799,1.03461278,0.00042322,0.16299370,0.02680199,0.41135378,0.51760914,0.30707148
-5.96998499,1.03185458,0.00048294,0.15979179,0.02649282,0.41232071,0.51468390,0.30593589
-5.96398199,1.02593412,0.00054949,0.15568392,0.02607506,0.41228895,0.50984746,0.30385681
-5.95797899,1.01752016,0.00062308,0.15078765,0.02556857,0.41152176,0.50341185,0.30104129
-5.95197599,1.00736708,0.00070379,0.14523953,0.02499624,0.41031212,0.49572879,0.29772445
-5.94597299,0.99629147,0.00079165,0.13919147,0.02438338,0.40897340,0.48717757,0.29416282
-5.93996998,0.98514741,0.00088658,0.13280667,0.02375706,0.40782959,0.47815243,0.29062706
-5.93396698,0.97480168,0.00098841,0.12625544,0.02314544,0.40720555,0.46904983,0.28739475
-5.92796398,0.96610959,0.00109684,0.11971090,0.02257703,0.40741771,0.46025630,0.28474319
-5.92196098,0.95989258,0.00121152,0.11334480,0.02208004,0.40876553,0.45213737,0.28294261
-5.91595798,0.95691799,0.00133198,0.10732357,0.02168168,0.41152388,0.44502767,0.28225003
-5.90995498,0.95788154,0.00145767,0.10180465,0.02140756,0.41593669,0.43922291,0.28290367
-5.90395198,0.96339286,0.00158799,0.09693315,0.02128109,0.42221177,0.43497346,0.28511820
-5.89794897,0.97396381,0.00172227,0.09283903,0.02132296,0.43051685,0.43247988,0.28908064
-5.89194597,0.98999971,0.00185980,0.08963457,0.02155068,0.44097680,0.43189017,0.29494696
-5.88594297,1.01179297,0.00199983,0.08741234,0.02197817,0.45367181,0.43329864,0.30283932
-5.87993997,1.03951891,0.00214162,0.08624358,0.02261539,0.46863638,0.43674624,0.31284369
-5.87393697,1.07323319,0.00228441,0.08617695,0.02346805,0.48585896,0.44222192,0.32500798
-5.86793397,1.11287063,0.00242743,0.08723763,0.02453734,0.50528206,0.44966503,0.33934040
-5.86193097,1.15824518,0.00256994,0.08942688,0.02581978,0.52680269,0.45896829,0.35580816
-5.85592796,1.20905074,0.00271118,0.09272181,0.02730706,0.55027313,0.46998127,0.37433644
-5.84992496,1.26486307,0.00285041,0.09707564,0.02898602,0.57550191,0.48251411,0.39480770
-5.84392196,1.32514277,0.00298689,0.10241829,0.03083872,0.60225521,0.49634157,0.41706155
-5.83791896,1.38923989,0.00311986,0.10865740,0.03284251,0.63025873,0.51120722,0.44089515
-5.83191596,1.45640028,0.00324856,0.11567978,0.03497036,0.65920019,0.52682789,0.46606459
-5.82591296,1.52577451,0.00337220,0.12335336,0.03719120,0.68873272,0.54289843,0.49228720
-5.81990995,1.59642955,0.00348997,0.13152962,0.03947047,0.71847931,0.55909688,0.51924521
-5.81390695,1.66736363,0.00360105,0.14004654,0.04177071,0.74803840,0.57509014,0.54659072
-5.80790395,1.73752470,0.00370460,0.14873204,0.04405239,0.77699084,0.59054011,0.57395224
-5.80190095,1.80583212,0.00379979,0.15740780,0.04627476,0.80490821,0.60511048,0.60094268
-5.79589795,1.87120169,0.00388578,0.16589360,0.04839688,0.83136222,0.61847400,0.62716875
-5.78989495,1.93257328,0.00396181,0.17401173,0.05037865,0.85593528,0.63032005,0.65224155
