energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.77068525,0.07058285,0.00000000,0.99031201,0.64554607,0.02145768,1.26390811
-5.99399700,1.77610244,0.06960113,0.00000000,0.98454768,0.65672798,0.02144569,1.26872388
-5.98799400,1.77623554,0.06858735,0.00000000,0.97618673,0.66591976,0.02139331,1.26950316
-5.98199100,1.77131899,0.06758398,0.00000000,0.96563488,0.67303498,0.02129956,1.26639096
-5.97598799,1.76170386,0.06663972,0.00000000,0.95336610,0.67802176,0.02116405,1.25961331
-5.96998499,1.74784583,0.06580857,0.00000000,0.93990641,0.68086291,0.02098709,1.24946867
-5.96398199,1.73029030,0.06514865,0.00000000,0.92581584,0.68157536,0.02076979,1.23631725
-5.95797899,1.70965531,0.06472097,0.00000000,0.91166949,0.68020895,0.02051409,1.22056902
-5.95197599,1.68661297,0.06458802,0.00000000,0.89803840,0.67684458,0.02022287,1.20267077
-5.94597299,1.66187021,0.06481243,0.00000000,0.88547091,0.67159198,0.01989987,1.18309280
-5.93996998,1.63614951,0.06545548,0.00000000,0.87447525,0.66458700,0.01954972,1.16231583
-5.93396698,1.61017019,0.06657570,0.00000000,0.86550391,0.65598862,0.01917785,1.14081844
-5.92796398,1.58463088,0.06822755,0.00000000,0.85894043,0.64597571,0.01879037,1.11906543
-5.92196098,1.56019342,0.07046010,0.00000000,0.85508875,0.63474360,0.01839397,1.09749747
-5.91595798,1.53746871,0.07331586,0.00000000,0.85416563,0.62250047,0.01799573,1.07652206
-5.90995498,1.51700456,0.07682973,0.00000000,0.85629600,0.60946360,0.01760290,1.05650612
-5.90395198,1.49927565,0.08102803,0.00000000,0.86151152,0.59585558,0.01722277,1.03776999
-5.89794897,1.48467573,0.08592775,0.00000000,0.86975200,0.58190039,0.01686237,1.02058312
-5.89194597,1.47351197,0.09153594,0.00000000,0.88086972,0.56781947,0.01652830,1.00516106
-5.88594297,1.46600146,0.09784921,0.00000000,0.89463616,0.55382787,0.01622647,0.99166399
-5.87993997,1.46226971,0.10485355,0.00000000,0.91075097,0.54013041,0.01596195,0.98019637
-5.87393697,1.46235113,0.11252421,0.00000000,0.92885279,0.52691807,0.01573875,0.97080793
-5.86793397,1.46619145,0.12082593,0.00000000,0.94853142,0.51436458,0.01555967,0.96349563
-5.86193097,1.47365189,0.12971328,0.00000000,0.96934111,0.50262344,0.01542620,0.95820664
-5.85592796,1.48451513,0.13913130,0.00000000,0.99081433,0.49182534,0.01533846,0.95484235
-5.84992496,1.49849289,0.14901633,0.00000000,1.01247589,0.48207620,0.01529515,0.95326309
-5.84392196,1.51523502,0.15929705,0.00000000,1.03385674,0.47345580,0.01529363,0.95329378
-5.83791896,1.53434006,0.16989576,0.00000000,1.05450722,0.46601718,0.01532994,0.95473022
-5.83191596,1.55536685,0.18072978,0.00000000,1.07400945,0.45978682,0.01539897,0.95734597
-5.82591296,1.57784725,0.19171299,0.00000000,1.09198840,0.45476556,0.01549462,0.96089974
-5.81990995,1.60129930,0.20275746,0.00000000,1.10812145,0.45093031,0.01561005,0.96514314
-5.81390695,1.62524076,0.21377513,0.00000000,1.12214611,0.44823640,0.01573788,0.96982841
-5.80790395,1.64920248,0.22467942,0.00000000,1.13386586,0.44662063,0.01587050,0.97471622
