energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,2.87119820,0.50971514,0.00000000,0.44421962,1.78485122,0.01396554,0.82476901
-5.99399700,2.90368975,0.50767776,0.00000000,0.45527639,1.79532007,0.01489554,0.84482920
-5.98799400,2.94766994,0.50657841,0.00000000,0.46832695,1.81249056,0.01591181,0.86937917
-5.98199100,3.00349671,0.50656487,0.00000000,0.48333922,1.83670132,0.01701224,0.89840201
-5.97598799,3.07121029,0.50775917,0.00000000,0.50024146,1.86809719,0.01819287,0.93175514
-5.96998499,3.15051438,0.51025174,0.00000000,0.51892151,1.90661483,0.01944785,0.96916860
-5.96398199,3.24076566,0.51409618,0.00000000,0.53922698,1.95197341,0.02076926,1.01024669
-5.95797899,3.34097279,0.51930489,0.00000000,0.56096641,2.00367109,0.02214716,1.05447349
-5.95197599,3.44980575,0.52584597,0.00000000,0.58391153,2.06098808,0.02356960,1.10122205
-5.94597299,3.56561598,0.53364148,0.00000000,0.60780061,2.12299654,0.02502274,1.14976734
-5.93996998,3.68646756,0.54256727,0.00000000,0.63234285,2.18857767,0.02649105,1.19930265
-5.93396698,3.81017892,0.55245462,0.00000000,0.65722382,2.25644572,0.02795752,1.24895902
-5.92796398,3.93437424,0.56309347,0.00000000,0.68211173,2.32517859,0.02940408,1.29782728
-5.92196098,4.05654322,0.57423742,0.00000000,0.70666434,2.39325414,0.03081195,1.34498190
-5.91595798,4.17410731,0.58561014,0.00000000,0.73053641,2.45909124,0.03216206,1.38950591
-5.90995498,4.28449025,0.59691310,0.00000000,0.75338731,2.52109418,0.03343564,1.43051610
-5.90395198,4.38519054,0.60783432,0.00000000,0.77488868,2.57769880,0.03461463,1.46718748
-5.89794897,4.47385303,0.61805766,0.00000000,0.79473178,2.62741883,0.03568229,1.49877621
-5.89194597,4.54833707,0.62727253,0.00000000,0.81263447,2.66889049,0.03662365,1.52464010
-5.88594297,4.60677876,0.63518342,0.00000000,0.82834746,2.70091377,0.03742602,1.54425606
-5.87993997,4.64764481,0.64151901,0.00000000,0.84165983,2.72248870,0.03807938,1.55723366
