energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.90567063,0.28942087,0.00355495,1.41930613,0.66189828,0.00858710,0.98610285
-5.99399700,1.88350518,0.29330543,0.00354088,1.41956926,0.64725387,0.00858704,0.96783031
-5.98799400,1.86043693,0.29651390,0.00351811,1.41900016,0.63255906,0.00854644,0.94974925
-5.98199100,1.83611318,0.29900615,0.00348568,1.41733567,0.61763569,0.00846606,0.93166286
-5.97598799,1.81025823,0.30075690,0.00344284,1.41432035,0.60235385,0.00834785,0.91341036
-5.96998499,1.78269358,0.30175746,0.00338913,1.40972317,0.58663891,0.00819491,0.89487886
-5.96398199,1.75335381,0.30201688,0.00332440,1.40335318,0.57047603,0.00801143,0.87601321
-5.95797899,1.72229754,0.30156227,0.00324879,1.39507333,0.55391208,0.00780261,0.85682311
-5.95197599,1.68971286,0.30043841,0.00316277,1.38481183,0.53705497,0.00757450,0.83738728
-5.94597299,1.65591707,0.29870662,0.00306712,1.37257056,0.52007046,0.00733386,0.81785462
-5.93996998,1.62135071,0.29644291,0.00296287,1.35843012,0.50317672,0.00708795,0.79844213
-5.93396698,1.58656627,0.29373556,0.00285133,1.34255136,0.48663689,0.00684438,0.77942977
-5.92796398,1.55221189,0.29068218,0.00273402,1.32517349,0.47074995,0.00661082,0.76115247
-5.92196098,1.51901080,0.28738658,0.00261262,1.30660874,0.45584020,0.00639488,0.74398944
-5.91595798,1.48773730,0.28395525,0.00248892,1.28723408,0.44224592,0.00620386,0.72835135
-5.90995498,1.45919018,0.28049408,0.00236479,1.26748025,0.43030739,0.00604456,0.71466567
-5.90395198,1.43416461,0.27710494,0.00224210,1.24781868,0.42035480,0.00592315,0.70336083
-5.89794897,1.41342344,0.27388278,0.00212268,1.22874688,0.41269640,0.00584495,0.69484962
-5.89194597,1.39766904,0.27091288,0.00200826,1.21077290,0.40760721,0.00581438,0.68951258
-5.88594297,1.38751664,0.26826871,0.00190045,1.19439944,0.40531864,0.00583481,0.68768188
-5.87993997,1.38347020,0.26601024,0.00180067,1.18010833,0.40600944,0.00590851,0.68962632
-5.87393697,1.38590168,0.26418283,0.00171016,1.16834581,0.40979805,0.00603662,0.69553813
-5.86793397,1.39503451,0.26281671,0.00162991,1.15950937,0.41673682,0.00621913,0.70552197
-5.86193097,1.41093197,0.26192699,0.00156068,1.15393636,0.42680822,0.00645491,0.71958683
-5.85592796,1.43349100,0.26151431,0.00150301,1.15189499,0.43992317,0.00674173,0.73764103
-5.84992496,1.46244181,0.26156588,0.00145718,1.15357785,0.45592169,0.00707640,0.75949083
-5.84392196,1.49735344,0.26205699,0.00142324,1.15909823,0.47457587,0.00745481,0.78484270
-5.83791896,1.53764516,0.26295300,0.00140105,1.16848927,0.49559520,0.00787209,0.81330938
-5.83191596,1.58260345,0.26421139,0.00139027,1.18170585,0.51863402,0.00832272,0.84441967
-5.82591296,1.63140403,0.26578418,0.00139043,1.19862910,0.54330112,0.00880073,0.87763152
